datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,564.31071,557.38087
2026-05-22T01:00:00.000000000,563.60934,557.67045
2026-05-22T02:00:00.000000000,552.36094,552.51215
2026-05-22T03:00:00.000000000,529.28571,550.47535
2026-05-22T04:00:00.000000000,540.64286,546.02057
2026-05-22T05:00:00.000000000,494.88258,538.00179
2026-05-22T06:00:00.000000000,480.38933,531.8705
2026-05-22T07:00:00.000000000,486.97421,528.25478
2026-05-22T08:00:00.000000000,477.86812,526.88455
2026-05-22T09:00:00.000000000,482.94821,525.59232
2026-05-22T10:00:00.000000000,493.81014,525.31123
2026-05-22T11:00:00.000000000,496.85617,528.02994
2026-05-22T12:00:00.000000000,500.06024,531.27296
2026-05-22T13:00:00.000000000,534.27603,541.03537
2026-05-22T14:00:00.000000000,551.36282,550.41423
2026-05-22T15:00:00.000000000,548.19808,558.17835
2026-05-22T16:00:00.000000000,540.95397,560.84137
2026-05-22T17:00:00.000000000,538.09988,559.97548
2026-05-22T18:00:00.000000000,558.9638,557.56264
2026-05-22T19:00:00.000000000,558.14628,555.16883
2026-05-22T20:00:00.000000000,562.63703,552.76286
2026-05-22T21:00:00.000000000,572.01038,552.11411
2026-05-22T22:00:00.000000000,564.19482,555.40244
2026-05-22T23:00:00.000000000,546.13883,558.28804
2026-05-23T00:00:00.000000000,540.51082,561.2
2026-05-23T01:00:00.000000000,522.06943,560.94333
2026-05-23T02:00:00.000000000,518.01327,554.74105
2026-05-23T03:00:00.000000000,508.19973,551.09173
2026-05-23T04:00:00.000000000,530.99305,545.23419
2026-05-23T05:00:00.000000000,535.73362,535.59026
2026-05-23T06:00:00.000000000,531.87579,528.09949
2026-05-23T07:00:00.000000000,558.46518,523.11538
2026-05-23T08:00:00.000000000,564.8293,520.69211
2026-05-23T09:00:00.000000000,594.53125,519.11626
2026-05-23T10:00:00.000000000,619.54006,519.23015
2026-05-23T11:00:00.000000000,623.01873,523.47086
2026-05-23T12:00:00.000000000,656.23249,528.16086
2026-05-23T13:00:00.000000000,646.44823,539.60115
2026-05-23T14:00:00.000000000,663.14358,550.58922
2026-05-23T15:00:00.000000000,661.12621,559.2251
2026-05-23T16:00:00.000000000,668.721,562.33296
2026-05-23T17:00:00.000000000,653.57704,561.64428
2026-05-23T18:00:00.000000000,634.01334,559.10091
2026-05-23T19:00:00.000000000,574.61338,556.16798
2026-05-23T20:00:00.000000000,554.9431,552.91504
2026-05-23T21:00:00.000000000,545.10798,552.0975
2026-05-23T22:00:00.000000000,569.30115,555.01916
2026-05-23T23:00:00.000000000,604.92761,558.02145
2026-05-24T00:00:00.000000000,607.31443,555.01855
2026-05-24T01:00:00.000000000,612.4247,555.1118
2026-05-24T02:00:00.000000000,619.59193,549.3464
2026-05-24T03:00:00.000000000,622.27969,545.90589
2026-05-24T04:00:00.000000000,629.10394,540.31445
2026-05-24T05:00:00.000000000,645.02046,531.05769
2026-05-24T06:00:00.000000000,623.49017,523.85586
2026-05-24T07:00:00.000000000,624.85007,519.18689
2026-05-24T08:00:00.000000000,635.68843,517.07183
2026-05-24T09:00:00.000000000,633.34959,515.7576
2026-05-24T10:00:00.000000000,630.84883,516.1209
2026-05-24T11:00:00.000000000,626.83625,520.51598
2026-05-24T12:00:00.000000000,623.94615,525.13335
2026-05-24T13:00:00.000000000,615.45822,536.42685
2026-05-24T14:00:00.000000000,636.62928,547.14254
2026-05-24T15:00:00.000000000,639.26566,555.42319
2026-05-24T16:00:00.000000000,626.67511,558.36803
2026-05-24T17:00:00.000000000,629.89603,557.6473
2026-05-24T18:00:00.000000000,626.58333,555.1029
2026-05-24T19:00:00.000000000,610.34372,552.4413
2026-05-24T20:00:00.000000000,608.21893,549.48547
2026-05-24T21:00:00.000000000,591.87063,548.78942
