datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,642.87367,632.25897
2026-05-22T01:00:00.000000000,642.6913,628.47474
2026-05-22T02:00:00.000000000,631.17923,621.6803
2026-05-22T03:00:00.000000000,604.12449,614.69183
2026-05-22T04:00:00.000000000,611.13125,608.33822
2026-05-22T05:00:00.000000000,566.36546,603.31551
2026-05-22T06:00:00.000000000,554.55787,599.57732
2026-05-22T07:00:00.000000000,560.45272,598.50847
2026-05-22T08:00:00.000000000,550.14917,599.25406
2026-05-22T09:00:00.000000000,559.46016,603.17452
2026-05-22T10:00:00.000000000,573.18596,607.49881
2026-05-22T11:00:00.000000000,567.62649,613.18571
2026-05-22T12:00:00.000000000,573.56325,619.97907
2026-05-22T13:00:00.000000000,608.91525,626.21323
2026-05-22T14:00:00.000000000,625.19134,629.8239
2026-05-22T15:00:00.000000000,623.48124,630.74881
2026-05-22T16:00:00.000000000,618.89414,631.24787
2026-05-22T17:00:00.000000000,618.29354,631.03647
2026-05-22T18:00:00.000000000,638.70662,631.59243
2026-05-22T19:00:00.000000000,638.73897,631.95531
2026-05-22T20:00:00.000000000,643.97756,630.64026
2026-05-22T21:00:00.000000000,653.83009,629.64854
2026-05-22T22:00:00.000000000,646.09171,627.62906
2026-05-22T23:00:00.000000000,626.37137,626.20177
2026-05-23T00:00:00.000000000,620.34372,630.57895
2026-05-23T01:00:00.000000000,601.17356,627.62456
2026-05-23T02:00:00.000000000,597.03451,621.85761
2026-05-23T03:00:00.000000000,584.79534,615.40268
2026-05-23T04:00:00.000000000,604.72244,608.51189
2026-05-23T05:00:00.000000000,612.89821,601.79704
2026-05-23T06:00:00.000000000,608.57098,595.20917
2026-05-23T07:00:00.000000000,639.14943,590.50176
2026-05-23T08:00:00.000000000,642.46444,587.69751
2026-05-23T09:00:00.000000000,668.5067,588.52562
2026-05-23T10:00:00.000000000,695.11795,590.91319
2026-05-23T11:00:00.000000000,700.62608,596.2772
2026-05-23T12:00:00.000000000,727.54902,604.26329
2026-05-23T13:00:00.000000000,711.84862,612.86697
2026-05-23T14:00:00.000000000,729.12397,619.26369
2026-05-23T15:00:00.000000000,727.3165,623.09735
2026-05-23T16:00:00.000000000,735.27398,626.01147
2026-05-23T17:00:00.000000000,723.33293,627.28897
2026-05-23T18:00:00.000000000,706.4786,628.59372
2026-05-23T19:00:00.000000000,650.99791,628.81982
2026-05-23T20:00:00.000000000,631.46611,626.81608
2026-05-23T21:00:00.000000000,619.39484,625.04884
2026-05-23T22:00:00.000000000,644.52644,622.72659
2026-05-23T23:00:00.000000000,683.9001,621.56183
2026-05-24T00:00:00.000000000,688.32423,629.41355
2026-05-24T01:00:00.000000000,693.12952,626.53323
2026-05-24T02:00:00.000000000,699.5204,620.82782
2026-05-24T03:00:00.000000000,702.43439,614.40147
2026-05-24T04:00:00.000000000,708.39222,607.49678
2026-05-24T05:00:00.000000000,721.6429,600.73415
2026-05-24T06:00:00.000000000,703.20997,594.05817
2026-05-24T07:00:00.000000000,703.90105,589.25304
2026-05-24T08:00:00.000000000,712.59402,586.3808
2026-05-24T09:00:00.000000000,711.35041,587.17323
2026-05-24T10:00:00.000000000,709.7793,589.53953
2026-05-24T11:00:00.000000000,706.13593,594.89734
2026-05-24T12:00:00.000000000,701.17615,602.91165
2026-05-24T13:00:00.000000000,693.33491,611.55886
2026-05-24T14:00:00.000000000,713.45455,618.01164
2026-05-24T15:00:00.000000000,716.67549,621.90192
2026-05-24T16:00:00.000000000,706.34567,624.87629
2026-05-24T17:00:00.000000000,709.7552,626.20676
2026-05-24T18:00:00.000000000,705.49583,627.55525
2026-05-24T19:00:00.000000000,687.89276,627.81792
2026-05-24T20:00:00.000000000,685.01929,625.86807
2026-05-24T21:00:00.000000000,666.93138,624.17848
2026-05-24T22:00:00.000000000,641.85487,621.94285
2026-05-24T23:00:00.000000000,612.86547,620.8635
2026-05-25T00:00:00.000000000,585.22152,634.16339
2026-05-25T01:00:00.000000000,582.21831,631.61716
2026-05-25T02:00:00.000000000,568.56656,626.73797
2026-05-25T03:00:00.000000000,546.17068,621.50215
2026-05-25T04:00:00.000000000,523.7262,615.50552
2026-05-25T05:00:00.000000000,461.31941,609.0217
2026-05-25T06:00:00.000000000,464.75724,601.77956
2026-05-25T07:00:00.000000000,496.92973,595.41454
2026-05-25T08:00:00.000000000,461.24023,590.29931
2026-05-25T09:00:00.000000000,461.78632,588.19874
2026-05-25T10:00:00.000000000,483.36635,587.77805
2026-05-25T11:00:00.000000000,491.74036,590.9152
2026-05-25T12:00:00.000000000,522.07751,597.50327
2026-05-25T13:00:00.000000000,573.55143,605.68735
2026-05-25T14:00:00.000000000,633.30402,612.48268
2026-05-25T15:00:00.000000000,613.00591,617.45208
2026-05-25T16:00:00.000000000,556.32179,621.5491
2026-05-25T17:00:00.000000000,576.13174,624.02481
2026-05-25T18:00:00.000000000,608.03081,626.38728
2026-05-25T19:00:00.000000000,608.4169,627.15781
2026-05-25T20:00:00.000000000,618.63274,625.10442
2026-05-25T21:00:00.000000000,624.13581,622.98408
2026-05-25T22:00:00.000000000,616.59661,620.41378
2026-05-25T23:00:00.000000000,596.65382,619.28266
2026-05-26T00:00:00.000000000,597.308,627.37989
2026-05-26T01:00:00.000000000,605.01215,624.73667
2026-05-26T02:00:00.000000000,606.61844,619.36711
2026-05-26T03:00:00.000000000,584.76985,613.34929
2026-05-26T04:00:00.000000000,538.55521,606.86346
2026-05-26T05:00:00.000000000,514.42519,600.49802
2026-05-26T06:00:00.000000000,477.65041,594.16327
2026-05-26T07:00:00.000000000,488.94526,589.61523
2026-05-26T08:00:00.000000000,483.10105,586.84409
2026-05-26T09:00:00.000000000,489.18417,587.60713
2026-05-26T10:00:00.000000000,566.73978,589.9074
2026-05-26T11:00:00.000000000,621.05232,595.18733
2026-05-26T12:00:00.000000000,636.23661,603.16371
2026-05-26T13:00:00.000000000,675.82493,611.84355
2026-05-26T14:00:00.000000000,689.33548,618.36956
2026-05-26T15:00:00.000000000,680.70057,622.40611
2026-05-26T16:00:00.000000000,679.26239,625.5135
2026-05-26T17:00:00.000000000,681.16405,626.94214
2026-05-26T18:00:00.000000000,664.70604,628.35026
2026-05-26T19:00:00.000000000,655.25165,628.62434
2026-05-26T20:00:00.000000000,650.71132,626.57815
2026-05-26T21:00:00.000000000,645.42276,624.69482
2026-05-26T22:00:00.000000000,634.54558,622.24903
2026-05-26T23:00:00.000000000,625.73063,620.96176
2026-05-27T00:00:00.000000000,634.72629,627.81253
2026-05-27T01:00:00.000000000,636.31304,625.19889
2026-05-27T02:00:00.000000000,638.54536,619.88425
2026-05-27T03:00:00.000000000,672.08648,613.90427
2026-05-27T04:00:00.000000000,662.883,607.38296
2026-05-27T05:00:00.000000000,644.47607,600.89288
2026-05-27T06:00:00.000000000,636.90634,594.30857
2026-05-27T07:00:00.000000000,614.26239,589.40461
2026-05-27T08:00:00.000000000,616.02275,586.22381
2026-05-27T09:00:00.000000000,618.38743,586.57603
2026-05-27T10:00:00.000000000,636.9328,588.55153
2026-05-27T11:00:00.000000000,644.60829,593.65269
2026-05-27T12:00:00.000000000,642.03112,601.65155
2026-05-27T13:00:00.000000000,648.02813,610.55301
2026-05-27T14:00:00.000000000,681.98412,617.42493
2026-05-27T15:00:00.000000000,693.97035,621.84649
2026-05-27T16:00:00.000000000,694.92363,625.28895
2026-05-27T17:00:00.000000000,681.65274,626.98591
2026-05-27T18:00:00.000000000,674.12279,628.59126
2026-05-27T19:00:00.000000000,669.69173,628.9699
2026-05-27T20:00:00.000000000,659.35342,626.9187
2026-05-27T21:00:00.000000000,650.2192,624.96403
2026-05-27T22:00:00.000000000,649.22915,622.42571
2026-05-27T23:00:00.000000000,645.93635,621.05122
2026-05-28T00:00:00.000000000,650.35799,633.46277
2026-05-28T01:00:00.000000000,650.19785,629.91499
2026-05-28T02:00:00.000000000,650.95664,623.39072
2026-05-28T03:00:00.000000000,642.32201,616.59886
2026-05-28T04:00:00.000000000,640.3041,610.24597
2026-05-28T05:00:00.000000000,619.64305,604.97612
2026-05-28T06:00:00.000000000,631.1832,600.7733
2026-05-28T07:00:00.000000000,611.38448,599.04513
2026-05-28T08:00:00.000000000,608.92198,599.07288
2026-05-28T09:00:00.000000000,618.61069,602.27068
2026-05-28T10:00:00.000000000,625.93203,606.10228
2026-05-28T11:00:00.000000000,630.93455,611.63324
2026-05-28T12:00:00.000000000,633.17365,618.59383
2026-05-28T13:00:00.000000000,640.96794,625.24659
2026-05-28T14:00:00.000000000,652.74521,629.36944
2026-05-28T15:00:00.000000000,663.03553,630.88513
2026-05-28T16:00:00.000000000,658.36863,631.85544
2026-05-28T17:00:00.000000000,659.73758,631.94992
2026-05-28T18:00:00.000000000,649.07772,632.67785
2026-05-28T19:00:00.000000000,626.88962,633.05222
2026-05-28T20:00:00.000000000,613.57866,631.54817
2026-05-28T21:00:00.000000000,595.92633,630.30848
2026-05-28T22:00:00.000000000,597.81047,628.11831
2026-05-28T23:00:00.000000000,591.92502,626.6183
2026-05-23T00:00:00.000000000,620.34372,629.34823
2026-05-23T01:00:00.000000000,601.17356,626.49858
2026-05-23T02:00:00.000000000,597.03451,620.84043
2026-05-23T03:00:00.000000000,584.79534,614.47043
2026-05-23T04:00:00.000000000,604.72244,607.61599
2026-05-23T05:00:00.000000000,612.89821,600.88985
2026-05-23T06:00:00.000000000,608.57098,594.22843
2026-05-23T07:00:00.000000000,639.14943,589.41184
2026-05-23T08:00:00.000000000,642.46444,586.4974
2026-05-23T09:00:00.000000000,668.5067,587.22803
2026-05-23T10:00:00.000000000,695.11795,589.5397
2026-05-23T11:00:00.000000000,700.62608,594.86171
2026-05-23T12:00:00.000000000,727.54902,602.87175
2026-05-23T13:00:00.000000000,711.84862,611.55098
2026-05-23T14:00:00.000000000,729.12397,618.05685
2026-05-23T15:00:00.000000000,727.3165,622.01508
2026-05-23T16:00:00.000000000,735.27398,625.04807
2026-05-23T17:00:00.000000000,723.33293,626.42351
2026-05-23T18:00:00.000000000,706.4786,627.80233
2026-05-23T19:00:00.000000000,650.99791,628.07692
2026-05-23T20:00:00.000000000,631.46611,626.10855
2026-05-23T21:00:00.000000000,619.39484,624.37709
2026-05-23T22:00:00.000000000,644.52644,622.09402
2026-05-23T23:00:00.000000000,683.9001,620.96933
2026-05-24T00:00:00.000000000,688.32423,628.88853
2026-05-24T01:00:00.000000000,693.12952,626.04948
2026-05-24T02:00:00.000000000,699.5204,620.39067
2026-05-24T03:00:00.000000000,702.43439,614.0105
2026-05-24T04:00:00.000000000,708.39222,607.14605
2026-05-24T05:00:00.000000000,721.6429,600.41747
2026-05-24T06:00:00.000000000,703.20997,593.76609
2026-05-24T07:00:00.000000000,703.90105,588.97999
2026-05-24T08:00:00.000000000,712.59402,586.12174
2026-05-24T09:00:00.000000000,711.35041,586.9234
2026-05-24T10:00:00.000000000,709.7793,589.29457
2026-05-24T11:00:00.000000000,706.13593,594.65236
2026-05-24T12:00:00.000000000,701.17615,602.6691
2026-05-24T13:00:00.000000000,693.33491,611.31947
2026-05-24T14:00:00.000000000,713.45455,617.77626
2026-05-24T15:00:00.000000000,716.67549,621.67588
2026-05-24T16:00:00.000000000,706.34567,624.6618
2026-05-24T17:00:00.000000000,709.7552,626.00204
2026-05-24T18:00:00.000000000,705.49583,627.35776
2026-05-24T19:00:00.000000000,687.89276,627.62571
2026-05-24T20:00:00.000000000,685.01929,625.68032
2026-05-24T21:00:00.000000000,666.93138,623.99498
2026-05-24T22:00:00.000000000,641.85487,621.76517
2026-05-24T23:00:00.000000000,612.86547,620.69118
2026-05-25T00:00:00.000000000,585.22152,634.17743
2026-05-25T01:00:00.000000000,582.21831,631.67612
2026-05-25T02:00:00.000000000,568.56656,626.86624
2026-05-25T03:00:00.000000000,546.17068,621.71005
2026-05-25T04:00:00.000000000,523.7262,615.75756
2026-05-25T05:00:00.000000000,461.31941,609.26333
2026-05-25T06:00:00.000000000,464.75724,601.94586
2026-05-25T07:00:00.000000000,496.92973,595.43429
2026-05-25T08:00:00.000000000,461.24023,590.13398
2026-05-25T09:00:00.000000000,461.78632,587.81741
2026-05-25T10:00:00.000000000,483.36635,587.1967
2026-05-25T11:00:00.000000000,491.74036,590.17508
2026-05-25T12:00:00.000000000,522.07751,596.66418
2026-05-25T13:00:00.000000000,573.55143,604.81733
2026-05-25T14:00:00.000000000,633.30402,611.64041
2026-05-25T15:00:00.000000000,613.00591,616.68548
2026-05-25T16:00:00.000000000,556.32179,620.86454
2026-05-25T17:00:00.000000000,576.13174,623.42612
2026-05-25T18:00:00.000000000,608.03081,625.86939
2026-05-25T19:00:00.000000000,608.4169,626.69271
2026-05-25T20:00:00.000000000,618.63274,624.66094
2026-05-25T21:00:00.000000000,624.13581,622.54765
2026-05-25T22:00:00.000000000,616.59661,619.99099
2026-05-25T23:00:00.000000000,596.65382,618.8894
2026-05-26T00:00:00.000000000,597.308,627.03504
2026-05-26T01:00:00.000000000,605.01215,624.4181
2026-05-26T02:00:00.000000000,606.61844,619.07835
2026-05-26T03:00:00.000000000,584.76985,613.09017
2026-05-26T04:00:00.000000000,538.55521,606.63006
2026-05-26T05:00:00.000000000,514.42519,600.28654
2026-05-26T06:00:00.000000000,477.65041,593.96756
2026-05-26T07:00:00.000000000,488.94526,589.43199
2026-05-26T08:00:00.000000000,483.10105,586.66998
2026-05-26T09:00:00.000000000,489.18417,587.43919
2026-05-26T10:00:00.000000000,566.73978,589.74264
2026-05-26T11:00:00.000000000,621.05232,595.02252
2026-05-26T12:00:00.000000000,636.23661,603.00033
2026-05-26T13:00:00.000000000,675.82493,611.68214
