datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T01:00:00.000000000,2.50596,4.59743
2026-05-22T02:00:00.000000000,2.68044,6.00685
2026-05-22T03:00:00.000000000,2.69937,5.85421
2026-05-22T04:00:00.000000000,2.62793,6.76644
2026-05-22T05:00:00.000000000,2.40665,6.46071
2026-05-22T06:00:00.000000000,2.16748,6.02102
2026-05-22T07:00:00.000000000,2.04056,4.55264
2026-05-22T08:00:00.000000000,2.06781,5.47643
2026-05-22T09:00:00.000000000,1.81754,3.97749
2026-05-22T10:00:00.000000000,1.64291,5.08526
2026-05-22T11:00:00.000000000,1.53511,6.31982
2026-05-22T12:00:00.000000000,1.52828,6.5436
2026-05-22T13:00:00.000000000,1.57759,6.08214
2026-05-22T14:00:00.000000000,1.63146,5.83236
2026-05-22T15:00:00.000000000,1.6878,4.74339
2026-05-22T16:00:00.000000000,3.22601,6.22883
2026-05-22T17:00:00.000000000,10.35757,5.72755
2026-05-22T18:00:00.000000000,19.33219,5.69773
2026-05-22T19:00:00.000000000,21.92509,12.81499
2026-05-22T20:00:00.000000000,19.37014,7.8644
2026-05-22T21:00:00.000000000,19.65673,8.37723
2026-05-22T22:00:00.000000000,23.27312,5.95971
2026-05-22T23:00:00.000000000,24.50011,6.17352
2026-05-23T00:00:00.000000000,21.59675,5.22982
2026-05-23T01:00:00.000000000,2.69466,4.09992
2026-05-23T02:00:00.000000000,2.68916,5.55717
2026-05-23T03:00:00.000000000,2.72972,5.38305
2026-05-23T04:00:00.000000000,2.81025,6.35551
2026-05-23T05:00:00.000000000,2.83978,6.05139
2026-05-23T06:00:00.000000000,2.73415,5.60336
2026-05-23T07:00:00.000000000,2.62199,4.07725
2026-05-23T08:00:00.000000000,2.21147,4.99304
2026-05-23T09:00:00.000000000,1.85776,3.53703
2026-05-23T10:00:00.000000000,1.68616,4.7021
2026-05-23T11:00:00.000000000,1.59214,6.00964
2026-05-23T12:00:00.000000000,1.57261,6.3139
2026-05-23T13:00:00.000000000,1.59082,5.85279
2026-05-23T14:00:00.000000000,1.65913,5.63248
2026-05-23T15:00:00.000000000,1.70348,4.60002
2026-05-23T16:00:00.000000000,1.82817,6.05237
2026-05-23T17:00:00.000000000,1.96613,5.53482
2026-05-23T18:00:00.000000000,2.24918,5.47139
2026-05-23T19:00:00.000000000,2.0831,12.58957
2026-05-23T20:00:00.000000000,1.71568,7.58793
2026-05-23T21:00:00.000000000,1.76003,8.08559
2026-05-23T22:00:00.000000000,1.97994,5.61108
2026-05-23T23:00:00.000000000,2.46532,5.79771
2026-05-24T00:00:00.000000000,2.7289,4.84225
2026-05-24T01:00:00.000000000,2.81025,4.91746
2026-05-24T02:00:00.000000000,2.90453,6.30269
2026-05-24T03:00:00.000000000,2.967,6.01611
2026-05-24T04:00:00.000000000,3.03011,6.918
2026-05-24T05:00:00.000000000,3.04843,6.44801
2026-05-24T06:00:00.000000000,2.98866,5.81263
2026-05-24T07:00:00.000000000,2.60359,4.17116
2026-05-24T08:00:00.000000000,2.18628,4.92287
2026-05-24T09:00:00.000000000,1.95655,3.5159
2026-05-24T10:00:00.000000000,1.78474,4.74682
2026-05-24T11:00:00.000000000,1.71185,6.1614
2026-05-24T12:00:00.000000000,1.70769,6.51578
2026-05-24T13:00:00.000000000,1.77177,6.10048
2026-05-24T14:00:00.000000000,1.85124,5.9343
2026-05-24T15:00:00.000000000,1.93719,5.01576
2026-05-24T16:00:00.000000000,2.0805,6.54046
2026-05-24T17:00:00.000000000,2.38244,6.07202
2026-05-24T18:00:00.000000000,2.76022,6.03919
2026-05-24T19:00:00.000000000,3.0212,13.28414
2026-05-24T20:00:00.000000000,2.93533,8.27995
2026-05-24T21:00:00.000000000,2.84284,8.81276
2026-05-24T22:00:00.000000000,2.96943,6.34514
2026-05-24T23:00:00.000000000,2.9814,6.53135
2026-05-25T00:00:00.000000000,3.08629,5.55897
2026-05-25T01:00:00.000000000,3.01652,7.65084
2026-05-25T02:00:00.000000000,2.91383,8.76782
2026-05-25T03:00:00.000000000,2.77274,8.27232
2026-05-25T04:00:00.000000000,2.79652,8.79742
2026-05-25T05:00:00.000000000,2.62559,8.02676
2026-05-25T06:00:00.000000000,2.50834,7.05713
2026-05-25T07:00:00.000000000,2.25343,5.25834
2026-05-25T08:00:00.000000000,1.99584,5.73399
2026-05-25T09:00:00.000000000,1.76568,4.21851
2026-05-25T10:00:00.000000000,1.68029,5.47487
2026-05-25T11:00:00.000000000,1.66468,6.96691
2026-05-25T12:00:00.000000000,1.63869,7.25974
2026-05-25T13:00:00.000000000,1.64479,6.96989
2026-05-25T14:00:00.000000000,1.71064,6.95571
2026-05-25T15:00:00.000000000,1.79283,6.16
2026-05-25T16:00:00.000000000,1.84745,8.05333
2026-05-25T17:00:00.000000000,1.95136,7.63914
2026-05-25T18:00:00.000000000,2.2236,7.81755
2026-05-25T19:00:00.000000000,2.04369,15.1855
2026-05-25T20:00:00.000000000,1.70956,10.3686
2026-05-25T21:00:00.000000000,1.65509,10.96412
2026-05-25T22:00:00.000000000,1.7884,8.58927
2026-05-25T23:00:00.000000000,2.14743,8.85332
