datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T01:00:00.000000000,36.43945,41.45558
2026-05-22T02:00:00.000000000,37.69674,42.47647
2026-05-22T03:00:00.000000000,37.93773,41.6974
2026-05-22T04:00:00.000000000,37.09956,41.66138
2026-05-22T05:00:00.000000000,35.94231,39.50566
2026-05-22T06:00:00.000000000,36.13497,41.39069
2026-05-22T07:00:00.000000000,38.4767,42.27157
2026-05-22T08:00:00.000000000,42.73423,44.53168
2026-05-22T09:00:00.000000000,43.70726,43.59095
2026-05-22T10:00:00.000000000,43.59785,43.657
2026-05-22T11:00:00.000000000,43.04515,43.60923
2026-05-22T12:00:00.000000000,43.37547,46.54964
2026-05-22T13:00:00.000000000,43.98835,44.96772
2026-05-22T14:00:00.000000000,43.77915,47.26255
2026-05-22T15:00:00.000000000,42.73216,47.30077
2026-05-22T16:00:00.000000000,43.7664,48.34899
2026-05-22T17:00:00.000000000,51.52034,45.36288
2026-05-22T18:00:00.000000000,59.19443,51.47205
2026-05-22T19:00:00.000000000,59.57389,49.8927
2026-05-22T20:00:00.000000000,54.71722,47.25202
2026-05-22T21:00:00.000000000,54.79824,47.15879
2026-05-22T22:00:00.000000000,60.02775,44.94418
2026-05-22T23:00:00.000000000,62.15154,43.27782
2026-05-23T00:00:00.000000000,60.31251,44.38382
2026-05-23T01:00:00.000000000,37.75951,41.55375
2026-05-23T02:00:00.000000000,38.05931,42.52408
2026-05-23T03:00:00.000000000,38.11752,41.76898
2026-05-23T04:00:00.000000000,38.81593,41.67912
2026-05-23T05:00:00.000000000,39.28003,39.53575
2026-05-23T06:00:00.000000000,39.92289,41.41131
2026-05-23T07:00:00.000000000,43.17393,42.29634
2026-05-23T08:00:00.000000000,44.85409,44.5316
2026-05-23T09:00:00.000000000,44.84834,43.61134
2026-05-23T10:00:00.000000000,44.79037,43.6573
2026-05-23T11:00:00.000000000,45.09985,43.70165
2026-05-23T12:00:00.000000000,45.2461,46.62279
2026-05-23T13:00:00.000000000,45.15313,45.05039
2026-05-23T14:00:00.000000000,45.12369,47.2936
2026-05-23T15:00:00.000000000,44.2185,47.3692
2026-05-23T16:00:00.000000000,42.9211,48.43606
2026-05-23T17:00:00.000000000,40.6039,45.45987
2026-05-23T18:00:00.000000000,38.8581,51.55823
2026-05-23T19:00:00.000000000,35.8643,49.98076
2026-05-23T20:00:00.000000000,33.45156,47.33195
2026-05-23T21:00:00.000000000,33.39119,47.20081
2026-05-23T22:00:00.000000000,34.3771,45.04467
2026-05-23T23:00:00.000000000,37.10227,43.36615
2026-05-24T00:00:00.000000000,38.92373,44.45374
2026-05-24T01:00:00.000000000,39.48017,41.36515
2026-05-24T02:00:00.000000000,40.20243,42.41371
2026-05-24T03:00:00.000000000,40.51432,41.6261
2026-05-24T04:00:00.000000000,40.64331,41.61293
2026-05-24T05:00:00.000000000,40.6271,39.4593
2026-05-24T06:00:00.000000000,41.68339,41.35386
2026-05-24T07:00:00.000000000,43.24394,42.22956
2026-05-24T08:00:00.000000000,44.83659,44.5081
2026-05-24T09:00:00.000000000,46.11223,43.56198
2026-05-24T10:00:00.000000000,46.61384,43.63809
2026-05-24T11:00:00.000000000,46.99669,43.54329
2026-05-24T12:00:00.000000000,47.22214,46.50066
2026-05-24T13:00:00.000000000,47.42204,44.91368
2026-05-24T14:00:00.000000000,47.32865,47.2357
2026-05-24T15:00:00.000000000,47.00633,47.25226
2026-05-24T16:00:00.000000000,45.84294,48.28993
2026-05-24T17:00:00.000000000,45.0094,45.29569
2026-05-24T18:00:00.000000000,43.41775,51.40852
2026-05-24T19:00:00.000000000,42.13821,49.82792
2026-05-24T20:00:00.000000000,41.06156,47.18444
2026-05-24T21:00:00.000000000,40.27477,47.10567
2026-05-24T22:00:00.000000000,41.51731,44.86034
2026-05-24T23:00:00.000000000,41.84433,43.20024
2026-05-25T00:00:00.000000000,42.35623,44.31253
2026-05-25T01:00:00.000000000,41.71187,41.43597
2026-05-25T02:00:00.000000000,40.47406,42.47257
2026-05-25T03:00:00.000000000,38.98113,41.68689
2026-05-25T04:00:00.000000000,39.36718,41.67404
2026-05-25T05:00:00.000000000,38.23234,39.50999
2026-05-25T06:00:00.000000000,37.73084,41.39186
2026-05-25T07:00:00.000000000,39.01869,42.27473
2026-05-25T08:00:00.000000000,41.55443,44.53884
2026-05-25T09:00:00.000000000,43.24174,43.58619
2026-05-25T10:00:00.000000000,44.26866,43.66125
2026-05-25T11:00:00.000000000,45.38169,43.57588
2026-05-25T12:00:00.000000000,45.56441,46.52036
2026-05-25T13:00:00.000000000,45.58245,44.93229
2026-05-25T14:00:00.000000000,45.70369,47.25029
2026-05-25T15:00:00.000000000,45.10894,47.27415
2026-05-25T16:00:00.000000000,43.16939,48.31358
2026-05-25T17:00:00.000000000,40.75559,45.32529
2026-05-25T18:00:00.000000000,39.01361,51.44087
2026-05-25T19:00:00.000000000,35.63355,49.86169
2026-05-25T20:00:00.000000000,33.31486,47.23073
2026-05-25T21:00:00.000000000,32.80405,47.15131
2026-05-25T22:00:00.000000000,33.30433,44.91859
2026-05-25T23:00:00.000000000,35.16119,43.25426
2026-05-26T00:00:00.000000000,37.34266,44.37344
2026-05-26T01:00:00.000000000,38.88219,41.38495
2026-05-26T02:00:00.000000000,39.94939,42.43601
2026-05-26T03:00:00.000000000,40.47489,41.64468
2026-05-26T04:00:00.000000000,39.7176,41.63889
2026-05-26T05:00:00.000000000,38.47405,39.47853
2026-05-26T06:00:00.000000000,36.405,41.36976
2026-05-26T07:00:00.000000000,39.33281,42.24757
2026-05-26T08:00:00.000000000,42.20691,44.5233
2026-05-26T09:00:00.000000000,44.13498,43.57174
2026-05-26T10:00:00.000000000,45.16269,43.64984
2026-05-26T11:00:00.000000000,45.57797,43.54689
2026-05-26T12:00:00.000000000,45.26459,46.50104
2026-05-26T13:00:00.000000000,44.68612,44.91282
2026-05-26T14:00:00.000000000,44.31857,47.23914
2026-05-26T15:00:00.000000000,44.0435,47.25427
2026-05-26T16:00:00.000000000,43.36804,48.29075
2026-05-26T17:00:00.000000000,49.46456,45.29785
2026-05-26T18:00:00.000000000,57.13727,51.41323
2026-05-26T19:00:00.000000000,57.08991,49.83292
2026-05-26T20:00:00.000000000,56.00498,47.19548
2026-05-26T21:00:00.000000000,58.97084,47.1229
2026-05-26T22:00:00.000000000,66.40474,44.87428
2026-05-26T23:00:00.000000000,74.03202,43.21485
2026-05-27T00:00:00.000000000,48.77262,44.33148
2026-05-27T01:00:00.000000000,41.16317,41.35857
2026-05-27T02:00:00.000000000,42.39516,42.41057
2026-05-27T03:00:00.000000000,42.78966,41.62071
2026-05-27T04:00:00.000000000,42.62115,41.60826
2026-05-27T05:00:00.000000000,39.50956,39.4552
2026-05-27T06:00:00.000000000,38.665,41.35249
2026-05-27T07:00:00.000000000,39.7599,42.22649
2026-05-27T08:00:00.000000000,43.81736,44.50773
2026-05-27T09:00:00.000000000,44.75838,43.56211
2026-05-27T10:00:00.000000000,45.16615,43.63905
2026-05-27T11:00:00.000000000,44.66456,43.54111
2026-05-27T12:00:00.000000000,44.6261,46.4999
2026-05-27T13:00:00.000000000,42.79781,44.91296
2026-05-27T14:00:00.000000000,41.18342,47.23604
2026-05-27T15:00:00.000000000,38.31932,47.25134
2026-05-27T16:00:00.000000000,37.19432,48.28884
2026-05-27T17:00:00.000000000,40.62523,45.29483
2026-05-27T18:00:00.000000000,51.6472,51.40663
2026-05-27T19:00:00.000000000,51.72776,49.82622
2026-05-27T20:00:00.000000000,47.32556,47.18055
2026-05-27T21:00:00.000000000,48.31754,47.10543
2026-05-27T22:00:00.000000000,51.38996,44.85533
2026-05-27T23:00:00.000000000,50.52511,43.19683
2026-05-28T00:00:00.000000000,45.88166,44.30785
2026-05-28T01:00:00.000000000,42.6106,41.35091
2026-05-28T02:00:00.000000000,43.00264,42.403
2026-05-28T03:00:00.000000000,42.66358,41.61417
2026-05-28T04:00:00.000000000,42.60996,41.60161
2026-05-28T05:00:00.000000000,40.65279,39.44973
2026-05-28T06:00:00.000000000,39.95661,41.34713
2026-05-28T07:00:00.000000000,42.3864,42.22118
2026-05-28T08:00:00.000000000,42.75131,44.50284
2026-05-28T09:00:00.000000000,42.93866,43.55768
2026-05-28T10:00:00.000000000,42.63771,43.63435
2026-05-28T11:00:00.000000000,42.42422,43.53607
2026-05-28T12:00:00.000000000,41.80244,46.49613
2026-05-28T13:00:00.000000000,41.18616,44.90914
