datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-21T14:00:00.000000000,379.37845,500.19897
2026-05-21T15:00:00.000000000,266.31529,469.29654
2026-05-21T16:00:00.000000000,210.26776,398.92291
2026-05-21T17:00:00.000000000,212.24286,313.0304
2026-05-21T18:00:00.000000000,212.88519,248.32612
2026-05-21T19:00:00.000000000,209.48515,227.54465
2026-05-21T20:00:00.000000000,214.00445,242.0455
2026-05-21T21:00:00.000000000,208.77149,253.06819
2026-05-21T22:00:00.000000000,206.50493,239.18176
2026-05-21T23:00:00.000000000,202.94628,227.01047
2026-05-22T00:00:00.000000000,234.56765,228.23127
2026-05-22T01:00:00.000000000,285.12853,253.95302
2026-05-22T02:00:00.000000000,425.60745,315.34964
2026-05-22T03:00:00.000000000,496.8198,396.11779
2026-05-22T04:00:00.000000000,455.05799,468.65575
2026-05-22T05:00:00.000000000,434.57208,483.28336
2026-05-22T06:00:00.000000000,430.20029,479.35244
2026-05-22T07:00:00.000000000,423.42722,461.99658
2026-05-22T08:00:00.000000000,401.78615,455.53163
2026-05-22T09:00:00.000000000,399.85108,450.73796
2026-05-22T10:00:00.000000000,425.4044,459.75981
2026-05-22T11:00:00.000000000,463.22632,472.50753
2026-05-22T12:00:00.000000000,460.16023,490.92409
2026-05-22T13:00:00.000000000,450.86753,497.26347
2026-05-22T14:00:00.000000000,378.39214,507.45049
2026-05-22T15:00:00.000000000,282.07324,477.68667
2026-05-22T16:00:00.000000000,258.32433,405.14863
2026-05-22T17:00:00.000000000,280.6168,314.91678
2026-05-22T18:00:00.000000000,255.11465,245.99227
2026-05-22T19:00:00.000000000,249.63812,223.92111
2026-05-22T20:00:00.000000000,262.55644,239.94334
2026-05-22T21:00:00.000000000,238.01014,253.87604
2026-05-22T22:00:00.000000000,234.15085,241.17217
2026-05-22T23:00:00.000000000,220.55421,228.54868
2026-05-23T00:00:00.000000000,225.57316,227.64868
2026-05-23T01:00:00.000000000,265.13889,250.97008
2026-05-23T02:00:00.000000000,410.55211,311.78786
2026-05-23T03:00:00.000000000,477.81185,394.81612
2026-05-23T04:00:00.000000000,454.51315,471.84565
2026-05-23T05:00:00.000000000,443.92255,489.26483
2026-05-23T06:00:00.000000000,416.78412,487.05375
2026-05-23T07:00:00.000000000,395.37492,470.25368
2026-05-23T08:00:00.000000000,416.46808,463.42614
2026-05-23T09:00:00.000000000,439.07713,458.18678
2026-05-23T10:00:00.000000000,454.64103,465.38571
2026-05-23T11:00:00.000000000,481.64732,476.00109
2026-05-23T12:00:00.000000000,515.81277,493.67969
2026-05-23T13:00:00.000000000,524.68108,501.82889
2026-05-23T14:00:00.000000000,400.96597,504.51686
2026-05-23T15:00:00.000000000,241.69261,472.10224
2026-05-23T16:00:00.000000000,202.75334,394.28796
2026-05-23T17:00:00.000000000,188.79256,300.51676
2026-05-23T18:00:00.000000000,195.09851,232.2993
2026-05-23T19:00:00.000000000,201.74778,213.09001
2026-05-23T20:00:00.000000000,207.06805,230.2723
2026-05-23T21:00:00.000000000,211.00032,242.91445
2026-05-23T22:00:00.000000000,211.06598,228.63595
2026-05-23T23:00:00.000000000,230.86198,214.38292
2026-05-24T00:00:00.000000000,257.81327,213.73132
2026-05-24T01:00:00.000000000,305.48193,239.94156
2026-05-24T02:00:00.000000000,439.3339,304.12091
2026-05-24T03:00:00.000000000,503.3655,389.35518
2026-05-24T04:00:00.000000000,488.05232,469.23666
2026-05-24T05:00:00.000000000,453.25871,488.28353
2026-05-24T06:00:00.000000000,435.07536,484.12116
2026-05-24T07:00:00.000000000,443.17915,464.44034
2026-05-24T08:00:00.000000000,410.44235,457.05489
2026-05-24T09:00:00.000000000,419.25586,451.7397
2026-05-24T10:00:00.000000000,464.93523,460.66859
2026-05-24T11:00:00.000000000,503.86615,473.22303
2026-05-24T12:00:00.000000000,555.60914,492.22597
2026-05-24T13:00:00.000000000,544.73792,500.70744
2026-05-24T14:00:00.000000000,384.02899,503.32202
2026-05-24T15:00:00.000000000,235.20473,472.37044
2026-05-24T16:00:00.000000000,212.07117,396.31476
2026-05-24T17:00:00.000000000,204.04339,303.32455
2026-05-24T18:00:00.000000000,196.13115,234.48427
2026-05-24T19:00:00.000000000,198.53377,214.07904
2026-05-24T20:00:00.000000000,195.69932,230.44701
2026-05-24T21:00:00.000000000,192.90413,243.16021
2026-05-24T22:00:00.000000000,188.71981,229.60346
2026-05-24T23:00:00.000000000,200.32867,216.03804
2026-05-25T00:00:00.000000000,257.27054,215.33604
2026-05-25T01:00:00.000000000,305.40263,240.50059
2026-05-25T02:00:00.000000000,412.82708,303.16832
2026-05-25T03:00:00.000000000,494.63001,387.15293
2026-05-25T04:00:00.000000000,491.91084,466.33523
2026-05-25T05:00:00.000000000,490.5177,485.44152
2026-05-25T06:00:00.000000000,472.79145,482.05214
2026-05-25T07:00:00.000000000,391.96405,463.43554
2026-05-25T08:00:00.000000000,411.95937,456.45657
2026-05-25T09:00:00.000000000,411.10923,451.16322
2026-05-25T10:00:00.000000000,431.71526,459.80609
2026-05-25T11:00:00.000000000,503.08511,472.05566
2026-05-25T12:00:00.000000000,554.31646,490.73823
2026-05-25T13:00:00.000000000,543.36693,499.35334
2026-05-25T14:00:00.000000000,378.25227,509.37903
2026-05-25T15:00:00.000000000,231.60288,481.51909
2026-05-25T16:00:00.000000000,209.5382,410.28123
2026-05-25T17:00:00.000000000,200.52189,319.64321
2026-05-25T18:00:00.000000000,196.94668,248.7206
2026-05-25T19:00:00.000000000,202.33675,224.72562
