datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-21T14:00:00.000000000,445.58073,426.64586
2026-05-21T15:00:00.000000000,322.3348,348.19776
2026-05-21T16:00:00.000000000,262.4783,308.32556
2026-05-21T17:00:00.000000000,265.542,302.60206
2026-05-21T18:00:00.000000000,267.1658,303.06889
2026-05-21T19:00:00.000000000,263.06356,305.21905
2026-05-21T20:00:00.000000000,268.1396,307.4106
2026-05-21T21:00:00.000000000,261.90377,306.04097
2026-05-21T22:00:00.000000000,259.21656,312.2957
2026-05-21T23:00:00.000000000,254.58681,326.41564
2026-05-22T00:00:00.000000000,290.79374,354.67618
2026-05-22T01:00:00.000000000,345.74653,386.65249
2026-05-22T02:00:00.000000000,509.15334,438.9992
2026-05-22T03:00:00.000000000,590.83541,512.06426
2026-05-22T04:00:00.000000000,537.83838,556.56556
2026-05-22T05:00:00.000000000,512.17812,550.76744
2026-05-22T06:00:00.000000000,504.02775,539.32509
2026-05-22T07:00:00.000000000,492.70466,525.22948
2026-05-22T08:00:00.000000000,459.0277,508.07702
2026-05-22T09:00:00.000000000,457.28111,499.59957
2026-05-22T10:00:00.000000000,487.57735,501.3239
2026-05-22T11:00:00.000000000,534.35275,523.87224
2026-05-22T12:00:00.000000000,533.26184,536.59929
2026-05-22T13:00:00.000000000,522.34197,509.26319
2026-05-22T14:00:00.000000000,442.78429,419.34232
2026-05-22T15:00:00.000000000,337.98971,340.0357
2026-05-22T16:00:00.000000000,313.85503,306.73844
2026-05-22T17:00:00.000000000,342.19501,308.7141
2026-05-22T18:00:00.000000000,314.80943,310.94271
2026-05-22T19:00:00.000000000,307.68081,310.0289
2026-05-22T20:00:00.000000000,322.39354,310.81918
2026-05-22T21:00:00.000000000,295.14643,311.94652
2026-05-22T22:00:00.000000000,293.67518,322.07503
2026-05-22T23:00:00.000000000,280.05542,337.12836
2026-05-23T00:00:00.000000000,285.78217,363.10001
2026-05-23T01:00:00.000000000,331.40289,389.37511
2026-05-23T02:00:00.000000000,496.02124,437.86974
2026-05-23T03:00:00.000000000,571.96433,511.23213
2026-05-23T04:00:00.000000000,542.47794,557.22171
2026-05-23T05:00:00.000000000,528.30467,553.35155
2026-05-23T06:00:00.000000000,493.72287,543.09211
2026-05-23T07:00:00.000000000,463.55783,529.19619
2026-05-23T08:00:00.000000000,485.91738,511.41384
2026-05-23T09:00:00.000000000,508.8233,502.12384
2026-05-23T10:00:00.000000000,524.81752,504.55298
2026-05-23T11:00:00.000000000,555.76161,528.2064
2026-05-23T12:00:00.000000000,601.06463,540.97617
2026-05-23T13:00:00.000000000,608.18493,509.43883
2026-05-23T14:00:00.000000000,475.05459,424.42969
2026-05-23T15:00:00.000000000,302.74451,341.5255
2026-05-23T16:00:00.000000000,261.99777,309.05262
2026-05-23T17:00:00.000000000,245.21774,313.73336
2026-05-23T18:00:00.000000000,251.64836,316.71332
2026-05-23T19:00:00.000000000,258.9247,314.12228
2026-05-23T20:00:00.000000000,264.76911,312.84988
2026-05-23T21:00:00.000000000,268.8107,313.56378
2026-05-23T22:00:00.000000000,267.90059,324.72355
2026-05-23T23:00:00.000000000,287.40234,339.13808
2026-05-24T00:00:00.000000000,317.79866,360.85133
2026-05-24T01:00:00.000000000,371.32973,381.66528
2026-05-24T02:00:00.000000000,523.31044,431.72312
2026-05-24T03:00:00.000000000,595.59103,512.6934
2026-05-24T04:00:00.000000000,575.21225,564.74685
2026-05-24T05:00:00.000000000,531.08983,562.20822
2026-05-24T06:00:00.000000000,505.20347,550.4541
2026-05-24T07:00:00.000000000,514.43321,535.0835
2026-05-24T08:00:00.000000000,476.49021,518.21669
2026-05-24T09:00:00.000000000,485.21289,511.91815
2026-05-24T10:00:00.000000000,537.26813,517.55683
2026-05-24T11:00:00.000000000,581.19135,542.12195
2026-05-24T12:00:00.000000000,645.75,554.3349
2026-05-24T13:00:00.000000000,640.46396,519.78445
2026-05-24T14:00:00.000000000,460.91183,427.62094
2026-05-24T15:00:00.000000000,297.53487,340.482
2026-05-24T16:00:00.000000000,273.45336,310.57914
2026-05-24T17:00:00.000000000,263.99972,320.74055
2026-05-24T18:00:00.000000000,255.24809,325.52248
2026-05-24T19:00:00.000000000,257.35585,320.81958
2026-05-24T20:00:00.000000000,252.23129,317.67129
2026-05-24T21:00:00.000000000,248.32889,318.93307
2026-05-24T22:00:00.000000000,243.2254,332.07921
2026-05-24T23:00:00.000000000,257.33437,346.03776
2026-05-25T00:00:00.000000000,320.07179,363.88872
2026-05-25T01:00:00.000000000,373.80053,379.00538
2026-05-25T02:00:00.000000000,496.0314,428.96633
2026-05-25T03:00:00.000000000,586.9579,515.01816
2026-05-25T04:00:00.000000000,580.918,570.872
2026-05-25T05:00:00.000000000,578.441,569.36341
2026-05-25T06:00:00.000000000,556.08951,556.84719
2026-05-25T07:00:00.000000000,457.03497,541.03426
2026-05-25T08:00:00.000000000,481.5983,525.19008
2026-05-25T09:00:00.000000000,476.42147,520.86749
2026-05-25T10:00:00.000000000,501.75882,528.62229
2026-05-25T11:00:00.000000000,585.61056,554.01884
2026-05-25T12:00:00.000000000,645.84894,566.79647
2026-05-25T13:00:00.000000000,636.80296,529.61651
2026-05-25T14:00:00.000000000,457.2559,428.49878
2026-05-25T15:00:00.000000000,292.49357,342.78319
2026-05-25T16:00:00.000000000,268.6927,311.83853
2026-05-25T17:00:00.000000000,259.2851,320.29886
2026-05-25T18:00:00.000000000,256.02211,324.3637
2026-05-25T19:00:00.000000000,260.89315,319.56592
2026-05-25T20:00:00.000000000,252.52396,316.36237
2026-05-25T21:00:00.000000000,246.63772,317.29534
2026-05-25T22:00:00.000000000,250.62739,328.88425
2026-05-25T23:00:00.000000000,249.73658,340.93018
2026-05-26T00:00:00.000000000,277.21924,357.14517
2026-05-26T01:00:00.000000000,313.82359,372.59518
2026-05-26T02:00:00.000000000,483.16536,423.29021
2026-05-26T03:00:00.000000000,626.45184,509.6544
