datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,162.89216,154.46211
2026-05-22T01:00:00.000000000,167.36762,160.57138
2026-05-22T02:00:00.000000000,161.03621,161.54099
2026-05-22T03:00:00.000000000,182.6817,163.07349
2026-05-22T04:00:00.000000000,191.95445,164.73172
2026-05-22T05:00:00.000000000,197.60483,162.28722
2026-05-22T06:00:00.000000000,239.32102,159.33148
2026-05-22T07:00:00.000000000,238.2967,159.48138
2026-05-22T08:00:00.000000000,230.40313,157.44055
2026-05-22T09:00:00.000000000,231.30593,154.82837
2026-05-22T10:00:00.000000000,210.7005,152.35372
2026-05-22T11:00:00.000000000,216.46352,145.18105
2026-05-22T12:00:00.000000000,213.23603,145.46957
2026-05-22T13:00:00.000000000,212.99587,146.12642
2026-05-22T14:00:00.000000000,216.72326,149.37116
2026-05-22T15:00:00.000000000,209.29514,152.68888
2026-05-22T16:00:00.000000000,218.87819,154.65646
2026-05-22T17:00:00.000000000,212.45161,153.11686
2026-05-22T18:00:00.000000000,223.59716,154.61565
2026-05-22T19:00:00.000000000,226.73688,156.09646
2026-05-22T20:00:00.000000000,170.27141,154.83853
2026-05-22T21:00:00.000000000,156.98023,155.31678
2026-05-22T22:00:00.000000000,137.9386,157.0224
2026-05-22T23:00:00.000000000,137.58012,159.4296
2026-05-23T00:00:00.000000000,157.78099,161.37393
2026-05-23T01:00:00.000000000,146.96607,169.23961
2026-05-23T02:00:00.000000000,155.95962,170.92601
2026-05-23T03:00:00.000000000,188.15341,171.85496
2026-05-23T04:00:00.000000000,182.27183,173.15212
2026-05-23T05:00:00.000000000,172.01248,168.94482
2026-05-23T06:00:00.000000000,185.01308,163.55382
2026-05-23T07:00:00.000000000,179.33936,160.95721
2026-05-23T08:00:00.000000000,148.51781,156.23945
2026-05-23T09:00:00.000000000,172.39371,152.54089
2026-05-23T10:00:00.000000000,192.50548,150.50654
2026-05-23T11:00:00.000000000,195.13143,143.22011
2026-05-23T12:00:00.000000000,208.7781,144.02301
2026-05-23T13:00:00.000000000,221.30841,145.06508
2026-05-23T14:00:00.000000000,195.02196,147.65834
2026-05-23T15:00:00.000000000,185.16415,149.79947
2026-05-23T16:00:00.000000000,176.13223,148.9913
2026-05-23T17:00:00.000000000,157.75293,145.268
2026-05-23T18:00:00.000000000,178.6102,144.92863
2026-05-23T19:00:00.000000000,198.07729,146.67328
2026-05-23T20:00:00.000000000,181.97244,146.60402
2026-05-23T21:00:00.000000000,212.94455,150.10237
2026-05-23T22:00:00.000000000,194.77171,155.89126
2026-05-23T23:00:00.000000000,166.95458,161.79233
2026-05-24T00:00:00.000000000,132.40881,162.2415
2026-05-24T01:00:00.000000000,133.2,170.61938
2026-05-24T02:00:00.000000000,133.20817,172.33555
2026-05-24T03:00:00.000000000,137.95359,172.99973
2026-05-24T04:00:00.000000000,137.34668,174.32827
2026-05-24T05:00:00.000000000,139.25868,169.46187
2026-05-24T06:00:00.000000000,142.06852,163.10529
2026-05-24T07:00:00.000000000,146.22532,159.61091
2026-05-24T08:00:00.000000000,142.55518,154.3366
2026-05-24T09:00:00.000000000,141.91781,150.83085
2026-05-24T10:00:00.000000000,142.81161,149.45591
2026-05-24T11:00:00.000000000,134.125,142.44489
2026-05-24T12:00:00.000000000,141.16466,143.82986
2026-05-24T13:00:00.000000000,170.88235,144.99218
2026-05-24T14:00:00.000000000,160.54518,147.09989
2026-05-24T15:00:00.000000000,213.9669,148.34132
2026-05-24T16:00:00.000000000,249.6748,145.89337
2026-05-24T17:00:00.000000000,218.24365,140.54233
2026-05-24T18:00:00.000000000,225.381,138.94598
2026-05-24T19:00:00.000000000,217.51285,140.33602
2026-05-24T20:00:00.000000000,218.78803,140.54997
2026-05-24T21:00:00.000000000,218.83268,145.41991
2026-05-24T22:00:00.000000000,217.92337,153.01464
2026-05-24T23:00:00.000000000,221.65421,160.62686
2026-05-25T00:00:00.000000000,173.02361,161.02247
2026-05-25T01:00:00.000000000,146.14623,169.62179
2026-05-25T02:00:00.000000000,152.08142,171.53833
2026-05-25T03:00:00.000000000,126.20929,172.40216
2026-05-25T04:00:00.000000000,137.16359,173.90966
2026-05-25T05:00:00.000000000,136.19822,169.17303
2026-05-25T06:00:00.000000000,140.84667,162.90078
2026-05-25T07:00:00.000000000,140.66733,159.41538
2026-05-25T08:00:00.000000000,155.94595,154.07239
2026-05-25T09:00:00.000000000,157.8132,150.49671
2026-05-25T10:00:00.000000000,155.92255,149.04238
2026-05-25T11:00:00.000000000,150.45589,141.99944
2026-05-25T12:00:00.000000000,153.02098,143.32501
2026-05-25T13:00:00.000000000,151.78822,144.44236
2026-05-25T14:00:00.000000000,157.78132,146.59821
2026-05-25T15:00:00.000000000,174.13565,147.96076
2026-05-25T16:00:00.000000000,168.29104,145.63787
2026-05-25T17:00:00.000000000,156.91964,140.42507
2026-05-25T18:00:00.000000000,168.26308,138.80461
2026-05-25T19:00:00.000000000,150.89411,140.08503
2026-05-25T20:00:00.000000000,166.81747,140.06382
2026-05-25T21:00:00.000000000,145.05468,144.69301
2026-05-25T22:00:00.000000000,135.1969,152.08779
2026-05-25T23:00:00.000000000,141.43975,159.6159
2026-05-26T00:00:00.000000000,144.25307,162.5043
2026-05-26T01:00:00.000000000,150.64649,171.26356
2026-05-26T02:00:00.000000000,152.56037,173.4866
2026-05-26T03:00:00.000000000,144.3,174.51242
2026-05-26T04:00:00.000000000,142.36739,176.09073
2026-05-26T05:00:00.000000000,152.6508,171.48625
2026-05-26T06:00:00.000000000,141.5587,165.21215
2026-05-26T07:00:00.000000000,120.81134,161.66772
2026-05-26T08:00:00.000000000,120.81134,156.10953
2026-05-26T09:00:00.000000000,157.8132,152.18899
2026-05-26T10:00:00.000000000,155.92255,150.4471
2026-05-26T11:00:00.000000000,150.45589,143.27357
2026-05-26T12:00:00.000000000,153.02098,144.36016
2026-05-26T13:00:00.000000000,151.78822,145.29063
2026-05-26T14:00:00.000000000,157.78132,147.45818
2026-05-26T15:00:00.000000000,174.13565,148.94029
2026-05-26T16:00:00.000000000,168.29104,146.58639
2026-05-26T17:00:00.000000000,156.91964,141.5104
2026-05-26T18:00:00.000000000,168.26308,139.86594
2026-05-26T19:00:00.000000000,150.89411,141.12586
2026-05-26T20:00:00.000000000,166.81747,141.07732
2026-05-26T21:00:00.000000000,145.05468,145.63924
2026-05-26T22:00:00.000000000,135.1969,153.20001
