datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,232.38235,210.33228
2026-05-22T01:00:00.000000000,237.52496,203.4606
2026-05-22T02:00:00.000000000,228.41639,204.1949
2026-05-22T03:00:00.000000000,254.40652,206.41219
2026-05-22T04:00:00.000000000,265.73473,210.47212
2026-05-22T05:00:00.000000000,272.8515,208.22739
2026-05-22T06:00:00.000000000,325.41513,208.23199
2026-05-22T07:00:00.000000000,324.09717,205.78795
2026-05-22T08:00:00.000000000,314.15545,209.71013
2026-05-22T09:00:00.000000000,315.32044,212.22817
2026-05-22T10:00:00.000000000,289.33873,210.4712
2026-05-22T11:00:00.000000000,296.58706,207.00607
2026-05-22T12:00:00.000000000,292.56214,207.03272
2026-05-22T13:00:00.000000000,292.21983,206.22035
2026-05-22T14:00:00.000000000,297.39983,203.67103
2026-05-22T15:00:00.000000000,289.21319,204.55936
2026-05-22T16:00:00.000000000,302.15977,210.54343
2026-05-22T17:00:00.000000000,294.74677,213.89281
2026-05-22T18:00:00.000000000,309.61075,218.25241
2026-05-22T19:00:00.000000000,314.33895,220.56681
2026-05-22T20:00:00.000000000,243.02232,218.42452
2026-05-22T21:00:00.000000000,226.27022,215.97851
2026-05-22T22:00:00.000000000,201.91886,214.75029
2026-05-22T23:00:00.000000000,201.25421,215.49774
2026-05-23T00:00:00.000000000,226.55813,210.48715
2026-05-23T01:00:00.000000000,211.92715,203.60375
2026-05-23T02:00:00.000000000,222.05484,204.3242
2026-05-23T03:00:00.000000000,261.35938,206.51948
2026-05-23T04:00:00.000000000,253.54021,210.55989
2026-05-23T05:00:00.000000000,240.64275,208.30283
2026-05-23T06:00:00.000000000,256.98496,208.29124
2026-05-23T07:00:00.000000000,249.87065,205.83324
2026-05-23T08:00:00.000000000,211.05216,209.74571
2026-05-23T09:00:00.000000000,241.12289,212.25615
2026-05-23T10:00:00.000000000,266.45285,210.50044
2026-05-23T11:00:00.000000000,269.76013,207.03645
2026-05-23T12:00:00.000000000,286.94755,207.05789
2026-05-23T13:00:00.000000000,302.72897,206.23759
2026-05-23T14:00:00.000000000,270.08346,203.68481
2026-05-23T15:00:00.000000000,259.3496,204.56638
2026-05-23T16:00:00.000000000,249.47603,210.55061
2026-05-23T17:00:00.000000000,228.15982,213.90478
2026-05-23T18:00:00.000000000,254.58224,218.28356
2026-05-23T19:00:00.000000000,280.47691,220.61351
2026-05-23T20:00:00.000000000,259.98794,218.49241
2026-05-23T21:00:00.000000000,299.58317,216.06617
2026-05-23T22:00:00.000000000,277.42883,214.85668
2026-05-23T23:00:00.000000000,239.71407,215.61996
2026-05-24T00:00:00.000000000,195.02956,200.16051
2026-05-24T01:00:00.000000000,195.14545,192.26986
2026-05-24T02:00:00.000000000,193.57924,191.73605
2026-05-24T03:00:00.000000000,198.26221,193.21901
2026-05-24T04:00:00.000000000,196.99613,197.49093
2026-05-24T05:00:00.000000000,199.36025,195.5819
2026-05-24T06:00:00.000000000,202.92954,196.74031
2026-05-24T07:00:00.000000000,208.13206,196.21542
2026-05-24T08:00:00.000000000,203.54247,202.20952
2026-05-24T09:00:00.000000000,202.73973,206.83153
2026-05-24T10:00:00.000000000,203.86544,205.9448
2026-05-24T11:00:00.000000000,192.925,203.12432
2026-05-24T12:00:00.000000000,201.79116,203.6931
2026-05-24T13:00:00.000000000,239.2194,203.27016
2026-05-24T14:00:00.000000000,226.51382,200.70379
2026-05-24T15:00:00.000000000,295.8987,201.9858
2026-05-24T16:00:00.000000000,343.84553,208.15461
2026-05-24T17:00:00.000000000,304.90254,211.64049
2026-05-24T18:00:00.000000000,314.95407,215.52892
2026-05-24T19:00:00.000000000,305.61048,217.70928
2026-05-24T20:00:00.000000000,307.15309,214.1352
2026-05-24T21:00:00.000000000,307.00584,210.2637
2026-05-24T22:00:00.000000000,305.57237,207.39729
2026-05-24T23:00:00.000000000,309.7,206.78507
2026-05-25T00:00:00.000000000,246.84235,192.70329
2026-05-25T01:00:00.000000000,211.54789,182.91379
2026-05-25T02:00:00.000000000,217.60867,180.36887
2026-05-25T03:00:00.000000000,183.43305,181.00954
2026-05-25T04:00:00.000000000,196.76583,185.06676
2026-05-25T05:00:00.000000000,195.50542,182.50868
2026-05-25T06:00:00.000000000,201.39067,184.14048
2026-05-25T07:00:00.000000000,201.1328,185.23567
2026-05-25T08:00:00.000000000,220.4076,192.90275
2026-05-25T09:00:00.000000000,222.72318,199.21601
2026-05-25T10:00:00.000000000,220.37813,199.86879
2026-05-25T11:00:00.000000000,213.45738,199.81551
2026-05-25T12:00:00.000000000,216.68886,202.82243
2026-05-25T13:00:00.000000000,215.17111,204.8942
2026-05-25T14:00:00.000000000,222.98231,204.70752
2026-05-25T15:00:00.000000000,245.17535,207.08349
2026-05-25T16:00:00.000000000,238.98176,213.5495
2026-05-25T17:00:00.000000000,225.97768,216.98948
2026-05-25T18:00:00.000000000,241.27635,219.20548
2026-05-25T19:00:00.000000000,219.29804,220.69073
2026-05-25T20:00:00.000000000,240.22621,215.3766
2026-05-25T21:00:00.000000000,211.9255,209.61024
2026-05-25T22:00:00.000000000,198.81666,204.76598
2026-05-25T23:00:00.000000000,206.93669,202.09505
2026-05-26T00:00:00.000000000,210.03138,200.70013
2026-05-26T01:00:00.000000000,217.14168,191.83023
2026-05-26T02:00:00.000000000,218.40625,190.41663
2026-05-26T03:00:00.000000000,206.3,191.34183
2026-05-26T04:00:00.000000000,203.28815,195.427
2026-05-26T05:00:00.000000000,216.2252,193.27856
2026-05-26T06:00:00.000000000,202.28745,194.31424
2026-05-26T07:00:00.000000000,176.11957,194.00833
2026-05-26T08:00:00.000000000,176.11957,200.04467
2026-05-26T09:00:00.000000000,222.72318,204.73171
2026-05-26T10:00:00.000000000,220.37813,204.09321
2026-05-26T11:00:00.000000000,213.45738,202.10036
2026-05-26T12:00:00.000000000,216.68886,203.39723
2026-05-26T13:00:00.000000000,215.17111,203.84
2026-05-26T14:00:00.000000000,222.98231,202.42024
2026-05-26T15:00:00.000000000,245.17535,204.54868
2026-05-26T16:00:00.000000000,238.98176,211.59492
2026-05-26T17:00:00.000000000,225.97768,215.75534
2026-05-26T18:00:00.000000000,241.27635,219.62054
2026-05-26T19:00:00.000000000,219.29804,221.78099
2026-05-26T20:00:00.000000000,240.22621,217.65716
2026-05-26T21:00:00.000000000,211.9255,213.11544
2026-05-26T22:00:00.000000000,198.81666,209.64806
2026-05-26T23:00:00.000000000,206.93669,208.02974
2026-05-27T00:00:00.000000000,210.03138,209.31069
2026-05-27T01:00:00.000000000,217.14168,202.12249
2026-05-27T02:00:00.000000000,218.40625,202.49002
2026-05-27T03:00:00.000000000,206.3,204.39104
2026-05-27T04:00:00.000000000,203.28815,208.38578
2026-05-27T05:00:00.000000000,216.2252,206.17505
2026-05-27T06:00:00.000000000,202.28745,206.34355
2026-05-27T07:00:00.000000000,176.11957,204.22546
2026-05-27T08:00:00.000000000,272.36863,208.49748
2026-05-27T09:00:00.000000000,276.81092,211.38317
2026-05-27T10:00:00.000000000,286.32544,209.77436
2026-05-27T11:00:00.000000000,299.09415,206.38321
2026-05-27T12:00:00.000000000,302.38466,206.41934
2026-05-27T13:00:00.000000000,284.84831,205.58075
2026-05-27T14:00:00.000000000,284.40012,202.96185
2026-05-27T15:00:00.000000000,259.86339,203.91785
