datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T04:00:00.000000000,112.88292,132.31433
2026-05-20T05:00:00.000000000,114.24818,132.85708
2026-05-20T06:00:00.000000000,108.52279,131.3369
2026-05-20T07:00:00.000000000,96.20873,124.77905
2026-05-20T08:00:00.000000000,84.77253,114.25553
2026-05-20T09:00:00.000000000,76.84275,101.20593
2026-05-20T10:00:00.000000000,59.00377,87.56208
2026-05-20T11:00:00.000000000,48.66819,72.82987
2026-05-20T12:00:00.000000000,43.89679,61.22889
2026-05-20T13:00:00.000000000,41.0672,56.00733
2026-05-20T14:00:00.000000000,39.51548,56.92779
2026-05-20T15:00:00.000000000,40.99134,61.19612
2026-05-20T16:00:00.000000000,47.4089,72.78816
2026-05-20T17:00:00.000000000,65.20651,90.31223
2026-05-20T18:00:00.000000000,94.20585,104.15719
2026-05-20T19:00:00.000000000,119.25552,118.71356
2026-05-20T20:00:00.000000000,132.72996,129.21753
2026-05-20T21:00:00.000000000,144.9378,134.68086
2026-05-20T22:00:00.000000000,152.514,136.29523
2026-05-20T23:00:00.000000000,161.59072,136.54527
2026-05-21T00:00:00.000000000,174.5714,135.03742
2026-05-21T01:00:00.000000000,188.60781,131.36549
2026-05-21T02:00:00.000000000,203.49255,128.9562
2026-05-21T03:00:00.000000000,225.00194,130.52567
2026-05-21T04:00:00.000000000,235.40817,158.18903
2026-05-21T05:00:00.000000000,243.6772,157.43206
2026-05-21T06:00:00.000000000,214.38356,154.59125
2026-05-21T07:00:00.000000000,177.49741,146.74894
2026-05-21T08:00:00.000000000,144.83582,134.52839
2026-05-21T09:00:00.000000000,102.26057,118.56858
2026-05-21T10:00:00.000000000,60.63267,101.47021
2026-05-21T11:00:00.000000000,54.79619,82.94019
2026-05-21T12:00:00.000000000,52.26896,68.15986
2026-05-21T13:00:00.000000000,48.69699,61.36118
2026-05-21T14:00:00.000000000,51.84921,62.24298
2026-05-21T15:00:00.000000000,58.42508,68.3045
2026-05-21T16:00:00.000000000,72.92248,82.43502
2026-05-21T17:00:00.000000000,119.99558,102.13167
2026-05-21T18:00:00.000000000,179.66945,118.42234
2026-05-21T19:00:00.000000000,230.01083,135.86136
2026-05-21T20:00:00.000000000,260.11322,149.08768
2026-05-21T21:00:00.000000000,273.44476,156.5443
2026-05-21T22:00:00.000000000,284.17503,159.13543
2026-05-21T23:00:00.000000000,314.4974,159.54221
2026-05-22T00:00:00.000000000,325.23513,158.19997
2026-05-22T01:00:00.000000000,325.86517,153.73716
2026-05-22T02:00:00.000000000,315.56749,150.39777
2026-05-22T03:00:00.000000000,299.04397,150.29468
2026-05-22T04:00:00.000000000,279.93655,182.86752
2026-05-22T05:00:00.000000000,274.6114,180.99699
2026-05-22T06:00:00.000000000,244.00843,176.04662
2026-05-22T07:00:00.000000000,201.74752,165.23308
2026-05-22T08:00:00.000000000,152.27323,149.59355
2026-05-22T09:00:00.000000000,85.76735,129.8079
2026-05-22T10:00:00.000000000,59.76939,109.83445
2026-05-22T11:00:00.000000000,47.76281,89.30313
2026-05-22T12:00:00.000000000,38.97942,74.02855
2026-05-22T13:00:00.000000000,40.48251,67.62689
2026-05-22T14:00:00.000000000,43.36149,69.41173
2026-05-22T15:00:00.000000000,46.80625,76.98779
2026-05-22T16:00:00.000000000,54.99209,93.09739
2026-05-22T17:00:00.000000000,81.0038,114.33455
2026-05-22T18:00:00.000000000,156.30532,131.95869
2026-05-22T19:00:00.000000000,217.23123,151.14712
2026-05-22T20:00:00.000000000,248.94487,165.94311
2026-05-22T21:00:00.000000000,275.5881,174.5302
2026-05-22T22:00:00.000000000,285.04161,177.75774
2026-05-22T23:00:00.000000000,322.40042,178.30905
2026-05-23T00:00:00.000000000,326.61954,177.4477
2026-05-23T01:00:00.000000000,326.67607,172.99467
2026-05-23T02:00:00.000000000,308.99831,169.69894
2026-05-23T03:00:00.000000000,296.1155,169.5796
2026-05-23T04:00:00.000000000,275.25697,196.22572
2026-05-23T05:00:00.000000000,235.30318,193.22317
2026-05-23T06:00:00.000000000,193.85683,186.35284
2026-05-23T07:00:00.000000000,146.19277,172.92325
2026-05-23T08:00:00.000000000,98.27682,154.54194
2026-05-23T09:00:00.000000000,73.99482,132.37514
2026-05-23T10:00:00.000000000,56.46234,111.09849
2026-05-23T11:00:00.000000000,47.29804,90.0124
2026-05-23T12:00:00.000000000,45.50432,74.98924
2026-05-23T13:00:00.000000000,45.49388,69.02463
2026-05-23T14:00:00.000000000,44.51619,71.25725
2026-05-23T15:00:00.000000000,48.2533,79.3867
2026-05-23T16:00:00.000000000,55.89202,96.4814
2026-05-23T17:00:00.000000000,83.24865,118.77621
2026-05-23T18:00:00.000000000,147.89142,137.58933
2026-05-23T19:00:00.000000000,195.2998,158.37295
2026-05-23T20:00:00.000000000,226.91286,174.64722
2026-05-23T21:00:00.000000000,246.09499,184.36066
2026-05-23T22:00:00.000000000,244.99745,188.22383
2026-05-23T23:00:00.000000000,287.58057,189.06823
2026-05-24T00:00:00.000000000,296.14993,188.57373
2026-05-24T01:00:00.000000000,298.81322,184.29107
2026-05-24T02:00:00.000000000,299.29609,180.98092
2026-05-24T03:00:00.000000000,297.59288,180.88151
2026-05-24T04:00:00.000000000,295.2831,205.1095
2026-05-24T05:00:00.000000000,286.69371,201.18928
2026-05-24T06:00:00.000000000,222.82932,193.20928
2026-05-24T07:00:00.000000000,149.60044,178.5229
2026-05-24T08:00:00.000000000,104.64915,158.94414
2026-05-24T09:00:00.000000000,73.54216,135.64522
2026-05-24T10:00:00.000000000,57.16461,113.62948
2026-05-24T11:00:00.000000000,48.21351,92.05077
2026-05-24T12:00:00.000000000,44.23143,76.9065
2026-05-24T13:00:00.000000000,43.12278,70.97559
2026-05-24T14:00:00.000000000,43.64777,73.35061
2026-05-24T15:00:00.000000000,46.5841,81.8759
2026-05-24T16:00:00.000000000,54.41963,99.70842
2026-05-24T17:00:00.000000000,79.48054,122.70855
2026-05-24T18:00:00.000000000,130.44567,142.2691
2026-05-24T19:00:00.000000000,178.60581,164.01621
2026-05-24T20:00:00.000000000,201.70984,181.19541
2026-05-24T21:00:00.000000000,215.76345,191.63504
2026-05-24T22:00:00.000000000,212.2811,195.96966
2026-05-24T23:00:00.000000000,238.34981,196.98742
2026-05-25T00:00:00.000000000,254.5303,196.60129
2026-05-25T01:00:00.000000000,258.1342,192.17044
2026-05-25T02:00:00.000000000,263.63147,188.57286
2026-05-25T03:00:00.000000000,266.60017,188.09421
2026-05-25T04:00:00.000000000,273.69285,212.35903
2026-05-25T05:00:00.000000000,282.43714,207.24822
2026-05-25T06:00:00.000000000,266.41228,197.38083
2026-05-25T07:00:00.000000000,194.52562,180.46073
2026-05-25T08:00:00.000000000,110.20033,158.87484
2026-05-25T09:00:00.000000000,72.743,134.27222
2026-05-25T10:00:00.000000000,55.40649,111.97853
2026-05-25T11:00:00.000000000,46.11452,90.78986
2026-05-25T12:00:00.000000000,41.62011,76.49415
2026-05-25T13:00:00.000000000,40.10784,71.39745
2026-05-25T14:00:00.000000000,40.32177,74.47598
2026-05-25T15:00:00.000000000,43.12811,83.70309
2026-05-25T16:00:00.000000000,51.54093,102.48345
2026-05-25T17:00:00.000000000,73.84311,126.44557
2026-05-25T18:00:00.000000000,108.01344,146.80885
2026-05-25T19:00:00.000000000,173.23162,169.28089
2026-05-25T20:00:00.000000000,208.10402,186.80993
2026-05-25T21:00:00.000000000,247.04472,197.31307
2026-05-25T22:00:00.000000000,258.14389,201.47578
2026-05-25T23:00:00.000000000,276.79628,202.38328
2026-05-26T00:00:00.000000000,279.67918,202.19795
2026-05-26T01:00:00.000000000,274.62534,198.04148
2026-05-26T02:00:00.000000000,267.53748,194.6066
2026-05-26T03:00:00.000000000,263.49543,194.17781
2026-05-26T04:00:00.000000000,267.85068,221.98386
2026-05-26T05:00:00.000000000,270.01248,216.07818
2026-05-26T06:00:00.000000000,203.8739,204.76967
2026-05-26T07:00:00.000000000,178.35094,185.9001
2026-05-26T08:00:00.000000000,119.85999,162.26526
2026-05-26T09:00:00.000000000,81.69575,135.9209
2026-05-26T10:00:00.000000000,60.4697,112.62263
2026-05-26T11:00:00.000000000,44.26742,90.92625
2026-05-26T12:00:00.000000000,37.1968,76.56951
2026-05-26T13:00:00.000000000,35.87877,71.53113
2026-05-26T14:00:00.000000000,36.93011,74.72341
2026-05-26T15:00:00.000000000,42.22225,84.29365
2026-05-26T16:00:00.000000000,49.43303,103.76786
2026-05-26T17:00:00.000000000,79.78646,128.56273
2026-05-26T18:00:00.000000000,138.44375,149.98618
2026-05-26T19:00:00.000000000,210.96976,173.88993
2026-05-26T20:00:00.000000000,247.32229,192.82137
2026-05-26T21:00:00.000000000,277.13425,204.42892
2026-05-26T22:00:00.000000000,294.04992,209.19909
2026-05-26T23:00:00.000000000,300.49253,210.35762
2026-05-27T00:00:00.000000000,268.2934,210.44079
2026-05-27T01:00:00.000000000,260.29725,206.40481
2026-05-27T02:00:00.000000000,245.47179,202.95034
2026-05-27T03:00:00.000000000,241.5445,202.46569
2026-05-21T04:00:00.000000000,235.40817,241.51223
2026-05-21T05:00:00.000000000,243.6772,236.97199
2026-05-21T06:00:00.000000000,214.38356,224.82875
2026-05-21T07:00:00.000000000,177.49741,203.81837
2026-05-21T08:00:00.000000000,144.83582,176.68673
2026-05-21T09:00:00.000000000,102.26057,146.09356
2026-05-21T10:00:00.000000000,60.63267,119.02683
2026-05-21T11:00:00.000000000,54.79619,94.05365
2026-05-21T12:00:00.000000000,52.26896,76.88741
2026-05-21T13:00:00.000000000,48.69699,69.925
2026-05-21T14:00:00.000000000,51.84921,72.66404
2026-05-21T15:00:00.000000000,58.42508,84.07554
2026-05-21T16:00:00.000000000,72.92248,105.61508
2026-05-21T17:00:00.000000000,119.99558,131.83784
2026-05-21T18:00:00.000000000,179.66945,154.29868
2026-05-21T19:00:00.000000000,230.01083,179.35679
2026-05-21T20:00:00.000000000,260.11322,199.59478
2026-05-21T21:00:00.000000000,273.44476,212.32672
2026-05-21T22:00:00.000000000,284.17503,217.59931
2026-05-21T23:00:00.000000000,314.4974,218.34628
2026-05-22T00:00:00.000000000,325.23513,218.62408
2026-05-22T01:00:00.000000000,325.86517,214.73871
2026-05-22T02:00:00.000000000,315.56749,212.47195
2026-05-22T03:00:00.000000000,299.04397,213.4197
2026-05-22T04:00:00.000000000,279.93655,236.94501
2026-05-22T05:00:00.000000000,274.6114,229.42985
2026-05-22T06:00:00.000000000,244.00843,216.22575
2026-05-22T07:00:00.000000000,201.74752,195.14769
2026-05-22T08:00:00.000000000,152.27323,169.2816
2026-05-22T09:00:00.000000000,85.76735,140.92497
2026-05-22T10:00:00.000000000,59.76939,116.28105
2026-05-22T11:00:00.000000000,47.76281,93.72523
2026-05-22T12:00:00.000000000,38.97942,79.11985
2026-05-22T13:00:00.000000000,40.48251,74.19542
2026-05-22T14:00:00.000000000,43.36149,77.71762
2026-05-22T15:00:00.000000000,46.80625,88.01731
2026-05-22T16:00:00.000000000,54.99209,108.70979
2026-05-22T17:00:00.000000000,81.0038,134.69385
2026-05-22T18:00:00.000000000,156.30532,157.42113
2026-05-22T19:00:00.000000000,217.23123,183.03453
2026-05-22T20:00:00.000000000,248.94487,203.62167
2026-05-22T21:00:00.000000000,275.5881,216.59048
2026-05-22T22:00:00.000000000,285.04161,222.24487
2026-05-22T23:00:00.000000000,322.40042,224.02939
2026-05-23T00:00:00.000000000,326.61954,224.63251
2026-05-23T01:00:00.000000000,326.67607,220.66696
2026-05-23T02:00:00.000000000,308.99831,216.83638
2026-05-23T03:00:00.000000000,296.1155,215.66278
2026-05-23T04:00:00.000000000,275.25697,237.81837
2026-05-23T05:00:00.000000000,235.30318,229.78718
2026-05-23T06:00:00.000000000,193.85683,215.7199
2026-05-23T07:00:00.000000000,146.19277,193.56695
2026-05-23T08:00:00.000000000,98.27682,166.70941
2026-05-23T09:00:00.000000000,73.99482,137.81576
2026-05-23T10:00:00.000000000,56.46234,113.18656
2026-05-23T11:00:00.000000000,47.29804,90.91133
2026-05-23T12:00:00.000000000,45.50432,76.74979
2026-05-23T13:00:00.000000000,45.49388,72.37725
2026-05-23T14:00:00.000000000,44.51619,76.456
2026-05-23T15:00:00.000000000,48.2533,87.21187
2026-05-23T16:00:00.000000000,55.89202,108.4083
2026-05-23T17:00:00.000000000,83.24865,135.07635
2026-05-23T18:00:00.000000000,147.89142,158.33539
2026-05-23T19:00:00.000000000,195.2998,184.27268
2026-05-23T20:00:00.000000000,226.91286,204.87233
2026-05-23T21:00:00.000000000,246.09499,217.63586
2026-05-23T22:00:00.000000000,244.99745,222.92816
2026-05-23T23:00:00.000000000,287.58057,224.61414
2026-05-24T00:00:00.000000000,296.14993,225.3874
2026-05-24T01:00:00.000000000,298.81322,221.76966
2026-05-24T02:00:00.000000000,299.29609,218.19338
2026-05-24T03:00:00.000000000,297.59288,217.17054
2026-05-24T04:00:00.000000000,295.2831,239.04775
2026-05-24T05:00:00.000000000,286.69371,230.59301
2026-05-24T06:00:00.000000000,222.82932,216.14835
2026-05-24T07:00:00.000000000,149.60044,193.75359
2026-05-24T08:00:00.000000000,104.64915,166.8663
2026-05-24T09:00:00.000000000,73.54216,138.07343
2026-05-24T10:00:00.000000000,57.16461,113.63407
2026-05-24T11:00:00.000000000,48.21351,91.59121
2026-05-24T12:00:00.000000000,44.23143,77.68355
2026-05-24T13:00:00.000000000,43.12278,73.46656
2026-05-24T14:00:00.000000000,43.64777,77.60742
2026-05-24T15:00:00.000000000,46.5841,88.40466
2026-05-24T16:00:00.000000000,54.41963,109.72538
2026-05-24T17:00:00.000000000,79.48054,136.4525
2026-05-24T18:00:00.000000000,130.44567,159.74981
2026-05-24T19:00:00.000000000,178.60581,185.71283
2026-05-24T20:00:00.000000000,201.70984,206.28018
2026-05-24T21:00:00.000000000,215.76345,219.01495
2026-05-24T22:00:00.000000000,212.2811,224.31528
2026-05-24T23:00:00.000000000,238.34981,225.95595
2026-05-25T00:00:00.000000000,254.5303,226.66424
2026-05-25T01:00:00.000000000,258.1342,222.93424
2026-05-25T02:00:00.000000000,263.63147,219.19903
2026-05-25T03:00:00.000000000,266.60017,217.96074
2026-05-25T04:00:00.000000000,273.69285,240.80588
2026-05-25T05:00:00.000000000,282.43714,231.52398
2026-05-25T06:00:00.000000000,266.41228,215.86394
2026-05-25T07:00:00.000000000,194.52562,192.17981
2026-05-25T08:00:00.000000000,110.20033,164.33424
2026-05-25T09:00:00.000000000,72.743,135.20667
2026-05-25T10:00:00.000000000,55.40649,111.08745
