datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T04:00:00.000000000,174.77012,191.25928
2026-05-20T05:00:00.000000000,176.32183,194.93893
2026-05-20T06:00:00.000000000,168.97455,192.89554
2026-05-20T07:00:00.000000000,153.60151,185.49833
2026-05-20T08:00:00.000000000,141.79064,169.41776
2026-05-20T09:00:00.000000000,131.70346,151.1946
2026-05-20T10:00:00.000000000,110.21155,133.17237
2026-05-20T11:00:00.000000000,97.93718,117.44412
2026-05-20T12:00:00.000000000,93.76954,103.32307
2026-05-20T13:00:00.000000000,89.89886,96.41825
2026-05-20T14:00:00.000000000,87.54658,95.72198
2026-05-20T15:00:00.000000000,89.01872,99.669
2026-05-20T16:00:00.000000000,95.55909,110.51523
2026-05-20T17:00:00.000000000,117.59482,130.58149
2026-05-20T18:00:00.000000000,154.08574,152.33214
2026-05-20T19:00:00.000000000,184.48085,175.39601
2026-05-20T20:00:00.000000000,200.40141,197.44039
2026-05-20T21:00:00.000000000,216.11425,213.08055
2026-05-20T22:00:00.000000000,226.58756,218.29245
2026-05-20T23:00:00.000000000,238.7642,219.31998
2026-05-21T00:00:00.000000000,256.81904,218.62615
2026-05-21T01:00:00.000000000,276.71501,213.56215
2026-05-21T02:00:00.000000000,297.73706,207.57107
2026-05-21T03:00:00.000000000,329.06972,199.56632
2026-05-21T04:00:00.000000000,343.2614,218.84858
2026-05-21T05:00:00.000000000,354.43077,221.56791
2026-05-21T06:00:00.000000000,315.59769,217.53689
2026-05-21T07:00:00.000000000,269.19904,205.80462
2026-05-21T08:00:00.000000000,228.89599,183.60434
2026-05-21T09:00:00.000000000,176.36583,160.47872
2026-05-21T10:00:00.000000000,125.24708,138.67948
2026-05-21T11:00:00.000000000,118.15857,120.71392
2026-05-21T12:00:00.000000000,115.28733,104.5779
2026-05-21T13:00:00.000000000,110.48079,96.85175
2026-05-21T14:00:00.000000000,115.37279,96.14575
2026-05-21T15:00:00.000000000,123.97344,101.26007
2026-05-21T16:00:00.000000000,142.71263,114.84068
2026-05-21T17:00:00.000000000,200.89566,138.49606
2026-05-21T18:00:00.000000000,273.95036,163.46374
2026-05-21T19:00:00.000000000,333.40481,189.80838
2026-05-21T20:00:00.000000000,368.38582,214.93661
2026-05-21T21:00:00.000000000,384.98854,232.69936
2026-05-21T22:00:00.000000000,398.86516,238.20617
2026-05-21T23:00:00.000000000,440.0918,239.20092
2026-05-22T00:00:00.000000000,457.2991,239.14152
2026-05-22T01:00:00.000000000,457.79495,234.01663
2026-05-22T02:00:00.000000000,443.69593,228.73329
2026-05-22T03:00:00.000000000,421.48034,220.96426
2026-05-22T04:00:00.000000000,396.81339,244.10893
2026-05-22T05:00:00.000000000,389.47056,246.17292
2026-05-22T06:00:00.000000000,350.31482,241.20013
2026-05-22T07:00:00.000000000,297.49396,226.68076
2026-05-22T08:00:00.000000000,238.19753,200.05065
2026-05-22T09:00:00.000000000,158.69811,173.213
2026-05-22T10:00:00.000000000,126.27841,148.175
2026-05-22T11:00:00.000000000,110.25761,127.99044
2026-05-22T12:00:00.000000000,99.09919,109.44844
2026-05-22T13:00:00.000000000,100.59841,100.02319
2026-05-22T14:00:00.000000000,104.18955,97.68408
2026-05-22T15:00:00.000000000,109.04979,101.52312
2026-05-22T16:00:00.000000000,120.09122,115.00321
2026-05-22T17:00:00.000000000,154.10896,139.76259
2026-05-22T18:00:00.000000000,246.11544,166.82103
2026-05-22T19:00:00.000000000,316.37563,196.61742
2026-05-22T20:00:00.000000000,353.79968,225.87715
2026-05-22T21:00:00.000000000,387.11149,247.24756
2026-05-22T22:00:00.000000000,399.81915,255.3788
2026-05-22T23:00:00.000000000,450.68665,258.31282
2026-05-23T00:00:00.000000000,460.6214,260.11063
2026-05-23T01:00:00.000000000,462.33781,254.94758
2026-05-23T02:00:00.000000000,444.90216,249.68105
2026-05-23T03:00:00.000000000,428.85869,241.22583
2026-05-23T04:00:00.000000000,403.45677,261.08592
2026-05-23T05:00:00.000000000,358.05401,262.57821
2026-05-23T06:00:00.000000000,300.87096,257.39801
2026-05-23T07:00:00.000000000,238.92225,241.82716
2026-05-23T08:00:00.000000000,175.73353,213.24226
2026-05-23T09:00:00.000000000,144.36882,184.54952
2026-05-23T10:00:00.000000000,121.19869,157.23477
2026-05-23T11:00:00.000000000,109.22584,134.58529
2026-05-23T12:00:00.000000000,106.3903,113.03737
2026-05-23T13:00:00.000000000,106.14368,101.25748
2026-05-23T14:00:00.000000000,105.50856,96.90997
2026-05-23T15:00:00.000000000,110.46817,99.21319
2026-05-23T16:00:00.000000000,120.94059,112.2356
2026-05-23T17:00:00.000000000,155.85063,137.62366
2026-05-23T18:00:00.000000000,236.06249,166.54973
2026-05-23T19:00:00.000000000,290.98899,199.60196
2026-05-23T20:00:00.000000000,328.64809,232.76295
2026-05-23T21:00:00.000000000,352.21055,257.52769
2026-05-23T22:00:00.000000000,350.65158,268.37278
2026-05-23T23:00:00.000000000,407.84638,273.06708
2026-05-24T00:00:00.000000000,422.94078,276.23681
2026-05-24T01:00:00.000000000,427.64152,270.49384
2026-05-24T02:00:00.000000000,431.30837,264.5382
2026-05-24T03:00:00.000000000,430.53992,254.87664
2026-05-24T04:00:00.000000000,428.32343,265.62619
2026-05-24T05:00:00.000000000,418.23937,265.40359
2026-05-24T06:00:00.000000000,346.1426,255.92812
2026-05-24T07:00:00.000000000,249.43064,234.4792
2026-05-24T08:00:00.000000000,190.17097,199.96951
2026-05-24T09:00:00.000000000,147.16067,168.86637
2026-05-24T10:00:00.000000000,124.45267,143.51499
2026-05-24T11:00:00.000000000,111.60373,126.22957
2026-05-24T12:00:00.000000000,105.93957,110.96042
2026-05-24T13:00:00.000000000,104.1842,104.73387
2026-05-24T14:00:00.000000000,104.42167,104.71039
