datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T05:00:00.000000000,169.47004,183.85736
2026-05-20T06:00:00.000000000,154.44327,176.03207
2026-05-20T07:00:00.000000000,134.88096,156.73891
2026-05-20T08:00:00.000000000,110.71905,131.39934
2026-05-20T09:00:00.000000000,93.46103,111.09655
2026-05-20T10:00:00.000000000,93.08806,99.09512
2026-05-20T11:00:00.000000000,90.98865,93.85351
2026-05-20T12:00:00.000000000,85.934,98.72655
2026-05-20T13:00:00.000000000,87.33189,100.12224
2026-05-20T14:00:00.000000000,88.00925,98.0377
2026-05-20T15:00:00.000000000,88.15897,95.98434
2026-05-20T16:00:00.000000000,88.9069,101.02636
2026-05-20T17:00:00.000000000,96.55112,108.14834
2026-05-20T18:00:00.000000000,112.01413,119.13157
2026-05-20T19:00:00.000000000,133.12505,125.73029
2026-05-20T20:00:00.000000000,102.91038,126.49234
2026-05-20T21:00:00.000000000,99.63671,130.22217
2026-05-20T22:00:00.000000000,111.4623,143.55728
2026-05-20T23:00:00.000000000,133.09172,164.19985
2026-05-21T00:00:00.000000000,176.53434,182.1104
2026-05-21T01:00:00.000000000,191.22491,190.16766
2026-05-21T02:00:00.000000000,190.47615,189.97672
2026-05-21T03:00:00.000000000,187.42142,185.00298
2026-05-21T04:00:00.000000000,186.11073,182.16696
2026-05-21T05:00:00.000000000,172.24337,177.59551
2026-05-21T06:00:00.000000000,153.36459,170.49918
2026-05-21T07:00:00.000000000,133.53537,152.69619
2026-05-21T08:00:00.000000000,112.03983,129.14814
2026-05-21T09:00:00.000000000,102.07431,110.0128
2026-05-21T10:00:00.000000000,97.61987,98.27328
2026-05-21T11:00:00.000000000,97.78716,93.09763
2026-05-21T12:00:00.000000000,98.40696,97.91018
2026-05-21T13:00:00.000000000,112.19784,99.78201
2026-05-21T14:00:00.000000000,120.31636,98.96855
2026-05-21T15:00:00.000000000,116.00058,97.83354
2026-05-21T16:00:00.000000000,104.38975,102.67713
2026-05-21T17:00:00.000000000,112.1031,109.00772
2026-05-21T18:00:00.000000000,126.0214,119.29551
2026-05-21T19:00:00.000000000,119.85152,125.81793
2026-05-21T20:00:00.000000000,105.62033,127.13263
2026-05-21T21:00:00.000000000,101.0928,130.9078
2026-05-21T22:00:00.000000000,115.37302,142.91596
2026-05-21T23:00:00.000000000,158.18971,160.94073
2026-05-22T00:00:00.000000000,195.97367,176.57958
2026-05-22T01:00:00.000000000,208.71236,183.63715
2026-05-22T02:00:00.000000000,215.17803,183.59506
2026-05-22T03:00:00.000000000,204.09662,178.93358
2026-05-22T04:00:00.000000000,206.24762,176.16954
2026-05-22T05:00:00.000000000,188.67231,173.40404
2026-05-22T06:00:00.000000000,169.52215,166.24954
2026-05-22T07:00:00.000000000,158.1898,149.17933
2026-05-22T08:00:00.000000000,149.38348,127.00303
2026-05-22T09:00:00.000000000,145.42558,109.31053
2026-05-22T10:00:00.000000000,148.67433,98.4558
2026-05-22T11:00:00.000000000,146.66204,93.63986
2026-05-22T12:00:00.000000000,159.60173,98.4075
2026-05-22T13:00:00.000000000,138.96348,100.38755
2026-05-22T14:00:00.000000000,128.89809,100.03869
2026-05-22T15:00:00.000000000,126.77959,99.23755
2026-05-22T16:00:00.000000000,112.47065,103.81162
2026-05-22T17:00:00.000000000,105.39069,109.61924
2026-05-22T18:00:00.000000000,112.00453,119.57021
2026-05-22T19:00:00.000000000,109.50128,126.21133
2026-05-22T20:00:00.000000000,92.64206,128.05954
2026-05-22T21:00:00.000000000,90.76496,132.13513
2026-05-22T22:00:00.000000000,95.87202,143.66674
2026-05-22T23:00:00.000000000,129.28704,160.33505
2026-05-23T00:00:00.000000000,167.07486,174.74214
2026-05-23T01:00:00.000000000,182.5813,181.00632
2026-05-23T02:00:00.000000000,185.43595,180.60882
2026-05-23T03:00:00.000000000,187.80952,175.64144
2026-05-23T04:00:00.000000000,182.70366,172.54278
2026-05-23T05:00:00.000000000,170.83817,167.88118
2026-05-23T06:00:00.000000000,146.85263,160.86008
2026-05-23T07:00:00.000000000,128.46787,146.64095
2026-05-23T08:00:00.000000000,110.3444,128.88965
2026-05-23T09:00:00.000000000,94.42827,114.41922
2026-05-23T10:00:00.000000000,125.59888,103.96514
2026-05-23T11:00:00.000000000,127.76564,98.44807
