datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T05:00:00.000000000,202.13109,204.1548
2026-05-20T06:00:00.000000000,187.06686,190.96292
2026-05-20T07:00:00.000000000,169.51497,174.85889
2026-05-20T08:00:00.000000000,146.81019,160.68478
2026-05-20T09:00:00.000000000,131.36411,149.72832
2026-05-20T10:00:00.000000000,132.32914,143.09219
2026-05-20T11:00:00.000000000,130.54357,140.73323
2026-05-20T12:00:00.000000000,125.46792,140.34852
2026-05-20T13:00:00.000000000,126.77048,140.7908
2026-05-20T14:00:00.000000000,127.63968,142.8499
2026-05-20T15:00:00.000000000,127.7609,145.96438
2026-05-20T16:00:00.000000000,127.99719,150.55719
2026-05-20T17:00:00.000000000,133.92596,155.87732
2026-05-20T18:00:00.000000000,147.45212,160.77514
2026-05-20T19:00:00.000000000,168.0352,163.61042
2026-05-20T20:00:00.000000000,137.13338,167.5196
2026-05-20T21:00:00.000000000,134.05614,172.93743
2026-05-20T22:00:00.000000000,145.1544,181.06703
2026-05-20T23:00:00.000000000,165.89976,192.61307
2026-05-21T00:00:00.000000000,210.22579,204.6641
2026-05-21T01:00:00.000000000,224.44576,214.05348
2026-05-21T02:00:00.000000000,223.54922,218.76111
2026-05-21T03:00:00.000000000,220.2187,218.45404
2026-05-21T04:00:00.000000000,218.89989,213.66126
2026-05-21T05:00:00.000000000,204.34546,196.03344
2026-05-21T06:00:00.000000000,185.65772,184.35486
2026-05-21T07:00:00.000000000,167.49864,170.47499
2026-05-21T08:00:00.000000000,147.78535,158.62165
2026-05-21T09:00:00.000000000,138.95655,149.00383
2026-05-21T10:00:00.000000000,136.53129,142.08057
2026-05-21T11:00:00.000000000,137.00461,138.38816
2026-05-21T12:00:00.000000000,137.49267,136.69014
2026-05-21T13:00:00.000000000,151.12906,136.82775
2026-05-21T14:00:00.000000000,158.53067,139.52966
2026-05-21T15:00:00.000000000,154.22348,143.07113
2026-05-21T16:00:00.000000000,141.94698,146.97133
2026-05-21T17:00:00.000000000,147.83429,150.59493
2026-05-21T18:00:00.000000000,160.02877,154.31616
2026-05-21T19:00:00.000000000,152.63076,157.33928
2026-05-21T20:00:00.000000000,139.18823,162.1056
2026-05-21T21:00:00.000000000,135.71467,167.65279
2026-05-21T22:00:00.000000000,150.29336,174.30516
2026-05-21T23:00:00.000000000,193.42842,183.21352
2026-05-22T00:00:00.000000000,231.93907,192.76148
2026-05-22T01:00:00.000000000,244.98692,201.31048
2026-05-22T02:00:00.000000000,251.48981,206.7561
2026-05-22T03:00:00.000000000,239.95453,207.91364
2026-05-22T04:00:00.000000000,242.33848,204.417
2026-05-22T05:00:00.000000000,223.65674,190.7269
2026-05-22T06:00:00.000000000,203.66572,179.27595
2026-05-22T07:00:00.000000000,193.05272,166.01214
2026-05-22T08:00:00.000000000,184.98644,155.10243
2026-05-22T09:00:00.000000000,182.02802,146.44552
2026-05-22T10:00:00.000000000,186.34342,140.14208
2026-05-22T11:00:00.000000000,184.78644,136.55199
2026-05-22T12:00:00.000000000,197.66273,134.58535
2026-05-22T13:00:00.000000000,176.08877,134.44099
2026-05-22T14:00:00.000000000,165.72068,136.95355
2026-05-22T15:00:00.000000000,164.28269,140.52128
2026-05-22T16:00:00.000000000,150.08813,144.54827
2026-05-22T17:00:00.000000000,142.00768,148.20938
2026-05-22T18:00:00.000000000,147.51173,151.90064
2026-05-22T19:00:00.000000000,144.25755,154.85416
2026-05-22T20:00:00.000000000,126.90723,159.70925
2026-05-22T21:00:00.000000000,125.10255,165.32165
2026-05-22T22:00:00.000000000,129.8865,171.7297
2026-05-22T23:00:00.000000000,164.55284,179.85884
2026-05-23T00:00:00.000000000,203.73757,188.34201
2026-05-23T01:00:00.000000000,218.8775,196.31173
2026-05-23T02:00:00.000000000,221.64722,201.73413
2026-05-23T03:00:00.000000000,223.71898,203.12229
2026-05-23T04:00:00.000000000,218.33622,199.77791
2026-05-23T05:00:00.000000000,205.11635,188.47094
2026-05-23T06:00:00.000000000,180.60706,178.97658
2026-05-23T07:00:00.000000000,163.32376,168.04929
2026-05-23T08:00:00.000000000,146.74231,159.36991
2026-05-23T09:00:00.000000000,131.75226,151.7458
2026-05-23T10:00:00.000000000,163.82801,144.78146
2026-05-23T11:00:00.000000000,166.1498,139.35978
2026-05-23T12:00:00.000000000,168.68123,135.21975
2026-05-23T13:00:00.000000000,171.15976,133.33077
2026-05-23T14:00:00.000000000,177.45078,134.8044
