datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,9.69013,8.44427
2026-05-22T01:00:00.000000000,9.45358,8.36139
2026-05-22T02:00:00.000000000,8.56576,8.33118
2026-05-22T03:00:00.000000000,8.54036,8.239
2026-05-22T04:00:00.000000000,8.86182,8.26745
2026-05-22T05:00:00.000000000,9.7886,8.32947
2026-05-22T06:00:00.000000000,8.87117,8.63613
2026-05-22T07:00:00.000000000,9.39165,8.83887
2026-05-22T08:00:00.000000000,9.75301,9.03285
2026-05-22T09:00:00.000000000,10.51657,9.24185
2026-05-22T10:00:00.000000000,10.81291,9.49424
2026-05-22T11:00:00.000000000,10.7012,9.53434
2026-05-22T12:00:00.000000000,11.07093,9.4039
2026-05-22T13:00:00.000000000,10.31106,9.40565
2026-05-22T14:00:00.000000000,11.50225,9.33822
2026-05-22T15:00:00.000000000,11.27582,9.17786
2026-05-22T16:00:00.000000000,11.20182,8.90123
2026-05-22T17:00:00.000000000,11.25076,8.70707
2026-05-22T18:00:00.000000000,12.60024,8.60295
2026-05-22T19:00:00.000000000,20.34276,8.51996
2026-05-22T20:00:00.000000000,27.78863,8.42201
2026-05-22T21:00:00.000000000,32.25454,8.52052
2026-05-22T22:00:00.000000000,34.98238,8.75248
2026-05-22T23:00:00.000000000,29.98674,8.62536
2026-05-23T00:00:00.000000000,10.34841,8.44427
2026-05-23T01:00:00.000000000,9.19541,8.36139
2026-05-23T02:00:00.000000000,8.66256,8.33118
2026-05-23T03:00:00.000000000,8.46287,8.239
2026-05-23T04:00:00.000000000,8.71342,8.26745
2026-05-23T05:00:00.000000000,8.80033,8.32947
2026-05-23T06:00:00.000000000,8.58349,8.63613
2026-05-23T07:00:00.000000000,8.85504,8.83887
2026-05-23T08:00:00.000000000,9.27079,9.03285
2026-05-23T09:00:00.000000000,9.38238,9.24185
2026-05-23T10:00:00.000000000,9.6459,9.49424
2026-05-23T11:00:00.000000000,9.79406,9.53434
2026-05-23T12:00:00.000000000,9.37808,9.4039
2026-05-23T13:00:00.000000000,9.46078,9.40565
2026-05-23T14:00:00.000000000,11.19148,9.33822
2026-05-23T15:00:00.000000000,11.10028,9.17786
