datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,34.60831,35.95162
2026-05-22T01:00:00.000000000,34.31131,35.75205
2026-05-22T02:00:00.000000000,33.25676,35.62502
2026-05-22T03:00:00.000000000,32.91225,35.49479
2026-05-22T04:00:00.000000000,32.97843,35.26742
2026-05-22T05:00:00.000000000,33.98527,35.15865
2026-05-22T06:00:00.000000000,32.99898,35.11786
2026-05-22T07:00:00.000000000,33.54138,35.07352
2026-05-22T08:00:00.000000000,33.92812,35.30314
2026-05-22T09:00:00.000000000,34.74141,35.28892
2026-05-22T10:00:00.000000000,35.03327,35.48478
2026-05-22T11:00:00.000000000,34.86917,35.78681
2026-05-22T12:00:00.000000000,35.28955,36.11764
2026-05-22T13:00:00.000000000,34.56602,36.28687
2026-05-22T14:00:00.000000000,36.17701,36.39966
2026-05-22T15:00:00.000000000,36.51481,36.36142
2026-05-22T16:00:00.000000000,36.58612,36.59116
2026-05-22T17:00:00.000000000,36.72683,36.88172
2026-05-22T18:00:00.000000000,38.40816,37.03778
2026-05-22T19:00:00.000000000,48.16254,37.17843
2026-05-22T20:00:00.000000000,57.58105,37.08318
2026-05-22T21:00:00.000000000,63.1809,37.08634
2026-05-22T22:00:00.000000000,66.64923,37.14033
2026-05-22T23:00:00.000000000,60.39368,37.08501
2026-05-23T00:00:00.000000000,35.60818,37.63307
2026-05-23T01:00:00.000000000,34.20376,37.41813
2026-05-23T02:00:00.000000000,33.438,37.24885
2026-05-23T03:00:00.000000000,32.75355,37.10054
2026-05-23T04:00:00.000000000,32.74988,36.84436
2026-05-23T05:00:00.000000000,32.64987,36.7628
2026-05-23T06:00:00.000000000,32.45085,36.72365
2026-05-23T07:00:00.000000000,32.70502,36.69582
2026-05-23T08:00:00.000000000,32.99385,36.93872
2026-05-23T09:00:00.000000000,32.87366,36.94739
2026-05-23T10:00:00.000000000,32.99911,37.15087
2026-05-23T11:00:00.000000000,32.90415,37.5041
2026-05-23T12:00:00.000000000,32.15468,37.86535
2026-05-23T13:00:00.000000000,32.28464,38.04467
2026-05-23T14:00:00.000000000,34.45782,38.174
2026-05-23T15:00:00.000000000,35.07909,38.14487
2026-05-23T16:00:00.000000000,35.97788,38.39938
2026-05-23T17:00:00.000000000,35.27963,38.71891
2026-05-23T18:00:00.000000000,34.27059,38.87724
2026-05-23T19:00:00.000000000,34.33478,39.00545
2026-05-23T20:00:00.000000000,34.07093,38.90625
2026-05-23T21:00:00.000000000,33.3424,38.89838
2026-05-23T22:00:00.000000000,33.02608,38.96549
2026-05-23T23:00:00.000000000,32.40912,38.89544
2026-05-24T00:00:00.000000000,31.9281,39.28295
2026-05-24T01:00:00.000000000,31.57573,39.05489
2026-05-24T02:00:00.000000000,30.83025,38.84739
2026-05-24T03:00:00.000000000,30.77325,38.68293
2026-05-24T04:00:00.000000000,30.74266,38.40006
2026-05-24T05:00:00.000000000,30.96742,38.34656
2026-05-24T06:00:00.000000000,30.46734,38.31017
2026-05-24T07:00:00.000000000,28.9384,38.29986
2026-05-24T08:00:00.000000000,29.13611,38.55562
2026-05-24T09:00:00.000000000,29.12079,38.58453
2026-05-24T10:00:00.000000000,29.39343,38.79144
2026-05-24T11:00:00.000000000,29.61915,39.18899
2026-05-24T12:00:00.000000000,29.86997,39.57438
2026-05-24T13:00:00.000000000,30.29438,39.7595
2026-05-24T14:00:00.000000000,31.25291,39.90097
2026-05-24T15:00:00.000000000,31.89534,39.87812
2026-05-24T16:00:00.000000000,31.77624,40.15234
2026-05-24T17:00:00.000000000,31.68804,40.49693
2026-05-24T18:00:00.000000000,30.59218,40.6571
2026-05-24T19:00:00.000000000,31.22673,40.77389
2026-05-24T20:00:00.000000000,31.14566,40.67139
2026-05-24T21:00:00.000000000,31.90146,40.65208
2026-05-24T22:00:00.000000000,32.47029,40.7295
2026-05-24T23:00:00.000000000,31.79757,40.64395
2026-05-25T00:00:00.000000000,31.29493,40.8328
2026-05-25T01:00:00.000000000,30.78536,40.59429
2026-05-25T02:00:00.000000000,29.52266,40.35352
2026-05-25T03:00:00.000000000,29.42081,40.17492
2026-05-25T04:00:00.000000000,29.23852,39.86776
2026-05-25T05:00:00.000000000,29.36626,39.84099
2026-05-25T06:00:00.000000000,29.70798,39.8075
2026-05-25T07:00:00.000000000,29.97704,39.81421
2026-05-25T08:00:00.000000000,30.56321,40.08152
2026-05-25T09:00:00.000000000,30.39989,40.12735
2026-05-25T10:00:00.000000000,30.44893,40.33393
2026-05-25T11:00:00.000000000,30.82912,40.76805
2026-05-25T12:00:00.000000000,31.41736,41.1713
2026-05-25T13:00:00.000000000,31.81579,41.35839
2026-05-25T14:00:00.000000000,32.64604,41.50784
2026-05-25T15:00:00.000000000,33.28547,41.48862
2026-05-25T16:00:00.000000000,33.4492,41.77738
2026-05-25T17:00:00.000000000,32.95607,42.14255
2026-05-25T18:00:00.000000000,32.67027,42.30429
2026-05-25T19:00:00.000000000,31.92505,42.41138
2026-05-25T20:00:00.000000000,32.01754,42.30665
2026-05-25T21:00:00.000000000,31.19437,42.27653
2026-05-25T22:00:00.000000000,30.14823,42.3619
2026-05-25T23:00:00.000000000,29.06968,42.26141
2026-05-26T00:00:00.000000000,28.56239,42.67056
2026-05-26T01:00:00.000000000,28.22943,42.42217
2026-05-26T02:00:00.000000000,27.59808,42.1449
2026-05-26T03:00:00.000000000,27.92644,41.95034
2026-05-26T04:00:00.000000000,28.54588,41.61454
2026-05-26T05:00:00.000000000,28.7762,41.61883
2026-05-26T06:00:00.000000000,29.73479,41.58813
2026-05-26T07:00:00.000000000,31.31039,41.61486
2026-05-26T08:00:00.000000000,31.93792,41.89462
2026-05-26T09:00:00.000000000,32.70726,41.95774
2026-05-26T10:00:00.000000000,32.38776,42.15964
2026-05-26T11:00:00.000000000,31.69825,42.63111
2026-05-26T12:00:00.000000000,32.02645,43.04995
2026-05-26T13:00:00.000000000,32.16404,43.23537
2026-05-26T14:00:00.000000000,32.56092,43.39047
2026-05-26T15:00:00.000000000,31.84258,43.37293
2026-05-26T16:00:00.000000000,31.75035,43.67423
2026-05-26T17:00:00.000000000,32.33969,44.06026
2026-05-26T18:00:00.000000000,33.18607,44.22382
2026-05-26T19:00:00.000000000,33.55257,44.32108
2026-05-26T20:00:00.000000000,33.21426,44.21527
2026-05-26T21:00:00.000000000,33.49216,44.17287
2026-05-26T22:00:00.000000000,33.72065,44.26627
2026-05-26T23:00:00.000000000,33.95819,44.14834
2026-05-27T00:00:00.000000000,33.89717,44.53139
2026-05-27T01:00:00.000000000,34.05801,44.27599
2026-05-27T02:00:00.000000000,33.15243,43.96472
2026-05-27T03:00:00.000000000,32.665,43.75439
2026-05-27T04:00:00.000000000,32.93409,43.38879
2026-05-27T05:00:00.000000000,32.78606,43.42255
2026-05-27T06:00:00.000000000,31.90732,43.39279
2026-05-27T07:00:00.000000000,32.11281,43.43854
2026-05-27T08:00:00.000000000,32.27773,43.72882
2026-05-27T09:00:00.000000000,32.88618,43.8062
2026-05-27T10:00:00.000000000,32.88574,43.99879
2026-05-27T11:00:00.000000000,33.19026,44.50187
2026-05-27T12:00:00.000000000,32.51121,44.93085
2026-05-27T13:00:00.000000000,32.33056,45.11063
2026-05-27T14:00:00.000000000,32.56673,45.26783
2026-05-27T15:00:00.000000000,33.3397,45.24939
2026-05-27T16:00:00.000000000,33.81828,45.55859
2026-05-27T17:00:00.000000000,33.96959,45.96201
2026-05-27T18:00:00.000000000,34.29343,46.12763
2026-05-27T19:00:00.000000000,34.51558,46.21715
2026-05-27T20:00:00.000000000,34.12569,46.11246
2026-05-27T21:00:00.000000000,33.97123,46.05888
2026-05-27T22:00:00.000000000,33.68211,46.15983
2026-05-27T23:00:00.000000000,33.3579,46.02543
2026-05-28T00:00:00.000000000,32.81475,46.71528
2026-05-28T01:00:00.000000000,32.32018,46.45591
2026-05-28T02:00:00.000000000,31.68163,46.10809
2026-05-28T03:00:00.000000000,31.53735,45.87908
2026-05-28T04:00:00.000000000,31.20489,45.47619
2026-05-28T05:00:00.000000000,31.51387,45.54017
2026-05-28T06:00:00.000000000,31.21426,45.50736
2026-05-28T07:00:00.000000000,31.20473,45.57221
2026-05-28T08:00:00.000000000,30.67126,45.87113
2026-05-28T09:00:00.000000000,30.62273,45.96077
2026-05-28T10:00:00.000000000,30.48593,46.13679
2026-05-28T11:00:00.000000000,30.4394,46.66966
2026-05-28T12:00:00.000000000,30.20384,47.1041
2026-05-28T13:00:00.000000000,30.17752,47.27289
2026-05-28T14:00:00.000000000,31.58479,47.4288
2026-05-28T15:00:00.000000000,31.83167,47.40656
2026-05-28T16:00:00.000000000,32.39398,47.7195
2026-05-28T17:00:00.000000000,32.02397,48.13879
2026-05-28T18:00:00.000000000,30.55001,48.30734
2026-05-28T19:00:00.000000000,30.1262,48.39112
2026-05-28T20:00:00.000000000,29.87609,48.29127
2026-05-28T21:00:00.000000000,29.82777,48.22717
2026-05-28T22:00:00.000000000,29.482,48.33752
2026-05-28T23:00:00.000000000,29.03985,48.18658
2026-05-23T00:00:00.000000000,35.60818,61.91614
2026-05-23T01:00:00.000000000,34.20376,62.00765
2026-05-23T02:00:00.000000000,33.438,61.65769
2026-05-23T03:00:00.000000000,32.75355,61.40164
2026-05-23T04:00:00.000000000,32.74988,60.60476
2026-05-23T05:00:00.000000000,32.64987,60.55636
2026-05-23T06:00:00.000000000,32.45085,60.11686
2026-05-23T07:00:00.000000000,32.70502,59.88478
2026-05-23T08:00:00.000000000,32.99385,59.83424
2026-05-23T09:00:00.000000000,32.87366,59.64156
2026-05-23T10:00:00.000000000,32.99911,59.35088
2026-05-23T11:00:00.000000000,32.90415,59.71291
2026-05-23T12:00:00.000000000,32.15468,59.88815
2026-05-23T13:00:00.000000000,32.28464,59.80337
2026-05-23T14:00:00.000000000,34.45782,59.89552
2026-05-23T15:00:00.000000000,35.07909,59.81556
2026-05-23T16:00:00.000000000,35.97788,60.07601
2026-05-23T17:00:00.000000000,35.27963,60.53348
2026-05-23T18:00:00.000000000,34.27059,60.81459
2026-05-23T19:00:00.000000000,34.33478,61.06992
2026-05-23T20:00:00.000000000,34.07093,61.22568
2026-05-23T21:00:00.000000000,33.3424,61.30851
2026-05-23T22:00:00.000000000,33.02608,61.76097
2026-05-23T23:00:00.000000000,32.40912,61.8799
2026-05-24T00:00:00.000000000,31.9281,60.90818
2026-05-24T01:00:00.000000000,31.57573,60.95814
2026-05-24T02:00:00.000000000,30.83025,60.60233
2026-05-24T03:00:00.000000000,30.77325,60.35188
2026-05-24T04:00:00.000000000,30.74266,59.5977
2026-05-24T05:00:00.000000000,30.96742,59.58258
2026-05-24T06:00:00.000000000,30.46734,59.19583
2026-05-24T07:00:00.000000000,28.9384,59.0078
2026-05-24T08:00:00.000000000,29.13611,59.00039
2026-05-24T09:00:00.000000000,29.12079,58.84006
2026-05-24T10:00:00.000000000,29.39343,58.59102
2026-05-24T11:00:00.000000000,29.61915,58.97692
2026-05-24T12:00:00.000000000,29.86997,59.18081
2026-05-24T13:00:00.000000000,30.29438,59.11873
2026-05-24T14:00:00.000000000,31.25291,59.21721
2026-05-24T15:00:00.000000000,31.89534,59.14426
2026-05-24T16:00:00.000000000,31.77624,59.41536
2026-05-24T17:00:00.000000000,31.68804,59.87849
2026-05-24T18:00:00.000000000,30.59218,60.14924
2026-05-24T19:00:00.000000000,31.22673,60.3807
2026-05-24T20:00:00.000000000,31.14566,60.50245
2026-05-24T21:00:00.000000000,31.90146,60.55701
2026-05-24T22:00:00.000000000,32.47029,60.96556
2026-05-24T23:00:00.000000000,31.79757,61.04317
2026-05-25T00:00:00.000000000,31.29493,60.01933
2026-05-25T01:00:00.000000000,30.78536,60.03493
2026-05-25T02:00:00.000000000,29.52266,59.6745
2026-05-25T03:00:00.000000000,29.42081,59.42828
2026-05-25T04:00:00.000000000,29.23852,58.70942
