datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T01:00:00.000000000,20.47766,21.94774
2026-05-22T02:00:00.000000000,19.95443,21.92938
2026-05-22T03:00:00.000000000,19.37239,20.8911
2026-05-22T04:00:00.000000000,19.19929,23.49676
2026-05-22T05:00:00.000000000,20.1604,19.62006
2026-05-22T06:00:00.000000000,21.56488,19.95073
2026-05-22T07:00:00.000000000,23.30217,20.12753
2026-05-22T08:00:00.000000000,26.41897,19.46501
2026-05-22T09:00:00.000000000,29.5783,20.32179
2026-05-22T10:00:00.000000000,31.48616,23.30875
2026-05-22T11:00:00.000000000,32.55172,21.31086
2026-05-22T12:00:00.000000000,33.03312,23.60401
2026-05-22T13:00:00.000000000,33.09372,21.24184
2026-05-22T14:00:00.000000000,32.86942,21.33141
2026-05-22T15:00:00.000000000,32.20956,21.34004
2026-05-22T16:00:00.000000000,30.89433,22.371
2026-05-22T17:00:00.000000000,28.61796,23.17016
2026-05-22T18:00:00.000000000,25.38452,22.90815
2026-05-22T19:00:00.000000000,23.18223,26.28381
2026-05-22T20:00:00.000000000,22.02291,23.62655
2026-05-22T21:00:00.000000000,21.66344,22.94277
2026-05-22T22:00:00.000000000,21.51542,24.19551
2026-05-22T23:00:00.000000000,21.11292,23.0629
2026-05-23T00:00:00.000000000,20.80849,21.63
2026-05-23T01:00:00.000000000,20.33987,21.94774
2026-05-23T02:00:00.000000000,19.63264,21.92938
2026-05-23T03:00:00.000000000,19.46428,20.8911
2026-05-23T04:00:00.000000000,18.90648,23.49676
2026-05-23T05:00:00.000000000,18.88529,19.62006
2026-05-23T06:00:00.000000000,19.8981,19.95073
2026-05-23T07:00:00.000000000,22.87308,20.12753
2026-05-23T08:00:00.000000000,26.52602,19.46501
2026-05-23T09:00:00.000000000,29.4172,20.32179
2026-05-23T10:00:00.000000000,31.18357,23.30875
2026-05-23T11:00:00.000000000,32.27186,21.31086
2026-05-23T12:00:00.000000000,32.86011,23.60401
2026-05-23T13:00:00.000000000,32.9598,21.24184
2026-05-23T14:00:00.000000000,32.82156,21.33141
2026-05-23T15:00:00.000000000,32.15158,21.34004
2026-05-23T16:00:00.000000000,30.96334,22.371
2026-05-23T17:00:00.000000000,28.9258,23.17016
2026-05-23T18:00:00.000000000,25.61812,22.90815
2026-05-23T19:00:00.000000000,22.97624,26.28381
2026-05-23T20:00:00.000000000,21.68814,23.62655
2026-05-23T21:00:00.000000000,21.50587,22.94277
2026-05-23T22:00:00.000000000,21.46944,24.19551
2026-05-23T23:00:00.000000000,21.38071,23.0629
2026-05-24T00:00:00.000000000,21.28911,21.63
2026-05-24T01:00:00.000000000,20.77248,21.94774
2026-05-24T02:00:00.000000000,20.48191,21.92938
2026-05-24T03:00:00.000000000,19.63444,20.8911
2026-05-24T04:00:00.000000000,19.27572,23.49676
2026-05-24T05:00:00.000000000,19.09627,19.62006
2026-05-24T06:00:00.000000000,19.77095,19.95073
2026-05-24T07:00:00.000000000,22.86408,20.12753
2026-05-24T08:00:00.000000000,26.45409,19.46501
2026-05-24T09:00:00.000000000,29.29269,20.32179
2026-05-24T10:00:00.000000000,31.51664,23.30875
2026-05-24T11:00:00.000000000,32.52322,21.31086
2026-05-24T12:00:00.000000000,33.04074,23.60401
2026-05-24T13:00:00.000000000,33.11675,21.24184
2026-05-24T14:00:00.000000000,32.88567,21.33141
2026-05-24T15:00:00.000000000,32.28046,21.34004
2026-05-24T16:00:00.000000000,31.06067,22.371
2026-05-24T17:00:00.000000000,28.7323,23.17016
2026-05-24T18:00:00.000000000,25.60799,22.90815
2026-05-24T19:00:00.000000000,22.63141,26.28381
2026-05-24T20:00:00.000000000,21.50565,23.62655
2026-05-24T21:00:00.000000000,21.25694,22.94277
2026-05-24T22:00:00.000000000,21.24857,24.19551
2026-05-24T23:00:00.000000000,20.68792,23.0629
2026-05-25T00:00:00.000000000,20.87417,21.63
2026-05-25T01:00:00.000000000,20.36971,21.94774
2026-05-25T02:00:00.000000000,20.09581,21.92938
2026-05-25T03:00:00.000000000,20.09888,20.8911
2026-05-25T04:00:00.000000000,20.09122,23.49676
2026-05-25T05:00:00.000000000,20.13749,19.62006
2026-05-25T06:00:00.000000000,20.79276,19.95073
2026-05-25T07:00:00.000000000,22.90065,20.12753
2026-05-25T08:00:00.000000000,25.99287,19.46501
2026-05-25T09:00:00.000000000,28.74994,20.32179
2026-05-25T10:00:00.000000000,30.50953,23.30875
2026-05-25T11:00:00.000000000,31.55319,21.31086
2026-05-25T12:00:00.000000000,32.22913,23.60401
2026-05-25T13:00:00.000000000,32.29614,21.24184
2026-05-25T14:00:00.000000000,32.09975,21.33141
2026-05-25T15:00:00.000000000,31.42495,21.34004
2026-05-25T16:00:00.000000000,30.10462,22.371
2026-05-25T17:00:00.000000000,28.03099,23.17016
2026-05-25T18:00:00.000000000,25.24586,22.90815
2026-05-25T19:00:00.000000000,23.15788,26.28381
2026-05-25T20:00:00.000000000,22.16001,23.62655
2026-05-25T21:00:00.000000000,21.85853,22.94277
2026-05-25T22:00:00.000000000,21.79042,24.19551
2026-05-25T23:00:00.000000000,21.76429,23.0629
2026-05-26T00:00:00.000000000,21.23898,21.63
2026-05-26T01:00:00.000000000,20.5792,21.94774
2026-05-26T02:00:00.000000000,20.21925,21.92938
2026-05-26T03:00:00.000000000,20.27947,20.8911
2026-05-26T04:00:00.000000000,20.16455,23.49676
2026-05-26T05:00:00.000000000,20.83125,19.62006
2026-05-26T06:00:00.000000000,21.97995,19.95073
2026-05-26T07:00:00.000000000,23.3529,20.12753
2026-05-26T08:00:00.000000000,25.53689,19.46501
2026-05-26T09:00:00.000000000,28.03155,20.32179
2026-05-26T10:00:00.000000000,29.76111,23.30875
2026-05-26T11:00:00.000000000,30.74533,21.31086
