datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,321.22179,313.34248
2026-05-20T04:00:00.000000000,323.01348,313.19719
2026-05-20T05:00:00.000000000,322.45614,307.16795
2026-05-20T06:00:00.000000000,298.71328,294.12851
2026-05-20T07:00:00.000000000,275.80276,276.28777
2026-05-20T08:00:00.000000000,262.08391,254.26599
2026-05-20T09:00:00.000000000,229.52322,229.72247
2026-05-20T10:00:00.000000000,186.45959,206.03444
2026-05-20T11:00:00.000000000,164.14573,185.56252
2026-05-20T12:00:00.000000000,165.82675,172.87024
2026-05-20T13:00:00.000000000,169.73363,168.8758
2026-05-20T14:00:00.000000000,174.90989,173.64766
2026-05-20T15:00:00.000000000,185.0575,187.12884
2026-05-20T16:00:00.000000000,218.63318,207.67871
2026-05-20T17:00:00.000000000,279.35205,232.53594
2026-05-20T18:00:00.000000000,295.52856,257.15343
2026-05-20T19:00:00.000000000,286.91906,274.89483
2026-05-20T20:00:00.000000000,284.19197,284.62275
2026-05-20T21:00:00.000000000,295.21362,287.42761
2026-05-20T22:00:00.000000000,307.63236,287.27884
2026-05-20T23:00:00.000000000,316.48251,287.74512
2026-05-21T00:00:00.000000000,316.75214,289.98359
2026-05-21T01:00:00.000000000,308.19866,293.32567
2026-05-21T02:00:00.000000000,305.61422,297.53061
2026-05-21T03:00:00.000000000,306.58025,298.88494
2026-05-21T04:00:00.000000000,306.08155,297.88737
2026-05-21T05:00:00.000000000,306.41457,291.37509
2026-05-21T06:00:00.000000000,288.10001,278.77889
2026-05-21T07:00:00.000000000,269.67268,262.24963
2026-05-21T08:00:00.000000000,258.72517,241.00469
2026-05-21T09:00:00.000000000,216.50545,215.29774
2026-05-21T10:00:00.000000000,160.94022,188.5113
2026-05-21T11:00:00.000000000,156.84487,164.05112
2026-05-21T12:00:00.000000000,157.9642,147.83261
2026-05-21T13:00:00.000000000,164.38432,141.83692
2026-05-21T14:00:00.000000000,196.11111,146.34353
2026-05-21T15:00:00.000000000,198.48571,160.41067
2026-05-21T16:00:00.000000000,225.23308,180.95339
2026-05-21T17:00:00.000000000,258.61364,204.87185
2026-05-21T18:00:00.000000000,282.79322,228.20428
2026-05-21T19:00:00.000000000,285.43676,245.89239
2026-05-21T20:00:00.000000000,277.34007,257.3577
2026-05-21T21:00:00.000000000,277.14172,262.24998
2026-05-21T22:00:00.000000000,286.38286,262.57189
2026-05-21T23:00:00.000000000,297.80966,261.79058
2026-05-22T00:00:00.000000000,308.04527,262.19658
2026-05-22T01:00:00.000000000,313.2455,264.79595
2026-05-22T02:00:00.000000000,314.75695,269.60656
2026-05-22T03:00:00.000000000,314.50546,274.99302
2026-05-22T04:00:00.000000000,314.27171,270.52574
2026-05-22T05:00:00.000000000,312.4557,259.7897
2026-05-22T06:00:00.000000000,294.28708,242.7869
2026-05-22T07:00:00.000000000,279.24231,222.80338
