datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,368.59961,379.52777
2026-05-20T04:00:00.000000000,370.60741,381.38717
2026-05-20T05:00:00.000000000,370.33472,378.05344
2026-05-20T06:00:00.000000000,345.76346,368.03316
2026-05-20T07:00:00.000000000,322.57147,351.18206
2026-05-20T08:00:00.000000000,309.38794,328.41079
2026-05-20T09:00:00.000000000,276.01013,301.82432
2026-05-20T10:00:00.000000000,231.76485,274.57287
2026-05-20T11:00:00.000000000,208.7625,253.8573
2026-05-20T12:00:00.000000000,210.14308,243.35347
2026-05-20T13:00:00.000000000,214.06821,244.82852
2026-05-20T14:00:00.000000000,219.07852,259.05588
2026-05-20T15:00:00.000000000,229.5064,282.51495
2026-05-20T16:00:00.000000000,264.2276,309.53735
2026-05-20T17:00:00.000000000,327.03656,332.79902
2026-05-20T18:00:00.000000000,346.95516,349.45318
2026-05-20T19:00:00.000000000,338.86013,358.81943
2026-05-20T20:00:00.000000000,335.51782,364.28755
2026-05-20T21:00:00.000000000,347.3554,368.30921
2026-05-20T22:00:00.000000000,360.51288,369.39394
2026-05-20T23:00:00.000000000,370.16243,368.52461
2026-05-21T00:00:00.000000000,365.93041,366.17283
2026-05-21T01:00:00.000000000,355.03694,365.57949
2026-05-21T02:00:00.000000000,352.20287,366.70163
2026-05-21T03:00:00.000000000,353.26395,383.41574
2026-05-21T04:00:00.000000000,352.93201,383.96554
2026-05-21T05:00:00.000000000,353.51538,378.54344
2026-05-21T06:00:00.000000000,334.74133,366.7767
2026-05-21T07:00:00.000000000,316.12466,349.23117
2026-05-21T08:00:00.000000000,305.56107,326.61607
2026-05-21T09:00:00.000000000,262.31793,300.82963
2026-05-21T10:00:00.000000000,205.14259,274.0762
2026-05-21T11:00:00.000000000,200.7411,253.4717
2026-05-21T12:00:00.000000000,201.87686,242.52022
2026-05-21T13:00:00.000000000,208.7772,242.96423
2026-05-21T14:00:00.000000000,241.51289,256.08276
2026-05-21T15:00:00.000000000,243.9844,278.61304
2026-05-21T16:00:00.000000000,271.23276,304.53294
2026-05-21T17:00:00.000000000,306.191,326.29056
2026-05-21T18:00:00.000000000,334.96611,341.12449
2026-05-21T19:00:00.000000000,338.03665,349.07986
2026-05-21T20:00:00.000000000,328.84644,353.70061
2026-05-21T21:00:00.000000000,328.49994,357.47131
2026-05-21T22:00:00.000000000,338.19113,358.69286
2026-05-21T23:00:00.000000000,350.71212,358.41873
2026-05-22T00:00:00.000000000,361.72074,356.55554
2026-05-22T01:00:00.000000000,367.59373,356.44704
2026-05-22T02:00:00.000000000,369.18385,357.92853
2026-05-22T03:00:00.000000000,368.94662,370.56665
