datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,295.3776,291.31487
2026-05-20T04:00:00.000000000,295.92844,294.04747
2026-05-20T05:00:00.000000000,293.58722,297.67579
2026-05-20T06:00:00.000000000,283.72295,290.15659
2026-05-20T07:00:00.000000000,259.66865,278.01095
2026-05-20T08:00:00.000000000,239.32925,239.93513
2026-05-20T09:00:00.000000000,197.33599,212.42865
2026-05-20T10:00:00.000000000,159.6305,180.28229
2026-05-20T11:00:00.000000000,129.3824,153.98125
2026-05-20T12:00:00.000000000,98.46734,134.55334
2026-05-20T13:00:00.000000000,88.99004,122.22218
2026-05-20T14:00:00.000000000,89.40414,106.53938
2026-05-20T15:00:00.000000000,95.84983,111.96445
2026-05-20T16:00:00.000000000,130.72139,127.72993
2026-05-20T17:00:00.000000000,188.11767,153.57952
2026-05-20T18:00:00.000000000,235.52101,185.8086
2026-05-20T19:00:00.000000000,286.01503,218.4113
2026-05-20T20:00:00.000000000,305.57619,239.26563
2026-05-20T21:00:00.000000000,317.74378,253.38973
2026-05-20T22:00:00.000000000,326.67259,265.08462
2026-05-20T23:00:00.000000000,348.38326,277.10831
2026-05-21T00:00:00.000000000,352.35173,284.94826
2026-05-21T01:00:00.000000000,352.32072,295.73946
2026-05-21T02:00:00.000000000,341.65767,299.08897
2026-05-21T03:00:00.000000000,340.15482,308.99853
2026-05-21T04:00:00.000000000,341.81365,316.14389
2026-05-21T05:00:00.000000000,342.038,327.45231
2026-05-21T06:00:00.000000000,313.79937,330.46622
2026-05-21T07:00:00.000000000,280.60228,321.86395
2026-05-21T08:00:00.000000000,238.08925,286.59248
2026-05-21T09:00:00.000000000,182.13586,256.44098
2026-05-21T10:00:00.000000000,118.82392,220.51019
2026-05-21T11:00:00.000000000,95.55922,181.9849
2026-05-21T12:00:00.000000000,93.86443,148.05931
2026-05-21T13:00:00.000000000,93.6973,124.48273
2026-05-21T14:00:00.000000000,106.21072,98.20094
2026-05-21T15:00:00.000000000,117.78719,95.159
2026-05-21T16:00:00.000000000,141.98575,102.01891
2026-05-21T17:00:00.000000000,186.7668,121.30516
2026-05-21T18:00:00.000000000,256.39417,154.92745
2026-05-21T19:00:00.000000000,302.02118,190.32773
2026-05-21T20:00:00.000000000,327.97552,219.06274
2026-05-21T21:00:00.000000000,337.79064,243.12884
2026-05-21T22:00:00.000000000,347.16892,258.34316
