datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,365.65172,393.46079
2026-05-20T04:00:00.000000000,366.05018,394.92376
2026-05-20T05:00:00.000000000,363.61993,384.94986
2026-05-20T06:00:00.000000000,352.36124,364.78534
2026-05-20T07:00:00.000000000,326.09747,335.96864
2026-05-20T08:00:00.000000000,303.42942,301.33403
2026-05-20T09:00:00.000000000,257.32027,264.36106
2026-05-20T10:00:00.000000000,216.8639,226.29807
2026-05-20T11:00:00.000000000,184.44236,194.07159
2026-05-20T12:00:00.000000000,151.79589,175.25124
2026-05-20T13:00:00.000000000,141.35559,169.28107
2026-05-20T14:00:00.000000000,141.77019,174.52448
2026-05-20T15:00:00.000000000,148.69635,187.54777
2026-05-20T16:00:00.000000000,185.95285,207.06699
2026-05-20T17:00:00.000000000,247.52279,235.10814
2026-05-20T18:00:00.000000000,299.77674,266.89699
2026-05-20T19:00:00.000000000,356.95411,299.11871
2026-05-20T20:00:00.000000000,378.04129,327.28727
2026-05-20T21:00:00.000000000,391.95365,344.33192
2026-05-20T22:00:00.000000000,401.6376,350.25341
2026-05-20T23:00:00.000000000,425.14996,352.36001
2026-05-21T00:00:00.000000000,428.34001,352.87774
2026-05-21T01:00:00.000000000,427.80364,356.82611
2026-05-21T02:00:00.000000000,415.30574,360.42571
2026-05-21T03:00:00.000000000,413.37578,397.06182
2026-05-21T04:00:00.000000000,415.69221,399.23135
2026-05-21T05:00:00.000000000,417.06733,391.52827
2026-05-21T06:00:00.000000000,386.84904,374.72227
2026-05-21T07:00:00.000000000,352.48096,348.86494
2026-05-21T08:00:00.000000000,308.31681,316.09562
2026-05-21T09:00:00.000000000,248.6773,279.48863
2026-05-21T10:00:00.000000000,181.49611,239.85634
2026-05-21T11:00:00.000000000,156.06186,204.71595
2026-05-21T12:00:00.000000000,153.31956,182.47092
2026-05-21T13:00:00.000000000,152.93247,173.43235
2026-05-21T14:00:00.000000000,165.67922,176.25093
2026-05-21T15:00:00.000000000,178.51655,187.35657
2026-05-21T16:00:00.000000000,204.04521,204.94473
2026-05-21T17:00:00.000000000,251.83343,231.2006
2026-05-21T18:00:00.000000000,328.84837,261.86419
2026-05-21T19:00:00.000000000,379.51552,293.98445
2026-05-21T20:00:00.000000000,407.69377,323.40433
2026-05-21T21:00:00.000000000,418.38479,343.19402
2026-05-21T22:00:00.000000000,429.11596,352.46213
2026-05-21T23:00:00.000000000,451.34415,357.21811
2026-05-22T00:00:00.000000000,486.46431,359.06149
2026-05-22T01:00:00.000000000,511.12964,362.6607
2026-05-22T02:00:00.000000000,525.70009,365.0034
2026-05-22T03:00:00.000000000,523.39331,409.81655
2026-05-22T04:00:00.000000000,529.47865,412.26607
2026-05-22T05:00:00.000000000,515.18446,404.65998
2026-05-22T06:00:00.000000000,439.06006,387.41828
2026-05-22T07:00:00.000000000,372.23503,360.51395
2026-05-22T08:00:00.000000000,284.35754,326.49622
2026-05-22T09:00:00.000000000,203.34701,288.6319
2026-05-22T10:00:00.000000000,149.96638,247.40235
2026-05-22T11:00:00.000000000,132.95689,210.4011
2026-05-22T12:00:00.000000000,129.04495,186.59193
2026-05-22T13:00:00.000000000,128.54741,176.79708
2026-05-22T14:00:00.000000000,131.93005,179.67281
2026-05-22T15:00:00.000000000,139.85894,190.95493
2026-05-22T16:00:00.000000000,171.16975,208.30618
2026-05-22T17:00:00.000000000,249.29661,233.98417
2026-05-22T18:00:00.000000000,341.80005,264.27078
2026-05-22T19:00:00.000000000,405.48941,296.38268
2026-05-22T20:00:00.000000000,435.32074,326.31921
2026-05-22T21:00:00.000000000,444.29846,347.00574
2026-05-22T22:00:00.000000000,433.32631,357.33405
2026-05-22T23:00:00.000000000,425.86382,363.04769
2026-05-23T00:00:00.000000000,408.86237,365.61422
2026-05-23T01:00:00.000000000,412.76125,369.43681
2026-05-23T02:00:00.000000000,418.56495,371.70458
2026-05-23T03:00:00.000000000,422.50929,415.5532
2026-05-23T04:00:00.000000000,417.38511,419.76471
2026-05-23T05:00:00.000000000,399.34754,414.57029
2026-05-23T06:00:00.000000000,341.1787,400.66489
2026-05-23T07:00:00.000000000,247.18227,377.3721
2026-05-23T08:00:00.000000000,148.70671,345.75958
2026-05-23T09:00:00.000000000,116.26749,308.58785
2026-05-23T10:00:00.000000000,107.52949,267.07357
2026-05-23T11:00:00.000000000,103.76613,229.03691
2026-05-23T12:00:00.000000000,101.68629,203.09465
2026-05-23T13:00:00.000000000,102.92369,190.1974
2026-05-23T14:00:00.000000000,104.73624,190.32981
2026-05-23T15:00:00.000000000,111.50849,200.43981
2026-05-23T16:00:00.000000000,127.57381,218.79511
2026-05-23T17:00:00.000000000,168.36552,246.48887
2026-05-23T18:00:00.000000000,249.20549,278.63729
2026-05-23T19:00:00.000000000,324.94442,311.05246
2026-05-23T20:00:00.000000000,362.75842,339.41194
2026-05-23T21:00:00.000000000,378.372,356.92002
2026-05-23T22:00:00.000000000,383.87224,363.4438
2026-05-23T23:00:00.000000000,396.74987,365.32444
2026-05-24T00:00:00.000000000,409.44001,364.59424
2026-05-24T01:00:00.000000000,421.91511,365.53661
2026-05-24T02:00:00.000000000,420.77825,366.14753
2026-05-24T03:00:00.000000000,407.98258,418.30469
2026-05-24T04:00:00.000000000,401.37566,422.31981
2026-05-24T05:00:00.000000000,386.27163,417.16724
2026-05-24T06:00:00.000000000,320.21377,403.60718
2026-05-24T07:00:00.000000000,223.259,380.78522
2026-05-24T08:00:00.000000000,150.94949,349.66037
2026-05-24T09:00:00.000000000,125.49313,312.66558
2026-05-24T10:00:00.000000000,111.74796,270.64716
2026-05-24T11:00:00.000000000,103.8504,231.52426
2026-05-24T12:00:00.000000000,102.24103,204.35948
2026-05-24T13:00:00.000000000,103.32371,190.55055
2026-05-24T14:00:00.000000000,104.87946,190.14686
2026-05-24T15:00:00.000000000,107.89353,199.9063
2026-05-24T16:00:00.000000000,116.24072,217.68378
2026-05-24T17:00:00.000000000,129.82385,244.50635
2026-05-24T18:00:00.000000000,184.61396,275.89695
2026-05-24T19:00:00.000000000,256.25981,308.06969
2026-05-24T20:00:00.000000000,295.37916,336.94076
2026-05-24T21:00:00.000000000,316.05506,355.73794
2026-05-24T22:00:00.000000000,322.60524,363.88415
2026-05-24T23:00:00.000000000,338.07318,367.12015
2026-05-25T00:00:00.000000000,362.20558,367.2188
2026-05-25T01:00:00.000000000,387.10314,368.3267
2026-05-25T02:00:00.000000000,395.35927,368.62022
2026-05-25T03:00:00.000000000,392.80338,434.15252
2026-05-25T04:00:00.000000000,417.31144,438.79426
2026-05-25T05:00:00.000000000,408.58349,434.15939
2026-05-25T06:00:00.000000000,346.91236,421.39129
2026-05-25T07:00:00.000000000,251.56982,399.47021
2026-05-25T08:00:00.000000000,161.05267,368.99798
2026-05-25T09:00:00.000000000,115.79692,331.96438
2026-05-25T10:00:00.000000000,105.19022,289.09982
2026-05-25T11:00:00.000000000,98.9444,248.14869
2026-05-25T12:00:00.000000000,95.87603,218.47943
2026-05-25T13:00:00.000000000,95.69902,202.13208
2026-05-25T14:00:00.000000000,96.13393,200.21034
2026-05-25T15:00:00.000000000,100.79251,209.9502
2026-05-25T16:00:00.000000000,108.63222,228.66745
2026-05-25T17:00:00.000000000,145.18301,256.25705
2026-05-25T18:00:00.000000000,232.07548,287.67543
2026-05-25T19:00:00.000000000,302.93943,318.67662
2026-05-25T20:00:00.000000000,339.43209,345.63671
2026-05-25T21:00:00.000000000,348.10537,362.67885
2026-05-25T22:00:00.000000000,345.62168,369.84081
2026-05-25T23:00:00.000000000,361.06697,372.22523
2026-05-26T00:00:00.000000000,386.3399,371.32112
