datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T06:00:00.000000000,9.47803,12.29898
2026-05-20T07:00:00.000000000,9.04584,11.45016
2026-05-20T08:00:00.000000000,8.27123,11.87185
2026-05-20T09:00:00.000000000,7.57707,12.34546
2026-05-20T10:00:00.000000000,7.25293,12.76418
2026-05-20T11:00:00.000000000,6.92252,12.9387
2026-05-20T12:00:00.000000000,7.04181,13.99639
2026-05-20T13:00:00.000000000,7.90335,14.3303
2026-05-20T14:00:00.000000000,7.35158,14.8963
2026-05-20T15:00:00.000000000,7.62995,14.84963
2026-05-20T16:00:00.000000000,9.41382,14.75196
2026-05-20T17:00:00.000000000,9.05474,15.19957
2026-05-20T18:00:00.000000000,9.97502,16.5136
2026-05-20T19:00:00.000000000,11.51074,17.01222
2026-05-20T20:00:00.000000000,12.66603,17.37107
2026-05-20T21:00:00.000000000,12.40911,17.83691
2026-05-20T22:00:00.000000000,10.42711,17.64473
2026-05-20T23:00:00.000000000,12.27181,17.51776
2026-05-21T00:00:00.000000000,10.51807,16.3685
2026-05-21T01:00:00.000000000,11.4785,15.66958
2026-05-21T02:00:00.000000000,10.49881,15.45257
2026-05-21T03:00:00.000000000,11.52959,15.25518
2026-05-21T04:00:00.000000000,11.72896,15.16431
2026-05-21T05:00:00.000000000,16.03201,14.92761
2026-05-21T06:00:00.000000000,19.07947,10.87807
2026-05-21T07:00:00.000000000,12.64811,9.90156
2026-05-21T08:00:00.000000000,9.69666,10.25231
2026-05-21T09:00:00.000000000,8.28391,10.72491
2026-05-21T10:00:00.000000000,7.36586,11.2593
2026-05-21T11:00:00.000000000,0.0,11.64968
2026-05-21T12:00:00.000000000,7.44078,13.05477
2026-05-21T13:00:00.000000000,5.14115,13.80802
2026-05-21T14:00:00.000000000,4.83104,14.71588
2026-05-21T15:00:00.000000000,4.78211,14.75463
2026-05-21T16:00:00.000000000,4.86916,14.42815
2026-05-21T17:00:00.000000000,5.47994,14.36906
2026-05-21T18:00:00.000000000,6.31866,15.05383
2026-05-21T19:00:00.000000000,7.78549,14.94921
