datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T06:00:00.000000000,107.16663,94.83839
2026-05-20T07:00:00.000000000,106.76617,94.47015
2026-05-20T08:00:00.000000000,104.28588,90.40023
2026-05-20T09:00:00.000000000,100.55524,82.61055
2026-05-20T10:00:00.000000000,96.02977,74.36359
2026-05-20T11:00:00.000000000,87.13316,68.20286
2026-05-20T12:00:00.000000000,78.72631,65.1375
2026-05-20T13:00:00.000000000,78.83317,65.03881
2026-05-20T14:00:00.000000000,76.65181,65.94842
2026-05-20T15:00:00.000000000,78.93038,68.04816
2026-05-20T16:00:00.000000000,91.05781,70.71809
2026-05-20T17:00:00.000000000,92.39004,75.72509
2026-05-20T18:00:00.000000000,102.76476,84.05658
2026-05-20T19:00:00.000000000,107.99718,94.16078
2026-05-20T20:00:00.000000000,116.95129,103.74799
2026-05-20T21:00:00.000000000,113.5833,110.93329
2026-05-20T22:00:00.000000000,102.64596,113.42843
2026-05-20T23:00:00.000000000,106.81251,113.73681
2026-05-21T00:00:00.000000000,102.18686,111.17216
2026-05-21T01:00:00.000000000,103.80835,108.51128
2026-05-21T02:00:00.000000000,100.76613,107.14659
2026-05-21T03:00:00.000000000,107.29656,106.26571
2026-05-21T04:00:00.000000000,106.68984,106.88048
2026-05-21T05:00:00.000000000,113.67276,108.48917
2026-05-21T06:00:00.000000000,122.70219,99.322
2026-05-21T07:00:00.000000000,109.67434,98.9389
2026-05-21T08:00:00.000000000,96.65753,94.7713
2026-05-21T09:00:00.000000000,85.78448,86.69718
2026-05-21T10:00:00.000000000,77.25015,77.95542
2026-05-21T11:00:00.000000000,77.25015,71.16902
2026-05-21T12:00:00.000000000,76.21445,67.40564
2026-05-21T13:00:00.000000000,61.08391,66.66832
2026-05-21T14:00:00.000000000,59.1837,66.80768
2026-05-21T15:00:00.000000000,58.81824,67.84583
2026-05-21T16:00:00.000000000,59.13829,69.3244
2026-05-21T17:00:00.000000000,67.33044,73.36647
2026-05-21T18:00:00.000000000,77.95826,81.26855
2026-05-21T19:00:00.000000000,91.08759,91.62711
2026-05-21T20:00:00.000000000,106.63614,102.13197
2026-05-21T21:00:00.000000000,116.73261,110.5236
2026-05-21T22:00:00.000000000,123.34416,113.96957
2026-05-21T23:00:00.000000000,126.86883,114.73347
2026-05-22T00:00:00.000000000,132.2313,112.21028
2026-05-22T01:00:00.000000000,134.53472,109.46645
2026-05-22T02:00:00.000000000,139.97112,108.17627
2026-05-22T03:00:00.000000000,142.39282,107.47868
2026-05-22T04:00:00.000000000,145.70682,108.21944
2026-05-22T05:00:00.000000000,141.38848,109.82604
2026-05-22T06:00:00.000000000,149.43278,101.31157
2026-05-22T07:00:00.000000000,139.09187,100.92603
2026-05-22T08:00:00.000000000,134.92417,96.53216
2026-05-22T09:00:00.000000000,105.84937,88.01458
2026-05-22T10:00:00.000000000,87.71631,78.75181
2026-05-22T11:00:00.000000000,81.14039,71.50971
2026-05-22T12:00:00.000000000,78.42263,67.48238
2026-05-22T13:00:00.000000000,79.2259,66.67403
2026-05-22T14:00:00.000000000,79.02764,66.80324
2026-05-22T15:00:00.000000000,85.50286,67.81466
2026-05-22T16:00:00.000000000,93.43011,69.31029
2026-05-22T17:00:00.000000000,96.97932,73.49745
2026-05-22T18:00:00.000000000,121.74664,81.77552
2026-05-22T19:00:00.000000000,147.20079,92.64905
2026-05-22T20:00:00.000000000,181.42752,103.66282
2026-05-22T21:00:00.000000000,175.95289,112.40723
2026-05-22T22:00:00.000000000,175.8758,115.89449
2026-05-22T23:00:00.000000000,165.07545,116.43341
2026-05-23T00:00:00.000000000,151.29686,113.54224
2026-05-23T01:00:00.000000000,143.08648,110.43275
2026-05-23T02:00:00.000000000,136.58994,108.90011
2026-05-23T03:00:00.000000000,132.28191,108.09212
2026-05-23T04:00:00.000000000,140.29009,108.88475
2026-05-23T05:00:00.000000000,125.66955,110.60582
2026-05-23T06:00:00.000000000,100.87898,99.40482
2026-05-23T07:00:00.000000000,85.05475,99.24235
2026-05-23T08:00:00.000000000,68.48176,94.78742
2026-05-23T09:00:00.000000000,62.513,85.96758
2026-05-23T10:00:00.000000000,54.07127,76.32169
2026-05-23T11:00:00.000000000,67.46775,68.85899
2026-05-23T12:00:00.000000000,75.38551,64.90925
2026-05-23T13:00:00.000000000,75.60938,64.36613
2026-05-23T14:00:00.000000000,76.9913,64.82073
2026-05-23T15:00:00.000000000,80.08492,66.05282
2026-05-23T16:00:00.000000000,80.29227,67.70823
2026-05-23T17:00:00.000000000,72.40752,72.09264
2026-05-23T18:00:00.000000000,83.42407,80.76706
2026-05-23T19:00:00.000000000,103.52405,92.0939
2026-05-23T20:00:00.000000000,128.96624,103.55104
2026-05-23T21:00:00.000000000,130.0749,112.55978
2026-05-23T22:00:00.000000000,117.55873,115.91029
2026-05-23T23:00:00.000000000,117.29403,115.96309
2026-05-24T00:00:00.000000000,103.60407,112.44175
2026-05-24T01:00:00.000000000,119.65212,108.75398
2026-05-24T02:00:00.000000000,107.27301,106.83978
2026-05-24T03:00:00.000000000,104.19197,105.91386
2026-05-24T04:00:00.000000000,102.57266,106.87943
2026-05-24T05:00:00.000000000,99.8882,108.90862
