datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T01:00:00.000000000,315.44658,302.0094
2026-05-22T02:00:00.000000000,314.3282,299.20286
2026-05-22T03:00:00.000000000,308.93933,296.20456
2026-05-22T04:00:00.000000000,308.00155,293.05137
2026-05-22T05:00:00.000000000,301.4747,289.245
2026-05-22T06:00:00.000000000,292.01155,284.50499
2026-05-22T07:00:00.000000000,282.16743,278.66072
2026-05-22T08:00:00.000000000,280.32736,272.72764
2026-05-22T09:00:00.000000000,278.63666,266.33912
2026-05-22T10:00:00.000000000,278.77275,259.74574
2026-05-22T11:00:00.000000000,286.29163,253.64165
2026-05-22T12:00:00.000000000,291.66628,249.96951
2026-05-22T13:00:00.000000000,294.90398,248.84824
2026-05-22T14:00:00.000000000,293.32983,250.65285
2026-05-22T15:00:00.000000000,298.74732,255.69361
2026-05-22T16:00:00.000000000,297.99512,261.78385
2026-05-22T17:00:00.000000000,295.37755,268.35814
2026-05-22T18:00:00.000000000,290.33802,274.67067
2026-05-22T19:00:00.000000000,290.22519,280.10847
2026-05-22T20:00:00.000000000,290.99238,285.30956
2026-05-22T21:00:00.000000000,293.75268,289.61825
2026-05-22T22:00:00.000000000,291.95914,292.23974
2026-05-22T23:00:00.000000000,292.55556,293.27704
2026-05-23T00:00:00.000000000,295.11538,292.87914
2026-05-23T01:00:00.000000000,294.97476,280.37438
2026-05-23T02:00:00.000000000,288.79961,279.10861
2026-05-23T03:00:00.000000000,275.57755,277.22706
2026-05-23T04:00:00.000000000,256.15212,274.52792
2026-05-23T05:00:00.000000000,243.85167,270.76349
2026-05-23T06:00:00.000000000,244.53208,265.65636
2026-05-23T07:00:00.000000000,244.83406,258.98704
2026-05-23T08:00:00.000000000,243.29465,251.85323
2026-05-23T09:00:00.000000000,242.52104,244.03099
2026-05-23T10:00:00.000000000,243.32861,236.4191
2026-05-23T11:00:00.000000000,242.6662,230.22606
2026-05-23T12:00:00.000000000,242.74656,226.86878
2026-05-23T13:00:00.000000000,242.52581,226.31993
2026-05-23T14:00:00.000000000,240.37548,228.67478
2026-05-23T15:00:00.000000000,243.13446,233.58078
2026-05-23T16:00:00.000000000,241.96274,239.51215
2026-05-23T17:00:00.000000000,240.97734,246.11944
2026-05-23T18:00:00.000000000,241.71209,252.49719
2026-05-23T19:00:00.000000000,246.56948,257.99304
2026-05-23T20:00:00.000000000,249.68415,262.91793
2026-05-23T21:00:00.000000000,257.24051,266.8737
2026-05-23T22:00:00.000000000,259.2522,269.41817
2026-05-23T23:00:00.000000000,251.30994,270.82011
2026-05-24T00:00:00.000000000,252.28049,271.28256
2026-05-24T01:00:00.000000000,253.51748,269.8173
2026-05-24T02:00:00.000000000,253.05808,268.53961
2026-05-24T03:00:00.000000000,241.80647,266.86306
2026-05-24T04:00:00.000000000,237.23684,264.55674
2026-05-24T05:00:00.000000000,235.39337,261.03477
2026-05-24T06:00:00.000000000,231.51196,256.32822
2026-05-24T07:00:00.000000000,229.64097,250.54528
2026-05-24T08:00:00.000000000,230.92715,244.62549
2026-05-24T09:00:00.000000000,230.35891,238.4881
2026-05-24T10:00:00.000000000,229.75756,233.03763
