datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T04:00:00.000000000,509.05371,426.55024
2026-05-20T05:00:00.000000000,506.29931,398.66318
2026-05-20T06:00:00.000000000,509.22199,361.14347
2026-05-20T07:00:00.000000000,477.07943,317.24876
2026-05-20T08:00:00.000000000,435.91053,279.79399
2026-05-20T09:00:00.000000000,436.24183,251.38404
2026-05-20T10:00:00.000000000,417.2832,229.4931
2026-05-20T11:00:00.000000000,394.66896,218.95992
2026-05-20T12:00:00.000000000,388.38708,213.36097
2026-05-20T13:00:00.000000000,371.53558,212.76607
2026-05-20T14:00:00.000000000,359.58931,217.23799
2026-05-20T15:00:00.000000000,357.04847,225.0192
2026-05-20T16:00:00.000000000,348.01883,238.95692
2026-05-20T17:00:00.000000000,344.78228,255.4033
2026-05-20T18:00:00.000000000,361.65373,280.5879
2026-05-20T19:00:00.000000000,399.56868,308.75658
2026-05-20T20:00:00.000000000,446.72564,337.4597
2026-05-20T21:00:00.000000000,527.84529,360.10549
2026-05-20T22:00:00.000000000,591.1419,372.20206
2026-05-20T23:00:00.000000000,610.41133,371.17421
2026-05-21T00:00:00.000000000,599.61283,365.62751
2026-05-21T01:00:00.000000000,581.95789,362.87011
2026-05-21T02:00:00.000000000,602.49617,359.01535
2026-05-21T03:00:00.000000000,578.1011,353.87826
2026-05-21T04:00:00.000000000,558.60956,365.23459
2026-05-21T05:00:00.000000000,541.15181,344.39256
2026-05-21T06:00:00.000000000,495.23193,315.01119
2026-05-21T07:00:00.000000000,453.61213,279.11941
2026-05-21T08:00:00.000000000,402.68917,245.66247
2026-05-21T09:00:00.000000000,388.79871,218.06023
2026-05-21T10:00:00.000000000,340.19083,195.09548
2026-05-21T11:00:00.000000000,332.11645,183.3411
2026-05-21T12:00:00.000000000,326.60424,178.11574
2026-05-21T13:00:00.000000000,333.5848,180.6765
2026-05-21T14:00:00.000000000,285.49142,188.15557
2026-05-21T15:00:00.000000000,276.70829,196.15251
2026-05-21T16:00:00.000000000,284.56957,208.13356
2026-05-21T17:00:00.000000000,318.77016,224.32949
2026-05-21T18:00:00.000000000,360.57869,251.19486
2026-05-21T19:00:00.000000000,451.87146,283.7194
