datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,340.37992,319.0788
2026-05-22T01:00:00.000000000,343.30976,336.1895
2026-05-22T02:00:00.000000000,348.99758,349.42729
2026-05-22T03:00:00.000000000,356.80143,355.26076
2026-05-22T04:00:00.000000000,365.4069,358.15343
2026-05-22T05:00:00.000000000,368.46047,365.10862
2026-05-22T06:00:00.000000000,370.0,368.77119
2026-05-22T07:00:00.000000000,370.0,368.9594
2026-05-22T08:00:00.000000000,370.0,369.91812
2026-05-22T09:00:00.000000000,370.0,370.53606
2026-05-22T10:00:00.000000000,370.0,369.91942
2026-05-22T11:00:00.000000000,370.0,370.55256
2026-05-22T12:00:00.000000000,370.0,372.29781
2026-05-22T13:00:00.000000000,363.02983,361.45866
2026-05-22T14:00:00.000000000,319.64183,333.32969
2026-05-22T15:00:00.000000000,313.7084,308.93568
2026-05-22T16:00:00.000000000,312.9972,299.67054
2026-05-22T17:00:00.000000000,302.43478,297.4483
2026-05-22T18:00:00.000000000,292.43187,298.30301
2026-05-22T19:00:00.000000000,307.1,299.33309
2026-05-22T20:00:00.000000000,314.04878,300.23465
2026-05-22T21:00:00.000000000,306.12378,303.34071
2026-05-22T22:00:00.000000000,302.10438,306.19685
2026-05-22T23:00:00.000000000,304.35484,310.4925
2026-05-23T00:00:00.000000000,311.49096,313.85282
2026-05-23T01:00:00.000000000,307.07483,332.84726
2026-05-23T02:00:00.000000000,333.3284,348.47854
2026-05-23T03:00:00.000000000,342.13855,354.86092
2026-05-23T04:00:00.000000000,343.29323,357.65327
2026-05-23T05:00:00.000000000,360.66246,365.71398
2026-05-23T06:00:00.000000000,370.0,369.82759
2026-05-23T07:00:00.000000000,370.0,369.52179
2026-05-23T08:00:00.000000000,370.0,370.52453
2026-05-23T09:00:00.000000000,370.0,371.77039
2026-05-23T10:00:00.000000000,370.0,371.37745
2026-05-23T11:00:00.000000000,370.0,372.81103
2026-05-23T12:00:00.000000000,370.0,374.88039
2026-05-23T13:00:00.000000000,358.00499,360.1219
2026-05-23T14:00:00.000000000,288.25581,324.7378
2026-05-23T15:00:00.000000000,269.40092,297.74703
2026-05-23T16:00:00.000000000,271.80095,291.79701
2026-05-23T17:00:00.000000000,279.00232,293.03571
2026-05-23T18:00:00.000000000,259.63068,294.33503
2026-05-23T19:00:00.000000000,275.91687,294.17349
2026-05-23T20:00:00.000000000,283.38636,294.61528
2026-05-23T21:00:00.000000000,292.39407,298.83811
2026-05-23T22:00:00.000000000,292.76342,302.53243
2026-05-23T23:00:00.000000000,286.42857,306.21519
2026-05-24T00:00:00.000000000,294.23208,305.56648
2026-05-24T01:00:00.000000000,291.11321,326.97223
2026-05-24T02:00:00.000000000,329.4847,345.54233
2026-05-24T03:00:00.000000000,340.25723,352.69998
2026-05-24T04:00:00.000000000,340.66343,355.56004
2026-05-24T05:00:00.000000000,360.36458,365.35791
2026-05-24T06:00:00.000000000,370.0,370.34219
