datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,454.37585,441.80895
2026-05-22T01:00:00.000000000,457.89958,454.20271
2026-05-22T02:00:00.000000000,464.74034,466.46677
2026-05-22T03:00:00.000000000,474.12604,475.77382
2026-05-22T04:00:00.000000000,484.47586,483.89302
2026-05-22T05:00:00.000000000,488.1484,488.01327
2026-05-22T06:00:00.000000000,490.0,489.50051
2026-05-22T07:00:00.000000000,490.0,489.18159
2026-05-22T08:00:00.000000000,490.0,488.11813
2026-05-22T09:00:00.000000000,490.0,486.44776
2026-05-22T10:00:00.000000000,490.0,486.64613
2026-05-22T11:00:00.000000000,490.0,489.09061
2026-05-22T12:00:00.000000000,490.0,488.52745
2026-05-22T13:00:00.000000000,481.61695,474.18255
2026-05-22T14:00:00.000000000,429.4341,448.268
2026-05-22T15:00:00.000000000,422.29794,427.2044
2026-05-22T16:00:00.000000000,421.44258,422.90045
2026-05-22T17:00:00.000000000,408.73913,424.53487
2026-05-22T18:00:00.000000000,396.7086,422.87459
2026-05-22T19:00:00.000000000,414.35,421.87423
2026-05-22T20:00:00.000000000,422.70732,423.21414
2026-05-22T21:00:00.000000000,413.1759,427.3725
2026-05-22T22:00:00.000000000,408.34175,430.73486
2026-05-22T23:00:00.000000000,411.04839,434.06379
2026-05-23T00:00:00.000000000,419.63102,440.23651
2026-05-23T01:00:00.000000000,414.31973,453.89903
2026-05-23T02:00:00.000000000,445.89497,466.57852
2026-05-23T03:00:00.000000000,456.49096,475.79631
2026-05-23T04:00:00.000000000,457.8797,484.10638
2026-05-23T05:00:00.000000000,478.76972,488.30124
2026-05-23T06:00:00.000000000,490.0,489.58761
2026-05-23T07:00:00.000000000,490.0,489.26962
2026-05-23T08:00:00.000000000,490.0,488.61813
2026-05-23T09:00:00.000000000,490.0,487.24381
2026-05-23T10:00:00.000000000,490.0,487.50635
2026-05-23T11:00:00.000000000,490.0,490.4192
2026-05-23T12:00:00.000000000,490.0,490.33085
2026-05-23T13:00:00.000000000,475.57357,475.32323
2026-05-23T14:00:00.000000000,391.68605,447.58477
