datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-25T00:00:00.000000000,253.9,268.22815
2026-05-25T01:00:00.000000000,314.54,273.43668
2026-05-25T02:00:00.000000000,360.24,263.63332
2026-05-25T03:00:00.000000000,334.27,253.22739
2026-05-25T04:00:00.000000000,327.37,247.91108
2026-05-25T05:00:00.000000000,317.3,243.77386
2026-05-25T06:00:00.000000000,322.11,240.32175
2026-05-25T07:00:00.000000000,327.69,234.00086
2026-05-25T08:00:00.000000000,335.69,231.29034
2026-05-25T09:00:00.000000000,337.4,237.17326
2026-05-25T10:00:00.000000000,341.87,250.64122
2026-05-25T11:00:00.000000000,350.48,269.536
2026-05-25T12:00:00.000000000,350.84,269.60334
2026-05-25T13:00:00.000000000,285.77,246.53873
2026-05-25T14:00:00.000000000,198.78,209.45674
2026-05-25T15:00:00.000000000,182.36,185.34737
2026-05-25T16:00:00.000000000,178.0,177.02612
2026-05-25T17:00:00.000000000,187.42,174.13189
2026-05-25T18:00:00.000000000,200.47,177.83048
2026-05-25T19:00:00.000000000,212.53,179.15499
2026-05-25T20:00:00.000000000,215.59,177.1241
2026-05-25T21:00:00.000000000,216.98,187.44465
2026-05-25T22:00:00.000000000,218.18,214.4009
2026-05-25T23:00:00.000000000,217.81,250.36939
2026-05-26T00:00:00.000000000,231.51,272.34848
2026-05-26T01:00:00.000000000,298.6,271.36131
2026-05-26T02:00:00.000000000,335.79,257.67583
2026-05-26T03:00:00.000000000,330.31,247.85426
2026-05-26T04:00:00.000000000,310.08,244.98225
2026-05-26T05:00:00.000000000,300.11,242.45455
2026-05-26T06:00:00.000000000,300.56,239.05295
2026-05-26T07:00:00.000000000,305.42,232.56634
2026-05-26T08:00:00.000000000,312.01,230.02979
2026-05-26T09:00:00.000000000,304.54,237.1787
2026-05-26T10:00:00.000000000,301.92,252.26927
2026-05-26T11:00:00.000000000,326.03,272.78021
2026-05-26T12:00:00.000000000,340.67,272.07851
2026-05-26T13:00:00.000000000,290.21,247.14849
2026-05-26T14:00:00.000000000,241.2,209.73301
2026-05-26T15:00:00.000000000,209.4,187.82219
2026-05-26T16:00:00.000000000,193.81,182.63353
2026-05-26T17:00:00.000000000,182.23,180.4345
