datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-25T00:00:00.000000000,330.97,339.23814
2026-05-25T01:00:00.000000000,399.39,362.94238
2026-05-25T02:00:00.000000000,451.11,357.89212
2026-05-25T03:00:00.000000000,419.83,350.76886
2026-05-25T04:00:00.000000000,411.98,332.37937
2026-05-25T05:00:00.000000000,399.87,314.10081
2026-05-25T06:00:00.000000000,405.53,305.16114
2026-05-25T07:00:00.000000000,412.01,306.28019
2026-05-25T08:00:00.000000000,421.36,311.28047
2026-05-25T09:00:00.000000000,423.97,322.75464
2026-05-25T10:00:00.000000000,429.25,321.49443
2026-05-25T11:00:00.000000000,439.47,313.04719
2026-05-25T12:00:00.000000000,440.17,304.20834
2026-05-25T13:00:00.000000000,366.68,301.07127
2026-05-25T14:00:00.000000000,268.34,276.55971
2026-05-25T15:00:00.000000000,250.1,243.23401
2026-05-25T16:00:00.000000000,244.69,220.07972
2026-05-25T17:00:00.000000000,255.58,206.31806
2026-05-25T18:00:00.000000000,269.87,206.64678
2026-05-25T19:00:00.000000000,283.33,211.0286
2026-05-25T20:00:00.000000000,287.15,221.17905
2026-05-25T21:00:00.000000000,288.55,248.33449
2026-05-25T22:00:00.000000000,289.39,276.9185
2026-05-25T23:00:00.000000000,288.55,315.77885
2026-05-26T00:00:00.000000000,304.26,321.20875
2026-05-26T01:00:00.000000000,380.15,351.60227
2026-05-26T02:00:00.000000000,421.57,356.06566
2026-05-26T03:00:00.000000000,415.24,352.38022
2026-05-26T04:00:00.000000000,391.49,334.48613
2026-05-26T05:00:00.000000000,378.82,318.39128
2026-05-26T06:00:00.000000000,378.57,308.56965
2026-05-26T07:00:00.000000000,384.35,307.63728
2026-05-26T08:00:00.000000000,392.16,310.07735
2026-05-26T09:00:00.000000000,383.38,316.6311
2026-05-26T10:00:00.000000000,380.55,314.25421
2026-05-26T11:00:00.000000000,408.83,308.39656
2026-05-26T12:00:00.000000000,425.8,304.26225
2026-05-26T13:00:00.000000000,368.61,308.56725
2026-05-26T14:00:00.000000000,314.69,290.78442
2026-05-26T15:00:00.000000000,278.64,260.16284
2026-05-26T16:00:00.000000000,260.62,236.21984
2026-05-26T17:00:00.000000000,246.25,216.35953
2026-05-26T18:00:00.000000000,246.94,213.9632
2026-05-26T19:00:00.000000000,244.45,214.36821
2026-05-26T20:00:00.000000000,238.83,220.4822
2026-05-26T21:00:00.000000000,268.87,239.37944
2026-05-26T22:00:00.000000000,281.6,259.41237
2026-05-26T23:00:00.000000000,290.27,293.0296
2026-05-27T00:00:00.000000000,352.25,320.90519
2026-05-27T01:00:00.000000000,426.03,350.90083
2026-05-27T02:00:00.000000000,463.72,355.31143
2026-05-27T03:00:00.000000000,462.15,352.39624
2026-05-27T04:00:00.000000000,448.0,335.59052
2026-05-27T05:00:00.000000000,443.15,320.20066
2026-05-27T06:00:00.000000000,440.29,310.01995
2026-05-27T07:00:00.000000000,441.52,309.27669
2026-05-27T08:00:00.000000000,439.75,310.50775
2026-05-27T09:00:00.000000000,442.28,315.73556
2026-05-27T10:00:00.000000000,452.18,314.59902
2026-05-27T11:00:00.000000000,456.23,309.58295
2026-05-27T12:00:00.000000000,463.19,307.9389
2026-05-27T13:00:00.000000000,427.12,314.42036
2026-05-27T14:00:00.000000000,371.31,298.5001
2026-05-27T15:00:00.000000000,337.22,269.08207
2026-05-27T16:00:00.000000000,312.98,247.21043
2026-05-27T17:00:00.000000000,311.36,227.03722
2026-05-27T18:00:00.000000000,313.46,223.48057
2026-05-27T19:00:00.000000000,300.37,222.81653
2026-05-27T20:00:00.000000000,296.09,226.96747
2026-05-27T21:00:00.000000000,302.11,243.88168
2026-05-27T22:00:00.000000000,312.04,260.98577
2026-05-27T23:00:00.000000000,321.47,292.74848
2026-05-28T00:00:00.000000000,351.09,319.81118
2026-05-28T01:00:00.000000000,420.81,349.9325
2026-05-28T02:00:00.000000000,476.55,355.12993
2026-05-28T03:00:00.000000000,457.34,352.78152
2026-05-28T04:00:00.000000000,423.22,336.21454
2026-05-28T05:00:00.000000000,402.92,320.95859
2026-05-28T06:00:00.000000000,388.53,310.69938
2026-05-28T07:00:00.000000000,387.28,309.86303
2026-05-28T08:00:00.000000000,385.41,311.24708
2026-05-28T09:00:00.000000000,392.7,316.43036
2026-05-28T10:00:00.000000000,396.83,314.82886
2026-05-28T11:00:00.000000000,415.47,309.55758
2026-05-28T12:00:00.000000000,436.2,307.58988
2026-05-28T13:00:00.000000000,376.1,313.61185
2026-05-28T14:00:00.000000000,294.78,298.06225
2026-05-28T15:00:00.000000000,254.78,269.03003
2026-05-28T16:00:00.000000000,234.51,247.50478
2026-05-28T17:00:00.000000000,231.84,227.19485
