datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T14:00:00.000000000,45.73948,40.81464
2026-05-20T15:00:00.000000000,44.03193,38.21727
2026-05-20T16:00:00.000000000,43.49922,38.16832
2026-05-20T17:00:00.000000000,42.49421,46.02172
2026-05-20T18:00:00.000000000,44.29952,60.21915
2026-05-20T19:00:00.000000000,60.76451,78.03685
2026-05-20T20:00:00.000000000,89.04119,92.34939
2026-05-20T21:00:00.000000000,117.06146,101.09567
2026-05-20T22:00:00.000000000,111.96054,101.79625
2026-05-20T23:00:00.000000000,107.37989,96.25862
2026-05-21T00:00:00.000000000,93.02311,90.65114
2026-05-21T01:00:00.000000000,81.69974,89.75103
2026-05-21T02:00:00.000000000,76.38095,92.72213
2026-05-21T03:00:00.000000000,75.21503,98.10766
2026-05-21T04:00:00.000000000,75.42983,102.25725
2026-05-21T05:00:00.000000000,81.94654,106.74597
2026-05-21T06:00:00.000000000,88.6834,107.63771
2026-05-21T07:00:00.000000000,83.59547,100.49089
2026-05-21T08:00:00.000000000,51.77426,82.54093
2026-05-21T09:00:00.000000000,39.1675,62.27011
2026-05-21T10:00:00.000000000,39.85948,48.34196
2026-05-21T11:00:00.000000000,40.19658,43.67733
2026-05-21T12:00:00.000000000,42.38184,44.68533
2026-05-21T13:00:00.000000000,40.49907,45.58224
2026-05-21T14:00:00.000000000,41.01308,45.12976
2026-05-21T15:00:00.000000000,41.73137,42.4964
2026-05-21T16:00:00.000000000,41.53488,41.98798
2026-05-21T17:00:00.000000000,40.25417,47.53086
2026-05-21T18:00:00.000000000,39.40711,56.78339
2026-05-21T19:00:00.000000000,57.62031,68.23678
2026-05-21T20:00:00.000000000,97.28142,79.37565
2026-05-21T21:00:00.000000000,120.85193,88.98319
2026-05-21T22:00:00.000000000,121.68405,93.21484
2026-05-21T23:00:00.000000000,111.48913,90.59309
2026-05-22T00:00:00.000000000,91.44582,85.73567
2026-05-22T01:00:00.000000000,86.50821,84.09156
2026-05-22T02:00:00.000000000,75.15553,86.40699
2026-05-22T03:00:00.000000000,72.57307,90.88001
2026-05-22T04:00:00.000000000,76.27017,93.98005
2026-05-22T05:00:00.000000000,85.63443,97.33549
2026-05-22T06:00:00.000000000,93.84264,98.73136
2026-05-22T07:00:00.000000000,89.03179,94.72527
2026-05-22T08:00:00.000000000,59.09953,81.27946
2026-05-22T09:00:00.000000000,43.87831,64.74116
2026-05-22T10:00:00.000000000,44.02473,53.04694
2026-05-22T11:00:00.000000000,47.06576,48.98494
2026-05-22T12:00:00.000000000,45.91609,49.69559
2026-05-22T13:00:00.000000000,44.98373,50.02049
2026-05-22T14:00:00.000000000,47.21284,47.50411
2026-05-22T15:00:00.000000000,47.46257,45.23649
2026-05-22T16:00:00.000000000,50.55188,44.56103
2026-05-22T17:00:00.000000000,50.04397,48.11681
2026-05-22T18:00:00.000000000,54.37993,53.78736
2026-05-22T19:00:00.000000000,61.22634,61.18054
2026-05-22T20:00:00.000000000,78.5305,70.3337
2026-05-22T21:00:00.000000000,96.00529,80.39337
2026-05-22T22:00:00.000000000,91.28476,87.02228
2026-05-22T23:00:00.000000000,87.31391,87.19504
2026-05-23T00:00:00.000000000,78.123,84.40204
2026-05-23T01:00:00.000000000,63.91333,83.45428
2026-05-23T02:00:00.000000000,60.89608,85.02293
