datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T04:00:00.000000000,15.31814,17.49549
2026-05-20T05:00:00.000000000,15.55349,17.70048
2026-05-20T06:00:00.000000000,15.78438,17.92416
2026-05-20T07:00:00.000000000,16.03701,17.95815
2026-05-20T08:00:00.000000000,17.22431,18.00015
2026-05-20T09:00:00.000000000,18.05192,18.18991
2026-05-20T10:00:00.000000000,19.17885,18.38478
2026-05-20T11:00:00.000000000,17.58485,18.4357
2026-05-20T12:00:00.000000000,16.03945,18.55916
2026-05-20T13:00:00.000000000,14.09078,18.64599
2026-05-20T14:00:00.000000000,14.37213,18.66649
2026-05-20T15:00:00.000000000,14.3434,18.65886
2026-05-20T16:00:00.000000000,13.1706,18.76381
2026-05-20T17:00:00.000000000,14.12738,18.79406
2026-05-20T18:00:00.000000000,14.17286,18.83948
2026-05-20T19:00:00.000000000,14.75208,18.92869
2026-05-20T20:00:00.000000000,15.06327,19.03549
2026-05-20T21:00:00.000000000,17.61126,19.2493
2026-05-20T22:00:00.000000000,16.35266,19.37527
2026-05-20T23:00:00.000000000,15.24915,19.42223
2026-05-21T00:00:00.000000000,15.27218,19.45772
2026-05-21T01:00:00.000000000,16.86115,19.5772
2026-05-21T02:00:00.000000000,15.64718,19.68695
2026-05-21T03:00:00.000000000,14.8359,19.76515
2026-05-21T04:00:00.000000000,15.51883,18.87485
2026-05-21T05:00:00.000000000,17.18585,19.07137
2026-05-21T06:00:00.000000000,19.26008,19.29465
2026-05-21T07:00:00.000000000,18.73084,19.3293
2026-05-21T08:00:00.000000000,18.69141,19.36777
2026-05-21T09:00:00.000000000,17.48032,19.55703
2026-05-21T10:00:00.000000000,14.53419,19.75159
2026-05-21T11:00:00.000000000,13.91976,19.80793
2026-05-21T12:00:00.000000000,13.36891,19.9287
2026-05-21T13:00:00.000000000,13.67076,20.01108
2026-05-21T14:00:00.000000000,13.82207,20.02556
2026-05-21T15:00:00.000000000,11.73452,20.02183
2026-05-21T16:00:00.000000000,13.37167,20.1285
2026-05-21T17:00:00.000000000,14.05621,20.16187
2026-05-21T18:00:00.000000000,15.70348,20.2102
2026-05-21T19:00:00.000000000,19.31199,20.30353
2026-05-21T20:00:00.000000000,20.72503,20.41672
2026-05-21T21:00:00.000000000,24.3663,20.63411
2026-05-21T22:00:00.000000000,24.32441,20.76108
2026-05-21T23:00:00.000000000,24.19979,20.80958
2026-05-22T00:00:00.000000000,21.83945,20.84765
2026-05-22T01:00:00.000000000,18.57427,20.96539
2026-05-22T02:00:00.000000000,17.95691,21.0763
2026-05-22T03:00:00.000000000,17.10945,21.15552
2026-05-22T04:00:00.000000000,16.71528,19.26792
2026-05-22T05:00:00.000000000,17.65106,19.46167
2026-05-22T06:00:00.000000000,20.12197,19.68432
2026-05-22T07:00:00.000000000,23.74572,19.71845
2026-05-22T08:00:00.000000000,22.03576,19.75512
2026-05-22T09:00:00.000000000,23.20049,19.94338
2026-05-22T10:00:00.000000000,20.70984,20.13694
2026-05-22T11:00:00.000000000,18.46641,20.19408
2026-05-22T12:00:00.000000000,19.05214,20.31323
2026-05-22T13:00:00.000000000,18.51123,20.3937
2026-05-22T14:00:00.000000000,16.82453,20.40598
2026-05-22T15:00:00.000000000,14.60136,20.4027
2026-05-22T16:00:00.000000000,15.14772,20.50933
2026-05-22T17:00:00.000000000,16.81578,20.54304
2026-05-22T18:00:00.000000000,16.8595,20.59165
2026-05-22T19:00:00.000000000,17.52085,20.68565
2026-05-22T20:00:00.000000000,19.9737,20.80009
2026-05-22T21:00:00.000000000,19.53634,21.01801
2026-05-22T22:00:00.000000000,18.21224,21.14481
2026-05-22T23:00:00.000000000,16.62277,21.19341
2026-05-23T00:00:00.000000000,15.63443,21.23187
2026-05-23T01:00:00.000000000,15.54931,21.34859
2026-05-23T02:00:00.000000000,15.87462,21.45957
2026-05-23T03:00:00.000000000,15.53885,21.53871
2026-05-23T04:00:00.000000000,15.30575,17.53813
2026-05-23T05:00:00.000000000,15.33473,17.74289
2026-05-23T06:00:00.000000000,15.22719,17.9666
2026-05-23T07:00:00.000000000,15.56211,18.00068
2026-05-23T08:00:00.000000000,15.45502,18.04263
2026-05-23T09:00:00.000000000,14.70608,18.23245
2026-05-23T10:00:00.000000000,13.89326,18.42738
2026-05-23T11:00:00.000000000,12.78927,18.47853
2026-05-23T12:00:00.000000000,12.14227,18.60198
2026-05-23T13:00:00.000000000,11.27117,18.68872
2026-05-23T14:00:00.000000000,10.86404,18.70909
2026-05-23T15:00:00.000000000,11.82892,18.70163
2026-05-23T16:00:00.000000000,11.36423,18.80668
2026-05-23T17:00:00.000000000,10.85295,18.83707
2026-05-23T18:00:00.000000000,10.19773,18.88263
2026-05-23T19:00:00.000000000,10.67532,18.972
2026-05-23T20:00:00.000000000,11.09008,19.07905
2026-05-23T21:00:00.000000000,10.98797,19.29301
2026-05-23T22:00:00.000000000,11.22323,19.41905
2026-05-23T23:00:00.000000000,12.46735,19.46609
2026-05-24T00:00:00.000000000,12.97555,19.50169
2026-05-24T01:00:00.000000000,11.9112,19.62116
2026-05-24T02:00:00.000000000,11.74423,19.73097
2026-05-24T03:00:00.000000000,11.15849,19.80923
2026-05-24T04:00:00.000000000,10.70698,16.81108
2026-05-24T05:00:00.000000000,10.40777,17.01957
2026-05-24T06:00:00.000000000,10.25876,17.24237
2026-05-24T07:00:00.000000000,9.94015,17.27457
2026-05-24T08:00:00.000000000,10.42559,17.31664
2026-05-24T09:00:00.000000000,10.87953,17.50484
2026-05-24T10:00:00.000000000,11.67137,17.6979
2026-05-24T11:00:00.000000000,12.56074,17.74456
2026-05-24T12:00:00.000000000,12.92083,17.86754
2026-05-24T13:00:00.000000000,12.7493,17.95524
2026-05-24T14:00:00.000000000,13.18228,17.97773
2026-05-24T15:00:00.000000000,13.62538,17.96676
2026-05-24T16:00:00.000000000,12.55007,18.06967
2026-05-24T17:00:00.000000000,12.28138,18.09721
2026-05-24T18:00:00.000000000,11.03432,18.14004
2026-05-24T19:00:00.000000000,10.65763,18.22605
2026-05-24T20:00:00.000000000,10.12703,18.32846
2026-05-24T21:00:00.000000000,9.47705,18.53943
2026-05-24T22:00:00.000000000,9.53373,18.66395
2026-05-24T23:00:00.000000000,9.45507,18.7094
2026-05-25T00:00:00.000000000,10.18673,18.74288
2026-05-25T01:00:00.000000000,9.97537,18.86207
2026-05-25T02:00:00.000000000,10.34097,18.9707
2026-05-25T03:00:00.000000000,10.9779,19.04757
2026-05-25T04:00:00.000000000,10.9326,19.51729
2026-05-25T05:00:00.000000000,10.50607,19.70921
2026-05-25T06:00:00.000000000,9.63759,19.93133
2026-05-25T07:00:00.000000000,9.63222,19.96498
2026-05-25T08:00:00.000000000,9.68278,20.00033
2026-05-25T09:00:00.000000000,9.75938,20.18777
2026-05-25T10:00:00.000000000,9.44186,20.3805
2026-05-25T11:00:00.000000000,7.6221,20.43797
2026-05-25T12:00:00.000000000,9.84151,20.55591
2026-05-25T13:00:00.000000000,11.46443,20.63502
2026-05-25T14:00:00.000000000,10.83041,20.64581
2026-05-25T15:00:00.000000000,11.13655,20.64267
2026-05-25T16:00:00.000000000,10.11195,20.74915
2026-05-25T17:00:00.000000000,9.82723,20.78295
2026-05-25T18:00:00.000000000,9.17935,20.83163
2026-05-25T19:00:00.000000000,9.57172,20.92594
2026-05-25T20:00:00.000000000,11.04091,21.04104
2026-05-25T21:00:00.000000000,10.44866,21.25919
2026-05-25T22:00:00.000000000,8.66691,21.3858
2026-05-25T23:00:00.000000000,7.22059,21.43438
2026-05-26T00:00:00.000000000,7.41542,21.47302
2026-05-26T01:00:00.000000000,7.7742,21.58897
2026-05-26T02:00:00.000000000,9.5588,21.69994
2026-05-26T03:00:00.000000000,12.35173,21.77894
2026-05-26T04:00:00.000000000,13.73487,21.24372
2026-05-26T05:00:00.000000000,14.69587,21.42131
2026-05-26T06:00:00.000000000,16.83752,21.63734
2026-05-26T07:00:00.000000000,17.98174,21.66436
2026-05-26T08:00:00.000000000,16.99776,21.68691
2026-05-26T09:00:00.000000000,16.26999,21.86484
2026-05-26T10:00:00.000000000,13.99191,22.04771
2026-05-26T11:00:00.000000000,12.23669,22.10405
2026-05-26T12:00:00.000000000,12.14992,22.2096
2026-05-26T13:00:00.000000000,12.50364,22.27644
2026-05-26T14:00:00.000000000,12.47194,22.27466
2026-05-26T15:00:00.000000000,13.06052,22.26947
2026-05-26T16:00:00.000000000,12.34014,22.37262
2026-05-26T17:00:00.000000000,12.59463,22.40456
2026-05-26T18:00:00.000000000,12.79998,22.45129
2026-05-26T19:00:00.000000000,13.20393,22.54554
2026-05-26T20:00:00.000000000,14.43382,22.66277
2026-05-26T21:00:00.000000000,14.64363,22.88032
2026-05-26T22:00:00.000000000,13.81843,23.00363
2026-05-26T23:00:00.000000000,12.33519,23.05055
2026-05-27T00:00:00.000000000,11.86687,23.08895
2026-05-27T01:00:00.000000000,12.35408,23.19737
2026-05-27T02:00:00.000000000,12.44271,23.30694
2026-05-27T03:00:00.000000000,12.33075,23.3833
2026-05-21T04:00:00.000000000,15.51883,16.69914
2026-05-21T05:00:00.000000000,17.18585,16.90814
2026-05-21T06:00:00.000000000,19.26008,17.13073
2026-05-21T07:00:00.000000000,18.73084,17.16256
2026-05-21T08:00:00.000000000,18.69141,17.20452
2026-05-21T09:00:00.000000000,17.48032,17.39234
2026-05-21T10:00:00.000000000,14.53419,17.58498
2026-05-21T11:00:00.000000000,13.91976,17.63084
2026-05-21T12:00:00.000000000,13.36891,17.75362
2026-05-21T13:00:00.000000000,13.67076,17.84137
2026-05-21T14:00:00.000000000,13.82207,17.86413
2026-05-21T15:00:00.000000000,11.73452,17.85251
2026-05-21T16:00:00.000000000,13.37167,17.95502
2026-05-21T17:00:00.000000000,14.05621,17.98203
2026-05-21T18:00:00.000000000,15.70348,18.02437
2026-05-21T19:00:00.000000000,19.31199,18.10977
2026-05-21T20:00:00.000000000,20.72503,18.21139
2026-05-21T21:00:00.000000000,24.3663,18.42182
2026-05-21T22:00:00.000000000,24.32441,18.54603
2026-05-21T23:00:00.000000000,24.19979,18.59119
2026-05-22T00:00:00.000000000,21.83945,18.6243
2026-05-22T01:00:00.000000000,18.57427,18.74335
2026-05-22T02:00:00.000000000,17.95691,18.85176
2026-05-22T03:00:00.000000000,17.10945,18.92838
2026-05-22T04:00:00.000000000,16.71528,18.19247
2026-05-22T05:00:00.000000000,17.65106,18.39343
2026-05-22T06:00:00.000000000,20.12197,18.61725
2026-05-22T07:00:00.000000000,23.74572,18.65207
2026-05-22T08:00:00.000000000,22.03576,18.69284
2026-05-22T09:00:00.000000000,23.20049,18.88294
2026-05-22T10:00:00.000000000,20.70984,19.07829
2026-05-22T11:00:00.000000000,18.46641,19.13247
2026-05-22T12:00:00.000000000,19.05214,19.25517
2026-05-22T13:00:00.000000000,18.51123,19.34018
2026-05-22T14:00:00.000000000,16.82453,19.35798
2026-05-22T15:00:00.000000000,14.60136,19.35278
2026-05-22T16:00:00.000000000,15.14772,19.45898
2026-05-22T17:00:00.000000000,16.81578,19.49119
2026-05-22T18:00:00.000000000,16.8595,19.53845
2026-05-22T19:00:00.000000000,17.52085,19.63011
2026-05-22T20:00:00.000000000,19.9737,19.74053
2026-05-22T21:00:00.000000000,19.53634,19.9565
2026-05-22T22:00:00.000000000,18.21224,20.08328
2026-05-22T23:00:00.000000000,16.62277,20.13127
2026-05-23T00:00:00.000000000,15.63443,20.1683
2026-05-23T01:00:00.000000000,15.54931,20.28727
2026-05-23T02:00:00.000000000,15.87462,20.39778
2026-05-23T03:00:00.000000000,15.53885,20.47676
2026-05-23T04:00:00.000000000,15.30575,17.06102
2026-05-23T05:00:00.000000000,15.33473,17.26829
2026-05-23T06:00:00.000000000,15.22719,17.49149
2026-05-23T07:00:00.000000000,15.56211,17.52447
2026-05-23T08:00:00.000000000,15.45502,17.56664
2026-05-23T09:00:00.000000000,14.70608,17.75556
2026-05-23T10:00:00.000000000,13.89326,17.94943
2026-05-23T11:00:00.000000000,12.78927,17.99778
2026-05-23T12:00:00.000000000,12.14227,18.12107
2026-05-23T13:00:00.000000000,11.27117,18.20856
2026-05-23T14:00:00.000000000,10.86404,18.23041
2026-05-23T15:00:00.000000000,11.82892,18.22076
2026-05-23T16:00:00.000000000,11.36423,18.32452
2026-05-23T17:00:00.000000000,10.85295,18.35314
2026-05-23T18:00:00.000000000,10.19773,18.39701
2026-05-23T19:00:00.000000000,10.67532,18.48428
2026-05-23T20:00:00.000000000,11.09008,18.5884
2026-05-23T21:00:00.000000000,10.98797,18.80049
2026-05-23T22:00:00.000000000,11.22323,18.92561
2026-05-23T23:00:00.000000000,12.46735,18.97167
2026-05-24T00:00:00.000000000,12.97555,19.00595
2026-05-24T01:00:00.000000000,11.9112,19.12534
2026-05-24T02:00:00.000000000,11.74423,19.23442
2026-05-24T03:00:00.000000000,11.15849,19.31185
2026-05-24T04:00:00.000000000,10.70698,16.59489
2026-05-24T05:00:00.000000000,10.40777,16.80436
2026-05-24T06:00:00.000000000,10.25876,17.02675
2026-05-24T07:00:00.000000000,9.94015,17.05818
2026-05-24T08:00:00.000000000,10.42559,17.10004
2026-05-24T09:00:00.000000000,10.87953,17.28747
2026-05-24T10:00:00.000000000,11.67137,17.47969
2026-05-24T11:00:00.000000000,12.56074,17.52476
2026-05-24T12:00:00.000000000,12.92083,17.64734
2026-05-24T13:00:00.000000000,12.7493,17.73512
2026-05-24T14:00:00.000000000,13.18228,17.75809
2026-05-24T15:00:00.000000000,13.62538,17.74586
2026-05-24T16:00:00.000000000,12.55007,17.84796
2026-05-24T17:00:00.000000000,12.28138,17.87447
2026-05-24T18:00:00.000000000,11.03432,17.91632
2026-05-24T19:00:00.000000000,10.65763,18.00114
2026-05-24T20:00:00.000000000,10.12703,18.102
2026-05-24T21:00:00.000000000,9.47705,18.3119
2026-05-24T22:00:00.000000000,9.53373,18.43582
2026-05-24T23:00:00.000000000,9.45507,18.48069
2026-05-25T00:00:00.000000000,10.18673,18.51344
2026-05-25T01:00:00.000000000,9.97537,18.63235
2026-05-25T02:00:00.000000000,10.34097,18.74055
2026-05-25T03:00:00.000000000,10.9779,18.8169
2026-05-25T04:00:00.000000000,10.9326,19.40202
2026-05-25T05:00:00.000000000,10.50607,19.5948
2026-05-25T06:00:00.000000000,9.63759,19.81717
2026-05-25T07:00:00.000000000,9.63222,19.85106
2026-05-25T08:00:00.000000000,9.68278,19.88704
2026-05-25T09:00:00.000000000,9.75938,20.07487
2026-05-25T10:00:00.000000000,9.44186,20.26801
2026-05-25T11:00:00.000000000,7.6221,20.32534
2026-05-25T12:00:00.000000000,9.84151,20.44386
2026-05-25T13:00:00.000000000,11.46443,20.52361
2026-05-25T14:00:00.000000000,10.83041,20.5351
2026-05-25T15:00:00.000000000,11.13655,20.53191
2026-05-25T16:00:00.000000000,10.11195,20.63847
2026-05-25T17:00:00.000000000,9.82723,20.67224
2026-05-25T18:00:00.000000000,9.17935,20.7209
2026-05-25T19:00:00.000000000,9.57172,20.81507
2026-05-25T20:00:00.000000000,11.04091,20.92989
2026-05-25T21:00:00.000000000,10.44866,21.14793
2026-05-25T22:00:00.000000000,8.66691,21.27464
2026-05-25T23:00:00.000000000,7.22059,21.32324
2026-05-26T00:00:00.000000000,7.41542,21.3618
2026-05-26T01:00:00.000000000,7.7742,21.47812
2026-05-26T02:00:00.000000000,9.5588,21.5891
2026-05-26T03:00:00.000000000,12.35173,21.66818
2026-05-26T04:00:00.000000000,13.73487,21.18395
2026-05-26T05:00:00.000000000,14.69587,21.36209
2026-05-26T06:00:00.000000000,16.83752,21.57841
2026-05-26T07:00:00.000000000,17.98174,21.60575
2026-05-26T08:00:00.000000000,16.99776,21.62884
2026-05-26T09:00:00.000000000,16.26999,21.80721
2026-05-26T10:00:00.000000000,13.99191,21.99054
2026-05-26T11:00:00.000000000,12.23669,22.04701
2026-05-26T12:00:00.000000000,12.14992,22.1531
2026-05-26T13:00:00.000000000,12.50364,22.22046
2026-05-26T14:00:00.000000000,12.47194,22.21917
2026-05-26T15:00:00.000000000,13.06052,22.21413
2026-05-26T16:00:00.000000000,12.34014,22.31747
2026-05-26T17:00:00.000000000,12.59463,22.34954
2026-05-26T18:00:00.000000000,12.79998,22.3964
2026-05-26T19:00:00.000000000,13.20393,22.49071
2026-05-26T20:00:00.000000000,14.43382,22.60794
2026-05-26T21:00:00.000000000,14.64363,22.82557
2026-05-26T22:00:00.000000000,13.81843,22.94905
2026-05-26T23:00:00.000000000,12.33519,22.99607
2026-05-27T00:00:00.000000000,11.86687,23.03452
2026-05-27T01:00:00.000000000,12.35408,23.14327
2026-05-27T02:00:00.000000000,12.44271,23.25292
2026-05-27T03:00:00.000000000,12.33075,23.32943
2026-05-27T04:00:00.000000000,12.07444,22.16435
2026-05-27T05:00:00.000000000,12.91268,22.33315
2026-05-27T06:00:00.000000000,13.33141,22.54418
2026-05-27T07:00:00.000000000,12.32158,22.5654
2026-05-27T08:00:00.000000000,11.3483,22.5786
2026-05-27T09:00:00.000000000,11.2468,22.74887
2026-05-27T10:00:00.000000000,11.58581,22.92372
2026-05-27T11:00:00.000000000,11.44021,22.97708
2026-05-27T12:00:00.000000000,10.15828,23.07332
2026-05-27T13:00:00.000000000,9.67993,23.13162
2026-05-27T14:00:00.000000000,9.30332,23.12165
2026-05-27T15:00:00.000000000,9.56046,23.1133
2026-05-27T16:00:00.000000000,9.60282,23.21315
2026-05-27T17:00:00.000000000,9.81362,23.24238
2026-05-27T18:00:00.000000000,9.90691,23.28645
2026-05-27T19:00:00.000000000,8.22797,23.37923
2026-05-27T20:00:00.000000000,7.18419,23.49588
2026-05-27T21:00:00.000000000,8.82044,23.71169
2026-05-27T22:00:00.000000000,9.48079,23.83195
2026-05-27T23:00:00.000000000,9.72236,23.87693
2026-05-28T00:00:00.000000000,10.08172,23.91423
2026-05-28T01:00:00.000000000,9.7485,24.01716
2026-05-28T02:00:00.000000000,10.15023,24.12507
2026-05-28T03:00:00.000000000,10.17052,24.19889
2026-05-22T04:00:00.000000000,16.71528,17.45013
2026-05-22T05:00:00.000000000,17.65106,17.65537
2026-05-22T06:00:00.000000000,20.12197,17.87901
2026-05-22T07:00:00.000000000,23.74572,17.91292
2026-05-22T08:00:00.000000000,22.03576,17.95496
2026-05-22T09:00:00.000000000,23.20049,18.14465
2026-05-22T10:00:00.000000000,20.70984,18.33945
2026-05-22T11:00:00.000000000,18.46641,18.39012
2026-05-22T12:00:00.000000000,19.05214,18.51358
2026-05-22T13:00:00.000000000,18.51123,18.60049
2026-05-22T14:00:00.000000000,16.82453,18.62116
2026-05-22T15:00:00.000000000,14.60136,18.61333
2026-05-22T16:00:00.000000000,15.14772,18.71817
2026-05-22T17:00:00.000000000,16.81578,18.74826
2026-05-22T18:00:00.000000000,16.8595,18.79354
2026-05-22T19:00:00.000000000,17.52085,18.88255
2026-05-22T20:00:00.000000000,19.9737,18.98909
2026-05-22T21:00:00.000000000,19.53634,19.20274
2026-05-22T22:00:00.000000000,18.21224,19.32863
2026-05-22T23:00:00.000000000,16.62277,19.37551
2026-05-23T00:00:00.000000000,15.63443,19.41088
2026-05-23T01:00:00.000000000,15.54931,19.53037
2026-05-23T02:00:00.000000000,15.87462,19.64005
2026-05-23T03:00:00.000000000,15.53885,19.71818
2026-05-23T04:00:00.000000000,15.30575,16.72772
2026-05-23T05:00:00.000000000,15.33473,16.93659
2026-05-23T06:00:00.000000000,15.22719,17.15924
2026-05-23T07:00:00.000000000,15.56211,17.19116
2026-05-23T08:00:00.000000000,15.45502,17.23317
2026-05-23T09:00:00.000000000,14.70608,17.42108
2026-05-23T10:00:00.000000000,13.89326,17.61383
2026-05-23T11:00:00.000000000,12.78927,17.6599
2026-05-23T12:00:00.000000000,12.14227,17.78273
2026-05-23T13:00:00.000000000,11.27117,17.87047
2026-05-23T14:00:00.000000000,10.86404,17.89316
2026-05-23T15:00:00.000000000,11.82892,17.88171
2026-05-23T16:00:00.000000000,11.36423,17.98432
2026-05-23T17:00:00.000000000,10.85295,18.01148
2026-05-23T18:00:00.000000000,10.19773,18.05394
2026-05-23T19:00:00.000000000,10.67532,18.1395
2026-05-23T20:00:00.000000000,11.09008,18.24132
2026-05-23T21:00:00.000000000,10.98797,18.45189
2026-05-23T22:00:00.000000000,11.22323,18.57618
2026-05-23T23:00:00.000000000,12.46735,18.62142
2026-05-24T00:00:00.000000000,12.97555,18.65462
2026-05-24T01:00:00.000000000,11.9112,18.77371
2026-05-24T02:00:00.000000000,11.74423,18.88218
2026-05-24T03:00:00.000000000,11.15849,18.95886
2026-05-24T04:00:00.000000000,10.70698,16.44307
2026-05-24T05:00:00.000000000,10.40777,16.65322
2026-05-24T06:00:00.000000000,10.25876,16.87526
2026-05-24T07:00:00.000000000,9.94015,16.90609
2026-05-24T08:00:00.000000000,10.42559,16.94772
2026-05-24T09:00:00.000000000,10.87953,17.13454
2026-05-24T10:00:00.000000000,11.67137,17.32608
2026-05-24T11:00:00.000000000,12.56074,17.36999
2026-05-24T12:00:00.000000000,12.92083,17.4922
2026-05-24T13:00:00.000000000,12.7493,17.57999
2026-05-24T14:00:00.000000000,13.18228,17.60325
2026-05-24T15:00:00.000000000,13.62538,17.59008
2026-05-24T16:00:00.000000000,12.55007,17.69155
2026-05-24T17:00:00.000000000,12.28138,17.71729
2026-05-24T18:00:00.000000000,11.03432,17.7584
2026-05-24T19:00:00.000000000,10.65763,17.84234
2026-05-24T20:00:00.000000000,10.12703,17.94205
2026-05-24T21:00:00.000000000,9.47705,18.15117
2026-05-24T22:00:00.000000000,9.53373,18.27462
2026-05-24T23:00:00.000000000,9.45507,18.31905
2026-05-25T00:00:00.000000000,10.18673,18.35124
2026-05-25T01:00:00.000000000,9.97537,18.46992
2026-05-25T02:00:00.000000000,10.34097,18.5778
2026-05-25T03:00:00.000000000,10.9779,18.65373
2026-05-25T04:00:00.000000000,10.9326,19.32086
2026-05-25T05:00:00.000000000,10.50607,19.51423
2026-05-25T06:00:00.000000000,9.63759,19.73677
2026-05-25T07:00:00.000000000,9.63222,19.77082
2026-05-25T08:00:00.000000000,9.68278,19.80721
2026-05-25T09:00:00.000000000,9.75938,19.99531
2026-05-25T10:00:00.000000000,9.44186,20.18871
2026-05-25T11:00:00.000000000,7.6221,20.24593
2026-05-25T12:00:00.000000000,9.84151,20.36484
2026-05-25T13:00:00.000000000,11.46443,20.44503
2026-05-25T14:00:00.000000000,10.83041,20.457
2026-05-25T15:00:00.000000000,11.13655,20.45376
2026-05-25T16:00:00.000000000,10.11195,20.56036
2026-05-25T17:00:00.000000000,9.82723,20.5941
2026-05-25T18:00:00.000000000,9.17935,20.64273
2026-05-25T19:00:00.000000000,9.57172,20.7368
2026-05-25T20:00:00.000000000,11.04091,20.85139
2026-05-25T21:00:00.000000000,10.44866,21.06936
2026-05-25T22:00:00.000000000,8.66691,21.19613
2026-05-25T23:00:00.000000000,7.22059,21.24473
2026-05-26T00:00:00.000000000,7.41542,21.28324
2026-05-26T01:00:00.000000000,7.7742,21.3998
2026-05-26T02:00:00.000000000,9.5588,21.51078
2026-05-26T03:00:00.000000000,12.35173,21.5899
2026-05-26T04:00:00.000000000,13.73487,21.14181
2026-05-26T05:00:00.000000000,14.69587,21.32032
2026-05-26T06:00:00.000000000,16.83752,21.53684
2026-05-26T07:00:00.000000000,17.98174,21.56441
2026-05-26T08:00:00.000000000,16.99776,21.58788
2026-05-26T09:00:00.000000000,16.26999,21.76655
2026-05-26T10:00:00.000000000,13.99191,21.95019
2026-05-26T11:00:00.000000000,12.23669,22.00676
2026-05-26T12:00:00.000000000,12.14992,22.11323
2026-05-26T13:00:00.000000000,12.50364,22.18094
2026-05-26T14:00:00.000000000,12.47194,22.18
2026-05-26T15:00:00.000000000,13.06052,22.17507
2026-05-26T16:00:00.000000000,12.34014,22.27853
2026-05-26T17:00:00.000000000,12.59463,22.3107
2026-05-26T18:00:00.000000000,12.79998,22.35765
2026-05-26T19:00:00.000000000,13.20393,22.452
2026-05-26T20:00:00.000000000,14.43382,22.56922
2026-05-26T21:00:00.000000000,14.64363,22.78691
2026-05-26T22:00:00.000000000,13.81843,22.91051
2026-05-26T23:00:00.000000000,12.33519,22.9576
2026-05-27T00:00:00.000000000,11.86687,22.99608
2026-05-27T01:00:00.000000000,12.35408,23.10505
