datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T04:00:00.000000000,54.17572,66.13659
2026-05-20T05:00:00.000000000,55.0058,66.42549
2026-05-20T06:00:00.000000000,57.00691,66.2193
2026-05-20T07:00:00.000000000,58.00951,65.90115
2026-05-20T08:00:00.000000000,60.59078,65.16479
2026-05-20T09:00:00.000000000,63.0266,64.89573
2026-05-20T10:00:00.000000000,64.35961,64.85863
2026-05-20T11:00:00.000000000,59.08238,64.64314
2026-05-20T12:00:00.000000000,54.87727,64.49355
2026-05-20T13:00:00.000000000,51.27969,63.94919
2026-05-20T14:00:00.000000000,51.41923,63.68411
2026-05-20T15:00:00.000000000,51.36283,63.61238
2026-05-20T16:00:00.000000000,49.93099,63.29203
2026-05-20T17:00:00.000000000,50.46233,62.5664
2026-05-20T18:00:00.000000000,50.26252,61.90095
2026-05-20T19:00:00.000000000,50.87411,61.22883
2026-05-20T20:00:00.000000000,50.97183,60.64009
2026-05-20T21:00:00.000000000,53.81087,60.49378
2026-05-20T22:00:00.000000000,51.62046,60.6773
2026-05-20T23:00:00.000000000,49.54848,61.01545
2026-05-21T00:00:00.000000000,48.50475,61.20133
2026-05-21T01:00:00.000000000,49.89176,61.48092
2026-05-21T02:00:00.000000000,47.86964,61.65013
2026-05-21T03:00:00.000000000,46.52725,61.72799
2026-05-21T04:00:00.000000000,47.65737,72.91324
2026-05-21T05:00:00.000000000,50.74075,73.24562
2026-05-21T06:00:00.000000000,55.24466,73.07017
2026-05-21T07:00:00.000000000,59.19829,72.73519
2026-05-21T08:00:00.000000000,62.27866,71.92368
2026-05-21T09:00:00.000000000,61.22877,71.55635
2026-05-21T10:00:00.000000000,57.33407,71.40702
2026-05-21T11:00:00.000000000,55.81909,71.03791
2026-05-21T12:00:00.000000000,54.40991,70.70854
2026-05-21T13:00:00.000000000,54.30339,69.98905
2026-05-21T14:00:00.000000000,53.83253,69.50976
2026-05-21T15:00:00.000000000,50.78564,69.23914
2026-05-21T16:00:00.000000000,53.05393,68.73424
2026-05-21T17:00:00.000000000,55.70763,67.86046
2026-05-21T18:00:00.000000000,59.48749,67.06709
2026-05-21T19:00:00.000000000,64.1448,66.28012
2026-05-21T20:00:00.000000000,66.0789,65.58785
2026-05-21T21:00:00.000000000,71.26002,65.34728
2026-05-21T22:00:00.000000000,69.44164,65.46197
2026-05-21T23:00:00.000000000,67.20251,65.72946
2026-05-22T00:00:00.000000000,64.95173,65.85557
2026-05-22T01:00:00.000000000,61.38021,66.0738
2026-05-22T02:00:00.000000000,60.71528,66.21409
2026-05-22T03:00:00.000000000,59.66915,66.23287
2026-05-22T04:00:00.000000000,59.03286,74.84482
2026-05-22T05:00:00.000000000,60.58777,75.17205
2026-05-22T06:00:00.000000000,64.28294,74.84934
2026-05-22T07:00:00.000000000,68.64613,74.26946
2026-05-22T08:00:00.000000000,67.44966,73.17504
2026-05-22T09:00:00.000000000,69.46258,72.56929
2026-05-22T10:00:00.000000000,67.50349,72.22965
2026-05-22T11:00:00.000000000,64.61064,71.74827
2026-05-22T12:00:00.000000000,64.78532,71.3709
2026-05-22T13:00:00.000000000,63.72309,70.65526
2026-05-22T14:00:00.000000000,61.47305,70.17934
2026-05-22T15:00:00.000000000,58.40355,69.94674
2026-05-22T16:00:00.000000000,58.90245,69.49961
2026-05-22T17:00:00.000000000,60.87617,68.63194
2026-05-22T18:00:00.000000000,60.46181,67.78679
2026-05-22T19:00:00.000000000,60.79264,66.91988
2026-05-22T20:00:00.000000000,62.79979,66.12588
2026-05-22T21:00:00.000000000,61.89857,65.77614
2026-05-22T22:00:00.000000000,60.33178,65.86421
2026-05-22T23:00:00.000000000,58.06852,66.13843
2026-05-23T00:00:00.000000000,55.35993,66.26505
2026-05-23T01:00:00.000000000,54.88207,66.48982
2026-05-23T02:00:00.000000000,55.47391,66.61895
2026-05-23T03:00:00.000000000,54.89549,66.62187
2026-05-23T04:00:00.000000000,54.82673,64.77488
2026-05-23T05:00:00.000000000,55.43574,65.07453
2026-05-23T06:00:00.000000000,56.11452,65.01166
2026-05-23T07:00:00.000000000,58.01143,64.93244
2026-05-23T08:00:00.000000000,59.00371,64.46613
2026-05-23T09:00:00.000000000,58.51453,64.42225
2026-05-23T10:00:00.000000000,57.3305,64.58223
2026-05-23T11:00:00.000000000,55.3139,64.49489
2026-05-23T12:00:00.000000000,53.58066,64.42447
2026-05-23T13:00:00.000000000,51.94697,63.94029
2026-05-23T14:00:00.000000000,49.86297,63.73855
2026-05-23T15:00:00.000000000,50.76127,63.68962
2026-05-23T16:00:00.000000000,50.09637,63.38648
2026-05-23T17:00:00.000000000,51.4784,62.73047
2026-05-23T18:00:00.000000000,50.26322,62.16313
2026-05-23T19:00:00.000000000,50.19766,61.59495
2026-05-23T20:00:00.000000000,50.51387,61.13303
2026-05-23T21:00:00.000000000,49.8782,61.09841
2026-05-23T22:00:00.000000000,49.33617,61.30811
2026-05-23T23:00:00.000000000,52.47333,61.63718
2026-05-24T00:00:00.000000000,53.63881,61.83053
2026-05-24T01:00:00.000000000,52.10043,62.11628
2026-05-24T02:00:00.000000000,51.56206,62.30753
2026-05-24T03:00:00.000000000,50.83653,62.41741
2026-05-24T04:00:00.000000000,49.99022,65.86589
2026-05-24T05:00:00.000000000,49.5889,66.18258
2026-05-24T06:00:00.000000000,49.96817,66.17983
2026-05-24T07:00:00.000000000,49.75977,66.17973
2026-05-24T08:00:00.000000000,51.38405,65.79147
2026-05-24T09:00:00.000000000,52.55323,65.80198
2026-05-24T10:00:00.000000000,55.07646,66.00532
2026-05-24T11:00:00.000000000,57.87886,65.93301
2026-05-24T12:00:00.000000000,58.36264,65.86314
2026-05-24T13:00:00.000000000,57.39501,65.37401
2026-05-24T14:00:00.000000000,57.30689,65.15966
2026-05-24T15:00:00.000000000,57.45711,65.08534
2026-05-24T16:00:00.000000000,55.93401,64.75202
2026-05-24T17:00:00.000000000,54.74399,64.08792
2026-05-24T18:00:00.000000000,49.92884,63.51864
2026-05-24T19:00:00.000000000,47.91505,62.95118
2026-05-24T20:00:00.000000000,45.51533,62.49947
2026-05-24T21:00:00.000000000,43.69178,62.46826
2026-05-24T22:00:00.000000000,43.29507,62.66482
2026-05-24T23:00:00.000000000,43.33357,62.9781
2026-05-25T00:00:00.000000000,44.88121,63.16912
2026-05-25T01:00:00.000000000,45.17555,63.45366
2026-05-25T02:00:00.000000000,46.28135,63.65498
2026-05-25T03:00:00.000000000,47.77395,63.76924
2026-05-25T04:00:00.000000000,48.20622,78.32768
2026-05-25T05:00:00.000000000,47.08082,78.67775
2026-05-25T06:00:00.000000000,45.32971,78.53742
2026-05-25T07:00:00.000000000,44.88981,78.22118
2026-05-25T08:00:00.000000000,45.05143,77.39191
2026-05-25T09:00:00.000000000,45.02265,76.97989
2026-05-25T10:00:00.000000000,45.83311,76.76699
2026-05-25T11:00:00.000000000,44.25332,76.29448
2026-05-25T12:00:00.000000000,47.68701,75.83711
2026-05-25T13:00:00.000000000,50.81548,74.99536
2026-05-25T14:00:00.000000000,49.97219,74.36014
2026-05-25T15:00:00.000000000,49.97868,73.93556
2026-05-25T16:00:00.000000000,47.56594,73.28361
2026-05-25T17:00:00.000000000,45.79362,72.30118
2026-05-25T18:00:00.000000000,43.55978,71.41531
2026-05-25T19:00:00.000000000,43.80557,70.54934
2026-05-25T20:00:00.000000000,47.02463,69.79107
2026-05-25T21:00:00.000000000,46.27378,69.48292
2026-05-25T22:00:00.000000000,43.84429,69.53603
2026-05-25T23:00:00.000000000,41.52277,69.74038
2026-05-26T00:00:00.000000000,41.80984,69.82339
2026-05-26T01:00:00.000000000,42.56151,70.00229
2026-05-26T02:00:00.000000000,44.89016,70.12729
2026-05-26T03:00:00.000000000,49.12511,70.09546
2026-05-26T04:00:00.000000000,51.24116,72.41783
2026-05-26T05:00:00.000000000,53.76128,72.72945
2026-05-26T06:00:00.000000000,59.1506,72.39764
2026-05-26T07:00:00.000000000,63.50393,71.82491
2026-05-26T08:00:00.000000000,62.99614,70.7586
2026-05-26T09:00:00.000000000,62.37322,70.18754
2026-05-26T10:00:00.000000000,59.49475,69.88658
2026-05-26T11:00:00.000000000,57.16296,69.45813
2026-05-26T12:00:00.000000000,55.7839,69.14346
2026-05-26T13:00:00.000000000,55.76815,68.48632
2026-05-26T14:00:00.000000000,56.20692,68.08351
2026-05-26T15:00:00.000000000,56.6897,67.91838
2026-05-26T16:00:00.000000000,55.47759,67.53128
2026-05-26T17:00:00.000000000,55.05726,66.711
2026-05-26T18:00:00.000000000,56.19359,65.90715
2026-05-26T19:00:00.000000000,57.52127,65.07824
2026-05-26T20:00:00.000000000,58.98298,64.31812
2026-05-26T21:00:00.000000000,58.92008,64.00042
2026-05-26T22:00:00.000000000,56.17009,64.11288
2026-05-26T23:00:00.000000000,53.29019,64.4142
2026-05-27T00:00:00.000000000,51.76765,64.5647
2026-05-27T01:00:00.000000000,52.83912,64.81319
2026-05-27T02:00:00.000000000,52.99398,64.95387
2026-05-27T03:00:00.000000000,52.52523,64.97786
2026-05-21T04:00:00.000000000,47.65737,65.78147
2026-05-21T05:00:00.000000000,50.74075,66.07592
2026-05-21T06:00:00.000000000,55.24466,65.91595
2026-05-21T07:00:00.000000000,59.19829,65.67093
2026-05-21T08:00:00.000000000,62.27866,65.01692
2026-05-21T09:00:00.000000000,61.22877,64.81689
2026-05-21T10:00:00.000000000,57.33407,64.83656
2026-05-21T11:00:00.000000000,55.81909,64.65471
2026-05-21T12:00:00.000000000,54.40991,64.52127
2026-05-21T13:00:00.000000000,54.30339,63.98404
2026-05-21T14:00:00.000000000,53.83253,63.72484
2026-05-21T15:00:00.000000000,50.78564,63.64832
2026-05-21T16:00:00.000000000,53.05393,63.3206
2026-05-21T17:00:00.000000000,55.70763,62.60349
2026-05-21T18:00:00.000000000,59.48749,61.95898
2026-05-21T19:00:00.000000000,64.1448,61.31171
2026-05-21T20:00:00.000000000,66.0789,60.75528
2026-05-21T21:00:00.000000000,71.26002,60.63968
2026-05-21T22:00:00.000000000,69.44164,60.82906
2026-05-21T23:00:00.000000000,67.20251,61.16113
2026-05-22T00:00:00.000000000,64.95173,61.34413
2026-05-22T01:00:00.000000000,61.38021,61.62071
