datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,458.7228,435.00085
2026-05-22T01:00:00.000000000,459.70723,419.00455
2026-05-22T02:00:00.000000000,457.40169,404.31885
2026-05-22T03:00:00.000000000,430.2902,390.68206
2026-05-22T04:00:00.000000000,404.52014,382.359
2026-05-22T05:00:00.000000000,400.65899,383.6478
2026-05-22T06:00:00.000000000,402.72272,387.92874
2026-05-22T07:00:00.000000000,405.76185,395.84801
2026-05-22T08:00:00.000000000,407.48348,398.27805
2026-05-22T09:00:00.000000000,408.34736,396.48133
2026-05-22T10:00:00.000000000,407.41238,390.09553
2026-05-22T11:00:00.000000000,408.8621,382.13471
2026-05-22T12:00:00.000000000,402.7924,376.68582
2026-05-22T13:00:00.000000000,372.32167,379.03848
2026-05-22T14:00:00.000000000,370.59418,385.59297
2026-05-22T15:00:00.000000000,367.05766,394.33793
2026-05-22T16:00:00.000000000,369.26487,407.05038
2026-05-22T17:00:00.000000000,389.92723,420.82159
2026-05-22T18:00:00.000000000,412.64667,433.71289
2026-05-22T19:00:00.000000000,438.4427,448.55257
2026-05-22T20:00:00.000000000,419.16269,459.5251
2026-05-22T21:00:00.000000000,439.20914,463.44584
2026-05-22T22:00:00.000000000,443.96532,461.1445
2026-05-22T23:00:00.000000000,453.50781,451.34
2026-05-23T00:00:00.000000000,472.07284,439.61642
2026-05-23T01:00:00.000000000,471.9866,423.26422
2026-05-23T02:00:00.000000000,459.09307,407.8338
2026-05-23T03:00:00.000000000,449.54982,393.70297
2026-05-23T04:00:00.000000000,439.15072,385.15377
2026-05-23T05:00:00.000000000,435.07563,386.22423
2026-05-23T06:00:00.000000000,428.69953,390.21948
2026-05-23T07:00:00.000000000,415.01246,397.11836
2026-05-23T08:00:00.000000000,405.19603,398.35783
2026-05-23T09:00:00.000000000,401.96026,395.45566
2026-05-23T10:00:00.000000000,401.69973,388.81222
2026-05-23T11:00:00.000000000,401.97074,381.00681
2026-05-23T12:00:00.000000000,405.19949,376.18644
2026-05-23T13:00:00.000000000,374.8472,379.32275
2026-05-23T14:00:00.000000000,329.58141,386.55908
2026-05-23T15:00:00.000000000,399.70879,395.71018
2026-05-23T16:00:00.000000000,374.49225,408.58719
2026-05-23T17:00:00.000000000,382.87626,422.61952
2026-05-23T18:00:00.000000000,382.94872,435.55989
2026-05-23T19:00:00.000000000,425.98414,450.3035
2026-05-23T20:00:00.000000000,430.576,461.10452
2026-05-23T21:00:00.000000000,443.13163,465.43532
2026-05-23T22:00:00.000000000,446.4317,463.67179
2026-05-23T23:00:00.000000000,457.94952,454.47446
2026-05-24T00:00:00.000000000,470.75914,437.29667
2026-05-24T01:00:00.000000000,462.74866,424.04431
2026-05-24T02:00:00.000000000,464.9469,411.04609
2026-05-24T03:00:00.000000000,445.40272,398.25848
2026-05-24T04:00:00.000000000,428.52651,387.83597
2026-05-24T05:00:00.000000000,411.88839,385.5728
2026-05-24T06:00:00.000000000,404.05027,386.28488
2026-05-24T07:00:00.000000000,402.3869,391.50893
2026-05-24T08:00:00.000000000,404.76965,394.24587
2026-05-24T09:00:00.000000000,404.67072,395.9221
2026-05-24T10:00:00.000000000,405.38143,394.15874
2026-05-24T11:00:00.000000000,405.50549,388.55964
2026-05-24T12:00:00.000000000,394.28609,382.40495
2026-05-24T13:00:00.000000000,372.30545,381.58601
2026-05-24T14:00:00.000000000,375.8623,384.38713
2026-05-24T15:00:00.000000000,382.7973,389.82181
2026-05-24T16:00:00.000000000,386.07021,401.06461
2026-05-24T17:00:00.000000000,385.89784,414.31502
2026-05-24T18:00:00.000000000,400.77852,428.01629
2026-05-24T19:00:00.000000000,398.21659,443.06063
2026-05-24T20:00:00.000000000,401.7884,454.32188
2026-05-24T21:00:00.000000000,426.01027,458.92548
2026-05-24T22:00:00.000000000,452.28885,457.9194
2026-05-24T23:00:00.000000000,442.1604,450.33152
2026-05-25T00:00:00.000000000,458.58987,434.48506
2026-05-25T01:00:00.000000000,461.33434,421.99899
2026-05-25T02:00:00.000000000,457.00278,409.83982
2026-05-25T03:00:00.000000000,442.41174,398.12221
2026-05-25T04:00:00.000000000,423.46838,388.46327
2026-05-25T05:00:00.000000000,422.31569,386.36191
2026-05-25T06:00:00.000000000,426.05797,386.81249
2026-05-25T07:00:00.000000000,412.02046,391.58908
2026-05-25T08:00:00.000000000,400.92287,394.12137
2026-05-25T09:00:00.000000000,401.44397,395.87108
2026-05-25T10:00:00.000000000,402.10724,394.51027
2026-05-25T11:00:00.000000000,401.10496,389.48985
2026-05-25T12:00:00.000000000,386.07878,383.74514
2026-05-25T13:00:00.000000000,364.50047,382.88038
2026-05-25T14:00:00.000000000,370.47303,385.13083
2026-05-25T15:00:00.000000000,366.19604,389.65044
2026-05-25T16:00:00.000000000,379.91897,400.15497
2026-05-25T17:00:00.000000000,397.61311,412.95324
2026-05-25T18:00:00.000000000,416.70631,426.55269
2026-05-25T19:00:00.000000000,427.9392,441.41563
2026-05-25T20:00:00.000000000,435.47967,452.35843
2026-05-25T21:00:00.000000000,435.23905,456.52672
2026-05-25T22:00:00.000000000,440.18966,455.12223
2026-05-25T23:00:00.000000000,444.20286,447.5254
2026-05-26T00:00:00.000000000,465.5396,438.74105
2026-05-26T01:00:00.000000000,470.04577,422.25791
2026-05-26T02:00:00.000000000,460.7893,406.90915
2026-05-26T03:00:00.000000000,446.80434,393.25002
2026-05-26T04:00:00.000000000,423.10549,385.46655
2026-05-26T05:00:00.000000000,404.83984,387.08156
2026-05-26T06:00:00.000000000,399.31271,391.28358
2026-05-26T07:00:00.000000000,400.25436,397.97573
2026-05-26T08:00:00.000000000,401.04027,398.66158
2026-05-26T09:00:00.000000000,401.23834,394.95841
2026-05-26T10:00:00.000000000,400.50151,387.81211
2026-05-26T11:00:00.000000000,399.09875,380.13983
2026-05-26T12:00:00.000000000,386.70687,375.95141
2026-05-26T13:00:00.000000000,384.47154,379.86344
2026-05-26T14:00:00.000000000,384.26388,387.65438
