datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,560.34122,543.04324
2026-05-22T01:00:00.000000000,562.47694,545.04305
2026-05-22T02:00:00.000000000,560.45763,541.21577
2026-05-22T03:00:00.000000000,537.13937,530.72686
2026-05-22T04:00:00.000000000,514.77292,524.71479
2026-05-22T05:00:00.000000000,511.17051,515.0021
2026-05-22T06:00:00.000000000,512.42342,507.12902
2026-05-22T07:00:00.000000000,514.76292,501.7235
2026-05-22T08:00:00.000000000,516.10573,502.46767
2026-05-22T09:00:00.000000000,516.4725,504.82486
2026-05-22T10:00:00.000000000,515.91566,503.55172
2026-05-22T11:00:00.000000000,517.39762,501.22236
2026-05-22T12:00:00.000000000,507.88304,499.03624
2026-05-22T13:00:00.000000000,472.60518,490.40888
2026-05-22T14:00:00.000000000,472.01854,485.79169
2026-05-22T15:00:00.000000000,468.87125,483.25358
2026-05-22T16:00:00.000000000,471.93166,482.67804
2026-05-22T17:00:00.000000000,491.8115,485.60225
2026-05-22T18:00:00.000000000,511.48715,491.69357
2026-05-22T19:00:00.000000000,536.28477,501.21632
2026-05-22T20:00:00.000000000,517.35757,510.33679
2026-05-22T21:00:00.000000000,539.2601,518.87368
2026-05-22T22:00:00.000000000,540.20434,527.492
2026-05-22T23:00:00.000000000,550.8095,536.29754
2026-05-23T00:00:00.000000000,571.81548,532.09121
2026-05-23T01:00:00.000000000,573.0296,534.74322
2026-05-23T02:00:00.000000000,561.92527,533.20994
2026-05-23T03:00:00.000000000,553.58078,525.65854
2026-05-23T04:00:00.000000000,544.25199,521.86591
2026-05-23T05:00:00.000000000,540.60501,513.69975
2026-05-23T06:00:00.000000000,534.80751,506.16618
2026-05-23T07:00:00.000000000,522.84604,500.21371
2026-05-23T08:00:00.000000000,514.28228,499.5614
2026-05-23T09:00:00.000000000,511.48228,501.23302
2026-05-23T10:00:00.000000000,511.27078,500.097
2026-05-23T11:00:00.000000000,511.56383,498.87963
2026-05-23T12:00:00.000000000,512.50758,498.8586
2026-05-23T13:00:00.000000000,474.89046,491.73843
2026-05-23T14:00:00.000000000,433.39269,487.21102
2026-05-23T15:00:00.000000000,498.29927,483.51134
2026-05-23T16:00:00.000000000,475.6562,481.30877
2026-05-23T17:00:00.000000000,484.01112,481.95081
2026-05-23T18:00:00.000000000,476.1454,485.50989
2026-05-23T19:00:00.000000000,523.32307,494.0808
2026-05-23T20:00:00.000000000,526.91496,502.50827
2026-05-23T21:00:00.000000000,539.98528,510.17472
2026-05-23T22:00:00.000000000,542.4101,517.64137
2026-05-23T23:00:00.000000000,555.27867,526.16726
2026-05-24T00:00:00.000000000,571.69322,527.04831
2026-05-24T01:00:00.000000000,565.16956,529.67522
2026-05-24T02:00:00.000000000,566.8174,529.16721
2026-05-24T03:00:00.000000000,549.87275,523.31834
2026-05-24T04:00:00.000000000,535.28155,520.86174
2026-05-24T05:00:00.000000000,520.82143,513.97274
2026-05-24T06:00:00.000000000,513.7274,507.15933
2026-05-24T07:00:00.000000000,511.84815,501.23398
2026-05-24T08:00:00.000000000,513.98699,500.14846
2026-05-24T09:00:00.000000000,513.51522,501.03312
2026-05-24T10:00:00.000000000,514.23438,499.20046
2026-05-24T11:00:00.000000000,514.19066,497.58242
2026-05-24T12:00:00.000000000,501.25733,498.32505
2026-05-24T13:00:00.000000000,473.68045,492.37845
2026-05-24T14:00:00.000000000,475.90018,489.03039
2026-05-24T15:00:00.000000000,482.72946,486.1547
2026-05-24T16:00:00.000000000,485.56357,484.13178
2026-05-24T17:00:00.000000000,486.89926,483.68029
2026-05-24T18:00:00.000000000,502.56376,485.23133
2026-05-24T19:00:00.000000000,498.0468,492.49129
2026-05-24T20:00:00.000000000,500.84326,500.29764
2026-05-24T21:00:00.000000000,525.23755,507.21479
2026-05-24T22:00:00.000000000,552.04144,513.72406
2026-05-24T23:00:00.000000000,541.90019,521.67363
2026-05-25T00:00:00.000000000,560.76961,526.10088
2026-05-25T01:00:00.000000000,563.78156,528.6057
2026-05-25T02:00:00.000000000,560.01739,528.12822
2026-05-25T03:00:00.000000000,547.45076,522.421
2026-05-25T04:00:00.000000000,530.89376,520.15481
2026-05-25T05:00:00.000000000,529.5839,513.39718
2026-05-25T06:00:00.000000000,532.51111,506.63796
2026-05-25T07:00:00.000000000,520.17494,500.78406
2026-05-25T08:00:00.000000000,510.6383,499.7982
2026-05-25T09:00:00.000000000,510.93858,500.88764
2026-05-25T10:00:00.000000000,511.70402,499.21699
2026-05-25T11:00:00.000000000,510.7558,497.54675
2026-05-25T12:00:00.000000000,493.06128,498.15407
2026-05-25T13:00:00.000000000,465.7197,492.0229
2026-05-25T14:00:00.000000000,471.96361,488.50073
2026-05-25T15:00:00.000000000,468.1703,485.59738
2026-05-25T16:00:00.000000000,480.95212,483.60116
2026-05-25T17:00:00.000000000,497.32601,483.10973
2026-05-25T18:00:00.000000000,515.26514,484.58881
2026-05-25T19:00:00.000000000,525.56462,491.82486
2026-05-25T20:00:00.000000000,532.65487,499.6133
2026-05-25T21:00:00.000000000,532.9207,506.55717
2026-05-25T22:00:00.000000000,537.52178,513.00002
2026-05-25T23:00:00.000000000,543.02714,520.87822
2026-05-26T00:00:00.000000000,566.12562,525.28807
2026-05-26T01:00:00.000000000,571.5267,528.17383
2026-05-26T02:00:00.000000000,563.42366,528.03816
2026-05-26T03:00:00.000000000,551.38957,522.38033
2026-05-26T04:00:00.000000000,530.77914,519.96177
2026-05-26T05:00:00.000000000,514.93638,512.85438
2026-05-26T06:00:00.000000000,509.92915,505.88174
2026-05-26T07:00:00.000000000,510.51771,500.06546
2026-05-26T08:00:00.000000000,510.85287,499.16976
2026-05-26T09:00:00.000000000,511.06736,500.60699
2026-05-26T10:00:00.000000000,510.5252,499.31101
2026-05-26T11:00:00.000000000,509.59492,498.02448
2026-05-26T12:00:00.000000000,494.75649,498.56445
2026-05-26T13:00:00.000000000,485.55071,491.97174
2026-05-26T14:00:00.000000000,486.17659,487.64694
2026-05-26T15:00:00.000000000,487.86629,483.83774
2026-05-26T16:00:00.000000000,488.3725,481.13556
2026-05-26T17:00:00.000000000,500.28296,480.40817
2026-05-26T18:00:00.000000000,519.13377,482.0939
2026-05-26T19:00:00.000000000,524.69986,489.69417
2026-05-26T20:00:00.000000000,527.39352,497.72482
2026-05-26T21:00:00.000000000,532.4117,504.85519
2026-05-26T22:00:00.000000000,538.05445,511.58742
2026-05-26T23:00:00.000000000,548.09262,519.82773
2026-05-27T00:00:00.000000000,569.45409,523.58837
2026-05-27T01:00:00.000000000,571.49512,526.53059
2026-05-27T02:00:00.000000000,561.53934,526.77854
2026-05-27T03:00:00.000000000,549.0083,521.68417
2026-05-27T04:00:00.000000000,542.95959,519.6676
2026-05-27T05:00:00.000000000,522.10904,512.94953
2026-05-27T06:00:00.000000000,510.38822,506.25818
2026-05-27T07:00:00.000000000,511.05308,500.54579
2026-05-27T08:00:00.000000000,510.5005,499.58722
2026-05-27T09:00:00.000000000,511.27745,500.80689
2026-05-27T10:00:00.000000000,510.78738,499.27315
2026-05-27T11:00:00.000000000,522.70393,497.8476
2026-05-27T12:00:00.000000000,511.61627,498.58434
2026-05-27T13:00:00.000000000,485.44903,492.31258
2026-05-27T14:00:00.000000000,499.06954,488.29419
2026-05-27T15:00:00.000000000,503.05229,484.64429
2026-05-27T16:00:00.000000000,500.53403,481.89116
2026-05-27T17:00:00.000000000,515.50017,480.74427
2026-05-27T18:00:00.000000000,524.49682,481.77532
2026-05-27T19:00:00.000000000,529.32357,488.9716
2026-05-27T20:00:00.000000000,529.40374,496.8521
2026-05-27T21:00:00.000000000,528.20221,503.75372
2026-05-27T22:00:00.000000000,536.00613,510.21165
2026-05-27T23:00:00.000000000,549.31034,518.30338
2026-05-28T00:00:00.000000000,571.57666,522.98092
2026-05-28T01:00:00.000000000,577.30713,526.05041
2026-05-28T02:00:00.000000000,579.18473,526.6021
2026-05-28T03:00:00.000000000,585.82213,521.83555
2026-05-28T04:00:00.000000000,593.36818,519.97344
2026-05-28T05:00:00.000000000,572.97475,513.3874
2026-05-28T06:00:00.000000000,545.8113,506.68936
2026-05-28T07:00:00.000000000,541.15509,500.8059
2026-05-28T08:00:00.000000000,542.5772,499.62428
2026-05-28T09:00:00.000000000,543.05055,500.53264
2026-05-28T10:00:00.000000000,541.02831,498.82118
2026-05-28T11:00:00.000000000,539.08069,497.47314
2026-05-28T12:00:00.000000000,540.93509,498.60386
2026-05-28T13:00:00.000000000,548.97029,492.7466
2026-05-28T14:00:00.000000000,555.65733,489.06859
2026-05-28T15:00:00.000000000,539.67226,485.55248
2026-05-28T16:00:00.000000000,531.47569,482.76211
2026-05-28T17:00:00.000000000,529.77822,481.35256
2026-05-28T18:00:00.000000000,530.38767,481.93822
2026-05-28T19:00:00.000000000,542.00977,488.84384
2026-05-28T20:00:00.000000000,551.06681,496.55259
2026-05-28T21:00:00.000000000,550.45354,503.20114
2026-05-28T22:00:00.000000000,564.38939,509.481
2026-05-28T23:00:00.000000000,564.67683,517.52276
2026-05-23T00:00:00.000000000,571.81548,541.79779
2026-05-23T01:00:00.000000000,573.0296,543.88487
2026-05-23T02:00:00.000000000,561.92527,540.29964
2026-05-23T03:00:00.000000000,553.58078,530.0374
2026-05-23T04:00:00.000000000,544.25199,524.27406
2026-05-23T05:00:00.000000000,540.60501,514.73232
2026-05-23T06:00:00.000000000,534.80751,506.82821
2026-05-23T07:00:00.000000000,522.84604,501.3204
2026-05-23T08:00:00.000000000,514.28228,501.82854
2026-05-23T09:00:00.000000000,511.48228,504.20817
2026-05-23T10:00:00.000000000,511.27078,503.14165
2026-05-23T11:00:00.000000000,511.56383,501.20175
2026-05-23T12:00:00.000000000,512.50758,499.41914
2026-05-23T13:00:00.000000000,474.89046,490.90053
2026-05-23T14:00:00.000000000,433.39269,486.07467
2026-05-23T15:00:00.000000000,498.29927,483.1143
2026-05-23T16:00:00.000000000,475.6562,482.16874
