datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T01:00:00.000000000,441.3063,411.54218
2026-05-22T02:00:00.000000000,444.29268,411.8867
2026-05-22T03:00:00.000000000,452.45783,409.98197
2026-05-22T04:00:00.000000000,450.38315,403.08641
2026-05-22T05:00:00.000000000,438.5381,395.47015
2026-05-22T06:00:00.000000000,419.41088,390.23092
2026-05-22T07:00:00.000000000,410.5729,390.82411
2026-05-22T08:00:00.000000000,409.89979,392.07466
2026-05-22T09:00:00.000000000,410.79934,386.76282
2026-05-22T10:00:00.000000000,410.25303,373.84953
2026-05-22T11:00:00.000000000,412.37607,353.54482
2026-05-22T12:00:00.000000000,373.90901,333.07178
2026-05-22T13:00:00.000000000,300.87507,318.03404
2026-05-22T14:00:00.000000000,277.79485,304.68382
2026-05-22T15:00:00.000000000,292.92214,306.84011
2026-05-22T16:00:00.000000000,317.44523,316.98929
2026-05-22T17:00:00.000000000,340.60191,328.26988
2026-05-22T18:00:00.000000000,357.46934,339.26353
2026-05-22T19:00:00.000000000,359.06019,350.26657
2026-05-22T20:00:00.000000000,358.41965,360.95312
2026-05-22T21:00:00.000000000,370.89521,369.78004
2026-05-22T22:00:00.000000000,378.5328,380.45422
2026-05-22T23:00:00.000000000,387.4523,394.89306
2026-05-23T00:00:00.000000000,422.87382,406.32772
2026-05-23T01:00:00.000000000,439.15912,403.54869
2026-05-23T02:00:00.000000000,435.47365,405.21193
2026-05-23T03:00:00.000000000,443.231,402.93676
2026-05-23T04:00:00.000000000,447.39536,395.73155
2026-05-23T05:00:00.000000000,445.02042,389.74122
2026-05-23T06:00:00.000000000,439.11492,386.33698
2026-05-23T07:00:00.000000000,417.971,386.47414
2026-05-23T08:00:00.000000000,408.78902,386.76447
2026-05-23T09:00:00.000000000,401.02588,381.29753
2026-05-23T10:00:00.000000000,394.94465,368.31997
2026-05-23T11:00:00.000000000,392.7979,348.80897
2026-05-23T12:00:00.000000000,364.94027,331.83942
2026-05-23T13:00:00.000000000,337.34964,323.88233
2026-05-23T14:00:00.000000000,370.45002,318.07932
2026-05-23T15:00:00.000000000,401.5599,324.28287
2026-05-23T16:00:00.000000000,383.99217,334.16528
2026-05-23T17:00:00.000000000,370.7382,341.36164
2026-05-23T18:00:00.000000000,348.80304,347.1218
2026-05-23T19:00:00.000000000,352.70424,353.57566
2026-05-23T20:00:00.000000000,357.023,360.08848
2026-05-23T21:00:00.000000000,367.75205,365.2996
2026-05-23T22:00:00.000000000,382.06564,372.2743
2026-05-23T23:00:00.000000000,397.3724,383.40882
2026-05-24T00:00:00.000000000,426.09224,394.13933
2026-05-24T01:00:00.000000000,440.18519,397.84723
2026-05-24T02:00:00.000000000,433.9581,400.06993
2026-05-24T03:00:00.000000000,434.14839,398.13736
2026-05-24T04:00:00.000000000,415.62357,391.55184
2026-05-24T05:00:00.000000000,400.87748,386.76214
2026-05-24T06:00:00.000000000,393.36638,384.43543
2026-05-24T07:00:00.000000000,393.73871,384.62828
2026-05-24T08:00:00.000000000,395.24327,384.67875
2026-05-24T09:00:00.000000000,395.79626,379.19866
2026-05-24T10:00:00.000000000,395.74455,366.5536
2026-05-24T11:00:00.000000000,395.9622,348.07941
2026-05-24T12:00:00.000000000,350.9866,333.21095
2026-05-24T13:00:00.000000000,285.8604,328.10844
2026-05-24T14:00:00.000000000,279.73767,324.73465
2026-05-24T15:00:00.000000000,297.0975,331.81818
2026-05-24T16:00:00.000000000,332.43311,341.11161
2026-05-24T17:00:00.000000000,380.58082,346.32403
2026-05-24T18:00:00.000000000,372.03711,349.76118
2026-05-24T19:00:00.000000000,371.63434,354.25598
2026-05-24T20:00:00.000000000,374.4386,358.70003
2026-05-24T21:00:00.000000000,385.8351,361.90794
2026-05-24T22:00:00.000000000,402.69643,367.21516
2026-05-24T23:00:00.000000000,422.14343,377.0929
2026-05-25T00:00:00.000000000,434.78398,387.31713
2026-05-25T01:00:00.000000000,432.03794,391.52476
2026-05-25T02:00:00.000000000,427.74078,396.03571
2026-05-25T03:00:00.000000000,425.64958,396.26285
2026-05-25T04:00:00.000000000,415.64609,390.83916
2026-05-25T05:00:00.000000000,410.80599,386.52806
