datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T01:00:00.000000000,551.12011,537.36039
2026-05-22T02:00:00.000000000,552.90604,536.27179
2026-05-22T03:00:00.000000000,559.70478,535.4393
2026-05-22T04:00:00.000000000,557.92942,530.5973
2026-05-22T05:00:00.000000000,547.90904,522.64488
2026-05-22T06:00:00.000000000,531.67544,517.36987
2026-05-22T07:00:00.000000000,524.22602,514.75248
2026-05-22T08:00:00.000000000,523.63552,514.88163
2026-05-22T09:00:00.000000000,524.41176,515.23618
2026-05-22T10:00:00.000000000,523.95989,507.12394
2026-05-22T11:00:00.000000000,525.41309,478.62008
2026-05-22T12:00:00.000000000,480.90347,439.09981
2026-05-22T13:00:00.000000000,399.16715,408.10026
2026-05-22T14:00:00.000000000,372.40764,398.67828
2026-05-22T15:00:00.000000000,387.6273,408.29764
2026-05-22T16:00:00.000000000,411.30627,424.00546
2026-05-22T17:00:00.000000000,434.74277,435.97864
2026-05-22T18:00:00.000000000,451.9,444.62928
2026-05-22T19:00:00.000000000,453.06532,457.88419
2026-05-22T20:00:00.000000000,452.86215,475.18944
2026-05-22T21:00:00.000000000,468.6503,497.06423
2026-05-22T22:00:00.000000000,478.05871,518.50904
2026-05-22T23:00:00.000000000,488.09332,534.645
2026-05-23T00:00:00.000000000,529.08906,541.1251
2026-05-23T01:00:00.000000000,548.40537,539.25295
2026-05-23T02:00:00.000000000,545.33447,535.63168
2026-05-23T03:00:00.000000000,551.92067,532.32918
2026-05-23T04:00:00.000000000,555.41604,526.79049
2026-05-23T05:00:00.000000000,553.39213,520.11698
2026-05-23T06:00:00.000000000,548.39182,516.28499
2026-05-23T07:00:00.000000000,530.49839,514.46962
2026-05-23T08:00:00.000000000,522.70677,513.95064
2026-05-23T09:00:00.000000000,516.16,515.11819
2026-05-23T10:00:00.000000000,511.00565,510.54977
2026-05-23T11:00:00.000000000,508.82009,486.20597
2026-05-23T12:00:00.000000000,475.58035,448.59107
2026-05-23T13:00:00.000000000,442.92716,417.89571
2026-05-23T14:00:00.000000000,473.62731,408.2234
2026-05-23T15:00:00.000000000,499.11587,416.37448
2026-05-23T16:00:00.000000000,477.53838,430.52948
2026-05-23T17:00:00.000000000,463.56724,442.48757
2026-05-23T18:00:00.000000000,439.24785,450.77861
2026-05-23T19:00:00.000000000,445.08636,462.24064
2026-05-23T20:00:00.000000000,451.98252,477.99251
2026-05-23T21:00:00.000000000,465.55303,499.05468
2026-05-23T22:00:00.000000000,483.11807,519.58904
2026-05-23T23:00:00.000000000,500.84007,536.53584
2026-05-24T00:00:00.000000000,533.39122,544.54249
2026-05-24T01:00:00.000000000,549.14153,535.78917
2026-05-24T02:00:00.000000000,544.04688,531.53678
2026-05-24T03:00:00.000000000,544.19882,528.49106
2026-05-24T04:00:00.000000000,528.52243,524.03669
2026-05-24T05:00:00.000000000,516.0148,518.41012
2026-05-24T06:00:00.000000000,509.65517,515.21071
2026-05-24T07:00:00.000000000,509.9729,513.5603
2026-05-24T08:00:00.000000000,511.24941,512.69633
2026-05-24T09:00:00.000000000,511.71408,513.35246
2026-05-24T10:00:00.000000000,511.66054,509.16217
2026-05-24T11:00:00.000000000,511.75626,486.83353
2026-05-24T12:00:00.000000000,458.33295,451.35
2026-05-24T13:00:00.000000000,381.07928,420.77429
2026-05-24T14:00:00.000000000,374.76372,409.60896
2026-05-24T15:00:00.000000000,395.76853,415.68433
2026-05-24T16:00:00.000000000,430.82092,428.55473
2026-05-24T17:00:00.000000000,477.81752,440.32161
2026-05-24T18:00:00.000000000,467.23905,449.19865
2026-05-24T19:00:00.000000000,468.16739,461.19313
2026-05-24T20:00:00.000000000,472.04254,476.61389
2026-05-24T21:00:00.000000000,486.37494,496.29319
2026-05-24T22:00:00.000000000,506.91154,515.70362
2026-05-24T23:00:00.000000000,530.10323,532.67664
2026-05-25T00:00:00.000000000,543.92848,541.14388
2026-05-25T01:00:00.000000000,542.36868,529.44526
2026-05-25T02:00:00.000000000,538.78086,525.18747
2026-05-25T03:00:00.000000000,536.99851,523.43315
2026-05-25T04:00:00.000000000,528.53276,520.61838
2026-05-25T05:00:00.000000000,524.41816,516.42932
2026-05-25T06:00:00.000000000,518.12698,514.28784
2026-05-25T07:00:00.000000000,510.57104,512.76098
2026-05-25T08:00:00.000000000,511.19311,511.3067
2026-05-25T09:00:00.000000000,511.71053,510.80943
2026-05-25T10:00:00.000000000,511.5844,506.30825
2026-05-25T11:00:00.000000000,510.49976,485.64313
2026-05-25T12:00:00.000000000,467.60398,452.47382
2026-05-25T13:00:00.000000000,401.62141,422.08722
2026-05-25T14:00:00.000000000,388.77179,409.11681
2026-05-25T15:00:00.000000000,395.79198,413.09074
2026-05-25T16:00:00.000000000,405.13899,424.97134
2026-05-25T17:00:00.000000000,416.67229,436.66308
2026-05-25T18:00:00.000000000,423.72227,446.17686
2026-05-25T19:00:00.000000000,436.97732,459.29482
2026-05-25T20:00:00.000000000,463.42093,475.16623
2026-05-25T21:00:00.000000000,474.6343,493.67546
2026-05-25T22:00:00.000000000,486.77751,511.89142
2026-05-25T23:00:00.000000000,509.43141,528.01445
2026-05-26T00:00:00.000000000,533.006,535.4236
2026-05-26T01:00:00.000000000,544.93635,530.02841
2026-05-26T02:00:00.000000000,539.9645,526.0576
2026-05-26T03:00:00.000000000,528.51976,524.45568
2026-05-26T04:00:00.000000000,515.45754,521.39947
2026-05-26T05:00:00.000000000,507.84568,517.08367
2026-05-26T06:00:00.000000000,508.85768,514.93813
2026-05-26T07:00:00.000000000,509.65743,513.30601
2026-05-26T08:00:00.000000000,510.73103,511.81944
2026-05-26T09:00:00.000000000,510.74461,511.57653
2026-05-26T10:00:00.000000000,510.44495,507.01152
2026-05-26T11:00:00.000000000,509.00886,485.37874
2026-05-26T12:00:00.000000000,477.91019,451.0635
2026-05-26T13:00:00.000000000,414.2143,420.65756
2026-05-26T14:00:00.000000000,397.21582,408.60092
2026-05-26T15:00:00.000000000,398.35056,413.55214
2026-05-26T16:00:00.000000000,403.09754,425.78656
2026-05-26T17:00:00.000000000,418.58398,437.46077
2026-05-26T18:00:00.000000000,423.24001,446.82195
2026-05-26T19:00:00.000000000,430.97129,459.8009
2026-05-26T20:00:00.000000000,448.81702,475.82219
2026-05-26T21:00:00.000000000,453.35958,495.01956
2026-05-26T22:00:00.000000000,481.87857,513.87837
2026-05-26T23:00:00.000000000,500.82911,529.90179
2026-05-27T00:00:00.000000000,525.00493,536.62406
2026-05-27T01:00:00.000000000,541.28966,532.37505
2026-05-27T02:00:00.000000000,542.94588,528.72111
2026-05-27T03:00:00.000000000,535.75583,526.63784
2026-05-27T04:00:00.000000000,525.57292,522.92177
2026-05-27T05:00:00.000000000,517.43861,518.32556
2026-05-27T06:00:00.000000000,515.96527,516.10139
2026-05-27T07:00:00.000000000,509.5627,514.42794
2026-05-27T08:00:00.000000000,509.77228,513.18153
2026-05-27T09:00:00.000000000,510.51083,513.86744
2026-05-27T10:00:00.000000000,509.84413,509.6428
2026-05-27T11:00:00.000000000,507.86179,486.56874
2026-05-27T12:00:00.000000000,486.8755,450.17582
2026-05-27T13:00:00.000000000,444.10814,419.09768
2026-05-27T14:00:00.000000000,410.49113,407.68617
2026-05-27T15:00:00.000000000,415.18839,413.50848
2026-05-27T16:00:00.000000000,424.05544,426.18353
2026-05-27T17:00:00.000000000,438.78686,438.07648
2026-05-27T18:00:00.000000000,456.52614,447.55276
2026-05-27T19:00:00.000000000,469.4025,460.51308
2026-05-27T20:00:00.000000000,468.21614,476.75298
2026-05-27T21:00:00.000000000,479.86239,496.73517
2026-05-27T22:00:00.000000000,491.50242,516.03385
2026-05-27T23:00:00.000000000,506.37419,531.79879
2026-05-28T00:00:00.000000000,534.34803,538.35471
2026-05-28T01:00:00.000000000,546.45873,532.05761
2026-05-28T02:00:00.000000000,546.93,528.5208
2026-05-28T03:00:00.000000000,554.51588,526.67018
2026-05-28T04:00:00.000000000,554.01591,522.98951
2026-05-28T05:00:00.000000000,535.35433,518.35137
2026-05-28T06:00:00.000000000,516.98665,516.05839
2026-05-28T07:00:00.000000000,509.00674,514.18377
2026-05-28T08:00:00.000000000,510.0521,512.70877
2026-05-28T09:00:00.000000000,510.37986,513.1304
2026-05-28T10:00:00.000000000,509.97947,508.713
2026-05-28T11:00:00.000000000,508.52896,485.76883
2026-05-28T12:00:00.000000000,486.46033,449.78493
2026-05-28T13:00:00.000000000,439.48949,419.15028
2026-05-28T14:00:00.000000000,409.53696,407.98337
2026-05-28T15:00:00.000000000,422.54418,413.94678
2026-05-28T16:00:00.000000000,433.77002,426.7449
2026-05-28T17:00:00.000000000,453.35686,438.78929
2026-05-28T18:00:00.000000000,453.07918,448.32918
2026-05-28T19:00:00.000000000,465.17743,461.0993
2026-05-28T20:00:00.000000000,472.28746,476.87612
2026-05-28T21:00:00.000000000,484.78095,496.47727
2026-05-28T22:00:00.000000000,498.66682,515.78665
2026-05-28T23:00:00.000000000,507.29781,531.68228
2026-05-29T00:00:00.000000000,532.51655,538.0967
2026-05-23T01:00:00.000000000,548.40537,537.15335
2026-05-23T02:00:00.000000000,545.33447,538.00829
2026-05-23T03:00:00.000000000,551.92067,537.50606
2026-05-23T04:00:00.000000000,555.41604,532.00563
2026-05-23T05:00:00.000000000,553.39213,524.35865
2026-05-23T06:00:00.000000000,548.39182,519.71124
2026-05-23T07:00:00.000000000,530.49839,517.70079
2026-05-23T08:00:00.000000000,522.70677,517.82169
2026-05-23T09:00:00.000000000,516.16,517.15506
2026-05-23T10:00:00.000000000,511.00565,506.52639
2026-05-23T11:00:00.000000000,508.82009,474.90749
2026-05-23T12:00:00.000000000,475.58035,434.54932
2026-05-23T13:00:00.000000000,442.92716,406.08852
2026-05-23T14:00:00.000000000,473.62731,400.26131
2026-05-23T15:00:00.000000000,499.11587,413.29349
2026-05-23T16:00:00.000000000,477.53838,431.1881
2026-05-23T17:00:00.000000000,463.56724,443.60906
2026-05-23T18:00:00.000000000,439.24785,449.73376
2026-05-23T19:00:00.000000000,445.08636,459.41612
2026-05-23T20:00:00.000000000,451.98252,474.97277
2026-05-23T21:00:00.000000000,465.55303,497.24049
2026-05-23T22:00:00.000000000,483.11807,519.06539
2026-05-23T23:00:00.000000000,500.84007,534.31148
2026-05-24T00:00:00.000000000,533.39122,540.38435
2026-05-24T01:00:00.000000000,549.14153,538.8707
2026-05-24T02:00:00.000000000,544.04688,534.61971
2026-05-24T03:00:00.000000000,544.19882,531.31583
2026-05-24T04:00:00.000000000,528.52243,525.79888
2026-05-24T05:00:00.000000000,516.0148,519.22123
2026-05-24T06:00:00.000000000,509.65517,515.73153
2026-05-24T07:00:00.000000000,509.9729,514.27045
2026-05-24T08:00:00.000000000,511.24941,514.20793
2026-05-24T09:00:00.000000000,511.71408,515.65384
2026-05-24T10:00:00.000000000,511.66054,509.94786
2026-05-24T11:00:00.000000000,511.75626,482.85945
2026-05-24T12:00:00.000000000,458.33295,442.87317
2026-05-24T13:00:00.000000000,381.07928,411.92343
