datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,324.25885,319.49159
2026-05-22T01:00:00.000000000,323.0657,319.61172
2026-05-22T02:00:00.000000000,321.89381,318.33792
2026-05-22T03:00:00.000000000,318.39858,314.09783
2026-05-22T04:00:00.000000000,313.95376,308.4291
2026-05-22T05:00:00.000000000,309.38734,302.70436
2026-05-22T06:00:00.000000000,305.16789,297.46126
2026-05-22T07:00:00.000000000,301.35553,293.14499
2026-05-22T08:00:00.000000000,299.58531,290.73381
2026-05-22T09:00:00.000000000,297.75258,291.15283
2026-05-22T10:00:00.000000000,299.11798,292.68624
2026-05-22T11:00:00.000000000,301.68268,291.83948
2026-05-22T12:00:00.000000000,299.45655,289.55185
2026-05-22T13:00:00.000000000,294.40802,288.46691
2026-05-22T14:00:00.000000000,297.09942,288.79534
2026-05-22T15:00:00.000000000,300.7865,289.99027
2026-05-22T16:00:00.000000000,303.3467,293.68584
2026-05-22T17:00:00.000000000,305.60872,299.11906
2026-05-22T18:00:00.000000000,308.9758,304.66121
2026-05-22T19:00:00.000000000,313.20976,308.64254
2026-05-22T20:00:00.000000000,315.73793,311.23598
2026-05-22T21:00:00.000000000,317.50775,313.0234
2026-05-22T22:00:00.000000000,317.84165,315.09725
2026-05-22T23:00:00.000000000,320.6529,316.89594
2026-05-23T00:00:00.000000000,323.51389,316.07693
2026-05-23T01:00:00.000000000,322.23597,315.8772
2026-05-23T02:00:00.000000000,321.73063,314.08839
2026-05-23T03:00:00.000000000,318.93053,309.35173
2026-05-23T04:00:00.000000000,315.24492,303.2283
2026-05-23T05:00:00.000000000,310.94101,297.16425
2026-05-23T06:00:00.000000000,307.57041,291.75769
2026-05-23T07:00:00.000000000,304.2572,287.45057
2026-05-23T08:00:00.000000000,301.05054,285.12151
2026-05-23T09:00:00.000000000,298.98805,285.45026
2026-05-23T10:00:00.000000000,298.20383,286.9183
2026-05-23T11:00:00.000000000,297.889,286.44414
2026-05-23T12:00:00.000000000,295.84331,284.94595
2026-05-23T13:00:00.000000000,293.08473,284.55452
2026-05-23T14:00:00.000000000,293.47093,285.30187
2026-05-23T15:00:00.000000000,300.50786,286.52486
2026-05-23T16:00:00.000000000,303.31139,289.89243
2026-05-23T17:00:00.000000000,305.12726,295.03874
2026-05-23T18:00:00.000000000,308.89116,300.80855
2026-05-23T19:00:00.000000000,311.51002,305.46571
2026-05-23T20:00:00.000000000,313.78685,308.56041
2026-05-23T21:00:00.000000000,316.23723,310.24653
2026-05-23T22:00:00.000000000,317.98912,311.91329
2026-05-23T23:00:00.000000000,320.13794,313.56809
2026-05-24T00:00:00.000000000,324.36307,313.64698
2026-05-24T01:00:00.000000000,322.54438,313.24896
2026-05-24T02:00:00.000000000,321.70051,311.06387
2026-05-24T03:00:00.000000000,319.15002,305.54561
2026-05-24T04:00:00.000000000,315.41346,297.96929
2026-05-24T05:00:00.000000000,311.70528,290.29023
2026-05-24T06:00:00.000000000,307.87671,284.11402
2026-05-24T07:00:00.000000000,303.98139,280.21302
2026-05-24T08:00:00.000000000,300.90392,278.70328
2026-05-24T09:00:00.000000000,298.77983,279.31843
2026-05-24T10:00:00.000000000,297.87261,280.78073
2026-05-24T11:00:00.000000000,297.49425,280.53972
2026-05-24T12:00:00.000000000,296.46595,279.41423
2026-05-24T13:00:00.000000000,292.92585,279.18839
2026-05-24T14:00:00.000000000,295.03732,279.91672
2026-05-24T15:00:00.000000000,297.18978,280.70093
2026-05-24T16:00:00.000000000,299.83304,283.27115
2026-05-24T17:00:00.000000000,302.7357,287.94092
2026-05-24T18:00:00.000000000,307.26674,294.16886
2026-05-24T19:00:00.000000000,313.65104,299.99725
2026-05-24T20:00:00.000000000,315.96108,304.27938
2026-05-24T21:00:00.000000000,317.39042,306.75439
2026-05-24T22:00:00.000000000,319.88536,308.94791
2026-05-24T23:00:00.000000000,322.23099,311.11039
2026-05-25T00:00:00.000000000,323.05917,311.17936
2026-05-25T01:00:00.000000000,321.56587,310.2805
2026-05-25T02:00:00.000000000,320.85711,307.51955
2026-05-25T03:00:00.000000000,318.20686,301.92722
