datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,430.54797,430.95471
2026-05-22T01:00:00.000000000,429.35057,430.02976
2026-05-22T02:00:00.000000000,427.852,426.16748
2026-05-22T03:00:00.000000000,423.33655,420.22059
2026-05-22T04:00:00.000000000,417.59432,413.64115
2026-05-22T05:00:00.000000000,411.69499,407.13998
2026-05-22T06:00:00.000000000,406.24392,400.69108
2026-05-22T07:00:00.000000000,401.31876,395.82828
2026-05-22T08:00:00.000000000,399.03183,393.52762
2026-05-22T09:00:00.000000000,396.66414,393.36634
2026-05-22T10:00:00.000000000,398.42809,394.08916
2026-05-22T11:00:00.000000000,401.74364,395.93162
2026-05-22T12:00:00.000000000,398.90672,396.48382
2026-05-22T13:00:00.000000000,392.49305,393.34091
2026-05-22T14:00:00.000000000,396.07234,389.54751
2026-05-22T15:00:00.000000000,400.88088,389.68439
2026-05-22T16:00:00.000000000,404.19912,394.89171
2026-05-22T17:00:00.000000000,407.15614,402.08749
2026-05-22T18:00:00.000000000,411.49024,408.05413
2026-05-22T19:00:00.000000000,416.93418,412.4484
2026-05-22T20:00:00.000000000,420.0938,415.953
2026-05-22T21:00:00.000000000,422.37884,419.66092
2026-05-22T22:00:00.000000000,422.77405,423.2343
2026-05-22T23:00:00.000000000,426.03457,427.1519
2026-05-23T00:00:00.000000000,429.53353,428.2061
2026-05-23T01:00:00.000000000,428.30136,427.22426
2026-05-23T02:00:00.000000000,427.64119,423.35458
2026-05-23T03:00:00.000000000,424.02377,417.16485
2026-05-23T04:00:00.000000000,419.26235,409.96106
2026-05-23T05:00:00.000000000,413.70217,402.75713
2026-05-23T06:00:00.000000000,409.34772,395.94847
2026-05-23T07:00:00.000000000,405.06741,391.10685
2026-05-23T08:00:00.000000000,400.92475,389.06289
2026-05-23T09:00:00.000000000,398.26024,389.31862
2026-05-23T10:00:00.000000000,397.24711,390.42041
2026-05-23T11:00:00.000000000,396.84038,392.40772
2026-05-23T12:00:00.000000000,394.24577,393.00387
2026-05-23T13:00:00.000000000,390.73799,389.97985
2026-05-23T14:00:00.000000000,391.30604,386.46002
2026-05-23T15:00:00.000000000,400.42162,386.87165
2026-05-23T16:00:00.000000000,404.14965,392.28719
2026-05-23T17:00:00.000000000,406.55169,399.58717
2026-05-23T18:00:00.000000000,411.39006,405.58806
2026-05-23T19:00:00.000000000,414.76073,410.03708
2026-05-23T20:00:00.000000000,417.65538,413.6841
2026-05-23T21:00:00.000000000,420.77584,417.46099
2026-05-23T22:00:00.000000000,422.9272,420.9083
2026-05-23T23:00:00.000000000,425.62191,424.57789
2026-05-24T00:00:00.000000000,430.63263,421.41704
2026-05-24T01:00:00.000000000,428.68425,420.34086
2026-05-24T02:00:00.000000000,427.60545,416.56823
2026-05-24T03:00:00.000000000,424.30733,410.44596
2026-05-24T04:00:00.000000000,419.48009,402.86083
2026-05-24T05:00:00.000000000,414.68953,394.73381
2026-05-24T06:00:00.000000000,409.74343,386.85596
2026-05-24T07:00:00.000000000,404.71109,381.29918
