datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T08:00:00.000000000,2.37644,2.71174
2026-05-20T09:00:00.000000000,2.25482,2.73948
2026-05-20T10:00:00.000000000,2.31905,2.39324
2026-05-20T11:00:00.000000000,2.46601,2.05072
2026-05-20T12:00:00.000000000,2.52273,1.95415
2026-05-20T13:00:00.000000000,2.49302,2.07724
2026-05-20T14:00:00.000000000,2.47021,2.30651
2026-05-20T15:00:00.000000000,2.4761,2.56295
2026-05-20T16:00:00.000000000,2.50786,2.83381
2026-05-20T17:00:00.000000000,2.52298,3.15529
2026-05-20T18:00:00.000000000,2.44783,3.29103
2026-05-20T19:00:00.000000000,2.42868,3.31083
2026-05-20T20:00:00.000000000,2.52382,3.35419
2026-05-20T21:00:00.000000000,2.57172,3.27398
2026-05-20T22:00:00.000000000,2.55132,3.18649
2026-05-20T23:00:00.000000000,2.36995,3.17644
2026-05-21T00:00:00.000000000,2.34051,3.07686
2026-05-21T01:00:00.000000000,2.29995,3.03631
2026-05-21T02:00:00.000000000,2.37023,2.89957
2026-05-21T03:00:00.000000000,2.4073,2.78761
2026-05-21T04:00:00.000000000,2.39029,2.86925
2026-05-21T05:00:00.000000000,2.42626,3.13767
2026-05-21T06:00:00.000000000,2.49913,3.36263
2026-05-21T07:00:00.000000000,2.45875,3.52728
2026-05-21T08:00:00.000000000,2.36183,2.87005
2026-05-21T09:00:00.000000000,2.36917,2.8687
2026-05-21T10:00:00.000000000,2.38074,2.51231
2026-05-21T11:00:00.000000000,2.19625,2.16059
2026-05-21T12:00:00.000000000,2.20519,2.0323
2026-05-21T13:00:00.000000000,2.28451,2.11914
2026-05-21T14:00:00.000000000,2.2605,2.33471
2026-05-21T15:00:00.000000000,2.27122,2.60985
2026-05-21T16:00:00.000000000,2.24828,2.91073
2026-05-21T17:00:00.000000000,2.24491,3.26604
2026-05-21T18:00:00.000000000,2.3115,3.45018
2026-05-21T19:00:00.000000000,2.42252,3.52409
2026-05-21T20:00:00.000000000,2.32805,3.60174
2026-05-21T21:00:00.000000000,2.35084,3.52598
2026-05-21T22:00:00.000000000,2.53664,3.41042
2026-05-21T23:00:00.000000000,2.39486,3.34602
2026-05-22T00:00:00.000000000,2.50439,3.18942
2026-05-22T01:00:00.000000000,2.45895,3.10785
2026-05-22T02:00:00.000000000,2.51916,2.95362
2026-05-22T03:00:00.000000000,2.67475,2.83979
2026-05-22T04:00:00.000000000,2.75763,2.92894
2026-05-22T05:00:00.000000000,2.69588,3.21227
2026-05-22T06:00:00.000000000,2.68033,3.46466
2026-05-22T07:00:00.000000000,2.54308,3.65356
2026-05-22T08:00:00.000000000,2.55312,2.94955
2026-05-22T09:00:00.000000000,2.4925,2.9343
2026-05-22T10:00:00.000000000,2.43566,2.57251
2026-05-22T11:00:00.000000000,2.35726,2.21618
2026-05-22T12:00:00.000000000,2.44157,2.07351
2026-05-22T13:00:00.000000000,2.42788,2.14436
2026-05-22T14:00:00.000000000,2.65447,2.35447
2026-05-22T15:00:00.000000000,2.55444,2.63932
2026-05-22T16:00:00.000000000,2.7269,2.95535
2026-05-22T17:00:00.000000000,2.77431,3.32711
2026-05-22T18:00:00.000000000,2.82834,3.53364
2026-05-22T19:00:00.000000000,2.54273,3.63232
2026-05-22T20:00:00.000000000,2.67564,3.7253
2026-05-22T21:00:00.000000000,2.6041,3.65097
2026-05-22T22:00:00.000000000,2.47929,3.52188
2026-05-22T23:00:00.000000000,2.49042,3.43187
2026-05-23T00:00:00.000000000,2.66544,3.2486
2026-05-23T01:00:00.000000000,2.79324,3.1476
2026-05-23T02:00:00.000000000,2.78414,2.98458
2026-05-23T03:00:00.000000000,2.86866,2.86927
2026-05-23T04:00:00.000000000,2.92096,2.96171
2026-05-23T05:00:00.000000000,2.87899,3.25202
2026-05-23T06:00:00.000000000,2.85507,3.51703
2026-05-23T07:00:00.000000000,2.77666,3.71689
2026-05-23T08:00:00.000000000,2.91348,2.65069
2026-05-23T09:00:00.000000000,2.93147,2.69016
2026-05-23T10:00:00.000000000,3.1305,2.34754
2026-05-23T11:00:00.000000000,3.00182,2.00853
2026-05-23T12:00:00.000000000,3.06467,1.92534
2026-05-23T13:00:00.000000000,3.07783,2.06408
2026-05-23T14:00:00.000000000,3.17154,2.29976
2026-05-23T15:00:00.000000000,3.11656,2.54931
2026-05-23T16:00:00.000000000,3.07067,2.80875
2026-05-23T17:00:00.000000000,2.8396,3.11685
2026-05-23T18:00:00.000000000,2.62808,3.23256
2026-05-23T19:00:00.000000000,2.78623,3.22971
2026-05-23T20:00:00.000000000,2.7124,3.25841
2026-05-23T21:00:00.000000000,2.59117,3.1758
2026-05-23T22:00:00.000000000,2.55558,3.09948
2026-05-23T23:00:00.000000000,2.48517,3.11161
2026-05-24T00:00:00.000000000,2.11504,3.03548
2026-05-24T01:00:00.000000000,2.04356,3.01161
2026-05-24T02:00:00.000000000,2.30478,2.88157
2026-05-24T03:00:00.000000000,2.41092,2.76989
2026-05-24T04:00:00.000000000,2.44793,2.8483
2026-05-24T05:00:00.000000000,2.48433,3.11061
2026-05-24T06:00:00.000000000,2.47869,3.32415
2026-05-24T07:00:00.000000000,2.41199,3.47853
2026-05-24T08:00:00.000000000,2.46792,2.47965
2026-05-24T09:00:00.000000000,2.54216,2.55346
2026-05-24T10:00:00.000000000,2.443,2.21977
2026-05-24T11:00:00.000000000,2.39278,1.89015
2026-05-24T12:00:00.000000000,2.36907,1.84795
2026-05-24T13:00:00.000000000,2.33947,2.03595
2026-05-24T14:00:00.000000000,2.34253,2.29348
2026-05-24T15:00:00.000000000,2.34744,2.52506
2026-05-24T16:00:00.000000000,2.31887,2.75347
2026-05-24T17:00:00.000000000,2.45839,3.02351
2026-05-24T18:00:00.000000000,2.26429,3.07906
2026-05-24T19:00:00.000000000,2.21523,3.00716
2026-05-24T20:00:00.000000000,2.22001,2.99001
2026-05-24T21:00:00.000000000,2.20306,2.89821
2026-05-24T22:00:00.000000000,2.16247,2.85394
2026-05-24T23:00:00.000000000,2.12395,2.93183
2026-05-25T00:00:00.000000000,2.1801,2.92593
2026-05-25T01:00:00.000000000,2.33853,2.95152
2026-05-25T02:00:00.000000000,2.30109,2.84001
