datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T08:00:00.000000000,21.43085,22.47569
2026-05-20T09:00:00.000000000,22.59944,23.61764
2026-05-20T10:00:00.000000000,24.08544,24.84745
2026-05-20T11:00:00.000000000,24.87842,25.43814
2026-05-20T12:00:00.000000000,24.64716,25.6211
2026-05-20T13:00:00.000000000,24.85991,25.8246
2026-05-20T14:00:00.000000000,25.06369,26.24285
2026-05-20T15:00:00.000000000,24.95066,26.3121
2026-05-20T16:00:00.000000000,24.81577,26.2283
2026-05-20T17:00:00.000000000,24.81779,25.85411
2026-05-20T18:00:00.000000000,23.84568,25.42391
2026-05-20T19:00:00.000000000,22.22704,25.29136
2026-05-20T20:00:00.000000000,21.38159,24.66873
2026-05-20T21:00:00.000000000,21.17941,24.26137
2026-05-20T22:00:00.000000000,21.04623,24.04149
2026-05-20T23:00:00.000000000,20.61457,23.57625
2026-05-21T00:00:00.000000000,20.43753,23.543
2026-05-21T01:00:00.000000000,20.3474,22.57309
2026-05-21T02:00:00.000000000,20.27881,21.56675
2026-05-21T03:00:00.000000000,20.27389,21.03268
2026-05-21T04:00:00.000000000,20.26945,20.75594
2026-05-21T05:00:00.000000000,20.35552,21.09968
2026-05-21T06:00:00.000000000,20.88734,21.651
2026-05-21T07:00:00.000000000,21.63576,22.07009
2026-05-21T08:00:00.000000000,23.07614,22.22102
2026-05-21T09:00:00.000000000,25.28157,23.29318
2026-05-21T10:00:00.000000000,26.48532,24.51538
2026-05-21T11:00:00.000000000,26.29239,25.13108
2026-05-21T12:00:00.000000000,28.17446,25.37485
2026-05-21T13:00:00.000000000,27.4058,25.6451
2026-05-21T14:00:00.000000000,27.34041,26.12559
2026-05-21T15:00:00.000000000,27.0705,26.26543
2026-05-21T16:00:00.000000000,26.55034,26.25094
2026-05-21T17:00:00.000000000,26.33616,25.90328
2026-05-21T18:00:00.000000000,24.94385,25.48242
2026-05-21T19:00:00.000000000,23.00163,25.40721
2026-05-21T20:00:00.000000000,21.54537,24.86149
2026-05-21T21:00:00.000000000,21.126,24.53859
2026-05-21T22:00:00.000000000,21.22692,24.34816
2026-05-21T23:00:00.000000000,20.813,23.93261
2026-05-22T00:00:00.000000000,20.56643,23.99173
2026-05-22T01:00:00.000000000,20.33843,23.09236
2026-05-22T02:00:00.000000000,20.35403,22.14551
2026-05-22T03:00:00.000000000,20.47436,21.60552
2026-05-22T04:00:00.000000000,20.5235,21.25266
2026-05-22T05:00:00.000000000,20.41609,21.44821
2026-05-22T06:00:00.000000000,20.6816,21.81315
2026-05-22T07:00:00.000000000,21.41454,22.06485
2026-05-22T08:00:00.000000000,23.32757,22.36998
2026-05-22T09:00:00.000000000,25.53994,23.47738
2026-05-22T10:00:00.000000000,27.47071,24.74533
2026-05-22T11:00:00.000000000,28.5425,25.40904
2026-05-22T12:00:00.000000000,28.63117,25.68139
2026-05-22T13:00:00.000000000,27.93608,25.95149
2026-05-22T14:00:00.000000000,28.26343,26.40876
2026-05-22T15:00:00.000000000,27.87268,26.50948
2026-05-22T16:00:00.000000000,27.69025,26.43038
2026-05-22T17:00:00.000000000,27.59862,26.03073
2026-05-22T18:00:00.000000000,25.70869,25.5617
2026-05-22T19:00:00.000000000,23.22714,25.43225
2026-05-22T20:00:00.000000000,21.94644,24.84228
2026-05-22T21:00:00.000000000,21.44845,24.49018
2026-05-22T22:00:00.000000000,21.23571,24.29652
2026-05-22T23:00:00.000000000,21.03157,23.86963
2026-05-23T00:00:00.000000000,21.0226,23.91928
2026-05-23T01:00:00.000000000,21.0285,23.01812
2026-05-23T02:00:00.000000000,20.88329,22.05488
2026-05-23T03:00:00.000000000,20.89005,21.50616
2026-05-23T04:00:00.000000000,20.95845,21.15837
2026-05-23T05:00:00.000000000,20.9939,21.38738
2026-05-23T06:00:00.000000000,21.28583,21.8005
2026-05-23T07:00:00.000000000,21.99144,22.08923
2026-05-23T08:00:00.000000000,24.2086,22.66877
2026-05-23T09:00:00.000000000,27.26405,23.84564
2026-05-23T10:00:00.000000000,28.14488,25.21791
2026-05-23T11:00:00.000000000,28.8188,25.99469
2026-05-23T12:00:00.000000000,29.79506,26.34081
2026-05-23T13:00:00.000000000,29.97269,26.61918
2026-05-23T14:00:00.000000000,30.08345,27.03249
2026-05-23T15:00:00.000000000,29.50843,27.05351
2026-05-23T16:00:00.000000000,28.77534,26.83642
2026-05-23T17:00:00.000000000,27.16022,26.32275
2026-05-23T18:00:00.000000000,25.93179,25.7464
2026-05-23T19:00:00.000000000,23.63726,25.50328
2026-05-23T20:00:00.000000000,21.76816,24.82664
2026-05-23T21:00:00.000000000,20.87311,24.42341
2026-05-23T22:00:00.000000000,20.48952,24.22797
2026-05-23T23:00:00.000000000,20.14079,23.78232
2026-05-24T00:00:00.000000000,19.7653,23.82455
2026-05-24T01:00:00.000000000,19.52856,22.93119
2026-05-24T02:00:00.000000000,19.55497,21.94153
2026-05-24T03:00:00.000000000,19.44282,21.37364
2026-05-24T04:00:00.000000000,19.46184,21.02515
2026-05-24T05:00:00.000000000,19.59788,21.30399
2026-05-24T06:00:00.000000000,19.90094,21.79469
2026-05-24T07:00:00.000000000,20.80807,22.13984
2026-05-24T08:00:00.000000000,23.80888,22.92319
2026-05-24T09:00:00.000000000,26.02402,24.10531
2026-05-24T10:00:00.000000000,26.76164,25.5325
2026-05-24T11:00:00.000000000,27.76866,26.39259
2026-05-24T12:00:00.000000000,28.26359,26.79766
2026-05-24T13:00:00.000000000,28.41473,27.07914
2026-05-24T14:00:00.000000000,28.23349,27.46579
2026-05-24T15:00:00.000000000,27.96394,27.44578
2026-05-24T16:00:00.000000000,27.27527,27.12923
2026-05-24T17:00:00.000000000,27.3256,26.51375
2026-05-24T18:00:00.000000000,25.28634,25.83117
2026-05-24T19:00:00.000000000,22.39897,25.48361
2026-05-24T20:00:00.000000000,20.7325,24.73861
2026-05-24T21:00:00.000000000,20.17026,24.30623
2026-05-24T22:00:00.000000000,19.78677,24.11516
2026-05-24T23:00:00.000000000,19.44319,23.67234
2026-05-25T00:00:00.000000000,19.1966,23.75166
2026-05-25T01:00:00.000000000,19.1678,22.91536
2026-05-25T02:00:00.000000000,19.05284,21.96734
2026-05-25T03:00:00.000000000,19.34659,21.43022
2026-05-25T04:00:00.000000000,19.39897,21.10597
2026-05-25T05:00:00.000000000,19.23727,21.40597
2026-05-25T06:00:00.000000000,19.37866,21.9142
2026-05-25T07:00:00.000000000,20.53791,22.24495
2026-05-25T08:00:00.000000000,22.84018,22.77901
2026-05-25T09:00:00.000000000,25.85601,23.97132
2026-05-25T10:00:00.000000000,26.64873,25.4292
2026-05-25T11:00:00.000000000,27.46816,26.3204
2026-05-25T12:00:00.000000000,28.08716,26.76816
2026-05-25T13:00:00.000000000,28.45275,27.09259
2026-05-25T14:00:00.000000000,28.1907,27.50085
2026-05-25T15:00:00.000000000,27.72623,27.49089
2026-05-25T16:00:00.000000000,27.51259,27.19206
2026-05-25T17:00:00.000000000,27.03375,26.59408
2026-05-25T18:00:00.000000000,24.57782,25.93063
2026-05-25T19:00:00.000000000,22.32519,25.62489
2026-05-25T20:00:00.000000000,20.84237,24.92086
2026-05-25T21:00:00.000000000,20.2205,24.52534
2026-05-25T22:00:00.000000000,19.94579,24.34754
2026-05-25T23:00:00.000000000,19.67153,23.91442
2026-05-26T00:00:00.000000000,19.44735,24.00528
2026-05-26T01:00:00.000000000,19.59222,23.15949
2026-05-26T02:00:00.000000000,19.53134,22.17898
2026-05-26T03:00:00.000000000,19.58593,21.58875
2026-05-26T04:00:00.000000000,19.47643,21.19534
2026-05-26T05:00:00.000000000,19.48875,21.43249
2026-05-26T06:00:00.000000000,20.13801,21.88334
2026-05-26T07:00:00.000000000,21.46712,22.17962
2026-05-26T08:00:00.000000000,23.34379,22.97964
2026-05-26T09:00:00.000000000,25.6641,24.16455
2026-05-26T10:00:00.000000000,28.87458,25.61357
2026-05-26T11:00:00.000000000,29.67155,26.50444
2026-05-26T12:00:00.000000000,29.67369,26.9345
2026-05-26T13:00:00.000000000,29.42277,27.22358
2026-05-26T14:00:00.000000000,29.30624,27.60533
2026-05-26T15:00:00.000000000,28.80073,27.57444
2026-05-26T16:00:00.000000000,28.66812,27.22989
2026-05-26T17:00:00.000000000,27.17046,26.58555
2026-05-26T18:00:00.000000000,25.77735,25.87292
2026-05-26T19:00:00.000000000,25.86256,25.49939
2026-05-26T20:00:00.000000000,28.07141,24.73928
2026-05-26T21:00:00.000000000,29.77754,24.30323
2026-05-26T22:00:00.000000000,30.00055,24.11513
2026-05-26T23:00:00.000000000,28.30645,23.67423
2026-05-27T00:00:00.000000000,26.55649,23.76657
2026-05-27T01:00:00.000000000,22.29269,22.94624
2026-05-27T02:00:00.000000000,20.23531,22.00587
2026-05-27T03:00:00.000000000,20.12421,21.47007
2026-05-27T04:00:00.000000000,20.08188,21.14287
2026-05-27T05:00:00.000000000,20.14416,21.44023
2026-05-27T06:00:00.000000000,20.59061,21.9453
2026-05-27T07:00:00.000000000,21.32724,22.26601
2026-05-21T08:00:00.000000000,23.07614,22.01181
2026-05-21T09:00:00.000000000,25.28157,23.03766
2026-05-21T10:00:00.000000000,26.48532,24.19165
2026-05-21T11:00:00.000000000,26.29239,24.7311
2026-05-21T12:00:00.000000000,28.17446,24.92454
2026-05-21T13:00:00.000000000,27.4058,25.18801
2026-05-21T14:00:00.000000000,27.34041,25.69827
2026-05-21T15:00:00.000000000,27.0705,25.89073
2026-05-21T16:00:00.000000000,26.55034,25.96797
2026-05-21T17:00:00.000000000,26.33616,25.69777
2026-05-21T18:00:00.000000000,24.94385,25.35081
2026-05-21T19:00:00.000000000,23.00163,25.35392
2026-05-21T20:00:00.000000000,21.54537,24.86995
2026-05-21T21:00:00.000000000,21.126,24.58518
2026-05-21T22:00:00.000000000,21.22692,24.39788
2026-05-21T23:00:00.000000000,20.813,23.99514
2026-05-22T00:00:00.000000000,20.56643,24.05944
2026-05-22T01:00:00.000000000,20.33843,23.15566
2026-05-22T02:00:00.000000000,20.35403,22.22828
2026-05-22T03:00:00.000000000,20.47436,21.70252
2026-05-22T04:00:00.000000000,20.5235,21.34838
2026-05-22T05:00:00.000000000,20.41609,21.50471
2026-05-22T06:00:00.000000000,20.6816,21.81181
2026-05-22T07:00:00.000000000,21.41454,22.02223
2026-05-22T08:00:00.000000000,23.32757,22.33087
2026-05-22T09:00:00.000000000,25.53994,23.43126
2026-05-22T10:00:00.000000000,27.47071,24.67988
2026-05-22T11:00:00.000000000,28.5425,25.31913
2026-05-22T12:00:00.000000000,28.63117,25.57146
2026-05-22T13:00:00.000000000,27.93608,25.834
2026-05-22T14:00:00.000000000,28.26343,26.29462
2026-05-22T15:00:00.000000000,27.87268,26.40466
2026-05-22T16:00:00.000000000,27.69025,26.34642
2026-05-22T17:00:00.000000000,27.59862,25.96697
2026-05-22T18:00:00.000000000,25.70869,25.51858
2026-05-22T19:00:00.000000000,23.22714,25.40675
2026-05-22T20:00:00.000000000,21.94644,24.82757
2026-05-22T21:00:00.000000000,21.44845,24.47869
2026-05-22T22:00:00.000000000,21.23571,24.28325
2026-05-22T23:00:00.000000000,21.03157,23.85589
2026-05-23T00:00:00.000000000,21.0226,23.89875
2026-05-23T01:00:00.000000000,21.0285,22.9896
2026-05-23T02:00:00.000000000,20.88329,22.02617
2026-05-23T03:00:00.000000000,20.89005,21.48164
2026-05-23T04:00:00.000000000,20.95845,21.14018
2026-05-23T05:00:00.000000000,20.9939,21.37153
2026-05-23T06:00:00.000000000,21.28583,21.78504
2026-05-23T07:00:00.000000000,21.99144,22.07723
2026-05-23T08:00:00.000000000,24.2086,22.66258
2026-05-23T09:00:00.000000000,27.26405,23.83846
2026-05-23T10:00:00.000000000,28.14488,25.20602
2026-05-23T11:00:00.000000000,28.8188,25.97658
2026-05-23T12:00:00.000000000,29.79506,26.31721
2026-05-23T13:00:00.000000000,29.97269,26.59308
2026-05-23T14:00:00.000000000,30.08345,27.00663
2026-05-23T15:00:00.000000000,29.50843,27.0293
2026-05-23T16:00:00.000000000,28.77534,26.81667
2026-05-23T17:00:00.000000000,27.16022,26.30762
2026-05-23T18:00:00.000000000,25.93179,25.73607
2026-05-23T19:00:00.000000000,23.63726,25.49646
2026-05-23T20:00:00.000000000,21.76816,24.82143
2026-05-23T21:00:00.000000000,20.87311,24.4179
2026-05-23T22:00:00.000000000,20.48952,24.22156
2026-05-23T23:00:00.000000000,20.14079,23.77524
2026-05-24T00:00:00.000000000,19.7653,23.81488
2026-05-24T01:00:00.000000000,19.52856,22.91895
2026-05-24T02:00:00.000000000,19.55497,21.92877
2026-05-24T03:00:00.000000000,19.44282,21.36206
2026-05-24T04:00:00.000000000,19.46184,21.016
2026-05-24T05:00:00.000000000,19.59788,21.29707
2026-05-24T06:00:00.000000000,19.90094,21.78987
2026-05-24T07:00:00.000000000,20.80807,22.1376
2026-05-24T08:00:00.000000000,23.80888,22.91921
2026-05-24T09:00:00.000000000,26.02402,24.10128
2026-05-24T10:00:00.000000000,26.76164,25.52764
2026-05-24T11:00:00.000000000,27.76866,26.38648
2026-05-24T12:00:00.000000000,28.26359,26.79068
2026-05-24T13:00:00.000000000,28.41473,27.07214
2026-05-24T14:00:00.000000000,28.23349,27.45921
2026-05-24T15:00:00.000000000,27.96394,27.43982
2026-05-24T16:00:00.000000000,27.27527,27.1248
2026-05-24T17:00:00.000000000,27.3256,26.51089
2026-05-24T18:00:00.000000000,25.28634,25.82995
2026-05-24T19:00:00.000000000,22.39897,25.48401
2026-05-24T20:00:00.000000000,20.7325,24.74007
2026-05-24T21:00:00.000000000,20.17026,24.30817
2026-05-24T22:00:00.000000000,19.78677,24.11705
2026-05-24T23:00:00.000000000,19.44319,23.67421
2026-05-25T00:00:00.000000000,19.1966,23.75298
2026-05-25T01:00:00.000000000,19.1678,22.91581
2026-05-25T02:00:00.000000000,19.05284,21.96715
2026-05-25T03:00:00.000000000,19.34659,21.42951
2026-05-25T04:00:00.000000000,19.39897,21.10484
2026-05-25T05:00:00.000000000,19.23727,21.40446
2026-05-25T06:00:00.000000000,19.37866,21.91238
2026-05-25T07:00:00.000000000,20.53791,22.24334
2026-05-25T08:00:00.000000000,22.84018,22.77874
2026-05-25T09:00:00.000000000,25.85601,23.97101
2026-05-25T10:00:00.000000000,26.64873,25.42867
2026-05-25T11:00:00.000000000,27.46816,26.31957
2026-05-25T12:00:00.000000000,28.08716,26.76707
2026-05-25T13:00:00.000000000,28.45275,27.09138
2026-05-25T14:00:00.000000000,28.1907,27.49965
2026-05-25T15:00:00.000000000,27.72623,27.48978
2026-05-25T16:00:00.000000000,27.51259,27.19116
2026-05-25T17:00:00.000000000,27.03375,26.59339
2026-05-25T18:00:00.000000000,24.57782,25.93017
2026-05-25T19:00:00.000000000,22.32519,25.62459
2026-05-25T20:00:00.000000000,20.84237,24.92062
2026-05-25T21:00:00.000000000,20.2205,24.52507
2026-05-25T22:00:00.000000000,19.94579,24.34723
2026-05-25T23:00:00.000000000,19.67153,23.91407
2026-05-26T00:00:00.000000000,19.44735,24.0048
2026-05-26T01:00:00.000000000,19.59222,23.1589
2026-05-26T02:00:00.000000000,19.53134,22.17836
2026-05-26T03:00:00.000000000,19.58593,21.58819
2026-05-26T04:00:00.000000000,19.47643,21.19489
2026-05-26T05:00:00.000000000,19.48875,21.43216
2026-05-26T06:00:00.000000000,20.13801,21.88311
2026-05-26T07:00:00.000000000,21.46712,22.17952
2026-05-26T08:00:00.000000000,23.34379,22.97945
2026-05-26T09:00:00.000000000,25.6641,24.16436
2026-05-26T10:00:00.000000000,28.87458,25.61334
2026-05-26T11:00:00.000000000,29.67155,26.50415
2026-05-26T12:00:00.000000000,29.67369,26.93418
2026-05-26T13:00:00.000000000,29.42277,27.22325
2026-05-26T14:00:00.000000000,29.30624,27.60503
2026-05-26T15:00:00.000000000,28.80073,27.57416
2026-05-26T16:00:00.000000000,28.66812,27.22969
2026-05-26T17:00:00.000000000,27.17046,26.58542
2026-05-26T18:00:00.000000000,25.77735,25.87287
2026-05-26T19:00:00.000000000,25.86256,25.49941
2026-05-26T20:00:00.000000000,28.07141,24.73936
2026-05-26T21:00:00.000000000,29.77754,24.30333
2026-05-26T22:00:00.000000000,30.00055,24.11523
2026-05-26T23:00:00.000000000,28.30645,23.67432
2026-05-27T00:00:00.000000000,26.55649,23.76664
2026-05-27T01:00:00.000000000,22.29269,22.94627
2026-05-27T02:00:00.000000000,20.23531,22.00587
2026-05-27T03:00:00.000000000,20.12421,21.47004
2026-05-27T04:00:00.000000000,20.08188,21.14283
2026-05-27T05:00:00.000000000,20.14416,21.44016
2026-05-27T06:00:00.000000000,20.59061,21.94522
2026-05-27T07:00:00.000000000,21.32724,22.26593
2026-05-27T08:00:00.000000000,23.02861,22.89575
2026-05-27T09:00:00.000000000,25.19509,24.08233
2026-05-27T10:00:00.000000000,27.07371,25.52775
2026-05-27T11:00:00.000000000,28.4646,26.40943
2026-05-27T12:00:00.000000000,29.1669,26.83786
2026-05-27T13:00:00.000000000,28.4355,27.13644
2026-05-27T14:00:00.000000000,27.75633,27.52851
2026-05-27T15:00:00.000000000,28.66945,27.50795
2026-05-27T16:00:00.000000000,27.8579,27.18716
2026-05-27T17:00:00.000000000,27.35618,26.56704
