datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2025-05-30T12:00:00.000000000,54.64,94.86227
2025-05-30T13:00:00.000000000,50.66,99.35237
2025-05-30T14:00:00.000000000,59.38,93.91133
2025-05-30T15:00:00.000000000,79.02,91.85244
2025-05-30T16:00:00.000000000,105.46,93.0536
2025-05-30T17:00:00.000000000,151.93,90.45074
2025-05-30T18:00:00.000000000,184.63,89.21039
2025-05-30T19:00:00.000000000,208.04,91.96359
2025-05-30T20:00:00.000000000,200.5,96.09257
2025-05-30T21:00:00.000000000,188.75,93.58534
2025-05-30T22:00:00.000000000,170.73,92.97242
2025-05-30T23:00:00.000000000,147.28,89.5413
2025-05-31T00:00:00.000000000,133.45,92.71639
2025-05-31T01:00:00.000000000,127.06,94.28622
2025-05-31T02:00:00.000000000,117.82,97.83184
2025-05-31T03:00:00.000000000,120.69,98.98878
2025-05-31T04:00:00.000000000,97.58,99.17489
2025-05-31T05:00:00.000000000,73.24,101.48042
2025-05-31T06:00:00.000000000,68.33,108.82253
2025-05-31T07:00:00.000000000,75.51,101.50118
2025-05-31T08:00:00.000000000,61.5,99.95171
2025-05-31T09:00:00.000000000,51.32,101.01181
2025-05-31T10:00:00.000000000,50.56,102.30175
2025-05-31T11:00:00.000000000,42.91,107.10039
2025-05-31T12:00:00.000000000,48.95,94.86227
2025-05-31T13:00:00.000000000,42.77,99.35237
2025-05-31T14:00:00.000000000,49.73,93.91133
2025-05-31T15:00:00.000000000,63.3,91.85244
2025-05-31T16:00:00.000000000,94.73,93.0536
2025-05-31T17:00:00.000000000,127.28,90.45074
2025-05-31T18:00:00.000000000,124.56,89.21039
2025-05-31T19:00:00.000000000,134.28,91.96359
2025-05-31T20:00:00.000000000,129.39,96.09257
2025-05-31T21:00:00.000000000,113.88,93.58534
2025-05-31T22:00:00.000000000,86.61,92.97242
2025-05-31T23:00:00.000000000,63.5,89.5413
2025-06-01T00:00:00.000000000,62.67,92.71639
2025-06-01T01:00:00.000000000,75.6,94.28622
2025-06-01T02:00:00.000000000,83.83,97.83184
2025-06-01T03:00:00.000000000,83.09,98.98878
2025-06-01T04:00:00.000000000,77.67,99.17489
2025-06-01T05:00:00.000000000,61.44,101.48042
2025-06-01T06:00:00.000000000,59.89,108.82253
2025-06-01T07:00:00.000000000,56.91,101.50118
2025-06-01T08:00:00.000000000,48.58,99.95171
2025-06-01T09:00:00.000000000,49.29,101.01181
2025-06-01T10:00:00.000000000,45.78,102.30175
2025-06-01T11:00:00.000000000,38.43,107.10039
2025-06-01T12:00:00.000000000,47.38,94.86227
2025-06-01T13:00:00.000000000,49.44,99.35237
2025-06-01T14:00:00.000000000,50.62,93.91133
2025-06-01T15:00:00.000000000,35.03,91.85244
2025-06-01T16:00:00.000000000,49.33,93.0536
2025-06-01T17:00:00.000000000,55.36,90.45074
2025-06-01T18:00:00.000000000,76.58,89.21039
2025-06-01T19:00:00.000000000,99.27,91.96359
2025-06-01T20:00:00.000000000,101.57,96.09257
2025-06-01T21:00:00.000000000,88.5,93.58534
2025-06-01T22:00:00.000000000,65.57,92.97242
2025-06-01T23:00:00.000000000,64.02,89.5413
2025-06-02T00:00:00.000000000,60.97,92.71639
2025-06-02T01:00:00.000000000,58.09,94.28622
2025-06-02T02:00:00.000000000,58.0,97.83184
2025-06-02T03:00:00.000000000,61.67,98.98878
2025-06-02T04:00:00.000000000,70.28,99.17489
2025-06-02T05:00:00.000000000,97.61,101.48042
2025-06-02T06:00:00.000000000,100.95,108.82253
2025-06-02T07:00:00.000000000,101.33,101.50118
2025-06-02T08:00:00.000000000,90.83,99.95171
2025-06-02T09:00:00.000000000,80.34,101.01181
2025-06-02T10:00:00.000000000,66.32,102.30175
2025-06-02T11:00:00.000000000,53.35,107.10039
2025-06-02T12:00:00.000000000,53.42,94.86227
2025-06-02T13:00:00.000000000,56.22,99.35237
2025-06-02T14:00:00.000000000,51.94,93.91133
2025-06-02T15:00:00.000000000,71.65,91.85244
2025-06-02T16:00:00.000000000,93.55,93.0536
2025-06-02T17:00:00.000000000,134.17,90.45074
2025-06-02T18:00:00.000000000,134.18,89.21039
2025-06-02T19:00:00.000000000,120.39,91.96359
2025-06-02T20:00:00.000000000,122.85,96.09257
2025-06-02T21:00:00.000000000,121.13,93.58534
2025-06-02T22:00:00.000000000,108.12,92.97242
2025-06-02T23:00:00.000000000,100.03,89.5413
2025-06-03T00:00:00.000000000,77.89,92.71639
2025-06-03T01:00:00.000000000,73.85,94.28622
2025-06-03T02:00:00.000000000,62.77,97.83184
2025-06-03T03:00:00.000000000,57.71,98.98878
2025-06-03T04:00:00.000000000,52.34,99.17489
2025-06-03T05:00:00.000000000,60.18,101.48042
2025-06-03T06:00:00.000000000,84.91,108.82253
2025-06-03T07:00:00.000000000,75.93,101.50118
2025-06-03T08:00:00.000000000,57.56,99.95171
2025-06-03T09:00:00.000000000,57.17,101.01181
2025-06-03T10:00:00.000000000,42.73,102.30175
2025-06-03T11:00:00.000000000,39.1,107.10039
2025-06-03T12:00:00.000000000,39.66,94.84973
2025-06-03T13:00:00.000000000,36.39,99.27719
2025-06-03T14:00:00.000000000,41.67,93.89212
2025-06-03T15:00:00.000000000,43.24,91.80891
2025-06-03T16:00:00.000000000,69.56,93.0972
2025-06-03T17:00:00.000000000,71.9,90.39391
2025-06-03T18:00:00.000000000,90.31,89.2116
2025-06-03T19:00:00.000000000,101.62,91.92002
2025-06-03T20:00:00.000000000,104.77,96.13384
2025-06-03T21:00:00.000000000,105.64,93.56959
2025-06-03T22:00:00.000000000,92.73,92.91638
2025-06-03T23:00:00.000000000,92.09,89.51669
2025-06-04T00:00:00.000000000,92.14,92.6952
2025-06-04T01:00:00.000000000,84.84,94.22196
2025-06-04T02:00:00.000000000,93.42,97.7858
2025-06-04T03:00:00.000000000,79.92,99.06063
2025-06-04T04:00:00.000000000,79.49,99.21061
2025-06-04T05:00:00.000000000,98.19,101.53239
2025-06-04T06:00:00.000000000,112.39,108.7527
2025-06-04T07:00:00.000000000,88.95,101.56061
2025-06-04T08:00:00.000000000,86.23,99.96724
2025-06-04T09:00:00.000000000,86.3,100.99269
2025-06-04T10:00:00.000000000,70.15,102.34142
2025-06-04T11:00:00.000000000,61.38,107.01769
2025-06-04T12:00:00.000000000,57.41,95.06931
2025-06-04T13:00:00.000000000,57.55,98.78473
2025-06-04T14:00:00.000000000,59.49,94.46918
2025-06-04T15:00:00.000000000,76.39,92.0121
2025-06-04T16:00:00.000000000,92.98,93.76653
2025-06-04T17:00:00.000000000,119.83,90.80551
2025-06-04T18:00:00.000000000,142.92,89.997
2025-06-04T19:00:00.000000000,150.24,92.70068
2025-06-04T20:00:00.000000000,138.28,97.1711
2025-06-04T21:00:00.000000000,120.89,94.33176
2025-06-04T22:00:00.000000000,89.99,92.88901
2025-06-04T23:00:00.000000000,73.71,89.45257
2025-06-05T00:00:00.000000000,67.98,92.74827
2025-06-05T01:00:00.000000000,74.93,94.50018
2025-06-05T02:00:00.000000000,69.73,97.99074
2025-06-05T03:00:00.000000000,70.14,99.5645
2025-06-05T04:00:00.000000000,64.15,99.22751
2025-06-05T05:00:00.000000000,70.0,101.59802
2025-06-05T06:00:00.000000000,82.54,108.59806
2025-06-05T07:00:00.000000000,85.94,102.11464
2025-06-05T08:00:00.000000000,87.57,100.16229
2025-06-05T09:00:00.000000000,74.06,100.99383
2025-06-05T10:00:00.000000000,76.13,102.33467
2025-06-05T11:00:00.000000000,65.48,106.9099
2025-06-05T12:00:00.000000000,53.49,95.05391
2025-06-05T13:00:00.000000000,56.39,98.85643
2025-06-05T14:00:00.000000000,57.04,94.34588
2025-06-05T15:00:00.000000000,77.28,91.91744
2025-06-05T16:00:00.000000000,112.13,93.59309
2025-06-05T17:00:00.000000000,150.01,90.7202
2025-06-05T18:00:00.000000000,171.22,89.83227
2025-06-05T19:00:00.000000000,169.79,92.50401
2025-06-05T20:00:00.000000000,157.8,97.0118
2025-06-05T21:00:00.000000000,147.28,94.22558
2025-06-05T22:00:00.000000000,111.6,92.88323
2025-06-05T23:00:00.000000000,91.99,89.49901
2025-06-06T00:00:00.000000000,56.45,92.74555
