datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2025-05-30T12:00:00.000000000,102.21,141.26881
2025-05-30T13:00:00.000000000,101.24,136.23833
2025-05-30T14:00:00.000000000,116.76,148.03315
2025-05-30T15:00:00.000000000,145.14,147.09449
2025-05-30T16:00:00.000000000,180.57,140.8275
2025-05-30T17:00:00.000000000,237.3,145.88232
2025-05-30T18:00:00.000000000,275.78,152.7829
2025-05-30T19:00:00.000000000,303.21,152.87837
2025-05-30T20:00:00.000000000,295.75,147.61616
2025-05-30T21:00:00.000000000,283.18,142.87098
2025-05-30T22:00:00.000000000,262.32,148.61372
2025-05-30T23:00:00.000000000,235.09,152.93335
2025-05-31T00:00:00.000000000,218.81,155.40218
2025-05-31T01:00:00.000000000,212.07,155.87798
2025-05-31T02:00:00.000000000,203.03,154.54216
2025-05-31T03:00:00.000000000,208.34,166.80171
2025-05-31T04:00:00.000000000,179.07,155.62148
2025-05-31T05:00:00.000000000,144.95,159.15327
2025-05-31T06:00:00.000000000,133.69,156.72311
2025-05-31T07:00:00.000000000,133.21,157.28922
2025-05-31T08:00:00.000000000,114.43,158.85065
2025-05-31T09:00:00.000000000,101.47,152.10854
2025-05-31T10:00:00.000000000,96.91,164.92865
2025-05-31T11:00:00.000000000,87.42,155.73918
2025-05-31T12:00:00.000000000,93.77,141.26881
2025-05-31T13:00:00.000000000,86.08,136.23833
2025-05-31T14:00:00.000000000,94.28,148.03315
2025-05-31T15:00:00.000000000,116.01,147.09449
2025-05-31T16:00:00.000000000,153.72,140.8275
2025-05-31T17:00:00.000000000,192.56,145.88232
2025-05-31T18:00:00.000000000,188.27,152.7829
2025-05-31T19:00:00.000000000,198.8,152.87837
2025-05-31T20:00:00.000000000,192.36,147.61616
2025-05-31T21:00:00.000000000,174.04,142.87098
2025-05-31T22:00:00.000000000,138.0,148.61372
2025-05-31T23:00:00.000000000,105.82,152.93335
2025-06-01T00:00:00.000000000,104.7,155.40218
2025-06-01T01:00:00.000000000,120.85,155.87798
2025-06-01T02:00:00.000000000,130.55,154.54216
2025-06-01T03:00:00.000000000,131.34,166.80171
2025-06-01T04:00:00.000000000,125.05,155.62148
2025-06-01T05:00:00.000000000,105.26,159.15327
2025-06-01T06:00:00.000000000,100.69,156.72311
2025-06-01T07:00:00.000000000,99.07,157.28922
2025-06-01T08:00:00.000000000,90.31,158.85065
2025-06-01T09:00:00.000000000,92.08,152.10854
2025-06-01T10:00:00.000000000,87.67,164.92865
2025-06-01T11:00:00.000000000,78.61,155.73918
2025-06-01T12:00:00.000000000,89.59,141.26881
2025-06-01T13:00:00.000000000,90.98,136.23833
2025-06-01T14:00:00.000000000,91.19,148.03315
2025-06-01T15:00:00.000000000,71.24,147.09449
2025-06-01T16:00:00.000000000,90.21,140.8275
2025-06-01T17:00:00.000000000,96.21,145.88232
2025-06-01T18:00:00.000000000,121.58,152.7829
2025-06-01T19:00:00.000000000,148.74,152.87837
2025-06-01T20:00:00.000000000,151.99,147.61616
2025-06-01T21:00:00.000000000,136.42,142.87098
2025-06-01T22:00:00.000000000,107.85,148.61372
2025-06-01T23:00:00.000000000,106.24,152.93335
2025-06-02T00:00:00.000000000,102.98,155.40218
2025-06-02T01:00:00.000000000,100.02,155.87798
2025-06-02T02:00:00.000000000,100.17,154.54216
2025-06-02T03:00:00.000000000,105.33,166.80171
2025-06-02T04:00:00.000000000,116.59,155.62148
2025-06-02T05:00:00.000000000,150.3,159.15327
2025-06-02T06:00:00.000000000,154.92,156.72311
2025-06-02T07:00:00.000000000,157.64,157.28922
2025-06-02T08:00:00.000000000,147.3,158.85065
2025-06-02T09:00:00.000000000,135.81,152.10854
2025-06-02T10:00:00.000000000,118.81,164.92865
2025-06-02T11:00:00.000000000,102.61,155.73918
2025-06-02T12:00:00.000000000,101.92,141.26881
2025-06-02T13:00:00.000000000,104.11,136.23833
2025-06-02T14:00:00.000000000,98.35,148.03315
2025-06-02T15:00:00.000000000,121.39,147.09449
2025-06-02T16:00:00.000000000,142.88,140.8275
2025-06-02T17:00:00.000000000,191.24,145.88232
2025-06-02T18:00:00.000000000,191.45,152.7829
2025-06-02T19:00:00.000000000,173.41,152.87837
2025-06-02T20:00:00.000000000,175.88,147.61616
2025-06-02T21:00:00.000000000,173.71,142.87098
2025-06-02T22:00:00.000000000,155.14,148.61372
2025-06-02T23:00:00.000000000,144.85,152.93335
2025-06-03T00:00:00.000000000,116.68,155.40218
2025-06-03T01:00:00.000000000,110.9,155.87798
2025-06-03T02:00:00.000000000,97.29,154.54216
2025-06-03T03:00:00.000000000,91.01,166.80171
2025-06-03T04:00:00.000000000,84.29,155.62148
2025-06-03T05:00:00.000000000,94.24,159.15327
2025-06-03T06:00:00.000000000,124.57,156.72311
2025-06-03T07:00:00.000000000,112.22,157.28922
2025-06-03T08:00:00.000000000,91.48,158.85065
2025-06-03T09:00:00.000000000,91.76,152.10854
2025-06-03T10:00:00.000000000,74.91,164.92865
2025-06-03T11:00:00.000000000,70.85,155.73918
2025-06-03T12:00:00.000000000,71.91,142.8454
2025-06-03T13:00:00.000000000,68.53,135.44891
2025-06-03T14:00:00.000000000,74.89,147.63931
2025-06-03T15:00:00.000000000,76.76,148.12407
2025-06-03T16:00:00.000000000,109.13,142.66497
2025-06-03T17:00:00.000000000,116.65,146.31883
2025-06-03T18:00:00.000000000,142.22,154.26501
2025-06-03T19:00:00.000000000,155.74,153.3942
2025-06-03T20:00:00.000000000,161.07,149.33983
2025-06-03T21:00:00.000000000,162.27,144.9909
2025-06-03T22:00:00.000000000,140.81,147.63876
2025-06-03T23:00:00.000000000,138.44,152.88068
2025-06-04T00:00:00.000000000,138.78,154.76878
2025-06-04T01:00:00.000000000,129.65,155.98844
2025-06-04T02:00:00.000000000,140.36,154.88065
2025-06-04T03:00:00.000000000,123.48,168.17055
2025-06-04T04:00:00.000000000,123.17,154.22135
2025-06-04T05:00:00.000000000,146.52,158.59769
2025-06-04T06:00:00.000000000,165.91,157.37238
2025-06-04T07:00:00.000000000,140.3,158.32917
2025-06-04T08:00:00.000000000,137.52,158.78604
2025-06-04T09:00:00.000000000,134.89,151.20641
2025-06-04T10:00:00.000000000,115.63,164.24743
2025-06-04T11:00:00.000000000,104.72,155.34368
2025-06-04T12:00:00.000000000,98.45,141.3688
2025-06-04T13:00:00.000000000,98.68,136.67285
2025-06-04T14:00:00.000000000,100.46,147.78119
2025-06-04T15:00:00.000000000,122.73,147.9491
2025-06-04T16:00:00.000000000,146.83,141.34134
2025-06-04T17:00:00.000000000,181.24,146.59214
2025-06-04T18:00:00.000000000,208.37,153.07277
2025-06-04T19:00:00.000000000,216.38,153.14172
2025-06-04T20:00:00.000000000,203.49,147.99013
2025-06-04T21:00:00.000000000,185.67,143.70484
2025-06-04T22:00:00.000000000,149.15,148.61579
2025-06-04T23:00:00.000000000,129.69,153.22882
2025-06-05T00:00:00.000000000,121.06,155.65315
2025-06-05T01:00:00.000000000,129.94,156.38559
2025-06-05T02:00:00.000000000,122.61,154.94146
2025-06-05T03:00:00.000000000,124.54,167.60628
2025-06-05T04:00:00.000000000,121.69,156.10726
2025-06-05T05:00:00.000000000,129.84,159.64179
2025-06-05T06:00:00.000000000,145.63,156.68373
2025-06-05T07:00:00.000000000,149.29,157.44587
2025-06-05T08:00:00.000000000,150.52,159.10752
2025-06-05T09:00:00.000000000,135.47,152.419
2025-06-05T10:00:00.000000000,138.13,164.85023
2025-06-05T11:00:00.000000000,124.96,155.64935
2025-06-05T12:00:00.000000000,110.18,144.11633
2025-06-05T13:00:00.000000000,113.93,135.40044
2025-06-05T14:00:00.000000000,116.48,147.65989
2025-06-05T15:00:00.000000000,141.03,149.12416
2025-06-05T16:00:00.000000000,181.88,144.02724
2025-06-05T17:00:00.000000000,226.33,147.00975
2025-06-05T18:00:00.000000000,253.07,155.32396
2025-06-05T19:00:00.000000000,253.34,153.96089
2025-06-05T20:00:00.000000000,241.19,150.36184
2025-06-05T21:00:00.000000000,231.48,147.02619
2025-06-05T22:00:00.000000000,188.64,147.20527
2025-06-05T23:00:00.000000000,165.67,153.35356
2025-06-06T00:00:00.000000000,120.58,155.18547
2025-06-06T01:00:00.000000000,107.8,156.3184
2025-06-06T02:00:00.000000000,108.19,155.58764
2025-06-06T03:00:00.000000000,110.99,168.95768
2025-06-06T04:00:00.000000000,123.54,153.93914
2025-06-06T05:00:00.000000000,146.99,158.49236
2025-06-06T06:00:00.000000000,180.58,157.53088
2025-06-06T07:00:00.000000000,200.81,159.54006
2025-06-06T08:00:00.000000000,167.62,159.29865
2025-06-06T09:00:00.000000000,150.4,150.99566
2025-06-06T10:00:00.000000000,124.99,163.95789
2025-06-06T11:00:00.000000000,109.84,155.40222
2025-05-31T12:00:00.000000000,93.77,141.26881
2025-05-31T13:00:00.000000000,86.08,136.23833
2025-05-31T14:00:00.000000000,94.28,148.03315
2025-05-31T15:00:00.000000000,116.01,147.09449
2025-05-31T16:00:00.000000000,153.72,140.8275
2025-05-31T17:00:00.000000000,192.56,145.88232
2025-05-31T18:00:00.000000000,188.27,152.7829
2025-05-31T19:00:00.000000000,198.8,152.87837
2025-05-31T20:00:00.000000000,192.36,147.61616
2025-05-31T21:00:00.000000000,174.04,142.87098
2025-05-31T22:00:00.000000000,138.0,148.61372
2025-05-31T23:00:00.000000000,105.82,152.93335
2025-06-01T00:00:00.000000000,104.7,155.40218
2025-06-01T01:00:00.000000000,120.85,155.87798
2025-06-01T02:00:00.000000000,130.55,154.54216
2025-06-01T03:00:00.000000000,131.34,166.80171
2025-06-01T04:00:00.000000000,125.05,155.62148
2025-06-01T05:00:00.000000000,105.26,159.15327
2025-06-01T06:00:00.000000000,100.69,156.72311
2025-06-01T07:00:00.000000000,99.07,157.28922
2025-06-01T08:00:00.000000000,90.31,158.85065
2025-06-01T09:00:00.000000000,92.08,152.10854
2025-06-01T10:00:00.000000000,87.67,164.92865
2025-06-01T11:00:00.000000000,78.61,155.73918
2025-06-01T12:00:00.000000000,89.59,141.26881
2025-06-01T13:00:00.000000000,90.98,136.23833
2025-06-01T14:00:00.000000000,91.19,148.03315
2025-06-01T15:00:00.000000000,71.24,147.09449
2025-06-01T16:00:00.000000000,90.21,140.8275
2025-06-01T17:00:00.000000000,96.21,145.88232
2025-06-01T18:00:00.000000000,121.58,152.7829
2025-06-01T19:00:00.000000000,148.74,152.87837
2025-06-01T20:00:00.000000000,151.99,147.61616
2025-06-01T21:00:00.000000000,136.42,142.87098
2025-06-01T22:00:00.000000000,107.85,148.61372
