datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T05:00:00.000000000,134.41219,156.23018
2026-05-20T06:00:00.000000000,138.74253,143.39464
2026-05-20T07:00:00.000000000,116.17704,136.66755
2026-05-20T08:00:00.000000000,77.60374,130.21175
2026-05-20T09:00:00.000000000,72.51582,121.48567
2026-05-20T10:00:00.000000000,73.97563,100.51233
2026-05-20T11:00:00.000000000,66.50291,74.96103
2026-05-20T12:00:00.000000000,66.76084,65.40211
2026-05-20T13:00:00.000000000,68.31967,69.83254
2026-05-20T14:00:00.000000000,70.44168,80.00021
2026-05-20T15:00:00.000000000,73.63378,85.6513
2026-05-20T16:00:00.000000000,73.43332,86.18397
2026-05-20T17:00:00.000000000,88.15933,90.75543
2026-05-20T18:00:00.000000000,133.0638,103.7631
2026-05-20T19:00:00.000000000,202.17309,128.71124
2026-05-20T20:00:00.000000000,236.18439,153.00538
2026-05-20T21:00:00.000000000,225.19586,169.75998
2026-05-20T22:00:00.000000000,225.09927,177.74155
2026-05-20T23:00:00.000000000,242.75846,178.19226
2026-05-21T00:00:00.000000000,277.34135,188.57699
2026-05-21T01:00:00.000000000,299.1908,202.92351
2026-05-21T02:00:00.000000000,285.98349,222.69764
2026-05-21T03:00:00.000000000,278.31547,227.37317
2026-05-21T04:00:00.000000000,277.75627,216.34416
2026-05-21T05:00:00.000000000,270.46433,199.1799
2026-05-21T06:00:00.000000000,249.71486,188.43662
2026-05-21T07:00:00.000000000,214.09137,179.14519
2026-05-21T08:00:00.000000000,149.02159,165.87995
2026-05-21T09:00:00.000000000,111.08724,145.19193
2026-05-21T10:00:00.000000000,91.34246,115.16994
2026-05-21T11:00:00.000000000,85.35766,84.23946
2026-05-21T12:00:00.000000000,78.80038,73.14107
2026-05-21T13:00:00.000000000,69.43275,79.80831
2026-05-21T14:00:00.000000000,69.49883,94.18874
2026-05-21T15:00:00.000000000,75.78969,102.75891
2026-05-21T16:00:00.000000000,112.2482,105.27188
2026-05-21T17:00:00.000000000,133.79479,111.63586
2026-05-21T18:00:00.000000000,169.29611,129.56908
2026-05-21T19:00:00.000000000,227.14611,156.9051
2026-05-21T20:00:00.000000000,213.7976,179.64271
2026-05-21T21:00:00.000000000,219.15833,190.89961
2026-05-21T22:00:00.000000000,223.68389,193.38939
2026-05-21T23:00:00.000000000,223.77804,192.66367
2026-05-22T00:00:00.000000000,236.24075,203.45441
2026-05-22T01:00:00.000000000,290.62454,220.48651
2026-05-22T02:00:00.000000000,303.94811,241.40114
2026-05-22T03:00:00.000000000,272.8602,245.708
2026-05-22T04:00:00.000000000,254.6136,236.81301
2026-05-22T05:00:00.000000000,237.48592,215.55906
2026-05-22T06:00:00.000000000,216.6199,204.08069
2026-05-22T07:00:00.000000000,211.28402,194.23658
2026-05-22T08:00:00.000000000,169.1292,180.03566
2026-05-22T09:00:00.000000000,119.86436,156.14153
2026-05-22T10:00:00.000000000,100.42669,123.44091
2026-05-22T11:00:00.000000000,78.12823,91.34842
2026-05-22T12:00:00.000000000,72.77864,81.24408
2026-05-22T13:00:00.000000000,73.56826,89.38076
2026-05-22T14:00:00.000000000,76.06237,104.07963
2026-05-22T15:00:00.000000000,87.93174,110.97501
2026-05-22T16:00:00.000000000,103.4797,111.5109
2026-05-22T17:00:00.000000000,161.77758,116.82531
2026-05-22T18:00:00.000000000,186.01675,135.39428
2026-05-22T19:00:00.000000000,214.96532,163.82193
2026-05-22T20:00:00.000000000,204.92748,187.16417
2026-05-22T21:00:00.000000000,194.77891,197.91616
2026-05-22T22:00:00.000000000,195.32346,199.5589
2026-05-22T23:00:00.000000000,211.82819,199.16383
2026-05-23T00:00:00.000000000,224.14173,211.24719
2026-05-23T01:00:00.000000000,243.00473,230.86561
2026-05-23T02:00:00.000000000,212.92023,253.03798
2026-05-23T03:00:00.000000000,183.06176,257.25619
2026-05-23T04:00:00.000000000,181.02102,247.64198
2026-05-23T05:00:00.000000000,169.68472,226.57527
2026-05-23T06:00:00.000000000,139.62397,214.02934
2026-05-23T07:00:00.000000000,87.9551,203.56922
2026-05-23T08:00:00.000000000,68.8338,189.67683
2026-05-23T09:00:00.000000000,53.081,164.87438
2026-05-23T10:00:00.000000000,67.58082,132.48925
2026-05-23T11:00:00.000000000,71.95066,100.70277
2026-05-23T12:00:00.000000000,52.93972,91.05718
2026-05-23T13:00:00.000000000,52.61549,101.50797
2026-05-23T14:00:00.000000000,57.07998,118.46595
2026-05-23T15:00:00.000000000,56.74333,125.00497
2026-05-23T16:00:00.000000000,68.3328,123.71327
2026-05-23T17:00:00.000000000,83.29097,127.31439
2026-05-23T18:00:00.000000000,111.834,146.4565
2026-05-23T19:00:00.000000000,146.85405,176.3692
2026-05-23T20:00:00.000000000,164.2186,199.45754
2026-05-23T21:00:00.000000000,157.29401,207.30267
2026-05-23T22:00:00.000000000,149.03204,204.65673
2026-05-23T23:00:00.000000000,156.84588,202.01974
2026-05-24T00:00:00.000000000,162.32606,213.17006
2026-05-24T01:00:00.000000000,159.0751,233.87002
2026-05-24T02:00:00.000000000,141.99972,256.74127
2026-05-24T03:00:00.000000000,146.02458,262.25409
2026-05-24T04:00:00.000000000,136.57569,253.23303
2026-05-24T05:00:00.000000000,143.14261,236.18856
2026-05-24T06:00:00.000000000,127.49475,222.49505
2026-05-24T07:00:00.000000000,95.3705,208.00332
2026-05-24T08:00:00.000000000,74.45122,188.95058
2026-05-24T09:00:00.000000000,66.9515,161.69243
2026-05-24T10:00:00.000000000,67.7326,128.76203
2026-05-24T11:00:00.000000000,72.47098,97.926
2026-05-24T12:00:00.000000000,69.01602,88.60626
2026-05-24T13:00:00.000000000,71.83531,95.44924
2026-05-24T14:00:00.000000000,73.88465,107.84147
2026-05-24T15:00:00.000000000,82.74587,113.35962
2026-05-24T16:00:00.000000000,85.08199,114.72653
2026-05-24T17:00:00.000000000,107.99566,122.05885
2026-05-24T18:00:00.000000000,98.00755,142.21572
2026-05-24T19:00:00.000000000,138.55243,170.27248
2026-05-24T20:00:00.000000000,157.5047,192.14112
2026-05-24T21:00:00.000000000,166.03829,202.07808
2026-05-24T22:00:00.000000000,148.80182,204.82817
2026-05-24T23:00:00.000000000,148.97547,207.53976
2026-05-25T00:00:00.000000000,143.27533,222.27632
2026-05-25T01:00:00.000000000,159.9082,243.59608
2026-05-25T02:00:00.000000000,150.02438,265.93527
2026-05-25T03:00:00.000000000,151.80581,270.6171
2026-05-25T04:00:00.000000000,152.68202,262.36959
2026-05-25T05:00:00.000000000,155.23913,243.16777
2026-05-25T06:00:00.000000000,150.36515,227.42638
2026-05-25T07:00:00.000000000,122.82244,210.65818
2026-05-25T08:00:00.000000000,62.12331,189.86927
2026-05-25T09:00:00.000000000,54.42858,161.58656
2026-05-25T10:00:00.000000000,67.64392,127.8646
2026-05-25T11:00:00.000000000,56.94486,96.37857
2026-05-25T12:00:00.000000000,54.31514,86.31874
2026-05-25T13:00:00.000000000,57.03486,92.02738
2026-05-25T14:00:00.000000000,55.764,104.02147
2026-05-25T15:00:00.000000000,57.25653,110.82002
2026-05-25T16:00:00.000000000,60.08925,114.31054
2026-05-25T17:00:00.000000000,63.88212,123.31285
2026-05-25T18:00:00.000000000,112.31591,143.85107
2026-05-25T19:00:00.000000000,162.28017,171.36376
2026-05-25T20:00:00.000000000,181.0569,193.68161
2026-05-25T21:00:00.000000000,190.71262,205.21645
2026-05-25T22:00:00.000000000,199.83344,210.31394
2026-05-25T23:00:00.000000000,181.59182,214.46351
2026-05-26T00:00:00.000000000,190.71882,229.71502
2026-05-26T01:00:00.000000000,186.79612,250.70544
2026-05-26T02:00:00.000000000,190.92457,272.64731
2026-05-26T03:00:00.000000000,206.96665,276.81366
2026-05-26T04:00:00.000000000,207.45636,267.94284
2026-05-26T05:00:00.000000000,204.43319,237.27679
2026-05-26T06:00:00.000000000,189.66007,223.90404
2026-05-26T07:00:00.000000000,161.2558,210.02643
2026-05-26T08:00:00.000000000,83.52543,191.20848
2026-05-26T09:00:00.000000000,53.87464,162.97938
2026-05-26T10:00:00.000000000,55.28101,128.53055
2026-05-26T11:00:00.000000000,52.73331,96.42898
2026-05-26T12:00:00.000000000,50.8672,86.74879
2026-05-26T13:00:00.000000000,49.92675,94.24152
2026-05-26T14:00:00.000000000,50.95073,107.60944
2026-05-26T15:00:00.000000000,54.29259,113.41879
2026-05-26T16:00:00.000000000,59.08004,114.50894
2026-05-26T17:00:00.000000000,77.9889,121.6636
2026-05-26T18:00:00.000000000,143.29433,142.28652
2026-05-26T19:00:00.000000000,205.32846,171.14864
2026-05-26T20:00:00.000000000,246.65645,193.5285
2026-05-26T21:00:00.000000000,249.71169,203.39753
2026-05-26T22:00:00.000000000,239.19307,205.791
2026-05-26T23:00:00.000000000,239.86884,208.35904
2026-05-27T00:00:00.000000000,247.5055,223.45154
2026-05-27T01:00:00.000000000,275.39784,245.38478
2026-05-27T02:00:00.000000000,287.05202,268.11889
2026-05-27T03:00:00.000000000,273.09796,272.51379
2026-05-27T04:00:00.000000000,269.06445,263.57525
2026-05-21T05:00:00.000000000,270.46433,228.13905
2026-05-21T06:00:00.000000000,249.71486,219.24205
2026-05-21T07:00:00.000000000,214.09137,205.43848
2026-05-21T08:00:00.000000000,149.02159,182.59869
2026-05-21T09:00:00.000000000,111.08724,149.75085
2026-05-21T10:00:00.000000000,91.34246,112.49838
2026-05-21T11:00:00.000000000,85.35766,81.39794
2026-05-21T12:00:00.000000000,78.80038,74.13795
2026-05-21T13:00:00.000000000,69.43275,86.48
2026-05-21T14:00:00.000000000,69.49883,104.57172
2026-05-21T15:00:00.000000000,75.78969,116.62846
2026-05-21T16:00:00.000000000,112.2482,126.45345
2026-05-21T17:00:00.000000000,133.79479,142.69809
2026-05-21T18:00:00.000000000,169.29611,171.61421
2026-05-21T19:00:00.000000000,227.14611,203.17757
2026-05-21T20:00:00.000000000,213.7976,222.7314
2026-05-21T21:00:00.000000000,219.15833,227.94581
2026-05-21T22:00:00.000000000,223.68389,227.65597
2026-05-21T23:00:00.000000000,223.77804,227.36764
2026-05-22T00:00:00.000000000,236.24075,236.34054
2026-05-22T01:00:00.000000000,290.62454,245.72992
2026-05-22T02:00:00.000000000,303.94811,255.81696
2026-05-22T03:00:00.000000000,272.8602,251.66892
