datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T05:00:00.000000000,176.59533,206.72879
2026-05-20T06:00:00.000000000,182.86522,199.06198
2026-05-20T07:00:00.000000000,157.47253,185.86431
2026-05-20T08:00:00.000000000,116.48727,170.39927
2026-05-20T09:00:00.000000000,115.84104,152.90877
2026-05-20T10:00:00.000000000,120.0165,138.98687
2026-05-20T11:00:00.000000000,112.77153,126.02983
2026-05-20T12:00:00.000000000,113.65943,121.42516
2026-05-20T13:00:00.000000000,115.93262,121.97064
2026-05-20T14:00:00.000000000,118.69969,126.43909
2026-05-20T15:00:00.000000000,122.02471,134.05669
2026-05-20T16:00:00.000000000,120.79596,144.44719
2026-05-20T17:00:00.000000000,136.95923,156.5665
2026-05-20T18:00:00.000000000,188.63925,173.9898
2026-05-20T19:00:00.000000000,268.57199,191.46599
2026-05-20T20:00:00.000000000,306.84438,208.20465
2026-05-20T21:00:00.000000000,296.33284,221.64116
2026-05-20T22:00:00.000000000,296.5808,231.72849
2026-05-20T23:00:00.000000000,317.28542,239.832
2026-05-21T00:00:00.000000000,359.55492,249.14104
2026-05-21T01:00:00.000000000,385.47941,257.49247
2026-05-21T02:00:00.000000000,370.09226,264.04575
2026-05-21T03:00:00.000000000,360.50282,266.45529
2026-05-21T04:00:00.000000000,359.75529,264.35911
2026-05-21T05:00:00.000000000,352.08802,255.61166
2026-05-21T06:00:00.000000000,326.43882,243.29115
2026-05-21T07:00:00.000000000,284.82143,220.14385
2026-05-21T08:00:00.000000000,208.36781,190.73891
2026-05-21T09:00:00.000000000,165.46751,159.3559
2026-05-21T10:00:00.000000000,144.17159,135.53445
2026-05-21T11:00:00.000000000,137.21984,119.50704
2026-05-21T12:00:00.000000000,130.669,116.34003
2026-05-21T13:00:00.000000000,119.50599,120.07715
2026-05-21T14:00:00.000000000,118.83448,127.21062
2026-05-21T15:00:00.000000000,125.64878,138.11148
2026-05-21T16:00:00.000000000,166.67623,155.44791
2026-05-21T17:00:00.000000000,190.98469,178.39821
2026-05-21T18:00:00.000000000,231.75515,205.62798
2026-05-21T19:00:00.000000000,296.38937,228.09781
2026-05-21T20:00:00.000000000,282.44643,244.38068
2026-05-21T21:00:00.000000000,288.86831,255.92925
2026-05-21T22:00:00.000000000,295.23827,266.88165
2026-05-21T23:00:00.000000000,294.67153,278.81899
2026-05-22T00:00:00.000000000,309.71439,291.6346
