datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,179.62795,207.07031
2026-05-22T01:00:00.000000000,214.24146,209.22927
2026-05-22T02:00:00.000000000,230.64935,207.96366
2026-05-22T03:00:00.000000000,230.29748,210.51532
2026-05-22T04:00:00.000000000,234.72502,225.42808
2026-05-22T05:00:00.000000000,238.72841,236.67074
2026-05-22T06:00:00.000000000,248.88707,245.08197
2026-05-22T07:00:00.000000000,266.58802,254.35518
2026-05-22T08:00:00.000000000,280.21801,263.61714
2026-05-22T09:00:00.000000000,285.34517,269.29239
2026-05-22T10:00:00.000000000,290.13861,273.32513
2026-05-22T11:00:00.000000000,308.06695,271.97871
2026-05-22T12:00:00.000000000,301.59664,267.47389
2026-05-22T13:00:00.000000000,311.8451,265.94631
2026-05-22T14:00:00.000000000,315.80559,265.91676
2026-05-22T15:00:00.000000000,281.69625,266.15803
2026-05-22T16:00:00.000000000,268.58223,264.03977
2026-05-22T17:00:00.000000000,228.79227,261.5338
2026-05-22T18:00:00.000000000,196.71576,258.41724
2026-05-22T19:00:00.000000000,196.54572,259.70414
2026-05-22T20:00:00.000000000,210.21521,250.12425
2026-05-22T21:00:00.000000000,258.16541,244.33574
2026-05-22T22:00:00.000000000,266.92432,241.73133
2026-05-22T23:00:00.000000000,279.60546,239.60056
2026-05-23T00:00:00.000000000,253.40534,211.02833
2026-05-23T01:00:00.000000000,242.92596,212.41084
2026-05-23T02:00:00.000000000,235.16206,210.5403
2026-05-23T03:00:00.000000000,281.39383,212.85803
2026-05-23T04:00:00.000000000,368.18405,227.07568
2026-05-23T05:00:00.000000000,346.6092,237.96165
2026-05-23T06:00:00.000000000,339.23596,246.43492
2026-05-23T07:00:00.000000000,341.76538,256.00645
2026-05-23T08:00:00.000000000,346.84916,265.47804
2026-05-23T09:00:00.000000000,280.72386,271.33378
2026-05-23T10:00:00.000000000,332.18124,275.72687
2026-05-23T11:00:00.000000000,353.49585,274.84642
2026-05-23T12:00:00.000000000,342.78924,270.75055
2026-05-23T13:00:00.000000000,355.58442,269.63702
2026-05-23T14:00:00.000000000,342.6601,270.37638
2026-05-23T15:00:00.000000000,308.59135,271.43581
2026-05-23T16:00:00.000000000,298.69499,269.92837
2026-05-23T17:00:00.000000000,302.98762,267.90389
2026-05-23T18:00:00.000000000,300.55385,264.90734
2026-05-23T19:00:00.000000000,297.50784,265.85058
2026-05-23T20:00:00.000000000,295.07788,256.36477
2026-05-23T21:00:00.000000000,299.16139,250.2386
2026-05-23T22:00:00.000000000,308.62285,246.90199
2026-05-23T23:00:00.000000000,311.68759,243.95474
2026-05-24T00:00:00.000000000,327.06649,214.57989
2026-05-24T01:00:00.000000000,320.52326,216.04488
2026-05-24T02:00:00.000000000,256.38184,214.405
2026-05-24T03:00:00.000000000,298.3871,216.63621
2026-05-24T04:00:00.000000000,278.77079,230.31575
