datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,246.32214,329.88953
2026-05-22T01:00:00.000000000,289.86815,334.96539
2026-05-22T02:00:00.000000000,309.88312,338.62894
2026-05-22T03:00:00.000000000,309.14188,339.38148
2026-05-22T04:00:00.000000000,314.87374,332.7965
2026-05-22T05:00:00.000000000,320.05651,335.90696
2026-05-22T06:00:00.000000000,333.20786,349.75215
2026-05-22T07:00:00.000000000,356.12341,355.9703
2026-05-22T08:00:00.000000000,373.76872,352.39364
2026-05-22T09:00:00.000000000,380.40631,346.83917
2026-05-22T10:00:00.000000000,386.61188,342.83649
2026-05-22T11:00:00.000000000,409.82181,346.78468
2026-05-22T12:00:00.000000000,401.44538,343.8404
2026-05-22T13:00:00.000000000,414.82916,321.53741
2026-05-22T14:00:00.000000000,422.28495,322.16527
2026-05-22T15:00:00.000000000,383.46154,320.35228
2026-05-22T16:00:00.000000000,365.32514,317.248
2026-05-22T17:00:00.000000000,312.44928,317.75661
2026-05-22T18:00:00.000000000,270.5243,326.79823
2026-05-22T19:00:00.000000000,270.43106,336.95588
2026-05-22T20:00:00.000000000,288.0703,343.92381
2026-05-22T21:00:00.000000000,350.33233,351.20633
2026-05-22T22:00:00.000000000,360.61031,357.09369
2026-05-22T23:00:00.000000000,377.15478,365.02303
2026-05-23T00:00:00.000000000,342.47014,364.38904
2026-05-23T01:00:00.000000000,326.94648,367.89839
2026-05-23T02:00:00.000000000,315.68142,369.91638
2026-05-23T03:00:00.000000000,375.29093,368.62807
2026-05-23T04:00:00.000000000,487.64908,363.97704
2026-05-23T05:00:00.000000000,459.71839,365.84426
2026-05-23T06:00:00.000000000,450.17303,374.29785
2026-05-23T07:00:00.000000000,453.44761,380.00771
2026-05-23T08:00:00.000000000,460.02905,380.28184
2026-05-23T09:00:00.000000000,374.42359,379.48886
2026-05-23T10:00:00.000000000,441.04004,379.30682
2026-05-23T11:00:00.000000000,468.63382,381.75195
2026-05-23T12:00:00.000000000,454.77309,381.12793
2026-05-23T13:00:00.000000000,471.43228,369.53761
2026-05-23T14:00:00.000000000,456.34778,370.45495
2026-05-23T15:00:00.000000000,415.81172,369.17367
2026-05-23T16:00:00.000000000,403.67375,366.13488
2026-05-23T17:00:00.000000000,408.93034,366.77197
2026-05-23T18:00:00.000000000,405.58769,370.26895
2026-05-23T19:00:00.000000000,401.85423,375.04456
2026-05-23T20:00:00.000000000,398.51402,376.74435
2026-05-23T21:00:00.000000000,403.72627,378.80608
2026-05-23T22:00:00.000000000,415.06416,381.91384
