datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,31.12669,19.18888
2026-05-20T04:00:00.000000000,29.7352,18.48095
2026-05-20T05:00:00.000000000,23.97966,15.86913
2026-05-20T06:00:00.000000000,22.70997,15.00487
2026-05-20T07:00:00.000000000,20.81907,14.42455
2026-05-20T08:00:00.000000000,22.04816,16.13204
2026-05-20T09:00:00.000000000,24.47761,16.32129
2026-05-20T10:00:00.000000000,25.46928,14.87492
2026-05-20T11:00:00.000000000,29.91751,17.57806
2026-05-20T12:00:00.000000000,26.44049,16.41952
2026-05-20T13:00:00.000000000,25.57982,15.96358
2026-05-20T14:00:00.000000000,25.05979,16.27497
2026-05-20T15:00:00.000000000,25.5657,17.11637
2026-05-20T16:00:00.000000000,24.92033,18.97607
2026-05-20T17:00:00.000000000,26.02849,19.8494
2026-05-20T18:00:00.000000000,23.10056,19.8046
2026-05-20T19:00:00.000000000,13.52335,19.51095
2026-05-20T20:00:00.000000000,14.20004,18.71811
2026-05-20T21:00:00.000000000,13.90028,17.0269
2026-05-20T22:00:00.000000000,14.98023,21.00799
2026-05-20T23:00:00.000000000,23.94617,23.47515
2026-05-21T00:00:00.000000000,30.9231,25.18475
2026-05-21T01:00:00.000000000,27.79557,23.02597
2026-05-21T02:00:00.000000000,24.48692,20.35143
2026-05-21T03:00:00.000000000,23.12258,19.18888
2026-05-21T04:00:00.000000000,21.63418,18.48095
2026-05-21T05:00:00.000000000,15.39089,15.86913
2026-05-21T06:00:00.000000000,14.37719,15.00487
2026-05-21T07:00:00.000000000,13.09813,14.42455
2026-05-21T08:00:00.000000000,14.98804,16.13204
2026-05-21T09:00:00.000000000,13.88807,16.32129
2026-05-21T10:00:00.000000000,13.72493,14.87492
2026-05-21T11:00:00.000000000,15.63739,17.57806
2026-05-21T12:00:00.000000000,14.41125,16.41952
2026-05-21T13:00:00.000000000,14.21974,15.96358
2026-05-21T14:00:00.000000000,13.71704,16.27497
2026-05-21T15:00:00.000000000,15.26271,17.11637
2026-05-21T16:00:00.000000000,15.97738,18.97607
2026-05-21T17:00:00.000000000,16.34981,19.8494
2026-05-21T18:00:00.000000000,12.52209,19.8046
2026-05-21T19:00:00.000000000,11.43173,19.51095
2026-05-21T20:00:00.000000000,11.42826,18.71811
2026-05-21T21:00:00.000000000,11.21797,17.0269
2026-05-21T22:00:00.000000000,11.59749,21.00799
2026-05-21T23:00:00.000000000,11.70381,23.47515
2026-05-22T00:00:00.000000000,14.18023,25.18475
2026-05-22T01:00:00.000000000,14.11455,23.02597
2026-05-22T02:00:00.000000000,14.20062,20.35143
2026-05-22T03:00:00.000000000,13.80986,19.18888
2026-05-22T04:00:00.000000000,13.97165,18.48095
2026-05-22T05:00:00.000000000,12.28773,15.86913
2026-05-22T06:00:00.000000000,11.84705,15.00487
2026-05-22T07:00:00.000000000,11.40369,14.42455
2026-05-22T08:00:00.000000000,12.05079,16.13204
2026-05-22T09:00:00.000000000,13.23077,16.32129
2026-05-22T10:00:00.000000000,13.32016,14.87492
2026-05-22T11:00:00.000000000,14.73261,17.57806
2026-05-22T12:00:00.000000000,16.41494,16.41952
2026-05-22T13:00:00.000000000,17.40854,15.96358
2026-05-22T14:00:00.000000000,17.23226,16.27497
2026-05-22T15:00:00.000000000,14.76009,17.11637
2026-05-22T16:00:00.000000000,14.42474,18.97607
2026-05-22T17:00:00.000000000,13.81715,19.8494
2026-05-22T18:00:00.000000000,12.28901,19.8046
2026-05-22T19:00:00.000000000,10.6594,19.51095
2026-05-22T20:00:00.000000000,10.94374,18.71811
2026-05-22T21:00:00.000000000,10.57263,17.0269
2026-05-22T22:00:00.000000000,11.19315,21.00799
2026-05-22T23:00:00.000000000,11.79223,23.47515
2026-05-23T00:00:00.000000000,14.69867,25.18475
2026-05-23T01:00:00.000000000,15.9947,23.02597
2026-05-23T02:00:00.000000000,15.82227,20.35143
2026-05-23T03:00:00.000000000,15.9189,19.18888
2026-05-23T04:00:00.000000000,16.70185,18.48095
2026-05-23T05:00:00.000000000,17.09215,15.86913
2026-05-23T06:00:00.000000000,17.78728,15.00487
2026-05-23T07:00:00.000000000,16.11042,14.42455
2026-05-23T08:00:00.000000000,14.84998,16.13204
2026-05-23T09:00:00.000000000,16.56359,16.32129
2026-05-23T10:00:00.000000000,23.84437,14.87492
2026-05-23T11:00:00.000000000,23.5089,17.57806
2026-05-23T12:00:00.000000000,24.82224,16.41952
2026-05-23T13:00:00.000000000,26.02632,15.96358
2026-05-23T14:00:00.000000000,25.98187,16.27497
2026-05-23T15:00:00.000000000,27.05882,17.11637
2026-05-23T16:00:00.000000000,26.72251,18.97607
2026-05-23T17:00:00.000000000,16.53155,19.8494
2026-05-23T18:00:00.000000000,16.18408,19.8046
2026-05-23T19:00:00.000000000,13.0208,19.51095
2026-05-23T20:00:00.000000000,11.58389,18.71811
2026-05-23T21:00:00.000000000,11.16443,17.0269
2026-05-23T22:00:00.000000000,11.41246,21.00799
2026-05-23T23:00:00.000000000,15.05735,23.47515
2026-05-24T00:00:00.000000000,16.75273,25.18475
2026-05-24T01:00:00.000000000,17.7492,23.02597
2026-05-24T02:00:00.000000000,18.56424,20.35143
2026-05-24T03:00:00.000000000,18.49224,19.18888
2026-05-24T04:00:00.000000000,18.57157,18.48095
2026-05-24T05:00:00.000000000,19.05701,15.86913
2026-05-24T06:00:00.000000000,18.34758,15.00487
2026-05-24T07:00:00.000000000,16.92213,14.42455
2026-05-24T08:00:00.000000000,17.09813,16.13204
2026-05-24T09:00:00.000000000,23.76322,16.32129
2026-05-24T10:00:00.000000000,28.81944,14.87492
2026-05-24T11:00:00.000000000,31.27226,17.57806
2026-05-24T12:00:00.000000000,35.73807,16.41952
2026-05-24T13:00:00.000000000,35.17204,15.96358
2026-05-24T14:00:00.000000000,34.46637,16.27497
2026-05-24T15:00:00.000000000,35.34531,17.11637
2026-05-24T16:00:00.000000000,33.02197,18.97607
2026-05-24T17:00:00.000000000,24.81279,19.8494
2026-05-24T18:00:00.000000000,20.84683,19.8046
2026-05-24T19:00:00.000000000,15.26782,19.51095
2026-05-24T20:00:00.000000000,13.15528,18.71811
2026-05-24T21:00:00.000000000,12.77375,17.0269
2026-05-24T22:00:00.000000000,13.11051,21.00799
2026-05-24T23:00:00.000000000,16.02459,23.47515
2026-05-25T00:00:00.000000000,15.69711,25.18475
2026-05-25T01:00:00.000000000,20.17752,23.02597
2026-05-25T02:00:00.000000000,23.27658,20.35143
2026-05-25T03:00:00.000000000,23.33897,19.18888
2026-05-25T04:00:00.000000000,27.48613,18.48095
2026-05-25T05:00:00.000000000,31.00222,15.86913
2026-05-25T06:00:00.000000000,29.63645,15.00487
2026-05-25T07:00:00.000000000,24.79865,14.42455
2026-05-25T08:00:00.000000000,28.8936,16.13204
2026-05-25T09:00:00.000000000,29.24774,16.32129
2026-05-25T10:00:00.000000000,29.38279,14.87492
2026-05-25T11:00:00.000000000,28.0203,17.57806
2026-05-25T12:00:00.000000000,25.87773,16.41952
2026-05-25T13:00:00.000000000,22.62845,15.96358
2026-05-25T14:00:00.000000000,20.8366,16.27497
2026-05-25T15:00:00.000000000,19.14303,17.11637
2026-05-25T16:00:00.000000000,19.08714,18.97607
2026-05-25T17:00:00.000000000,17.92825,19.8494
2026-05-25T18:00:00.000000000,14.13417,19.8046
2026-05-25T19:00:00.000000000,12.61885,19.51095
2026-05-25T20:00:00.000000000,13.01289,18.71811
2026-05-25T21:00:00.000000000,13.17899,17.0269
2026-05-25T22:00:00.000000000,15.12567,21.00799
2026-05-25T23:00:00.000000000,15.47754,23.47515
2026-05-26T00:00:00.000000000,21.25598,25.18475
2026-05-26T01:00:00.000000000,27.75516,23.02597
2026-05-26T02:00:00.000000000,24.02467,20.35143
2026-05-26T03:00:00.000000000,26.10777,19.18888
2026-05-26T04:00:00.000000000,26.66946,18.48095
2026-05-26T05:00:00.000000000,21.68086,15.86913
2026-05-26T06:00:00.000000000,19.42099,15.00487
2026-05-26T07:00:00.000000000,18.41199,14.42455
2026-05-26T08:00:00.000000000,20.55259,16.13204
2026-05-26T09:00:00.000000000,22.02145,16.32129
2026-05-26T10:00:00.000000000,23.77332,14.87492
2026-05-26T11:00:00.000000000,30.64263,17.57806
2026-05-26T12:00:00.000000000,27.28914,16.41952
2026-05-26T13:00:00.000000000,23.17872,15.96358
2026-05-26T14:00:00.000000000,19.2033,16.27497
2026-05-26T15:00:00.000000000,21.29883,17.11637
2026-05-26T16:00:00.000000000,27.24125,18.97607
2026-05-26T17:00:00.000000000,29.26999,19.8494
2026-05-26T18:00:00.000000000,25.38285,19.8046
2026-05-26T19:00:00.000000000,22.73248,19.51095
2026-05-26T20:00:00.000000000,28.68787,18.71811
2026-05-26T21:00:00.000000000,39.52227,17.0269
2026-05-26T22:00:00.000000000,69.52857,21.00799
2026-05-26T23:00:00.000000000,82.24771,23.47515
2026-05-27T00:00:00.000000000,79.98984,25.18475
2026-05-27T01:00:00.000000000,23.33052,23.02597
2026-05-27T02:00:00.000000000,23.98739,20.35143
2026-05-21T03:00:00.000000000,23.12258,21.44552
2026-05-21T04:00:00.000000000,21.63418,20.71809
2026-05-21T05:00:00.000000000,15.39089,18.02358
2026-05-21T06:00:00.000000000,14.37719,16.98554
2026-05-21T07:00:00.000000000,13.09813,16.27964
2026-05-21T08:00:00.000000000,14.98804,17.94752
2026-05-21T09:00:00.000000000,13.88807,18.22985
2026-05-21T10:00:00.000000000,13.72493,16.95724
2026-05-21T11:00:00.000000000,15.63739,19.76585
2026-05-21T12:00:00.000000000,14.41125,18.77832
2026-05-21T13:00:00.000000000,14.21974,18.40112
2026-05-21T14:00:00.000000000,13.71704,18.59425
2026-05-21T15:00:00.000000000,15.26271,19.28529
2026-05-21T16:00:00.000000000,15.97738,20.81006
2026-05-21T17:00:00.000000000,16.34981,21.25799
2026-05-21T18:00:00.000000000,12.52209,20.873
2026-05-21T19:00:00.000000000,11.43173,20.42175
2026-05-21T20:00:00.000000000,11.42826,19.60649
2026-05-21T21:00:00.000000000,11.21797,17.89975
2026-05-21T22:00:00.000000000,11.59749,21.89262
2026-05-21T23:00:00.000000000,11.70381,24.48664
2026-05-22T00:00:00.000000000,14.18023,26.43539
2026-05-22T01:00:00.000000000,14.11455,24.54082
2026-05-22T02:00:00.000000000,14.20062,22.07977
2026-05-22T03:00:00.000000000,13.80986,19.18888
2026-05-22T04:00:00.000000000,13.97165,18.48095
2026-05-22T05:00:00.000000000,12.28773,15.86913
2026-05-22T06:00:00.000000000,11.84705,15.00487
2026-05-22T07:00:00.000000000,11.40369,14.42455
2026-05-22T08:00:00.000000000,12.05079,16.13204
2026-05-22T09:00:00.000000000,13.23077,16.32129
2026-05-22T10:00:00.000000000,13.32016,14.87492
2026-05-22T11:00:00.000000000,14.73261,17.57806
2026-05-22T12:00:00.000000000,16.41494,16.41952
2026-05-22T13:00:00.000000000,17.40854,15.96358
2026-05-22T14:00:00.000000000,17.23226,16.27497
2026-05-22T15:00:00.000000000,14.76009,17.11637
2026-05-22T16:00:00.000000000,14.42474,18.97607
