datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,78.6077,68.944
2026-05-20T04:00:00.000000000,75.64813,68.998
2026-05-20T05:00:00.000000000,65.84577,68.09442
2026-05-20T06:00:00.000000000,65.14014,66.31584
2026-05-20T07:00:00.000000000,65.77514,64.48884
2026-05-20T08:00:00.000000000,72.01941,64.13702
2026-05-20T09:00:00.000000000,77.50019,65.66106
2026-05-20T10:00:00.000000000,80.78109,68.05448
2026-05-20T11:00:00.000000000,89.89975,70.19732
2026-05-20T12:00:00.000000000,84.37936,71.75147
2026-05-20T13:00:00.000000000,82.07202,72.8817
2026-05-20T14:00:00.000000000,80.82541,74.04955
2026-05-20T15:00:00.000000000,79.68149,75.84987
2026-05-20T16:00:00.000000000,75.90134,77.21124
2026-05-20T17:00:00.000000000,74.79177,76.40742
2026-05-20T18:00:00.000000000,67.21848,73.59933
2026-05-20T19:00:00.000000000,47.49541,71.37913
2026-05-20T20:00:00.000000000,48.47346,68.95562
2026-05-20T21:00:00.000000000,48.45068,66.49419
2026-05-20T22:00:00.000000000,50.32915,65.582
2026-05-20T23:00:00.000000000,66.86592,67.42235
2026-05-21T00:00:00.000000000,78.57386,71.59838
2026-05-21T01:00:00.000000000,71.09479,75.51993
2026-05-21T02:00:00.000000000,63.67265,77.62382
2026-05-21T03:00:00.000000000,60.42648,73.4437
2026-05-21T04:00:00.000000000,57.29295,72.2473
2026-05-21T05:00:00.000000000,47.10699,69.75021
2026-05-21T06:00:00.000000000,46.41363,66.26718
2026-05-21T07:00:00.000000000,44.74623,63.97961
2026-05-21T08:00:00.000000000,49.72697,64.57998
2026-05-21T09:00:00.000000000,49.20339,68.58222
2026-05-21T10:00:00.000000000,49.04839,74.61839
2026-05-21T11:00:00.000000000,53.18284,80.37292
2026-05-21T12:00:00.000000000,50.51494,84.88814
2026-05-21T13:00:00.000000000,49.6838,87.5182
2026-05-21T14:00:00.000000000,48.45664,88.44594
2026-05-21T15:00:00.000000000,50.12819,88.2009
2026-05-21T16:00:00.000000000,50.84313,86.41006
2026-05-21T17:00:00.000000000,50.94503,82.2021
2026-05-21T18:00:00.000000000,43.83544,76.38745
2026-05-21T19:00:00.000000000,41.33798,71.82214
2026-05-21T20:00:00.000000000,40.64131,68.01364
2026-05-21T21:00:00.000000000,40.28272,65.50287
2026-05-21T22:00:00.000000000,41.03104,65.44854
2026-05-21T23:00:00.000000000,40.46798,68.866
2026-05-22T00:00:00.000000000,44.38648,74.79758
2026-05-22T01:00:00.000000000,44.12566,80.05511
2026-05-22T02:00:00.000000000,43.8118,82.765
2026-05-22T03:00:00.000000000,42.98949,84.83371
2026-05-22T04:00:00.000000000,43.64022,81.99267
2026-05-22T05:00:00.000000000,40.98385,77.84564
2026-05-22T06:00:00.000000000,40.72658,72.45277
2026-05-22T07:00:00.000000000,40.76899,69.09732
2026-05-22T08:00:00.000000000,42.63096,70.02043
2026-05-22T09:00:00.000000000,46.67064,76.14334
2026-05-22T10:00:00.000000000,48.61716,85.58687
2026-05-22T11:00:00.000000000,51.30746,94.38773
2026-05-22T12:00:00.000000000,54.92797,100.79691
2026-05-22T13:00:00.000000000,57.81222,103.82574
2026-05-22T14:00:00.000000000,58.39603,103.88267
2026-05-22T15:00:00.000000000,51.43944,101.54041
2026-05-22T16:00:00.000000000,49.84465,96.49077
2026-05-22T17:00:00.000000000,47.34968,88.86291
2026-05-22T18:00:00.000000000,43.33157,80.51256
2026-05-22T19:00:00.000000000,39.90826,74.51798
2026-05-22T20:00:00.000000000,39.50636,70.72705
2026-05-22T21:00:00.000000000,39.03604,69.52419
2026-05-22T22:00:00.000000000,39.50199,71.37562
2026-05-22T23:00:00.000000000,40.83061,77.26562
2026-05-23T00:00:00.000000000,45.0379,85.4347
2026-05-23T01:00:00.000000000,46.34473,91.68784
2026-05-23T02:00:00.000000000,45.49102,93.89997
2026-05-23T03:00:00.000000000,45.62405,97.29592
2026-05-23T04:00:00.000000000,47.64975,93.94548
2026-05-23T05:00:00.000000000,48.60054,89.50527
2026-05-23T06:00:00.000000000,50.79174,84.93012
2026-05-23T07:00:00.000000000,49.51125,83.12982
2026-05-23T08:00:00.000000000,48.47148,85.83494
2026-05-23T09:00:00.000000000,53.0499,92.64053
2026-05-23T10:00:00.000000000,69.25369,101.67316
2026-05-23T11:00:00.000000000,68.98725,109.59096
2026-05-23T12:00:00.000000000,72.23299,114.91389
2026-05-23T13:00:00.000000000,74.95145,116.30016
2026-05-23T14:00:00.000000000,73.77565,113.85672
2026-05-23T15:00:00.000000000,76.75349,109.02615
2026-05-23T16:00:00.000000000,74.49784,101.66707
2026-05-23T17:00:00.000000000,51.81329,92.76558
2026-05-23T18:00:00.000000000,49.14008,83.85915
2026-05-23T19:00:00.000000000,42.92182,77.73008
2026-05-23T20:00:00.000000000,40.06857,75.05515
2026-05-23T21:00:00.000000000,39.16802,76.05844
2026-05-23T22:00:00.000000000,39.69191,80.21284
2026-05-23T23:00:00.000000000,46.06845,87.16752
2026-05-24T00:00:00.000000000,48.2204,94.9603
2026-05-24T01:00:00.000000000,49.31245,100.32186
2026-05-24T02:00:00.000000000,50.44041,101.8836
2026-05-24T03:00:00.000000000,50.14529,100.01608
2026-05-24T04:00:00.000000000,50.59877,96.43409
2026-05-24T05:00:00.000000000,51.74334,92.09119
2026-05-24T06:00:00.000000000,51.71738,88.92147
2026-05-24T07:00:00.000000000,51.57703,88.87719
2026-05-24T08:00:00.000000000,53.81161,93.09014
2026-05-24T09:00:00.000000000,70.10696,99.78197
2026-05-24T10:00:00.000000000,83.20592,107.03385
2026-05-24T11:00:00.000000000,89.46989,112.65941
2026-05-24T12:00:00.000000000,100.71809,115.73162
2026-05-24T13:00:00.000000000,99.71746,115.133
2026-05-24T14:00:00.000000000,97.83644,110.6378
2026-05-24T15:00:00.000000000,98.41955,104.24325
2026-05-24T16:00:00.000000000,91.06124,96.07727
2026-05-24T17:00:00.000000000,71.24254,87.21209
2026-05-24T18:00:00.000000000,59.93971,78.67967
2026-05-24T19:00:00.000000000,47.98726,73.141
2026-05-24T20:00:00.000000000,43.95495,71.65126
2026-05-24T21:00:00.000000000,43.22556,74.38195
2026-05-24T22:00:00.000000000,43.47124,80.42792
2026-05-24T23:00:00.000000000,48.70049,87.96246
2026-05-25T00:00:00.000000000,48.56077,95.00524
2026-05-25T01:00:00.000000000,55.73114,99.19858
2026-05-25T02:00:00.000000000,62.26086,99.91727
2026-05-25T03:00:00.000000000,62.32556,95.09854
2026-05-25T04:00:00.000000000,71.6853,91.16755
2026-05-25T05:00:00.000000000,80.12084,86.77102
2026-05-25T06:00:00.000000000,81.25709,83.81531
2026-05-25T07:00:00.000000000,75.39309,84.38192
2026-05-25T08:00:00.000000000,88.10428,89.09695
2026-05-25T09:00:00.000000000,91.9954,95.98965
2026-05-25T10:00:00.000000000,93.04571,102.78166
2026-05-25T11:00:00.000000000,91.51414,107.52556
2026-05-25T12:00:00.000000000,85.97235,109.79964
2026-05-25T13:00:00.000000000,77.206,109.04988
2026-05-25T14:00:00.000000000,72.08153,104.82008
2026-05-25T15:00:00.000000000,66.2984,98.73871
2026-05-25T16:00:00.000000000,63.79213,91.42129
2026-05-25T17:00:00.000000000,59.84457,83.73296
2026-05-25T18:00:00.000000000,50.96137,76.26047
2026-05-25T19:00:00.000000000,46.91534,71.1835
2026-05-25T20:00:00.000000000,46.58354,69.38636
2026-05-25T21:00:00.000000000,46.92349,71.29215
2026-05-25T22:00:00.000000000,51.7691,76.56035
2026-05-25T23:00:00.000000000,52.42038,83.24372
2026-05-26T00:00:00.000000000,62.52845,89.3675
2026-05-26T01:00:00.000000000,72.95333,92.67096
2026-05-26T02:00:00.000000000,64.3067,92.68626
2026-05-26T03:00:00.000000000,68.41398,95.29563
2026-05-26T04:00:00.000000000,69.71095,91.50462
2026-05-26T05:00:00.000000000,61.24645,86.66158
2026-05-26T06:00:00.000000000,57.34057,81.66123
2026-05-26T07:00:00.000000000,57.79847,79.43725
2026-05-26T08:00:00.000000000,64.83104,81.62276
2026-05-26T09:00:00.000000000,70.70439,87.93952
2026-05-26T10:00:00.000000000,76.59724,96.3949
2026-05-26T11:00:00.000000000,93.29154,103.63865
2026-05-26T12:00:00.000000000,86.11646,108.42537
2026-05-26T13:00:00.000000000,76.8747,110.04988
2026-05-26T14:00:00.000000000,67.39825,108.40926
2026-05-26T15:00:00.000000000,69.56849,104.42497
2026-05-26T16:00:00.000000000,74.18398,98.11249
2026-05-26T17:00:00.000000000,74.69176,90.03048
2026-05-26T18:00:00.000000000,65.93264,81.4772
2026-05-26T19:00:00.000000000,59.96486,75.24323
2026-05-26T20:00:00.000000000,66.42974,71.82716
2026-05-26T21:00:00.000000000,79.44408,71.70409
2026-05-26T22:00:00.000000000,117.73988,75.09426
2026-05-26T23:00:00.000000000,134.75036,81.67482
2026-05-27T00:00:00.000000000,132.84661,89.39342
2026-05-27T01:00:00.000000000,63.29489,94.64251
2026-05-27T02:00:00.000000000,63.57216,95.9371
2026-05-21T03:00:00.000000000,60.42648,69.59861
2026-05-21T04:00:00.000000000,57.29295,68.80466
2026-05-21T05:00:00.000000000,47.10699,67.05341
2026-05-21T06:00:00.000000000,46.41363,64.16943
2026-05-21T07:00:00.000000000,44.74623,62.18347
2026-05-21T08:00:00.000000000,49.72697,62.83634
2026-05-21T09:00:00.000000000,49.20339,66.78364
2026-05-21T10:00:00.000000000,49.04839,72.22965
2026-05-21T11:00:00.000000000,53.18284,77.12367
2026-05-21T12:00:00.000000000,50.51494,80.7049
2026-05-21T13:00:00.000000000,49.6838,82.62296
2026-05-21T14:00:00.000000000,48.45664,83.34326
2026-05-21T15:00:00.000000000,50.12819,83.39805
2026-05-21T16:00:00.000000000,50.84313,82.19887
2026-05-21T17:00:00.000000000,50.94503,78.77603
2026-05-21T18:00:00.000000000,43.83544,74.09637
2026-05-21T19:00:00.000000000,41.33798,70.7294
2026-05-21T20:00:00.000000000,40.64131,68.30126
2026-05-21T21:00:00.000000000,40.28272,67.18213
2026-05-21T22:00:00.000000000,41.03104,68.21541
2026-05-21T23:00:00.000000000,40.46798,72.18274
2026-05-22T00:00:00.000000000,44.38648,77.96369
2026-05-22T01:00:00.000000000,44.12566,82.47746
2026-05-22T02:00:00.000000000,43.8118,84.21963
2026-05-22T03:00:00.000000000,42.98949,83.87181
2026-05-22T04:00:00.000000000,43.64022,81.66998
