datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,116.72417,116.09245
2026-05-20T04:00:00.000000000,116.8289,116.7708
2026-05-20T05:00:00.000000000,111.65634,113.018
2026-05-20T06:00:00.000000000,89.91582,101.16609
2026-05-20T07:00:00.000000000,63.84613,81.23338
2026-05-20T08:00:00.000000000,54.97696,60.17843
2026-05-20T09:00:00.000000000,42.30948,44.59895
2026-05-20T10:00:00.000000000,34.60904,38.57027
2026-05-20T11:00:00.000000000,34.78458,40.1765
2026-05-20T12:00:00.000000000,40.26493,43.57752
2026-05-20T13:00:00.000000000,42.92943,44.91264
2026-05-20T14:00:00.000000000,47.51242,45.11391
2026-05-20T15:00:00.000000000,52.74021,46.60366
2026-05-20T16:00:00.000000000,59.65022,54.65365
2026-05-20T17:00:00.000000000,59.9973,73.52191
2026-05-20T18:00:00.000000000,85.5789,101.74537
2026-05-20T19:00:00.000000000,113.75599,130.57876
2026-05-20T20:00:00.000000000,130.61733,149.22514
2026-05-20T21:00:00.000000000,129.56701,152.26999
2026-05-20T22:00:00.000000000,118.4458,145.20972
2026-05-20T23:00:00.000000000,117.09007,135.72901
2026-05-21T00:00:00.000000000,109.35726,126.64071
2026-05-21T01:00:00.000000000,108.52246,120.09648
2026-05-21T02:00:00.000000000,109.24407,117.36942
2026-05-21T03:00:00.000000000,108.75325,113.48279
2026-05-21T04:00:00.000000000,106.98005,114.19751
2026-05-21T05:00:00.000000000,102.12611,111.35045
2026-05-21T06:00:00.000000000,94.42609,101.9873
2026-05-21T07:00:00.000000000,67.97685,86.11183
2026-05-21T08:00:00.000000000,56.44167,68.9481
2026-05-21T09:00:00.000000000,39.49591,54.54419
2026-05-21T10:00:00.000000000,37.41997,46.3961
2026-05-21T11:00:00.000000000,44.75524,44.45649
2026-05-21T12:00:00.000000000,49.79613,45.32108
2026-05-21T13:00:00.000000000,38.42357,45.70795
2026-05-21T14:00:00.000000000,36.21203,45.56226
2026-05-21T15:00:00.000000000,35.77808,46.87423
2026-05-21T16:00:00.000000000,37.64851,54.31171
2026-05-21T17:00:00.000000000,52.89495,72.05427
2026-05-21T18:00:00.000000000,84.77179,98.99121
2026-05-21T19:00:00.000000000,116.15643,127.13954
2026-05-21T20:00:00.000000000,136.58739,146.14538
2026-05-21T21:00:00.000000000,129.47315,150.36914
2026-05-21T22:00:00.000000000,118.8441,144.48793
2026-05-21T23:00:00.000000000,118.57195,135.75029
2026-05-22T00:00:00.000000000,116.81755,126.65106
2026-05-22T01:00:00.000000000,110.85453,119.34543
2026-05-22T02:00:00.000000000,116.04918,115.49136
2026-05-22T03:00:00.000000000,127.89254,112.86802
2026-05-22T04:00:00.000000000,132.99666,113.71233
2026-05-22T05:00:00.000000000,123.10439,111.37266
2026-05-22T06:00:00.000000000,103.69867,102.6867
2026-05-22T07:00:00.000000000,76.09837,87.354
2026-05-22T08:00:00.000000000,49.31219,70.38503
2026-05-22T09:00:00.000000000,37.38021,55.79174
2026-05-22T10:00:00.000000000,33.87089,47.23003
2026-05-22T11:00:00.000000000,33.74557,44.87298
2026-05-22T12:00:00.000000000,36.12475,45.47829
2026-05-22T13:00:00.000000000,36.96258,45.77049
2026-05-22T14:00:00.000000000,36.24274,45.62631
2026-05-22T15:00:00.000000000,34.55134,47.02072
2026-05-22T16:00:00.000000000,35.2319,54.54801
2026-05-22T17:00:00.000000000,49.75646,72.2579
2026-05-22T18:00:00.000000000,80.34012,98.98116
2026-05-22T19:00:00.000000000,115.47255,126.90265
2026-05-22T20:00:00.000000000,131.67713,145.89863
2026-05-22T21:00:00.000000000,128.93726,150.37965
2026-05-22T22:00:00.000000000,118.41425,144.85231
2026-05-22T23:00:00.000000000,119.28971,136.33772
2026-05-23T00:00:00.000000000,111.209,127.17296
2026-05-23T01:00:00.000000000,112.73708,119.50561
2026-05-23T02:00:00.000000000,111.6903,115.17747
2026-05-23T03:00:00.000000000,113.91146,102.00583
2026-05-23T04:00:00.000000000,108.81021,99.90502
2026-05-23T05:00:00.000000000,90.60666,94.39799
2026-05-23T06:00:00.000000000,62.33113,84.5378
2026-05-23T07:00:00.000000000,36.34348,70.44622
2026-05-23T08:00:00.000000000,21.0153,55.96616
2026-05-23T09:00:00.000000000,21.34404,44.60624
2026-05-23T10:00:00.000000000,22.73127,39.33123
2026-05-23T11:00:00.000000000,22.99244,39.68584
2026-05-23T12:00:00.000000000,23.06053,41.54366
2026-05-23T13:00:00.000000000,22.74802,41.48265
2026-05-23T14:00:00.000000000,22.25921,39.72879
2026-05-23T15:00:00.000000000,21.54513,38.86694
2026-05-23T16:00:00.000000000,19.36586,44.33741
2026-05-23T17:00:00.000000000,22.25469,60.08953
2026-05-23T18:00:00.000000000,37.43146,84.93202
2026-05-23T19:00:00.000000000,58.54455,111.03694
2026-05-23T20:00:00.000000000,70.79617,129.04995
2026-05-23T21:00:00.000000000,72.96759,133.23268
2026-05-23T22:00:00.000000000,65.33983,127.78976
2026-05-23T23:00:00.000000000,58.4296,120.03278
2026-05-24T00:00:00.000000000,55.98432,112.99051
2026-05-24T01:00:00.000000000,53.80087,108.84542
2026-05-24T02:00:00.000000000,53.55434,107.53944
2026-05-24T03:00:00.000000000,52.68815,94.01107
2026-05-24T04:00:00.000000000,55.84443,94.28158
2026-05-24T05:00:00.000000000,51.1761,91.17046
2026-05-24T06:00:00.000000000,39.40141,82.54239
2026-05-24T07:00:00.000000000,30.74678,67.90616
2026-05-24T08:00:00.000000000,23.40267,51.8637
2026-05-24T09:00:00.000000000,22.4131,39.33934
2026-05-24T10:00:00.000000000,23.28929,34.07744
2026-05-24T11:00:00.000000000,23.03532,35.40911
2026-05-24T12:00:00.000000000,23.08316,38.48265
