datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,161.18125,165.79137
2026-05-20T04:00:00.000000000,161.33436,166.39533
2026-05-20T05:00:00.000000000,156.6686,168.74366
2026-05-20T06:00:00.000000000,135.64273,163.85847
2026-05-20T07:00:00.000000000,109.43554,147.33521
2026-05-20T08:00:00.000000000,101.31112,124.13265
2026-05-20T09:00:00.000000000,87.26284,102.49666
2026-05-20T10:00:00.000000000,79.20362,90.16227
2026-05-20T11:00:00.000000000,79.46175,89.89001
2026-05-20T12:00:00.000000000,85.84503,97.28709
2026-05-20T13:00:00.000000000,88.74263,102.80448
2026-05-20T14:00:00.000000000,94.08085,103.15234
2026-05-20T15:00:00.000000000,99.94568,101.68726
2026-05-20T16:00:00.000000000,106.83165,107.11402
2026-05-20T17:00:00.000000000,104.59437,126.99912
2026-05-20T18:00:00.000000000,130.7636,156.33642
2026-05-20T19:00:00.000000000,159.5899,184.44285
2026-05-20T20:00:00.000000000,178.5558,201.26285
2026-05-20T21:00:00.000000000,177.30977,205.34543
2026-05-20T22:00:00.000000000,163.21725,203.82182
2026-05-20T23:00:00.000000000,161.72653,200.01585
2026-05-21T00:00:00.000000000,151.72307,194.79812
2026-05-21T01:00:00.000000000,150.71377,185.73167
2026-05-21T02:00:00.000000000,151.57812,175.5095
2026-05-21T03:00:00.000000000,151.00972,172.74131
2026-05-21T04:00:00.000000000,148.7714,173.77358
2026-05-21T05:00:00.000000000,144.48429,175.52645
2026-05-21T06:00:00.000000000,140.52781,171.3056
2026-05-21T07:00:00.000000000,113.1433,157.60705
2026-05-21T08:00:00.000000000,101.97549,138.16146
2026-05-21T09:00:00.000000000,83.00942,118.46841
2026-05-21T10:00:00.000000000,81.40184,104.6548
2026-05-21T11:00:00.000000000,90.33312,99.78905
2026-05-21T12:00:00.000000000,96.07385,101.58798
2026-05-21T13:00:00.000000000,81.76718,103.74871
2026-05-21T14:00:00.000000000,78.79382,104.36228
2026-05-21T15:00:00.000000000,78.05002,105.45901
2026-05-21T16:00:00.000000000,79.71409,112.65295
2026-05-21T17:00:00.000000000,95.80165,131.28066
2026-05-21T18:00:00.000000000,129.0895,157.33699
2026-05-21T19:00:00.000000000,162.85082,182.80548
2026-05-21T20:00:00.000000000,186.27941,199.42344
2026-05-21T21:00:00.000000000,177.32188,205.14059
2026-05-21T22:00:00.000000000,164.05906,204.88324
2026-05-21T23:00:00.000000000,163.49005,201.27204
2026-05-22T00:00:00.000000000,161.42577,196.25794
2026-05-22T01:00:00.000000000,153.54572,188.69853
2026-05-22T02:00:00.000000000,160.24742,181.26249
2026-05-22T03:00:00.000000000,175.58541,180.64671
2026-05-22T04:00:00.000000000,182.25143,182.0557
2026-05-22T05:00:00.000000000,171.43284,183.48142
2026-05-22T06:00:00.000000000,152.91337,178.40123
2026-05-22T07:00:00.000000000,124.30542,163.6035
2026-05-22T08:00:00.000000000,94.74968,143.09923
2026-05-22T09:00:00.000000000,81.56453,122.43052
2026-05-22T10:00:00.000000000,77.87018,107.66809
2026-05-22T11:00:00.000000000,77.59807,101.92792
2026-05-22T12:00:00.000000000,79.69617,103.08843
2026-05-22T13:00:00.000000000,80.41402,105.09713
2026-05-22T14:00:00.000000000,79.30305,106.20347
2026-05-22T15:00:00.000000000,77.47021,108.39543
2026-05-22T16:00:00.000000000,77.94494,116.96476
2026-05-22T17:00:00.000000000,93.35382,136.80475
2026-05-22T18:00:00.000000000,125.05032,163.66145
2026-05-22T19:00:00.000000000,162.39796,189.45117
2026-05-22T20:00:00.000000000,180.02583,205.97148
2026-05-22T21:00:00.000000000,176.94602,211.26299
2026-05-22T22:00:00.000000000,163.88502,210.2975
2026-05-22T23:00:00.000000000,164.74222,205.89598
2026-05-23T00:00:00.000000000,154.977,200.45373
2026-05-23T01:00:00.000000000,156.86655,193.16395
2026-05-23T02:00:00.000000000,155.56118,186.62945
2026-05-23T03:00:00.000000000,158.30564,172.65644
2026-05-23T04:00:00.000000000,152.84323,172.04448
2026-05-23T05:00:00.000000000,134.37679,168.95995
2026-05-23T06:00:00.000000000,106.58787,158.9753
2026-05-23T07:00:00.000000000,80.91502,141.64077
2026-05-23T08:00:00.000000000,64.88185,121.95895
2026-05-23T09:00:00.000000000,64.2809,104.90222
2026-05-23T10:00:00.000000000,66.19069,94.3649
2026-05-23T11:00:00.000000000,66.6376,90.701
