datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,123.0714,147.7919
2026-05-22T01:00:00.000000000,119.90225,149.53105
2026-05-22T02:00:00.000000000,113.9935,154.10776
2026-05-22T03:00:00.000000000,125.86107,156.70808
2026-05-22T04:00:00.000000000,132.68092,157.03867
2026-05-22T05:00:00.000000000,140.02415,159.27709
2026-05-22T06:00:00.000000000,142.88997,163.36574
2026-05-22T07:00:00.000000000,159.78977,166.15425
2026-05-22T08:00:00.000000000,152.26011,166.25182
2026-05-22T09:00:00.000000000,152.88555,169.02283
2026-05-22T10:00:00.000000000,151.45534,171.46017
2026-05-22T11:00:00.000000000,154.33393,169.87764
2026-05-22T12:00:00.000000000,161.25847,170.75342
2026-05-22T13:00:00.000000000,166.46495,171.42188
2026-05-22T14:00:00.000000000,145.96459,169.08978
2026-05-22T15:00:00.000000000,134.81256,167.76443
2026-05-22T16:00:00.000000000,130.15748,163.41943
2026-05-22T17:00:00.000000000,126.77243,160.82058
2026-05-22T18:00:00.000000000,128.18636,156.62111
2026-05-22T19:00:00.000000000,129.53211,152.22447
2026-05-22T20:00:00.000000000,126.98553,148.91053
2026-05-22T21:00:00.000000000,125.30266,148.28701
2026-05-22T22:00:00.000000000,125.73033,147.60755
2026-05-22T23:00:00.000000000,121.59175,148.09657
2026-05-23T00:00:00.000000000,119.35442,161.10337
2026-05-23T01:00:00.000000000,118.15162,164.94385
2026-05-23T02:00:00.000000000,128.57845,170.71935
2026-05-23T03:00:00.000000000,140.11694,173.98603
2026-05-23T04:00:00.000000000,145.91011,173.56237
2026-05-23T05:00:00.000000000,153.48882,174.42304
2026-05-23T06:00:00.000000000,149.07701,176.70927
2026-05-23T07:00:00.000000000,153.73923,177.31138
2026-05-23T08:00:00.000000000,153.64685,175.27615
2026-05-23T09:00:00.000000000,161.0796,176.33677
2026-05-23T10:00:00.000000000,163.82297,177.58023
2026-05-23T11:00:00.000000000,163.12295,175.40519
2026-05-23T12:00:00.000000000,173.54693,176.61754
2026-05-23T13:00:00.000000000,174.35849,177.89835
2026-05-23T14:00:00.000000000,151.24203,176.17469
2026-05-23T15:00:00.000000000,138.87762,175.25043
2026-05-23T16:00:00.000000000,132.04236,171.79059
2026-05-23T17:00:00.000000000,136.81397,169.98281
2026-05-23T18:00:00.000000000,134.30778,166.29436
2026-05-23T19:00:00.000000000,134.45894,162.24745
2026-05-23T20:00:00.000000000,133.10487,159.71437
2026-05-23T21:00:00.000000000,133.16365,159.96091
2026-05-23T22:00:00.000000000,132.2098,159.96714
2026-05-23T23:00:00.000000000,128.8312,161.35038
2026-05-24T00:00:00.000000000,131.02397,160.19954
2026-05-24T01:00:00.000000000,127.17029,163.1829
2026-05-24T02:00:00.000000000,141.06343,168.32866
2026-05-24T03:00:00.000000000,155.42015,170.99532
2026-05-24T04:00:00.000000000,150.12301,170.38096
2026-05-24T05:00:00.000000000,162.39719,171.6322
2026-05-24T06:00:00.000000000,162.81951,174.50904
2026-05-24T07:00:00.000000000,166.89621,176.03119
2026-05-24T08:00:00.000000000,175.80886,175.07066
2026-05-24T09:00:00.000000000,159.83393,177.11967
2026-05-24T10:00:00.000000000,156.37876,179.20216
2026-05-24T11:00:00.000000000,150.06133,177.53693
2026-05-24T12:00:00.000000000,159.15143,178.92182
2026-05-24T13:00:00.000000000,159.47788,180.37042
2026-05-24T14:00:00.000000000,151.63245,178.7908
2026-05-24T15:00:00.000000000,127.95292,178.00279
2026-05-24T16:00:00.000000000,131.71914,174.43327
2026-05-24T17:00:00.000000000,130.24871,172.36991
2026-05-24T18:00:00.000000000,127.41625,168.29735
2026-05-24T19:00:00.000000000,124.19491,163.73599
2026-05-24T20:00:00.000000000,129.31939,160.44461
2026-05-24T21:00:00.000000000,129.91407,159.95904
2026-05-24T22:00:00.000000000,128.4948,159.37864
2026-05-24T23:00:00.000000000,125.61094,160.36107
2026-05-25T00:00:00.000000000,119.62458,163.29627
2026-05-25T01:00:00.000000000,120.45711,167.66352
2026-05-25T02:00:00.000000000,132.02945,173.6744
2026-05-25T03:00:00.000000000,153.05381,176.75319
2026-05-25T04:00:00.000000000,164.56182,175.84451
2026-05-25T05:00:00.000000000,166.39594,176.10423
2026-05-25T06:00:00.000000000,181.40631,177.66665
2026-05-25T07:00:00.000000000,180.09681,177.58846
2026-05-25T08:00:00.000000000,178.94341,174.99196
2026-05-25T09:00:00.000000000,177.5914,175.53846
2026-05-25T10:00:00.000000000,177.20254,176.31474
2026-05-25T11:00:00.000000000,175.54182,173.82194
2026-05-25T12:00:00.000000000,163.9111,174.94835
2026-05-25T13:00:00.000000000,162.24446,176.30175
2026-05-25T14:00:00.000000000,159.08034,175.07091
2026-05-25T15:00:00.000000000,139.33684,174.83978
2026-05-25T16:00:00.000000000,126.36098,172.34608
2026-05-25T17:00:00.000000000,121.16755,171.45173
2026-05-25T18:00:00.000000000,127.58898,168.44321
2026-05-25T19:00:00.000000000,137.70326,164.7401
2026-05-25T20:00:00.000000000,138.14723,162.48798
2026-05-25T21:00:00.000000000,135.09699,162.6793
