datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,274.55405,274.4066
2026-05-22T01:00:00.000000000,281.68454,278.36467
2026-05-22T02:00:00.000000000,284.33865,278.54342
2026-05-22T03:00:00.000000000,275.42538,277.5078
2026-05-22T04:00:00.000000000,261.30416,275.36428
2026-05-22T05:00:00.000000000,247.12591,273.50045
2026-05-22T06:00:00.000000000,235.40801,271.37266
2026-05-22T07:00:00.000000000,220.74485,270.6962
2026-05-22T08:00:00.000000000,216.11983,270.31191
2026-05-22T09:00:00.000000000,213.70731,271.8964
2026-05-22T10:00:00.000000000,221.85934,274.8003
2026-05-22T11:00:00.000000000,225.94832,277.52696
2026-05-22T12:00:00.000000000,200.77521,277.8153
2026-05-22T13:00:00.000000000,172.50017,275.73791
2026-05-22T14:00:00.000000000,164.75814,272.39826
2026-05-22T15:00:00.000000000,159.07319,267.82749
2026-05-22T16:00:00.000000000,161.66481,263.9558
2026-05-22T17:00:00.000000000,151.55424,262.62042
2026-05-22T18:00:00.000000000,162.68898,261.04858
2026-05-22T19:00:00.000000000,185.13841,262.94893
2026-05-22T20:00:00.000000000,196.69977,266.00827
2026-05-22T21:00:00.000000000,197.02988,268.96679
2026-05-22T22:00:00.000000000,220.52999,273.51758
2026-05-22T23:00:00.000000000,237.92267,280.2443
2026-05-23T00:00:00.000000000,255.39984,282.09437
2026-05-23T01:00:00.000000000,265.42649,285.71792
2026-05-23T02:00:00.000000000,265.90874,284.13145
2026-05-23T03:00:00.000000000,265.68064,281.00878
2026-05-23T04:00:00.000000000,253.82423,277.33676
2026-05-23T05:00:00.000000000,267.16185,274.93514
2026-05-23T06:00:00.000000000,268.45542,273.36583
2026-05-23T07:00:00.000000000,270.6107,274.26015
2026-05-23T08:00:00.000000000,268.15816,275.61541
2026-05-23T09:00:00.000000000,269.84344,279.04272
2026-05-23T10:00:00.000000000,269.79863,283.11326
2026-05-23T11:00:00.000000000,239.3038,285.70049
2026-05-23T12:00:00.000000000,242.28972,284.46279
2026-05-23T13:00:00.000000000,254.18347,279.99371
2026-05-23T14:00:00.000000000,257.19695,273.93209
2026-05-23T15:00:00.000000000,250.19006,266.4263
2026-05-23T16:00:00.000000000,244.49246,260.12608
2026-05-23T17:00:00.000000000,251.71179,257.86535
2026-05-23T18:00:00.000000000,254.61736,256.25605
2026-05-23T19:00:00.000000000,259.11373,259.54541
2026-05-23T20:00:00.000000000,268.41868,265.0217
2026-05-23T21:00:00.000000000,278.51487,270.66818
2026-05-23T22:00:00.000000000,284.8552,277.55734
