datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,260.85243,234.89606
2026-05-20T04:00:00.000000000,258.76262,229.35309
2026-05-20T05:00:00.000000000,257.09136,219.42866
2026-05-20T06:00:00.000000000,228.7993,207.00506
2026-05-20T07:00:00.000000000,194.7077,191.96231
2026-05-20T08:00:00.000000000,158.25351,171.13637
2026-05-20T09:00:00.000000000,119.87359,148.59753
2026-05-20T10:00:00.000000000,83.99955,126.26125
2026-05-20T11:00:00.000000000,77.03001,104.75886
2026-05-20T12:00:00.000000000,75.09706,89.33131
2026-05-20T13:00:00.000000000,78.30345,79.82349
2026-05-20T14:00:00.000000000,80.9483,86.32009
2026-05-20T15:00:00.000000000,92.70323,105.03
2026-05-20T16:00:00.000000000,97.46534,128.79564
2026-05-20T17:00:00.000000000,128.56384,154.17746
2026-05-20T18:00:00.000000000,186.49461,182.64645
2026-05-20T19:00:00.000000000,215.72671,207.95768
2026-05-20T20:00:00.000000000,222.41596,227.14022
2026-05-20T21:00:00.000000000,230.97396,240.79178
2026-05-20T22:00:00.000000000,252.55613,249.90719
2026-05-20T23:00:00.000000000,256.45521,253.7278
2026-05-21T00:00:00.000000000,237.21578,250.07303
2026-05-21T01:00:00.000000000,219.30884,244.84041
2026-05-21T02:00:00.000000000,210.09808,244.67835
2026-05-21T03:00:00.000000000,206.28653,221.60043
2026-05-21T04:00:00.000000000,209.00817,217.71503
2026-05-21T05:00:00.000000000,197.94306,212.50222
2026-05-21T06:00:00.000000000,183.14023,206.22628
2026-05-21T07:00:00.000000000,151.87198,196.3941
2026-05-21T08:00:00.000000000,120.75271,178.2469
2026-05-21T09:00:00.000000000,93.41452,155.81217
2026-05-21T10:00:00.000000000,80.58719,132.87679
2026-05-21T11:00:00.000000000,73.07839,110.37973
2026-05-21T12:00:00.000000000,74.70515,93.1079
2026-05-21T13:00:00.000000000,77.53656,80.71049
2026-05-21T14:00:00.000000000,80.54183,83.49309
2026-05-21T15:00:00.000000000,81.87825,98.46351
2026-05-21T16:00:00.000000000,93.70167,119.65223
2026-05-21T17:00:00.000000000,116.78456,144.16474
2026-05-21T18:00:00.000000000,165.64827,173.67592
2026-05-21T19:00:00.000000000,189.03376,201.8638
2026-05-21T20:00:00.000000000,199.84399,223.10808
2026-05-21T21:00:00.000000000,199.79719,237.05207
2026-05-21T22:00:00.000000000,212.77642,245.65919
2026-05-21T23:00:00.000000000,212.7436,248.54588
2026-05-22T00:00:00.000000000,191.19607,242.85294
2026-05-22T01:00:00.000000000,192.42466,234.92551
2026-05-22T02:00:00.000000000,199.87383,232.38176
