datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T03:00:00.000000000,348.69762,335.71107
2026-05-20T04:00:00.000000000,346.07591,342.22186
2026-05-20T05:00:00.000000000,344.09482,344.3497
2026-05-20T06:00:00.000000000,310.02318,334.90237
2026-05-20T07:00:00.000000000,270.29507,318.49778
2026-05-20T08:00:00.000000000,228.01701,283.12405
2026-05-20T09:00:00.000000000,182.90778,242.12358
2026-05-20T10:00:00.000000000,140.2641,201.74527
2026-05-20T11:00:00.000000000,132.92639,169.3771
2026-05-20T12:00:00.000000000,130.79559,147.24602
2026-05-20T13:00:00.000000000,134.31215,139.74677
2026-05-20T14:00:00.000000000,137.11195,146.11426
2026-05-20T15:00:00.000000000,150.77034,167.43021
2026-05-20T16:00:00.000000000,154.94626,200.17405
2026-05-20T17:00:00.000000000,190.18987,238.15681
2026-05-20T18:00:00.000000000,259.2264,278.32532
2026-05-20T19:00:00.000000000,293.43898,309.53763
2026-05-20T20:00:00.000000000,300.9503,327.90326
2026-05-20T21:00:00.000000000,311.39617,336.45597
2026-05-20T22:00:00.000000000,338.32284,339.96053
2026-05-20T23:00:00.000000000,343.26687,341.15479
2026-05-21T00:00:00.000000000,318.42932,335.56858
2026-05-21T01:00:00.000000000,295.40127,328.60152
2026-05-21T02:00:00.000000000,283.40225,327.80489
2026-05-21T03:00:00.000000000,278.7385,325.9135
2026-05-21T04:00:00.000000000,282.3268,332.58861
2026-05-21T05:00:00.000000000,268.86974,336.73981
2026-05-21T06:00:00.000000000,251.8173,330.04844
2026-05-21T07:00:00.000000000,216.14616,316.66587
2026-05-21T08:00:00.000000000,180.6583,283.98968
2026-05-21T09:00:00.000000000,148.62235,244.59424
2026-05-21T10:00:00.000000000,134.09497,205.93068
2026-05-21T11:00:00.000000000,125.78289,174.91588
2026-05-21T12:00:00.000000000,128.44772,153.69566
2026-05-21T13:00:00.000000000,131.8785,146.70001
2026-05-21T14:00:00.000000000,135.20442,151.77664
2026-05-21T15:00:00.000000000,136.22498,169.30025
2026-05-21T16:00:00.000000000,149.78227,196.95816
2026-05-21T17:00:00.000000000,175.97921,230.28275
2026-05-21T18:00:00.000000000,233.13215,267.12477
2026-05-21T19:00:00.000000000,259.77302,296.18152
2026-05-21T20:00:00.000000000,272.56523,313.8091
2026-05-21T21:00:00.000000000,272.44147,322.9289
2026-05-21T22:00:00.000000000,288.62838,328.41533
2026-05-21T23:00:00.000000000,288.82332,331.92395
2026-05-22T00:00:00.000000000,262.38606,327.98204
2026-05-22T01:00:00.000000000,264.45796,322.12605
2026-05-22T02:00:00.000000000,273.11781,321.8142
2026-05-22T03:00:00.000000000,262.41084,322.12054
2026-05-22T04:00:00.000000000,259.46538,328.2656
2026-05-22T05:00:00.000000000,269.01233,332.08238
2026-05-22T06:00:00.000000000,239.30546,325.28682
2026-05-22T07:00:00.000000000,199.27721,312.37214
2026-05-22T08:00:00.000000000,154.31298,280.82589
2026-05-22T09:00:00.000000000,144.04158,242.70045
2026-05-22T10:00:00.000000000,129.70152,205.35646
2026-05-22T11:00:00.000000000,128.61604,175.21819
2026-05-22T12:00:00.000000000,129.04693,154.44782
2026-05-22T13:00:00.000000000,136.52453,147.48944
2026-05-22T14:00:00.000000000,138.20422,152.03667
2026-05-22T15:00:00.000000000,130.9793,168.38113
2026-05-22T16:00:00.000000000,135.76024,194.62392
2026-05-22T17:00:00.000000000,160.83513,226.75764
2026-05-22T18:00:00.000000000,213.83967,262.67366
2026-05-22T19:00:00.000000000,245.96576,291.08836
2026-05-22T20:00:00.000000000,257.63975,308.48428
2026-05-22T21:00:00.000000000,259.46317,317.68551
2026-05-22T22:00:00.000000000,283.18504,323.59835
2026-05-22T23:00:00.000000000,290.4671,327.80108
2026-05-23T00:00:00.000000000,271.28766,324.51564
2026-05-23T01:00:00.000000000,262.15205,319.27978
2026-05-23T02:00:00.000000000,264.10929,319.37089
2026-05-23T03:00:00.000000000,266.80157,315.77612
2026-05-23T04:00:00.000000000,276.24451,321.46481
2026-05-23T05:00:00.000000000,274.8501,324.89079
2026-05-23T06:00:00.000000000,259.69057,317.36307
2026-05-23T07:00:00.000000000,210.07899,304.31119
2026-05-23T08:00:00.000000000,154.37676,273.23896
2026-05-23T09:00:00.000000000,133.92053,235.93149
2026-05-23T10:00:00.000000000,118.61638,199.43081
2026-05-23T11:00:00.000000000,118.12591,169.62218
2026-05-23T12:00:00.000000000,116.88452,148.5373
2026-05-23T13:00:00.000000000,122.4909,140.95766
2026-05-23T14:00:00.000000000,125.97429,144.86705
2026-05-23T15:00:00.000000000,132.46448,160.58901
2026-05-23T16:00:00.000000000,134.09063,186.49511
2026-05-23T17:00:00.000000000,150.92335,218.94693
2026-05-23T18:00:00.000000000,215.28556,255.47197
2026-05-23T19:00:00.000000000,248.56014,284.39564
2026-05-23T20:00:00.000000000,244.825,301.92263
2026-05-23T21:00:00.000000000,247.76704,310.8971
