datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,219.01053,195.82396
2026-05-22T01:00:00.000000000,237.11816,232.67464
2026-05-22T02:00:00.000000000,249.76529,271.25885
2026-05-22T03:00:00.000000000,265.04081,297.18727
2026-05-22T04:00:00.000000000,276.86015,308.9623
2026-05-22T05:00:00.000000000,267.71307,309.64337
2026-05-22T06:00:00.000000000,259.82886,310.85902
2026-05-22T07:00:00.000000000,250.99628,314.07585
2026-05-22T08:00:00.000000000,253.83721,318.61684
2026-05-22T09:00:00.000000000,240.41013,319.83037
2026-05-22T10:00:00.000000000,229.6338,318.31329
2026-05-22T11:00:00.000000000,230.20156,312.29871
2026-05-22T12:00:00.000000000,231.82534,309.41665
2026-05-22T13:00:00.000000000,226.79124,313.6557
2026-05-22T14:00:00.000000000,235.47182,303.82078
2026-05-22T15:00:00.000000000,187.75482,274.27428
2026-05-22T16:00:00.000000000,177.89796,226.25918
2026-05-22T17:00:00.000000000,179.18574,189.5279
2026-05-22T18:00:00.000000000,163.47322,171.87643
2026-05-22T19:00:00.000000000,153.45419,162.83666
2026-05-22T20:00:00.000000000,151.41213,170.37627
2026-05-22T21:00:00.000000000,154.93865,178.95475
2026-05-22T22:00:00.000000000,162.03655,178.64119
2026-05-22T23:00:00.000000000,179.37607,192.41514
2026-05-23T00:00:00.000000000,180.77481,178.12456
2026-05-23T01:00:00.000000000,194.18796,213.54174
2026-05-23T02:00:00.000000000,207.45061,254.45835
2026-05-23T03:00:00.000000000,249.82215,283.12479
2026-05-23T04:00:00.000000000,259.8609,297.1907
2026-05-23T05:00:00.000000000,252.2734,299.85444
2026-05-23T06:00:00.000000000,248.23044,302.65418
2026-05-23T07:00:00.000000000,265.96998,308.05952
2026-05-23T08:00:00.000000000,254.84698,314.68231
2026-05-23T09:00:00.000000000,267.51123,317.06069
2026-05-23T10:00:00.000000000,284.09308,316.38658
2026-05-23T11:00:00.000000000,325.43675,311.20315
2026-05-23T12:00:00.000000000,333.76142,308.22941
2026-05-23T13:00:00.000000000,294.22614,311.70812
2026-05-23T14:00:00.000000000,263.10158,300.52701
2026-05-23T15:00:00.000000000,219.61978,269.15016
2026-05-23T16:00:00.000000000,159.19765,219.81648
2026-05-23T17:00:00.000000000,146.05233,183.48633
2026-05-23T18:00:00.000000000,124.37686,166.41532
2026-05-23T19:00:00.000000000,123.79708,159.09134
2026-05-23T20:00:00.000000000,123.87204,169.03848
2026-05-23T21:00:00.000000000,114.86782,178.40205
2026-05-23T22:00:00.000000000,120.52053,175.19053
2026-05-23T23:00:00.000000000,140.37624,182.95094
2026-05-24T00:00:00.000000000,124.69836,170.77715
2026-05-24T01:00:00.000000000,180.65657,204.33923
2026-05-24T02:00:00.000000000,235.34459,245.28003
2026-05-24T03:00:00.000000000,270.3125,274.96678
2026-05-24T04:00:00.000000000,278.77215,290.41167
2026-05-24T05:00:00.000000000,276.56043,294.60822
2026-05-24T06:00:00.000000000,255.61411,298.53433
2026-05-24T07:00:00.000000000,262.8671,304.84886
2026-05-24T08:00:00.000000000,238.83984,312.08783
2026-05-24T09:00:00.000000000,251.13581,314.81669
2026-05-24T10:00:00.000000000,245.81641,314.93788
2026-05-24T11:00:00.000000000,246.83776,310.21229
2026-05-24T12:00:00.000000000,256.47309,306.77269
2026-05-24T13:00:00.000000000,226.63763,309.12157
2026-05-24T14:00:00.000000000,247.72806,297.10265
2026-05-24T15:00:00.000000000,202.75476,265.20146
2026-05-24T16:00:00.000000000,155.99091,215.8517
2026-05-24T17:00:00.000000000,112.74984,180.2008
2026-05-24T18:00:00.000000000,120.23496,163.72152
2026-05-24T19:00:00.000000000,119.34513,157.13694
2026-05-24T20:00:00.000000000,118.7523,168.03452
2026-05-24T21:00:00.000000000,119.94434,178.00175
2026-05-24T22:00:00.000000000,117.61674,174.10769
2026-05-24T23:00:00.000000000,131.50246,179.66025
2026-05-25T00:00:00.000000000,142.85629,171.23612
2026-05-25T01:00:00.000000000,156.84066,204.49577
2026-05-25T02:00:00.000000000,208.25121,245.59494
2026-05-25T03:00:00.000000000,242.09464,275.80551
2026-05-25T04:00:00.000000000,228.56211,292.01231
2026-05-25T05:00:00.000000000,239.95337,296.85154
2026-05-25T06:00:00.000000000,255.86761,301.30966
2026-05-25T07:00:00.000000000,262.03807,308.16865
2026-05-25T08:00:00.000000000,198.9941,316.12399
2026-05-25T09:00:00.000000000,193.10938,319.61085
2026-05-25T10:00:00.000000000,255.83333,320.11781
2026-05-25T11:00:00.000000000,275.90829,315.90303
2026-05-25T12:00:00.000000000,286.68178,312.99369
2026-05-25T13:00:00.000000000,231.61096,315.78023
2026-05-25T14:00:00.000000000,231.56475,303.44204
2026-05-25T15:00:00.000000000,207.04418,270.45581
2026-05-25T16:00:00.000000000,164.46326,219.64196
2026-05-25T17:00:00.000000000,149.52311,183.31804
2026-05-25T18:00:00.000000000,140.63566,166.48286
2026-05-25T19:00:00.000000000,135.49046,159.6453
2026-05-25T20:00:00.000000000,125.96178,170.35399
2026-05-25T21:00:00.000000000,127.70942,180.23872
2026-05-25T22:00:00.000000000,124.0842,176.00686
2026-05-25T23:00:00.000000000,148.63991,180.75842
2026-05-26T00:00:00.000000000,166.21157,174.36814
2026-05-26T01:00:00.000000000,192.98452,208.19143
2026-05-26T02:00:00.000000000,194.49495,249.71525
2026-05-26T03:00:00.000000000,217.95295,280.32544
2026-05-26T04:00:00.000000000,228.48064,296.98469
2026-05-26T05:00:00.000000000,231.12195,302.03446
2026-05-26T06:00:00.000000000,234.146,306.7391
2026-05-26T07:00:00.000000000,233.51318,313.97629
2026-05-26T08:00:00.000000000,230.69373,322.57249
2026-05-26T09:00:00.000000000,228.59108,326.84585
