datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,303.96211,262.89964
2026-05-22T01:00:00.000000000,324.67133,285.05232
2026-05-22T02:00:00.000000000,336.62145,312.75123
2026-05-22T03:00:00.000000000,352.2689,337.01106
2026-05-22T04:00:00.000000000,366.68445,352.59727
2026-05-22T05:00:00.000000000,356.01989,359.79057
2026-05-22T06:00:00.000000000,345.03949,374.56014
2026-05-22T07:00:00.000000000,334.13071,377.01248
2026-05-22T08:00:00.000000000,339.02666,373.46725
2026-05-22T09:00:00.000000000,321.00642,376.66172
2026-05-22T10:00:00.000000000,306.95915,379.21237
2026-05-22T11:00:00.000000000,307.74611,375.99171
2026-05-22T12:00:00.000000000,309.80243,368.84771
2026-05-22T13:00:00.000000000,304.10567,354.69068
2026-05-22T14:00:00.000000000,316.5498,332.13562
2026-05-22T15:00:00.000000000,262.28926,305.26253
2026-05-22T16:00:00.000000000,253.43907,272.18041
2026-05-22T17:00:00.000000000,255.86993,242.72517
2026-05-22T18:00:00.000000000,237.68747,219.17432
2026-05-22T19:00:00.000000000,226.15739,209.85601
2026-05-22T20:00:00.000000000,223.56261,204.65802
2026-05-22T21:00:00.000000000,227.83045,214.84444
2026-05-22T22:00:00.000000000,236.10593,227.99714
2026-05-22T23:00:00.000000000,256.45356,249.29697
2026-05-23T00:00:00.000000000,256.95125,241.76077
2026-05-23T01:00:00.000000000,271.8674,262.11989
2026-05-23T02:00:00.000000000,283.75271,290.55366
2026-05-23T03:00:00.000000000,333.97919,318.36045
2026-05-23T04:00:00.000000000,345.12519,335.64502
2026-05-23T05:00:00.000000000,334.62859,344.42026
2026-05-23T06:00:00.000000000,329.31658,361.22689
2026-05-23T07:00:00.000000000,351.73133,363.12478
2026-05-23T08:00:00.000000000,337.87682,359.17104
2026-05-23T09:00:00.000000000,352.24551,361.38108
2026-05-23T10:00:00.000000000,372.50358,362.31761
2026-05-23T11:00:00.000000000,422.50803,357.00069
2026-05-23T12:00:00.000000000,434.75025,350.58741
2026-05-23T13:00:00.000000000,385.23474,338.40785
2026-05-23T14:00:00.000000000,350.94754,317.99091
2026-05-23T15:00:00.000000000,303.37618,293.7358
2026-05-23T16:00:00.000000000,231.00587,261.33447
2026-05-23T17:00:00.000000000,215.1405,235.48909
2026-05-23T18:00:00.000000000,189.48002,212.60105
2026-05-23T19:00:00.000000000,189.32685,201.86532
2026-05-23T20:00:00.000000000,189.3966,192.85911
2026-05-23T21:00:00.000000000,177.08391,201.34178
2026-05-23T22:00:00.000000000,184.20474,211.52231
2026-05-23T23:00:00.000000000,209.58085,229.95813
2026-05-24T00:00:00.000000000,187.68984,229.4514
2026-05-24T01:00:00.000000000,256.35137,248.58384
2026-05-24T02:00:00.000000000,320.03859,276.64816
2026-05-24T03:00:00.000000000,359.68421,306.15116
2026-05-24T04:00:00.000000000,369.76287,323.35804
2026-05-24T05:00:00.000000000,366.70861,332.21058
2026-05-24T06:00:00.000000000,339.05062,349.74543
2026-05-24T07:00:00.000000000,347.9516,351.89173
2026-05-24T08:00:00.000000000,317.7875,347.79618
2026-05-24T09:00:00.000000000,334.18027,349.58215
2026-05-24T10:00:00.000000000,327.00244,349.65013
2026-05-24T11:00:00.000000000,326.02475,343.15605
2026-05-24T12:00:00.000000000,338.61095,336.60158
2026-05-24T13:00:00.000000000,302.45819,325.16984
2026-05-24T14:00:00.000000000,332.95917,305.4596
2026-05-24T15:00:00.000000000,283.02785,283.2768
2026-05-24T16:00:00.000000000,226.73636,251.67956
2026-05-24T17:00:00.000000000,174.4668,229.32977
2026-05-24T18:00:00.000000000,185.21554,208.4278
2026-05-24T19:00:00.000000000,184.37616,198.29931
2026-05-24T20:00:00.000000000,183.51752,187.15479
2026-05-24T21:00:00.000000000,185.00062,194.85862
2026-05-24T22:00:00.000000000,181.28138,203.15364
2026-05-24T23:00:00.000000000,197.21429,218.82358
2026-05-25T00:00:00.000000000,208.8652,222.94061
2026-05-25T01:00:00.000000000,225.60783,240.78272
2026-05-25T02:00:00.000000000,285.22762,268.06993
2026-05-25T03:00:00.000000000,323.22157,298.50284
2026-05-25T04:00:00.000000000,304.93617,314.87477
2026-05-25T05:00:00.000000000,319.71593,323.85465
2026-05-25T06:00:00.000000000,339.79282,341.74655
2026-05-25T07:00:00.000000000,347.43695,343.774
2026-05-25T08:00:00.000000000,267.52911,340.59509
2026-05-25T09:00:00.000000000,260.04141,342.24489
2026-05-25T10:00:00.000000000,339.14917,342.33104
2026-05-25T11:00:00.000000000,365.08113,335.38251
2026-05-25T12:00:00.000000000,378.87035,329.825
2026-05-25T13:00:00.000000000,309.50046,320.40905
2026-05-25T14:00:00.000000000,312.48381,301.42142
2026-05-25T15:00:00.000000000,288.7216,281.59726
2026-05-25T16:00:00.000000000,238.54058,249.19102
2026-05-25T17:00:00.000000000,220.45524,228.5047
2026-05-25T18:00:00.000000000,209.35718,207.59839
2026-05-25T19:00:00.000000000,202.23171,195.84305
2026-05-25T20:00:00.000000000,189.90382,183.14488
2026-05-25T21:00:00.000000000,190.1911,190.62267
2026-05-25T22:00:00.000000000,182.58021,198.08943
2026-05-25T23:00:00.000000000,212.0554,212.10836
2026-05-26T00:00:00.000000000,235.05564,227.21479
2026-05-26T01:00:00.000000000,271.89704,244.7257
2026-05-26T02:00:00.000000000,267.88148,271.74115
2026-05-26T03:00:00.000000000,293.0,301.9904
2026-05-26T04:00:00.000000000,305.73776,318.18723
2026-05-26T05:00:00.000000000,309.21463,327.67487
2026-05-26T06:00:00.000000000,312.72006,345.40463
2026-05-26T07:00:00.000000000,312.67957,346.89256
2026-05-26T08:00:00.000000000,309.01033,343.84458
2026-05-26T09:00:00.000000000,306.47509,345.3563
2026-05-26T10:00:00.000000000,382.89474,345.53671
2026-05-26T11:00:00.000000000,373.875,338.63065
2026-05-26T12:00:00.000000000,358.48387,333.18573
2026-05-26T13:00:00.000000000,310.49515,323.72775
2026-05-26T14:00:00.000000000,302.82305,304.27035
2026-05-26T15:00:00.000000000,249.72781,283.78408
2026-05-26T16:00:00.000000000,247.48101,250.94107
2026-05-26T17:00:00.000000000,198.17629,229.68806
2026-05-26T18:00:00.000000000,194.29141,208.48694
2026-05-26T19:00:00.000000000,191.1025,196.50135
2026-05-26T20:00:00.000000000,191.08768,184.85014
2026-05-26T21:00:00.000000000,189.84863,193.00994
2026-05-26T22:00:00.000000000,209.94026,201.41093
2026-05-26T23:00:00.000000000,205.18492,216.43072
2026-05-27T00:00:00.000000000,222.1159,225.7526
2026-05-27T01:00:00.000000000,278.46345,243.67348
2026-05-27T02:00:00.000000000,287.60743,271.22648
2026-05-27T03:00:00.000000000,319.94569,301.85035
2026-05-27T04:00:00.000000000,336.23529,318.54655
2026-05-27T05:00:00.000000000,342.89846,328.19421
2026-05-27T06:00:00.000000000,353.35463,346.16917
2026-05-27T07:00:00.000000000,349.46913,347.71134
2026-05-27T08:00:00.000000000,343.2237,344.61124
2026-05-27T09:00:00.000000000,337.36195,346.18567
2026-05-27T10:00:00.000000000,324.34318,346.29731
2026-05-27T11:00:00.000000000,342.73306,339.32743
2026-05-27T12:00:00.000000000,335.0119,334.05561
2026-05-27T13:00:00.000000000,350.39093,324.7282
2026-05-27T14:00:00.000000000,362.5367,305.55819
2026-05-27T15:00:00.000000000,312.36374,285.13039
2026-05-27T16:00:00.000000000,231.70153,252.07734
2026-05-27T17:00:00.000000000,212.16667,230.37836
2026-05-27T18:00:00.000000000,206.85834,208.41204
2026-05-27T19:00:00.000000000,205.93281,195.72443
2026-05-27T20:00:00.000000000,211.90195,183.53599
2026-05-27T21:00:00.000000000,215.03692,191.29731
2026-05-27T22:00:00.000000000,211.05116,199.42276
2026-05-27T23:00:00.000000000,211.29843,214.50845
2026-05-28T00:00:00.000000000,224.76136,229.85718
2026-05-28T01:00:00.000000000,275.42384,249.4601
2026-05-28T02:00:00.000000000,264.37689,278.34961
2026-05-28T03:00:00.000000000,295.14258,307.88096
2026-05-28T04:00:00.000000000,282.13468,326.17542
2026-05-28T05:00:00.000000000,290.64717,336.02352
2026-05-28T06:00:00.000000000,321.00522,354.04696
2026-05-28T07:00:00.000000000,360.73517,355.41694
2026-05-28T08:00:00.000000000,412.92761,352.61365
2026-05-28T09:00:00.000000000,443.3014,354.83761
2026-05-28T10:00:00.000000000,450.84783,355.92266
2026-05-28T11:00:00.000000000,411.55976,350.27294
2026-05-28T12:00:00.000000000,453.94952,346.14326
2026-05-28T13:00:00.000000000,419.34876,337.40369
2026-05-28T14:00:00.000000000,383.59182,319.26103
2026-05-28T15:00:00.000000000,312.92903,297.75503
2026-05-28T16:00:00.000000000,248.16854,264.20939
2026-05-28T17:00:00.000000000,245.35917,238.61049
2026-05-28T18:00:00.000000000,269.5102,213.30455
2026-05-28T19:00:00.000000000,265.07227,198.5533
2026-05-28T20:00:00.000000000,259.69133,185.7212
2026-05-28T21:00:00.000000000,280.5142,192.32195
2026-05-28T22:00:00.000000000,295.99592,200.10112
2026-05-28T23:00:00.000000000,309.14937,216.93836
2026-05-23T00:00:00.000000000,256.95125,226.6612
2026-05-23T01:00:00.000000000,271.8674,239.10665
2026-05-23T02:00:00.000000000,283.75271,261.24799
2026-05-23T03:00:00.000000000,333.97919,291.74807
2026-05-23T04:00:00.000000000,345.12519,303.02693
2026-05-23T05:00:00.000000000,334.62859,311.22046
2026-05-23T06:00:00.000000000,329.31658,327.15973
2026-05-23T07:00:00.000000000,351.73133,327.92814
2026-05-23T08:00:00.000000000,337.87682,324.77762
2026-05-23T09:00:00.000000000,352.24551,324.36025
2026-05-23T10:00:00.000000000,372.50358,324.15553
2026-05-23T11:00:00.000000000,422.50803,316.21254
2026-05-23T12:00:00.000000000,434.75025,309.70537
2026-05-23T13:00:00.000000000,385.23474,300.95918
2026-05-23T14:00:00.000000000,350.94754,279.53837
2026-05-23T15:00:00.000000000,303.37618,262.16065
2026-05-23T16:00:00.000000000,231.00587,230.26043
2026-05-23T17:00:00.000000000,215.1405,217.71397
2026-05-23T18:00:00.000000000,189.48002,204.38032
2026-05-23T19:00:00.000000000,189.32685,197.14105
2026-05-23T20:00:00.000000000,189.3966,187.78998
2026-05-23T21:00:00.000000000,177.08391,199.08641
2026-05-23T22:00:00.000000000,184.20474,208.82584
2026-05-23T23:00:00.000000000,209.58085,219.95393
2026-05-24T00:00:00.000000000,187.68984,218.44746
2026-05-24T01:00:00.000000000,256.35137,233.48922
2026-05-24T02:00:00.000000000,320.03859,257.98409
2026-05-24T03:00:00.000000000,359.68421,290.09953
2026-05-24T04:00:00.000000000,369.76287,303.11958
2026-05-24T05:00:00.000000000,366.70861,311.26582
2026-05-24T06:00:00.000000000,339.05062,328.4002
2026-05-24T07:00:00.000000000,347.9516,331.2909
2026-05-24T08:00:00.000000000,317.7875,327.70643
2026-05-24T09:00:00.000000000,334.18027,328.28511
2026-05-24T10:00:00.000000000,327.00244,327.2528
2026-05-24T11:00:00.000000000,326.02475,318.60518
2026-05-24T12:00:00.000000000,338.61095,310.87105
2026-05-24T13:00:00.000000000,302.45819,300.39638
2026-05-24T14:00:00.000000000,332.95917,279.07204
2026-05-24T15:00:00.000000000,283.02785,261.64371
2026-05-24T16:00:00.000000000,226.73636,229.94944
2026-05-24T17:00:00.000000000,174.4668,216.81277
2026-05-24T18:00:00.000000000,185.21554,202.08636
2026-05-24T19:00:00.000000000,184.37616,194.30457
2026-05-24T20:00:00.000000000,183.51752,182.64102
2026-05-24T21:00:00.000000000,185.00062,192.08986
2026-05-24T22:00:00.000000000,181.28138,200.14079
2026-05-24T23:00:00.000000000,197.21429,210.38405
2026-05-25T00:00:00.000000000,208.8652,216.67099
2026-05-25T01:00:00.000000000,225.60783,231.83726
2026-05-25T02:00:00.000000000,285.22762,256.69888
2026-05-25T03:00:00.000000000,323.22157,288.5081
2026-05-25T04:00:00.000000000,304.93617,302.03076
2026-05-25T05:00:00.000000000,319.71593,310.37644
2026-05-25T06:00:00.000000000,339.79282,327.95316
