datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,694.2067,666.39464
2026-05-22T01:00:00.000000000,693.76816,664.38026
2026-05-22T02:00:00.000000000,696.54695,664.02425
2026-05-22T03:00:00.000000000,703.7375,665.80204
2026-05-22T04:00:00.000000000,706.72498,666.42275
2026-05-22T05:00:00.000000000,706.1673,665.93688
2026-05-22T06:00:00.000000000,705.07594,668.26404
2026-05-22T07:00:00.000000000,702.70894,665.69377
2026-05-22T08:00:00.000000000,700.22447,668.53857
2026-05-22T09:00:00.000000000,700.19137,667.73509
2026-05-22T10:00:00.000000000,702.07233,666.61638
2026-05-22T11:00:00.000000000,705.41023,666.41569
2026-05-22T12:00:00.000000000,710.47097,667.24332
2026-05-22T13:00:00.000000000,709.66227,667.81837
2026-05-22T14:00:00.000000000,709.44029,668.52033
2026-05-22T15:00:00.000000000,709.7121,669.08895
2026-05-22T16:00:00.000000000,712.37686,668.68142
2026-05-22T17:00:00.000000000,710.14909,667.96192
2026-05-22T18:00:00.000000000,703.69584,670.83986
2026-05-22T19:00:00.000000000,699.9095,667.95527
2026-05-22T20:00:00.000000000,696.58694,668.87325
2026-05-22T21:00:00.000000000,691.34379,668.14932
2026-05-22T22:00:00.000000000,683.24584,668.72651
2026-05-22T23:00:00.000000000,681.3679,668.34205
2026-05-23T00:00:00.000000000,675.38027,644.71667
2026-05-23T01:00:00.000000000,674.10898,644.6413
2026-05-23T02:00:00.000000000,675.62149,645.99521
2026-05-23T03:00:00.000000000,684.04425,647.49873
2026-05-23T04:00:00.000000000,693.50302,647.11855
2026-05-23T05:00:00.000000000,705.77091,648.84821
2026-05-23T06:00:00.000000000,704.77901,650.32322
2026-05-23T07:00:00.000000000,704.83399,648.69099
2026-05-23T08:00:00.000000000,704.26946,651.11619
2026-05-23T09:00:00.000000000,706.62097,650.03352
2026-05-23T10:00:00.000000000,708.32018,650.94603
2026-05-23T11:00:00.000000000,705.18041,650.61873
2026-05-23T12:00:00.000000000,706.91282,651.2085
2026-05-23T13:00:00.000000000,709.47009,650.84819
2026-05-23T14:00:00.000000000,712.32625,652.86183
2026-05-23T15:00:00.000000000,714.94009,653.08152
2026-05-23T16:00:00.000000000,714.09951,653.25324
2026-05-23T17:00:00.000000000,715.05959,652.10328
2026-05-23T18:00:00.000000000,710.58719,654.30501
2026-05-23T19:00:00.000000000,713.26596,652.58134
2026-05-23T20:00:00.000000000,714.97891,652.81999
2026-05-23T21:00:00.000000000,696.50028,652.45585
2026-05-23T22:00:00.000000000,681.856,653.05727
2026-05-23T23:00:00.000000000,687.34933,653.07634
2026-05-24T00:00:00.000000000,684.92675,630.77782
2026-05-24T01:00:00.000000000,682.0,631.58155
2026-05-24T02:00:00.000000000,667.992,633.96008
2026-05-24T03:00:00.000000000,677.61001,635.02439
2026-05-24T04:00:00.000000000,691.24921,634.24282
2026-05-24T05:00:00.000000000,684.01718,636.63652
2026-05-24T06:00:00.000000000,666.83176,637.61751
2026-05-24T07:00:00.000000000,662.72899,637.39389
2026-05-24T08:00:00.000000000,660.99612,639.1183
2026-05-24T09:00:00.000000000,663.60926,638.2893
2026-05-24T10:00:00.000000000,669.71451,639.88608
2026-05-24T11:00:00.000000000,680.47486,640.03978
2026-05-24T12:00:00.000000000,670.57618,640.51137
2026-05-24T13:00:00.000000000,661.92523,639.294
2026-05-24T14:00:00.000000000,664.31123,643.02496
2026-05-24T15:00:00.000000000,667.51711,642.99391
2026-05-24T16:00:00.000000000,671.48883,642.77262
2026-05-24T17:00:00.000000000,671.06442,642.30084
2026-05-24T18:00:00.000000000,672.52619,643.83388
2026-05-24T19:00:00.000000000,673.05935,643.10655
2026-05-24T20:00:00.000000000,671.20817,641.59204
2026-05-24T21:00:00.000000000,671.61598,642.03599
2026-05-24T22:00:00.000000000,676.64994,642.03148
2026-05-24T23:00:00.000000000,676.11404,641.93143
2026-05-25T00:00:00.000000000,677.4875,629.46997
2026-05-25T01:00:00.000000000,679.02652,630.02496
2026-05-25T02:00:00.000000000,678.90738,632.16563
2026-05-25T03:00:00.000000000,675.40575,633.36644
2026-05-25T04:00:00.000000000,668.99796,632.83733
2026-05-25T05:00:00.000000000,662.54262,634.85564
2026-05-25T06:00:00.000000000,657.8294,636.17875
2026-05-25T07:00:00.000000000,660.68515,635.93653
2026-05-25T08:00:00.000000000,667.21884,637.8031
2026-05-25T09:00:00.000000000,669.9146,636.79028
2026-05-25T10:00:00.000000000,668.09427,638.20452
2026-05-25T11:00:00.000000000,666.98547,638.54222
2026-05-25T12:00:00.000000000,658.39166,639.18895
2026-05-25T13:00:00.000000000,656.07581,637.5536
2026-05-25T14:00:00.000000000,660.04197,641.34083
2026-05-25T15:00:00.000000000,664.99346,641.68857
2026-05-25T16:00:00.000000000,665.78091,641.01731
2026-05-25T17:00:00.000000000,671.33118,641.17633
2026-05-25T18:00:00.000000000,675.74687,642.67494
2026-05-25T19:00:00.000000000,675.12841,641.78887
2026-05-25T20:00:00.000000000,679.90882,639.88683
2026-05-25T21:00:00.000000000,682.24225,640.5091
2026-05-25T22:00:00.000000000,684.79581,640.63884
2026-05-25T23:00:00.000000000,684.69921,640.18567
2026-05-26T00:00:00.000000000,685.79399,632.00692
2026-05-26T01:00:00.000000000,686.89373,632.68113
2026-05-26T02:00:00.000000000,687.2774,634.70188
2026-05-26T03:00:00.000000000,685.41006,635.87837
2026-05-26T04:00:00.000000000,676.3936,634.9538
2026-05-26T05:00:00.000000000,670.07731,637.21977
2026-05-26T06:00:00.000000000,666.4,638.39152
2026-05-26T07:00:00.000000000,666.08949,638.09276
2026-05-26T08:00:00.000000000,667.46746,639.79585
2026-05-26T09:00:00.000000000,670.88125,639.04438
2026-05-26T10:00:00.000000000,665.0567,640.36148
2026-05-26T11:00:00.000000000,672.7329,640.50901
2026-05-26T12:00:00.000000000,678.57967,641.33388
2026-05-26T13:00:00.000000000,681.37931,639.86544
2026-05-26T14:00:00.000000000,681.7824,643.62027
2026-05-26T15:00:00.000000000,685.28693,643.70458
2026-05-26T16:00:00.000000000,678.26908,643.36153
2026-05-26T17:00:00.000000000,680.19593,642.94196
2026-05-26T18:00:00.000000000,676.84521,644.74861
2026-05-26T19:00:00.000000000,663.97446,643.77848
2026-05-26T20:00:00.000000000,665.63486,641.98758
2026-05-26T21:00:00.000000000,666.01066,642.76312
2026-05-26T22:00:00.000000000,668.20771,642.65685
2026-05-26T23:00:00.000000000,670.71461,642.75138
2026-05-27T00:00:00.000000000,665.86293,632.39087
2026-05-27T01:00:00.000000000,657.20668,632.76468
2026-05-27T02:00:00.000000000,647.3169,634.81756
2026-05-27T03:00:00.000000000,642.81499,636.12538
2026-05-27T04:00:00.000000000,662.25344,635.37338
2026-05-27T05:00:00.000000000,684.01821,637.42775
2026-05-27T06:00:00.000000000,686.16794,638.48733
2026-05-27T07:00:00.000000000,675.11524,638.56223
2026-05-27T08:00:00.000000000,673.6151,640.07451
2026-05-27T09:00:00.000000000,672.83288,639.48398
2026-05-27T10:00:00.000000000,675.92487,640.63879
2026-05-27T11:00:00.000000000,681.81738,640.84709
2026-05-27T12:00:00.000000000,685.4909,641.47024
2026-05-27T13:00:00.000000000,684.24464,640.18339
2026-05-27T14:00:00.000000000,662.7129,644.12772
2026-05-27T15:00:00.000000000,643.04972,643.97765
2026-05-27T16:00:00.000000000,639.92159,643.54795
2026-05-27T17:00:00.000000000,636.50077,643.36549
2026-05-27T18:00:00.000000000,632.71973,645.15922
2026-05-27T19:00:00.000000000,619.85665,644.15842
2026-05-27T20:00:00.000000000,618.84446,642.55296
2026-05-27T21:00:00.000000000,619.773,643.23526
2026-05-27T22:00:00.000000000,621.70626,642.95019
2026-05-27T23:00:00.000000000,622.82087,642.86509
2026-05-28T00:00:00.000000000,615.4451,633.1091
2026-05-28T01:00:00.000000000,611.09017,633.47334
2026-05-28T02:00:00.000000000,612.98666,635.43684
2026-05-28T03:00:00.000000000,651.16117,636.86388
2026-05-28T04:00:00.000000000,684.1991,635.98022
2026-05-28T05:00:00.000000000,699.11632,638.07767
2026-05-28T06:00:00.000000000,678.84872,639.15333
2026-05-28T07:00:00.000000000,676.42612,639.06432
2026-05-28T08:00:00.000000000,677.66524,640.69189
2026-05-28T09:00:00.000000000,680.1162,640.069
2026-05-28T10:00:00.000000000,680.2678,641.19109
2026-05-28T11:00:00.000000000,683.54167,641.40393
2026-05-28T12:00:00.000000000,681.25468,642.02258
2026-05-28T13:00:00.000000000,676.49209,640.79643
2026-05-28T14:00:00.000000000,675.82843,644.61932
2026-05-28T15:00:00.000000000,668.77913,644.50527
2026-05-28T16:00:00.000000000,665.21401,644.18775
2026-05-28T17:00:00.000000000,657.77208,643.79926
2026-05-28T18:00:00.000000000,641.07309,645.67937
2026-05-28T19:00:00.000000000,632.37945,644.62985
2026-05-28T20:00:00.000000000,624.70074,643.04982
2026-05-28T21:00:00.000000000,625.75332,643.74747
2026-05-28T22:00:00.000000000,629.01074,643.46646
2026-05-28T23:00:00.000000000,627.97781,643.49375
2026-05-23T00:00:00.000000000,675.38027,657.71312
2026-05-23T01:00:00.000000000,674.10898,655.73404
2026-05-23T02:00:00.000000000,675.62149,656.31814
2026-05-23T03:00:00.000000000,684.04425,657.59463
2026-05-23T04:00:00.000000000,693.50302,658.85372
2026-05-23T05:00:00.000000000,705.77091,658.91841
2026-05-23T06:00:00.000000000,704.77901,660.84268
2026-05-23T07:00:00.000000000,704.83399,659.18226
2026-05-23T08:00:00.000000000,704.26946,660.74852
2026-05-23T09:00:00.000000000,706.62097,660.47388
2026-05-23T10:00:00.000000000,708.32018,659.92075
2026-05-23T11:00:00.000000000,705.18041,659.25737
2026-05-23T12:00:00.000000000,706.91282,660.48892
2026-05-23T13:00:00.000000000,709.47009,660.9336
2026-05-23T14:00:00.000000000,712.32625,661.89005
2026-05-23T15:00:00.000000000,714.94009,661.73275
2026-05-23T16:00:00.000000000,714.09951,662.2206
2026-05-23T17:00:00.000000000,715.05959,661.94202
2026-05-23T18:00:00.000000000,710.58719,663.4198
2026-05-23T19:00:00.000000000,713.26596,661.72432
2026-05-23T20:00:00.000000000,714.97891,662.0741
2026-05-23T21:00:00.000000000,696.50028,661.19485
2026-05-23T22:00:00.000000000,681.856,662.0337
2026-05-23T23:00:00.000000000,687.34933,661.50478
2026-05-24T00:00:00.000000000,684.92675,632.63787
2026-05-24T01:00:00.000000000,682.0,633.87099
2026-05-24T02:00:00.000000000,667.992,636.4399
2026-05-24T03:00:00.000000000,677.61001,637.21088
2026-05-24T04:00:00.000000000,691.24921,636.23988
2026-05-24T05:00:00.000000000,684.01718,639.01846
2026-05-24T06:00:00.000000000,666.83176,639.94115
2026-05-24T07:00:00.000000000,662.72899,639.15863
2026-05-24T08:00:00.000000000,660.99612,641.19192
2026-05-24T09:00:00.000000000,663.60926,640.13851
2026-05-24T10:00:00.000000000,669.71451,642.19843
2026-05-24T11:00:00.000000000,680.47486,642.08408
2026-05-24T12:00:00.000000000,670.57618,642.37195
2026-05-24T13:00:00.000000000,661.92523,641.45079
2026-05-24T14:00:00.000000000,664.31123,644.79119
2026-05-24T15:00:00.000000000,667.51711,644.79959
2026-05-24T16:00:00.000000000,671.48883,644.90569
2026-05-24T17:00:00.000000000,671.06442,643.74181
2026-05-24T18:00:00.000000000,672.52619,645.18335
2026-05-24T19:00:00.000000000,673.05935,644.53953
2026-05-24T20:00:00.000000000,671.20817,643.71855
2026-05-24T21:00:00.000000000,671.61598,643.70346
2026-05-24T22:00:00.000000000,676.64994,643.97512
2026-05-24T23:00:00.000000000,676.11404,644.18357
2026-05-25T00:00:00.000000000,677.4875,629.52562
2026-05-25T01:00:00.000000000,679.02652,630.22353
2026-05-25T02:00:00.000000000,678.90738,632.43255
2026-05-25T03:00:00.000000000,675.40575,633.57728
2026-05-25T04:00:00.000000000,668.99796,632.95216
2026-05-25T05:00:00.000000000,662.54262,635.11082
2026-05-25T06:00:00.000000000,657.8294,636.38256
2026-05-25T07:00:00.000000000,660.68515,636.04694
2026-05-25T08:00:00.000000000,667.21884,637.99257
2026-05-25T09:00:00.000000000,669.9146,636.88608
2026-05-25T10:00:00.000000000,668.09427,638.43761
2026-05-25T11:00:00.000000000,666.98547,638.77459
2026-05-25T12:00:00.000000000,658.39166,639.35129
2026-05-25T13:00:00.000000000,656.07581,637.74167
2026-05-25T14:00:00.000000000,660.04197,641.50468
2026-05-25T15:00:00.000000000,664.99346,641.81566
2026-05-25T16:00:00.000000000,665.78091,641.20698
2026-05-25T17:00:00.000000000,671.33118,641.27536
2026-05-25T18:00:00.000000000,675.74687,642.77597
2026-05-25T19:00:00.000000000,675.12841,641.93133
2026-05-25T20:00:00.000000000,679.90882,640.12876
2026-05-25T21:00:00.000000000,682.24225,640.64116
2026-05-25T22:00:00.000000000,684.79581,640.85616
2026-05-25T23:00:00.000000000,684.69921,640.44717
2026-05-26T00:00:00.000000000,685.79399,632.03361
2026-05-26T01:00:00.000000000,686.89373,632.72157
2026-05-26T02:00:00.000000000,687.2774,634.74748
2026-05-26T03:00:00.000000000,685.41006,635.91908
2026-05-26T04:00:00.000000000,676.3936,634.98236
2026-05-26T05:00:00.000000000,670.07731,637.26193
2026-05-26T06:00:00.000000000,666.4,638.42734
2026-05-26T07:00:00.000000000,666.08949,638.12141
2026-05-26T08:00:00.000000000,667.46746,639.83032
2026-05-26T09:00:00.000000000,670.88125,639.0722
2026-05-26T10:00:00.000000000,665.0567,640.40073
2026-05-26T11:00:00.000000000,672.7329,640.54735
2026-05-26T12:00:00.000000000,678.57967,641.36606
2026-05-26T13:00:00.000000000,681.37931,639.90171
2026-05-26T14:00:00.000000000,681.7824,643.65529
2026-05-26T15:00:00.000000000,685.28693,643.7337
2026-05-26T16:00:00.000000000,678.26908,643.39697
2026-05-26T17:00:00.000000000,680.19593,642.96735
2026-05-26T18:00:00.000000000,676.84521,644.77585
2026-05-26T19:00:00.000000000,663.97446,643.809
2026-05-26T20:00:00.000000000,665.63486,642.02814
2026-05-26T21:00:00.000000000,666.01066,642.79489
2026-05-26T22:00:00.000000000,668.20771,642.69456
2026-05-26T23:00:00.000000000,670.71461,642.79569
2026-05-27T00:00:00.000000000,665.86293,632.39493
2026-05-27T01:00:00.000000000,657.20668,632.77087
2026-05-27T02:00:00.000000000,647.3169,634.82486
2026-05-27T03:00:00.000000000,642.81499,636.13184
2026-05-27T04:00:00.000000000,662.25344,635.37825
2026-05-27T05:00:00.000000000,684.01821,637.43484
2026-05-27T06:00:00.000000000,686.16794,638.4934
2026-05-27T07:00:00.000000000,675.11524,638.56696
2026-05-27T08:00:00.000000000,673.6151,640.08044
2026-05-27T09:00:00.000000000,672.83288,639.48814
2026-05-27T10:00:00.000000000,675.92487,640.64543
2026-05-27T11:00:00.000000000,681.81738,640.85377
2026-05-27T12:00:00.000000000,685.4909,641.47533
2026-05-27T13:00:00.000000000,684.24464,640.1892
2026-05-27T14:00:00.000000000,662.7129,644.13347
2026-05-27T15:00:00.000000000,643.04972,643.98218
2026-05-27T16:00:00.000000000,639.92159,643.55361
2026-05-27T17:00:00.000000000,636.50077,643.36988
2026-05-27T18:00:00.000000000,632.71973,645.16363
2026-05-27T19:00:00.000000000,619.85665,644.16356
2026-05-27T20:00:00.000000000,618.84446,642.56021
2026-05-27T21:00:00.000000000,619.773,643.24026
2026-05-27T22:00:00.000000000,621.70626,642.95667
2026-05-27T23:00:00.000000000,622.82087,642.87204
2026-05-28T00:00:00.000000000,615.4451,633.11
2026-05-28T01:00:00.000000000,611.09017,633.47464
2026-05-28T02:00:00.000000000,612.98666,635.4383
2026-05-28T03:00:00.000000000,651.16117,636.8652
2026-05-28T04:00:00.000000000,684.1991,635.9812
2026-05-28T05:00:00.000000000,699.11632,638.07904
2026-05-28T06:00:00.000000000,678.84872,639.15452
2026-05-28T07:00:00.000000000,676.42612,639.06529
2026-05-28T08:00:00.000000000,677.66524,640.69306
2026-05-28T09:00:00.000000000,680.1162,640.06993
2026-05-28T10:00:00.000000000,680.2678,641.19238
2026-05-28T11:00:00.000000000,683.54167,641.40519
2026-05-28T12:00:00.000000000,681.25468,642.02363
2026-05-28T13:00:00.000000000,676.49209,640.79763
2026-05-28T14:00:00.000000000,675.82843,644.62048
2026-05-28T15:00:00.000000000,668.77913,644.50625
2026-05-28T16:00:00.000000000,665.21401,644.18892
2026-05-28T17:00:00.000000000,657.77208,643.8001
2026-05-28T18:00:00.000000000,641.07309,645.68025
2026-05-28T19:00:00.000000000,632.37945,644.63084
2026-05-28T20:00:00.000000000,624.70074,643.05115
2026-05-28T21:00:00.000000000,625.75332,643.7485
2026-05-28T22:00:00.000000000,629.01074,643.46765
2026-05-28T23:00:00.000000000,627.97781,643.49514
2026-05-29T00:00:00.000000000,635.5643,633.11993
2026-05-29T01:00:00.000000000,637.04346,633.60337
2026-05-29T02:00:00.000000000,645.00752,635.56081
2026-05-29T03:00:00.000000000,648.77546,636.92052
2026-05-29T04:00:00.000000000,656.99791,635.95286
2026-05-29T05:00:00.000000000,649.35201,638.1377
2026-05-29T06:00:00.000000000,650.21849,639.22843
2026-05-29T07:00:00.000000000,655.72825,639.02571
2026-05-29T08:00:00.000000000,649.73949,640.79993
2026-05-29T09:00:00.000000000,656.38889,640.01772
2026-05-29T10:00:00.000000000,657.37558,641.24175
