datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,762.16565,756.72185
2026-05-22T01:00:00.000000000,761.8312,756.12847
2026-05-22T02:00:00.000000000,764.28319,756.16163
2026-05-22T03:00:00.000000000,770.195,756.9896
2026-05-22T04:00:00.000000000,772.69193,757.74247
2026-05-22T05:00:00.000000000,772.03771,758.19554
2026-05-22T06:00:00.000000000,771.09502,757.21977
2026-05-22T07:00:00.000000000,769.05645,756.17779
2026-05-22T08:00:00.000000000,766.84624,756.01815
2026-05-22T09:00:00.000000000,766.81051,756.67912
2026-05-22T10:00:00.000000000,768.49548,757.18749
2026-05-22T11:00:00.000000000,771.4988,756.11671
2026-05-22T12:00:00.000000000,775.87097,756.29655
2026-05-22T13:00:00.000000000,775.04421,754.59169
2026-05-22T14:00:00.000000000,774.72463,754.1276
2026-05-22T15:00:00.000000000,774.84577,753.61857
2026-05-22T16:00:00.000000000,776.78837,753.55562
2026-05-22T17:00:00.000000000,774.94909,753.78244
2026-05-22T18:00:00.000000000,769.73067,754.57492
2026-05-22T19:00:00.000000000,766.57381,754.71597
2026-05-22T20:00:00.000000000,763.8067,755.50693
2026-05-22T21:00:00.000000000,759.45364,754.44807
2026-05-22T22:00:00.000000000,752.80807,754.24203
2026-05-22T23:00:00.000000000,751.17282,754.98921
2026-05-23T00:00:00.000000000,746.07992,752.78764
2026-05-23T01:00:00.000000000,745.29602,752.2137
2026-05-23T02:00:00.000000000,746.66135,752.32326
2026-05-23T03:00:00.000000000,753.66195,753.13929
2026-05-23T04:00:00.000000000,761.73847,753.83482
2026-05-23T05:00:00.000000000,772.05912,754.22811
2026-05-23T06:00:00.000000000,771.26796,753.32193
2026-05-23T07:00:00.000000000,771.41021,752.35133
2026-05-23T08:00:00.000000000,770.93465,752.36391
2026-05-23T09:00:00.000000000,773.0767,753.18465
2026-05-23T10:00:00.000000000,774.71928,753.66548
2026-05-23T11:00:00.000000000,772.26289,752.66731
2026-05-23T12:00:00.000000000,773.88329,752.90628
2026-05-23T13:00:00.000000000,776.24855,751.24837
2026-05-23T14:00:00.000000000,778.72201,750.81593
2026-05-23T15:00:00.000000000,781.14286,750.35313
2026-05-23T16:00:00.000000000,780.02717,750.39605
2026-05-23T17:00:00.000000000,780.99076,750.60808
2026-05-23T18:00:00.000000000,776.1977,751.4452
2026-05-23T19:00:00.000000000,779.01992,751.66125
2026-05-23T20:00:00.000000000,779.45741,752.36686
2026-05-23T21:00:00.000000000,764.21492,751.27176
2026-05-23T22:00:00.000000000,752.0784,751.05922
2026-05-23T23:00:00.000000000,757.54133,751.86697
2026-05-24T00:00:00.000000000,756.14867,749.97445
2026-05-24T01:00:00.000000000,754.0,749.4206
2026-05-24T02:00:00.000000000,742.1034,749.58357
2026-05-24T03:00:00.000000000,750.2393,750.3893
2026-05-24T04:00:00.000000000,761.82625,751.04553
2026-05-24T05:00:00.000000000,755.6543,751.40198
2026-05-24T06:00:00.000000000,741.16533,750.55147
2026-05-24T07:00:00.000000000,737.63588,749.63888
2026-05-24T08:00:00.000000000,736.16822,749.77785
2026-05-24T09:00:00.000000000,738.4386,750.713
2026-05-24T10:00:00.000000000,743.54478,751.17606
2026-05-24T11:00:00.000000000,752.7095,750.22828
2026-05-24T12:00:00.000000000,744.27456,750.502
2026-05-24T13:00:00.000000000,736.70991,748.87486
2026-05-24T14:00:00.000000000,738.3528,748.46415
2026-05-24T15:00:00.000000000,740.70674,748.03764
2026-05-24T16:00:00.000000000,744.31697,748.15688
2026-05-24T17:00:00.000000000,743.48589,748.35684
2026-05-24T18:00:00.000000000,744.71386,749.22004
2026-05-24T19:00:00.000000000,745.10386,749.48746
2026-05-24T20:00:00.000000000,743.2215,750.12771
2026-05-24T21:00:00.000000000,743.7582,748.99973
2026-05-24T22:00:00.000000000,748.76594,748.77484
2026-05-24T23:00:00.000000000,747.97807,749.62575
2026-05-25T00:00:00.000000000,749.51574,748.56319
2026-05-25T01:00:00.000000000,751.39813,748.02127
2026-05-25T02:00:00.000000000,751.38317,748.21052
2026-05-25T03:00:00.000000000,748.37196,749.01033
2026-05-25T04:00:00.000000000,742.94633,749.64728
2026-05-25T05:00:00.000000000,737.48059,749.98712
2026-05-25T06:00:00.000000000,733.48972,749.16609
2026-05-25T07:00:00.000000000,735.96436,748.28461
2026-05-25T08:00:00.000000000,741.43078,748.48771
2026-05-25T09:00:00.000000000,743.77389,749.4799
2026-05-25T10:00:00.000000000,742.17148,749.93444
2026-05-25T11:00:00.000000000,741.2954,749.01107
2026-05-25T12:00:00.000000000,733.54856,749.29972
2026-05-25T13:00:00.000000000,731.17391,747.68699
2026-05-25T14:00:00.000000000,734.3127,747.287
2026-05-25T15:00:00.000000000,738.30792,746.87991
2026-05-25T16:00:00.000000000,738.17122,747.03783
2026-05-25T17:00:00.000000000,743.22186,747.23157
2026-05-25T18:00:00.000000000,747.02086,748.10632
2026-05-25T19:00:00.000000000,746.0757,748.39911
2026-05-25T20:00:00.000000000,750.70367,749.0057
2026-05-25T21:00:00.000000000,753.01617,747.85928
2026-05-25T22:00:00.000000000,755.42775,747.62592
2026-05-25T23:00:00.000000000,755.44855,748.49854
2026-05-26T00:00:00.000000000,756.74464,750.7475
2026-05-26T01:00:00.000000000,758.1049,750.18761
2026-05-26T02:00:00.000000000,758.46549,750.33605
2026-05-26T03:00:00.000000000,756.84292,751.14479
2026-05-26T04:00:00.000000000,749.25612,751.8117
2026-05-26T05:00:00.000000000,743.86017,752.17778
2026-05-26T06:00:00.000000000,740.8,751.31154
2026-05-26T07:00:00.000000000,740.48163,750.38245
2026-05-26T08:00:00.000000000,741.70324,750.48648
2026-05-26T09:00:00.000000000,744.53473,751.39026
2026-05-26T10:00:00.000000000,739.66336,751.85808
2026-05-26T11:00:00.000000000,746.10879,750.89666
2026-05-26T12:00:00.000000000,751.01942,751.16148
2026-05-26T13:00:00.000000000,753.24544,749.52614
2026-05-26T14:00:00.000000000,753.36491,749.10952
2026-05-26T15:00:00.000000000,756.15037,748.67273
2026-05-26T16:00:00.000000000,750.16041,748.77091
2026-05-26T17:00:00.000000000,751.93639,748.97425
2026-05-26T18:00:00.000000000,748.96207,749.83071
2026-05-26T19:00:00.000000000,737.55823,750.08415
2026-05-26T20:00:00.000000000,738.4073,750.74262
2026-05-26T21:00:00.000000000,738.48285,749.62422
2026-05-26T22:00:00.000000000,740.84087,749.40333
2026-05-26T23:00:00.000000000,743.37341,750.24237
2026-05-27T00:00:00.000000000,739.83015,750.64551
2026-05-27T01:00:00.000000000,732.88635,750.08641
2026-05-27T02:00:00.000000000,724.65276,750.23676
2026-05-27T03:00:00.000000000,720.80421,751.04511
2026-05-27T04:00:00.000000000,737.29137,751.71061
2026-05-27T05:00:00.000000000,755.66131,752.0754
2026-05-27T06:00:00.000000000,757.52672,751.21122
2026-05-27T07:00:00.000000000,748.12548,750.28429
2026-05-27T08:00:00.000000000,746.85399,750.39291
2026-05-27T09:00:00.000000000,746.24321,751.30083
2026-05-27T10:00:00.000000000,748.81124,751.76801
2026-05-27T11:00:00.000000000,753.84548,750.8084
2026-05-27T12:00:00.000000000,756.76613,751.07443
2026-05-27T13:00:00.000000000,755.32682,749.44019
2026-05-27T14:00:00.000000000,736.59842,749.02434
2026-05-27T15:00:00.000000000,719.37794,748.58891
2026-05-27T16:00:00.000000000,716.62569,748.68986
2026-05-27T17:00:00.000000000,713.78661,748.89275
2026-05-27T18:00:00.000000000,710.35531,749.75011
2026-05-27T19:00:00.000000000,699.66107,750.00541
2026-05-27T20:00:00.000000000,698.71032,750.66149
2026-05-27T21:00:00.000000000,699.5756,749.54184
2026-05-27T22:00:00.000000000,701.44983,749.32045
2026-05-27T23:00:00.000000000,703.10776,750.16105
2026-05-28T00:00:00.000000000,697.34392,751.03487
2026-05-28T01:00:00.000000000,693.91925,750.47286
2026-05-28T02:00:00.000000000,695.6041,750.61585
2026-05-28T03:00:00.000000000,727.87133,751.42567
2026-05-28T04:00:00.000000000,755.86078,752.09657
2026-05-28T05:00:00.000000000,768.43986,752.46634
2026-05-28T06:00:00.000000000,751.33354,751.59432
2026-05-28T07:00:00.000000000,749.23586,750.65922
2026-05-28T08:00:00.000000000,750.33213,750.75029
2026-05-28T09:00:00.000000000,752.35525,751.64239
2026-05-28T10:00:00.000000000,752.53429,752.112
2026-05-28T11:00:00.000000000,755.26084,751.14545
2026-05-28T12:00:00.000000000,753.19288,751.40685
2026-05-28T13:00:00.000000000,748.61402,749.7684
2026-05-28T14:00:00.000000000,747.32522,749.34958
2026-05-28T15:00:00.000000000,740.7267,748.90904
2026-05-28T16:00:00.000000000,737.35065,748.9994
2026-05-28T17:00:00.000000000,731.26662,749.204
2026-05-28T18:00:00.000000000,717.33954,750.05785
2026-05-28T19:00:00.000000000,709.87134,750.30609
2026-05-28T20:00:00.000000000,703.64458,750.97129
2026-05-28T21:00:00.000000000,704.87955,749.85634
2026-05-28T22:00:00.000000000,708.12596,749.63681
2026-05-28T23:00:00.000000000,707.43752,750.47145
2026-05-23T00:00:00.000000000,746.07992,750.93912
2026-05-23T01:00:00.000000000,745.29602,750.37781
2026-05-23T02:00:00.000000000,746.66135,750.5226
2026-05-23T03:00:00.000000000,753.66195,751.33208
2026-05-23T04:00:00.000000000,761.73847,752.00165
2026-05-23T05:00:00.000000000,772.05912,752.37018
2026-05-23T06:00:00.000000000,771.26796,751.50007
2026-05-23T07:00:00.000000000,771.41021,750.56697
2026-05-23T08:00:00.000000000,770.93465,750.66237
2026-05-23T09:00:00.000000000,773.0767,751.55835
2026-05-23T10:00:00.000000000,774.71928,752.02737
2026-05-23T11:00:00.000000000,772.26289,751.06253
2026-05-23T12:00:00.000000000,773.88329,751.32507
2026-05-23T13:00:00.000000000,776.24855,749.68766
2026-05-23T14:00:00.000000000,778.72201,749.26957
2026-05-23T15:00:00.000000000,781.14286,748.83028
2026-05-23T16:00:00.000000000,780.02717,748.92325
2026-05-23T17:00:00.000000000,780.99076,749.12742
2026-05-23T18:00:00.000000000,776.1977,749.98215
2026-05-23T19:00:00.000000000,779.01992,750.23212
2026-05-23T20:00:00.000000000,779.45741,750.89509
2026-05-23T21:00:00.000000000,764.21492,749.77899
2026-05-23T22:00:00.000000000,752.0784,749.55903
2026-05-23T23:00:00.000000000,757.54133,750.39512
2026-05-24T00:00:00.000000000,756.14867,749.03251
2026-05-24T01:00:00.000000000,754.0,748.48649
2026-05-24T02:00:00.000000000,742.1034,748.66705
2026-05-24T03:00:00.000000000,750.2393,749.46889
2026-05-24T04:00:00.000000000,761.82625,750.11223
2026-05-24T05:00:00.000000000,755.6543,750.45745
2026-05-24T06:00:00.000000000,741.16533,749.62651
2026-05-24T07:00:00.000000000,737.63588,748.73454
2026-05-24T08:00:00.000000000,736.16822,748.91628
2026-05-24T09:00:00.000000000,738.4386,749.88953
2026-05-24T10:00:00.000000000,743.54478,750.34689
2026-05-24T11:00:00.000000000,752.7095,749.41547
2026-05-24T12:00:00.000000000,744.27456,749.69935
2026-05-24T13:00:00.000000000,736.70991,748.08191
2026-05-24T14:00:00.000000000,738.3528,747.67836
2026-05-24T15:00:00.000000000,740.70674,747.26472
2026-05-24T16:00:00.000000000,744.31697,747.40973
2026-05-24T17:00:00.000000000,743.48589,747.60554
2026-05-24T18:00:00.000000000,744.71386,748.47655
2026-05-24T19:00:00.000000000,745.10386,748.76094
2026-05-24T20:00:00.000000000,743.2215,749.37876
2026-05-24T21:00:00.000000000,743.7582,748.23861
2026-05-24T22:00:00.000000000,748.76594,748.00823
2026-05-24T23:00:00.000000000,747.97807,748.87362
2026-05-25T00:00:00.000000000,749.51574,748.08183
2026-05-25T01:00:00.000000000,751.39813,747.54424
2026-05-25T02:00:00.000000000,751.38317,747.74238
2026-05-25T03:00:00.000000000,748.37196,748.54003
2026-05-25T04:00:00.000000000,742.94633,749.17047
2026-05-25T05:00:00.000000000,737.48059,749.50492
