datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T04:00:00.000000000,108.48035,71.80758
2026-05-20T05:00:00.000000000,100.07045,77.0307
2026-05-20T06:00:00.000000000,74.59199,82.07676
2026-05-20T07:00:00.000000000,64.35435,83.31745
2026-05-20T08:00:00.000000000,27.72465,84.71969
2026-05-20T09:00:00.000000000,23.00242,84.96058
2026-05-20T10:00:00.000000000,21.93185,85.09481
2026-05-20T11:00:00.000000000,28.90833,84.66454
2026-05-20T12:00:00.000000000,34.89945,82.62254
2026-05-20T13:00:00.000000000,33.97392,81.68926
2026-05-20T14:00:00.000000000,29.18514,84.24244
2026-05-20T15:00:00.000000000,19.58648,81.65968
2026-05-20T16:00:00.000000000,23.52748,78.1144
2026-05-20T17:00:00.000000000,33.45041,78.56486
2026-05-20T18:00:00.000000000,59.04534,82.81526
2026-05-20T19:00:00.000000000,95.51744,84.67771
2026-05-20T20:00:00.000000000,76.06617,83.29422
2026-05-20T21:00:00.000000000,72.33624,83.62115
2026-05-20T22:00:00.000000000,66.71969,82.36265
2026-05-20T23:00:00.000000000,63.9181,79.91589
2026-05-21T00:00:00.000000000,104.08968,82.24444
2026-05-21T01:00:00.000000000,121.82359,84.26847
2026-05-21T02:00:00.000000000,99.6468,83.79362
2026-05-21T03:00:00.000000000,101.25768,87.25212
2026-05-21T04:00:00.000000000,103.88261,57.5757
2026-05-21T05:00:00.000000000,97.54559,63.06522
2026-05-21T06:00:00.000000000,73.8808,67.64609
2026-05-21T07:00:00.000000000,85.44377,69.33791
2026-05-21T08:00:00.000000000,79.43624,70.55088
2026-05-21T09:00:00.000000000,38.39925,71.35851
2026-05-21T10:00:00.000000000,25.94379,72.43291
2026-05-21T11:00:00.000000000,20.8525,71.95459
2026-05-21T12:00:00.000000000,15.58525,69.85668
2026-05-21T13:00:00.000000000,16.38449,68.85121
2026-05-21T14:00:00.000000000,25.50608,72.0999
2026-05-21T15:00:00.000000000,21.30672,69.50773
2026-05-21T16:00:00.000000000,25.61598,66.42822
2026-05-21T17:00:00.000000000,33.30914,67.14808
2026-05-21T18:00:00.000000000,38.1955,71.10114
2026-05-21T19:00:00.000000000,34.1151,72.60227
2026-05-21T20:00:00.000000000,46.19422,71.08279
2026-05-21T21:00:00.000000000,53.27462,71.48366
2026-05-21T22:00:00.000000000,68.21343,70.29744
2026-05-21T23:00:00.000000000,72.14951,67.62777
2026-05-22T00:00:00.000000000,81.42935,70.3725
2026-05-22T01:00:00.000000000,60.24942,71.88086
2026-05-22T02:00:00.000000000,64.1902,72.15838
2026-05-22T03:00:00.000000000,69.07404,75.46378
2026-05-22T04:00:00.000000000,57.3705,46.19453
2026-05-22T05:00:00.000000000,42.86601,51.77037
2026-05-22T06:00:00.000000000,31.3988,55.61996
2026-05-22T07:00:00.000000000,44.37552,57.38824
2026-05-22T08:00:00.000000000,37.78482,58.29408
2026-05-22T09:00:00.000000000,23.81561,59.39263
2026-05-22T10:00:00.000000000,18.43704,61.13941
2026-05-22T11:00:00.000000000,11.96792,60.40309
2026-05-22T12:00:00.000000000,8.48659,58.12792
2026-05-22T13:00:00.000000000,8.2082,57.00328
2026-05-22T14:00:00.000000000,8.76824,60.89986
2026-05-22T15:00:00.000000000,9.40504,58.21163
2026-05-22T16:00:00.000000000,12.00078,55.51205
2026-05-22T17:00:00.000000000,12.32803,56.42511
2026-05-22T18:00:00.000000000,16.39961,59.89612
2026-05-22T19:00:00.000000000,24.17492,61.08795
2026-05-22T20:00:00.000000000,27.93133,59.33057
2026-05-22T21:00:00.000000000,41.7187,60.01554
2026-05-22T22:00:00.000000000,41.54536,59.00491
2026-05-22T23:00:00.000000000,27.47541,56.09173
2026-05-23T00:00:00.000000000,36.36516,59.2415
2026-05-23T01:00:00.000000000,31.59994,60.21814
2026-05-23T02:00:00.000000000,43.53565,61.27262
2026-05-23T03:00:00.000000000,69.25361,64.34165
2026-05-23T04:00:00.000000000,68.69351,31.64439
2026-05-23T05:00:00.000000000,75.15176,37.23345
2026-05-23T06:00:00.000000000,64.31283,39.58687
2026-05-23T07:00:00.000000000,39.86621,40.78727
2026-05-23T08:00:00.000000000,18.50506,41.09743
2026-05-23T09:00:00.000000000,13.60903,42.23884
2026-05-23T10:00:00.000000000,14.30753,44.78666
2026-05-23T11:00:00.000000000,17.18591,43.31224
2026-05-23T12:00:00.000000000,13.35007,40.45869
2026-05-23T13:00:00.000000000,10.88882,39.12315
2026-05-23T14:00:00.000000000,11.34019,43.9339
2026-05-23T15:00:00.000000000,12.73052,40.97437
2026-05-23T16:00:00.000000000,18.78343,38.86939
2026-05-23T17:00:00.000000000,19.26117,39.75933
2026-05-23T18:00:00.000000000,18.74496,42.11241
2026-05-23T19:00:00.000000000,33.19395,43.10633
2026-05-23T20:00:00.000000000,59.70336,40.80967
2026-05-23T21:00:00.000000000,59.35462,42.31592
2026-05-23T22:00:00.000000000,64.32685,41.7882
2026-05-23T23:00:00.000000000,62.72367,38.32811
2026-05-24T00:00:00.000000000,38.3754,42.13592
2026-05-24T01:00:00.000000000,22.4405,42.14196
2026-05-24T02:00:00.000000000,19.08387,44.61887
2026-05-24T03:00:00.000000000,27.38381,47.02515
2026-05-24T04:00:00.000000000,25.72,30.22544
2026-05-24T05:00:00.000000000,16.91891,35.8186
2026-05-24T06:00:00.000000000,16.32246,37.99823
2026-05-24T07:00:00.000000000,26.21019,39.08548
2026-05-24T08:00:00.000000000,25.24721,39.32084
2026-05-24T09:00:00.000000000,13.24552,40.44197
2026-05-24T10:00:00.000000000,19.30569,43.07294
2026-05-24T11:00:00.000000000,11.23827,41.50378
2026-05-24T12:00:00.000000000,10.9204,38.55794
2026-05-24T13:00:00.000000000,10.20301,37.20272
2026-05-24T14:00:00.000000000,11.94921,42.10348
2026-05-24T15:00:00.000000000,15.20834,39.10283
2026-05-24T16:00:00.000000000,20.29756,37.07008
2026-05-24T17:00:00.000000000,17.78723,37.92448
2026-05-24T18:00:00.000000000,22.40842,40.1262
2026-05-24T19:00:00.000000000,23.55448,41.12561
2026-05-24T20:00:00.000000000,28.92232,38.76667
2026-05-24T21:00:00.000000000,36.36845,40.37834
2026-05-24T22:00:00.000000000,34.71076,39.91572
2026-05-24T23:00:00.000000000,40.36352,36.38162
2026-05-25T00:00:00.000000000,38.29652,40.27025
2026-05-25T01:00:00.000000000,34.13397,40.15275
2026-05-25T02:00:00.000000000,47.96355,42.80849
2026-05-25T03:00:00.000000000,49.66041,45.105
2026-05-25T04:00:00.000000000,45.67649,30.22544
2026-05-25T05:00:00.000000000,31.55047,35.8186
2026-05-25T06:00:00.000000000,18.90203,37.99823
2026-05-25T07:00:00.000000000,24.38722,39.08548
2026-05-25T08:00:00.000000000,28.21507,39.32084
2026-05-25T09:00:00.000000000,21.36669,40.44197
2026-05-25T10:00:00.000000000,15.2034,43.07294
