datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T05:00:00.000000000,38.24597,23.99387
2026-05-20T06:00:00.000000000,33.29726,24.4517
2026-05-20T07:00:00.000000000,28.99677,24.03837
2026-05-20T08:00:00.000000000,33.56505,28.58034
2026-05-20T09:00:00.000000000,36.70406,28.00596
2026-05-20T10:00:00.000000000,33.71341,30.76628
2026-05-20T11:00:00.000000000,29.56268,28.74076
2026-05-20T12:00:00.000000000,29.45298,30.57861
2026-05-20T13:00:00.000000000,26.87634,30.91084
2026-05-20T14:00:00.000000000,26.25068,32.72061
2026-05-20T15:00:00.000000000,26.26221,33.94337
2026-05-20T16:00:00.000000000,23.77196,35.47898
2026-05-20T17:00:00.000000000,24.81137,35.94331
2026-05-20T18:00:00.000000000,27.15403,36.11673
2026-05-20T19:00:00.000000000,35.08418,37.70958
2026-05-20T20:00:00.000000000,43.86129,39.27095
2026-05-20T21:00:00.000000000,42.12897,37.15314
2026-05-20T22:00:00.000000000,44.88598,35.87143
2026-05-20T23:00:00.000000000,56.08046,32.81909
2026-05-21T00:00:00.000000000,74.29359,32.72669
2026-05-21T01:00:00.000000000,65.11433,34.55689
2026-05-21T02:00:00.000000000,64.60946,34.4206
2026-05-21T03:00:00.000000000,58.78993,33.94607
2026-05-21T04:00:00.000000000,58.94245,37.73849
2026-05-21T05:00:00.000000000,56.42667,18.58288
2026-05-21T06:00:00.000000000,50.32647,19.25625
2026-05-21T07:00:00.000000000,39.74951,19.49694
2026-05-21T08:00:00.000000000,31.12049,24.4471
2026-05-21T09:00:00.000000000,26.31382,24.05635
2026-05-21T10:00:00.000000000,20.34593,26.55872
2026-05-21T11:00:00.000000000,19.94414,24.29215
2026-05-21T12:00:00.000000000,17.33592,25.8676
2026-05-21T13:00:00.000000000,16.82552,26.04761
2026-05-21T14:00:00.000000000,17.64088,27.72552
2026-05-21T15:00:00.000000000,18.27065,28.91574
2026-05-21T16:00:00.000000000,22.19566,30.49312
2026-05-21T17:00:00.000000000,28.91164,30.55958
2026-05-21T18:00:00.000000000,28.19313,30.50836
2026-05-21T19:00:00.000000000,34.76208,31.67263
2026-05-21T20:00:00.000000000,36.11642,33.02407
2026-05-21T21:00:00.000000000,39.34655,30.73499
2026-05-21T22:00:00.000000000,22.52914,29.40759
2026-05-21T23:00:00.000000000,3.40402,26.44812
2026-05-22T00:00:00.000000000,2.61185,26.46195
2026-05-22T01:00:00.000000000,2.23083,28.35432
2026-05-22T02:00:00.000000000,1.80883,28.48021
2026-05-22T03:00:00.000000000,1.58316,28.21658
2026-05-22T04:00:00.000000000,1.5802,32.33963
2026-05-22T05:00:00.000000000,1.57567,13.83913
2026-05-22T06:00:00.000000000,1.40545,14.33348
2026-05-22T07:00:00.000000000,1.81143,14.84088
2026-05-22T08:00:00.000000000,1.93756,19.92642
2026-05-22T09:00:00.000000000,1.2954,19.45469
2026-05-22T10:00:00.000000000,2.15645,21.84179
2026-05-22T11:00:00.000000000,2.6339,19.45674
2026-05-22T12:00:00.000000000,2.41198,21.05002
2026-05-22T13:00:00.000000000,1.34779,21.32928
2026-05-22T14:00:00.000000000,1.38434,23.02375
2026-05-22T15:00:00.000000000,2.27487,24.27372
2026-05-22T16:00:00.000000000,2.24749,26.09487
2026-05-22T17:00:00.000000000,1.79292,26.00965
2026-05-22T18:00:00.000000000,1.06751,25.86383
2026-05-22T19:00:00.000000000,1.95526,26.85174
2026-05-22T20:00:00.000000000,4.49499,28.19432
2026-05-22T21:00:00.000000000,5.98101,25.86557
2026-05-22T22:00:00.000000000,3.3059,24.61398
2026-05-22T23:00:00.000000000,1.58608,21.86122
2026-05-23T00:00:00.000000000,1.67343,22.07774
2026-05-23T01:00:00.000000000,0.03789,24.16192
2026-05-23T02:00:00.000000000,2e-05,24.48708
2026-05-23T03:00:00.000000000,1e-05,24.27729
2026-05-23T04:00:00.000000000,2e-05,28.66529
2026-05-23T05:00:00.000000000,0.0,8.99074
2026-05-23T06:00:00.000000000,0.15923,9.32497
2026-05-23T07:00:00.000000000,0.98731,10.13869
2026-05-23T08:00:00.000000000,2.07155,15.37069
2026-05-23T09:00:00.000000000,3.10425,14.82557
2026-05-23T10:00:00.000000000,4.70714,17.09002
2026-05-23T11:00:00.000000000,5.70827,14.57976
2026-05-23T12:00:00.000000000,5.58207,16.15255
2026-05-23T13:00:00.000000000,4.85186,16.51507
2026-05-23T14:00:00.000000000,5.39538,18.22233
2026-05-23T15:00:00.000000000,5.38515,19.52887
2026-05-23T16:00:00.000000000,3.03977,21.58552
2026-05-23T17:00:00.000000000,3.17105,21.31325
2026-05-23T18:00:00.000000000,1.64765,21.04549
2026-05-23T19:00:00.000000000,0.62325,21.78105
2026-05-23T20:00:00.000000000,0.07886,23.06684
2026-05-23T21:00:00.000000000,4.16553,20.67171
2026-05-23T22:00:00.000000000,3.96909,19.48286
2026-05-23T23:00:00.000000000,0.0,16.94835
