datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-20T05:00:00.000000000,88.1053,65.44789
2026-05-20T06:00:00.000000000,80.89054,67.76889
2026-05-20T07:00:00.000000000,76.88958,71.14237
2026-05-20T08:00:00.000000000,83.35507,73.82284
2026-05-20T09:00:00.000000000,88.02538,75.95141
2026-05-20T10:00:00.000000000,83.36201,76.67328
2026-05-20T11:00:00.000000000,77.73577,77.63518
2026-05-20T12:00:00.000000000,77.76338,77.31717
2026-05-20T13:00:00.000000000,74.32839,77.4617
2026-05-20T14:00:00.000000000,74.18603,76.37348
2026-05-20T15:00:00.000000000,74.80311,76.0614
2026-05-20T16:00:00.000000000,71.41198,74.59534
2026-05-20T17:00:00.000000000,73.14986,73.91141
2026-05-20T18:00:00.000000000,75.38289,74.43726
2026-05-20T19:00:00.000000000,85.32279,74.98904
2026-05-20T20:00:00.000000000,96.4733,74.96212
2026-05-20T21:00:00.000000000,91.37947,75.85263
2026-05-20T22:00:00.000000000,94.74414,77.70236
2026-05-20T23:00:00.000000000,112.23464,78.91437
2026-05-21T00:00:00.000000000,140.55791,79.41901
2026-05-21T01:00:00.000000000,126.63002,81.45669
2026-05-21T02:00:00.000000000,125.95193,81.83627
2026-05-21T03:00:00.000000000,117.51238,83.99916
2026-05-21T04:00:00.000000000,117.73205,83.60739
2026-05-21T05:00:00.000000000,113.97604,58.38639
2026-05-21T06:00:00.000000000,105.47237,60.5119
2026-05-21T07:00:00.000000000,92.35921,63.65685
2026-05-21T08:00:00.000000000,81.49615,66.03858
2026-05-21T09:00:00.000000000,75.79463,67.83669
2026-05-21T10:00:00.000000000,69.143,68.23293
2026-05-21T11:00:00.000000000,70.39324,69.17068
2026-05-21T12:00:00.000000000,66.97199,68.99231
2026-05-21T13:00:00.000000000,66.32216,69.41285
2026-05-21T14:00:00.000000000,67.07781,68.70713
2026-05-21T15:00:00.000000000,67.19592,68.74648
2026-05-21T16:00:00.000000000,72.08779,67.23063
2026-05-21T17:00:00.000000000,79.08015,66.30119
2026-05-21T18:00:00.000000000,75.11506,66.28185
2026-05-21T19:00:00.000000000,84.05101,66.16752
2026-05-21T20:00:00.000000000,83.28518,65.37552
2026-05-21T21:00:00.000000000,87.26905,65.63809
2026-05-21T22:00:00.000000000,65.58772,67.28256
2026-05-21T23:00:00.000000000,40.76711,68.42421
2026-05-22T00:00:00.000000000,39.68141,69.1931
2026-05-22T01:00:00.000000000,48.35865,71.60975
2026-05-22T02:00:00.000000000,43.75004,72.39429
2026-05-22T03:00:00.000000000,41.53203,75.22736
2026-05-22T04:00:00.000000000,41.12281,75.36771
2026-05-22T05:00:00.000000000,41.86248,54.1061
2026-05-22T06:00:00.000000000,42.48091,56.12206
2026-05-22T07:00:00.000000000,45.37774,59.06781
2026-05-22T08:00:00.000000000,46.232,61.20263
2026-05-22T09:00:00.000000000,45.27968,62.7728
2026-05-22T10:00:00.000000000,47.70512,63.00852
2026-05-22T11:00:00.000000000,48.03064,63.99867
2026-05-22T12:00:00.000000000,47.31111,63.98873
2026-05-22T13:00:00.000000000,44.9432,64.63503
2026-05-22T14:00:00.000000000,45.45673,64.22916
2026-05-22T15:00:00.000000000,46.92728,64.56781
2026-05-22T16:00:00.000000000,45.42361,63.18053
2026-05-22T17:00:00.000000000,45.0797,62.26897
2026-05-22T18:00:00.000000000,42.82305,62.18708
2026-05-22T19:00:00.000000000,42.34951,61.9092
2026-05-22T20:00:00.000000000,43.51188,60.78297
