datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,275.49662,295.25459
2026-05-22T01:00:00.000000000,292.1387,300.53833
2026-05-22T02:00:00.000000000,306.64617,319.87259
2026-05-22T03:00:00.000000000,312.86135,328.10243
2026-05-22T04:00:00.000000000,298.79016,324.32181
2026-05-22T05:00:00.000000000,292.12897,320.34377
2026-05-22T06:00:00.000000000,287.11343,312.97003
2026-05-22T07:00:00.000000000,279.26431,312.97768
2026-05-22T08:00:00.000000000,275.17951,307.56871
2026-05-22T09:00:00.000000000,268.98576,314.07449
2026-05-22T10:00:00.000000000,275.66148,315.80804
2026-05-22T11:00:00.000000000,280.64609,317.82439
2026-05-22T12:00:00.000000000,282.67138,311.41305
2026-05-22T13:00:00.000000000,265.66777,302.68026
2026-05-22T14:00:00.000000000,252.27733,296.51105
2026-05-22T15:00:00.000000000,244.34489,283.6103
2026-05-22T16:00:00.000000000,233.28809,277.58217
2026-05-22T17:00:00.000000000,232.15715,271.72785
2026-05-22T18:00:00.000000000,228.16249,263.68763
2026-05-22T19:00:00.000000000,225.25998,260.40988
2026-05-22T20:00:00.000000000,234.41573,259.6551
2026-05-22T21:00:00.000000000,243.89786,264.39489
2026-05-22T22:00:00.000000000,258.61821,267.10179
2026-05-22T23:00:00.000000000,271.93751,282.61092
2026-05-23T00:00:00.000000000,283.85455,288.58131
2026-05-23T01:00:00.000000000,296.13799,291.73066
2026-05-23T02:00:00.000000000,304.46265,310.91941
2026-05-23T03:00:00.000000000,313.55103,321.196
2026-05-23T04:00:00.000000000,314.42163,326.71387
2026-05-23T05:00:00.000000000,320.29085,326.09891
2026-05-23T06:00:00.000000000,315.60196,325.03847
2026-05-23T07:00:00.000000000,311.41464,327.01175
2026-05-23T08:00:00.000000000,307.55466,320.85398
2026-05-23T09:00:00.000000000,304.86206,320.71223
2026-05-23T10:00:00.000000000,300.73944,316.81684
2026-05-23T11:00:00.000000000,301.57053,314.43346
2026-05-23T12:00:00.000000000,306.05695,306.44908
2026-05-23T13:00:00.000000000,304.02378,298.74018
2026-05-23T14:00:00.000000000,305.31973,296.11362
2026-05-23T15:00:00.000000000,294.58286,290.71363
2026-05-23T16:00:00.000000000,283.98572,287.56352
2026-05-23T17:00:00.000000000,283.24441,285.95111
2026-05-23T18:00:00.000000000,275.22999,279.84159
2026-05-23T19:00:00.000000000,274.46977,276.00012
2026-05-23T20:00:00.000000000,284.83899,274.32336
2026-05-23T21:00:00.000000000,295.60466,271.97778
2026-05-23T22:00:00.000000000,309.98777,270.99039
2026-05-23T23:00:00.000000000,327.37903,283.30896
2026-05-24T00:00:00.000000000,350.27952,274.91755
2026-05-24T01:00:00.000000000,380.52453,277.11758
2026-05-24T02:00:00.000000000,388.22829,295.6903
2026-05-24T03:00:00.000000000,384.86632,306.54768
2026-05-24T04:00:00.000000000,383.50372,315.20396
2026-05-24T05:00:00.000000000,371.93137,317.99016
2026-05-24T06:00:00.000000000,357.21428,319.1616
2026-05-24T07:00:00.000000000,342.05318,322.5153
2026-05-24T08:00:00.000000000,331.40784,317.47219
2026-05-24T09:00:00.000000000,325.50167,316.39456
2026-05-24T10:00:00.000000000,320.90634,310.7173
2026-05-24T11:00:00.000000000,320.91672,307.45219
2026-05-24T12:00:00.000000000,318.4894,297.90151
2026-05-24T13:00:00.000000000,307.25752,290.56367
2026-05-24T14:00:00.000000000,303.29063,290.29549
2026-05-24T15:00:00.000000000,297.55105,288.07225
2026-05-24T16:00:00.000000000,276.0064,286.27458
2026-05-24T17:00:00.000000000,270.45297,286.8342
2026-05-24T18:00:00.000000000,269.86216,280.57064
2026-05-24T19:00:00.000000000,268.68577,277.23896
2026-05-24T20:00:00.000000000,269.01957,273.2903
2026-05-24T21:00:00.000000000,268.16331,268.50172
2026-05-24T22:00:00.000000000,270.00493,265.15681
2026-05-24T23:00:00.000000000,261.24588,275.9817
2026-05-25T00:00:00.000000000,273.41299,271.18742
2026-05-25T01:00:00.000000000,317.98838,272.87252
2026-05-25T02:00:00.000000000,338.03099,291.27714
2026-05-25T03:00:00.000000000,330.67785,302.30449
2026-05-25T04:00:00.000000000,320.99746,312.04457
2026-05-25T05:00:00.000000000,310.32535,315.81293
2026-05-25T06:00:00.000000000,303.58283,317.83878
2026-05-25T07:00:00.000000000,289.71742,321.72942
2026-05-25T08:00:00.000000000,280.84959,317.03487
2026-05-25T09:00:00.000000000,275.18699,315.54817
2026-05-25T10:00:00.000000000,273.08004,309.26366
2026-05-25T11:00:00.000000000,276.33123,305.73178
2026-05-25T12:00:00.000000000,264.62907,295.68288
2026-05-25T13:00:00.000000000,231.5224,288.48547
2026-05-25T14:00:00.000000000,212.18112,289.02136
2026-05-25T15:00:00.000000000,206.91279,287.904
2026-05-25T16:00:00.000000000,209.54401,286.58945
2026-05-25T17:00:00.000000000,214.21628,287.83179
2026-05-25T18:00:00.000000000,216.5525,281.53311
2026-05-25T19:00:00.000000000,218.34227,278.3022
2026-05-25T20:00:00.000000000,228.02583,273.72382
2026-05-25T21:00:00.000000000,242.69979,268.04171
2026-05-25T22:00:00.000000000,254.98081,263.88573
2026-05-25T23:00:00.000000000,272.54149,274.15091
2026-05-26T00:00:00.000000000,299.07649,283.56566
2026-05-26T01:00:00.000000000,333.27792,286.89207
2026-05-26T02:00:00.000000000,345.89055,302.87403
2026-05-26T03:00:00.000000000,330.72466,312.91387
2026-05-26T04:00:00.000000000,304.88708,322.02055
2026-05-26T05:00:00.000000000,287.02565,324.69634
2026-05-26T06:00:00.000000000,281.75553,325.46009
2026-05-26T07:00:00.000000000,273.59753,328.26462
2026-05-26T08:00:00.000000000,266.99703,323.59218
2026-05-26T09:00:00.000000000,269.00069,322.52671
2026-05-26T10:00:00.000000000,275.50827,317.29602
2026-05-26T11:00:00.000000000,293.61289,313.98917
2026-05-26T12:00:00.000000000,303.15582,306.78938
2026-05-26T13:00:00.000000000,300.20787,300.45747
2026-05-26T14:00:00.000000000,313.64163,300.71703
2026-05-26T15:00:00.000000000,320.16399,300.17928
2026-05-26T16:00:00.000000000,315.99255,299.00305
2026-05-26T17:00:00.000000000,314.83029,300.64838
2026-05-26T18:00:00.000000000,314.7256,294.72542
2026-05-26T19:00:00.000000000,314.54931,291.07726
2026-05-26T20:00:00.000000000,316.24427,286.39335
2026-05-26T21:00:00.000000000,324.41823,281.9825
2026-05-26T22:00:00.000000000,329.47579,277.48643
2026-05-26T23:00:00.000000000,340.50119,285.92301
2026-05-27T00:00:00.000000000,358.95668,287.24091
2026-05-27T01:00:00.000000000,374.4521,290.33275
2026-05-27T02:00:00.000000000,378.2229,306.01912
2026-05-27T03:00:00.000000000,368.582,315.89607
2026-05-27T04:00:00.000000000,357.46232,325.35271
2026-05-27T05:00:00.000000000,355.79993,328.17439
2026-05-27T06:00:00.000000000,354.73789,329.21407
2026-05-27T07:00:00.000000000,358.30606,332.16784
2026-05-27T08:00:00.000000000,363.31351,327.55509
2026-05-27T09:00:00.000000000,367.82114,326.11226
2026-05-27T10:00:00.000000000,375.15506,320.60651
2026-05-27T11:00:00.000000000,384.96927,317.14151
2026-05-27T12:00:00.000000000,382.01408,309.81581
2026-05-27T13:00:00.000000000,362.48079,303.47576
2026-05-27T14:00:00.000000000,353.62338,304.08943
2026-05-27T15:00:00.000000000,349.00629,304.35223
2026-05-27T16:00:00.000000000,346.37249,303.46863
2026-05-27T17:00:00.000000000,346.59995,305.6118
2026-05-27T18:00:00.000000000,347.09637,299.83651
2026-05-27T19:00:00.000000000,340.1469,296.18467
2026-05-27T20:00:00.000000000,334.83042,291.32862
2026-05-27T21:00:00.000000000,338.58623,286.49883
2026-05-27T22:00:00.000000000,341.42957,281.56199
2026-05-27T23:00:00.000000000,350.2875,289.52928
2026-05-28T00:00:00.000000000,367.07822,288.6707
2026-05-28T01:00:00.000000000,388.84623,291.78549
2026-05-28T02:00:00.000000000,395.70784,307.30803
