datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-22T00:00:00.000000000,337.46086,343.76425
2026-05-22T01:00:00.000000000,355.99091,361.64259
2026-05-22T02:00:00.000000000,370.95969,377.00986
2026-05-22T03:00:00.000000000,376.79998,381.86926
2026-05-22T04:00:00.000000000,360.44058,378.58601
2026-05-22T05:00:00.000000000,352.79621,370.80345
2026-05-22T06:00:00.000000000,346.74187,365.14371
2026-05-22T07:00:00.000000000,337.54679,365.21055
2026-05-22T08:00:00.000000000,332.95324,369.11654
2026-05-22T09:00:00.000000000,325.74822,377.87369
2026-05-22T10:00:00.000000000,333.53486,386.04516
2026-05-22T11:00:00.000000000,338.40948,388.30447
2026-05-22T12:00:00.000000000,341.31558,385.32434
2026-05-22T13:00:00.000000000,323.58234,372.57059
2026-05-22T14:00:00.000000000,309.3215,354.54321
2026-05-22T15:00:00.000000000,300.68097,337.36875
2026-05-22T16:00:00.000000000,289.58233,327.49257
2026-05-22T17:00:00.000000000,289.1392,326.32588
2026-05-22T18:00:00.000000000,284.83066,329.79666
2026-05-22T19:00:00.000000000,282.10196,334.19952
2026-05-22T20:00:00.000000000,292.3427,341.03707
2026-05-22T21:00:00.000000000,303.03526,347.03709
2026-05-22T22:00:00.000000000,318.39883,352.76213
2026-05-22T23:00:00.000000000,331.90301,363.90331
2026-05-23T00:00:00.000000000,344.09167,388.18848
2026-05-23T01:00:00.000000000,357.19547,407.68635
2026-05-23T02:00:00.000000000,366.30047,424.7069
2026-05-23T03:00:00.000000000,376.30695,430.80509
2026-05-23T04:00:00.000000000,376.91151,427.54151
2026-05-23T05:00:00.000000000,383.52335,417.04804
2026-05-23T06:00:00.000000000,378.25488,405.244
2026-05-23T07:00:00.000000000,374.27387,396.39732
2026-05-23T08:00:00.000000000,370.51651,392.07607
2026-05-23T09:00:00.000000000,367.94064,394.06464
2026-05-23T10:00:00.000000000,363.91605,399.49666
2026-05-23T11:00:00.000000000,364.67369,402.68897
2026-05-23T12:00:00.000000000,369.70822,400.87721
2026-05-23T13:00:00.000000000,368.50942,389.70345
2026-05-23T14:00:00.000000000,369.9498,371.42912
2026-05-23T15:00:00.000000000,358.39467,353.31124
2026-05-23T16:00:00.000000000,347.64583,342.77795
2026-05-23T17:00:00.000000000,347.70429,342.0546
2026-05-23T18:00:00.000000000,338.87095,346.7186
2026-05-23T19:00:00.000000000,338.41277,352.9376
2026-05-23T20:00:00.000000000,350.21736,359.12071
2026-05-23T21:00:00.000000000,362.48768,362.99104
2026-05-23T22:00:00.000000000,378.42429,366.98462
2026-05-23T23:00:00.000000000,396.97669,376.22543
2026-05-24T00:00:00.000000000,422.64797,395.45983
2026-05-24T01:00:00.000000000,455.10106,413.7581
2026-05-24T02:00:00.000000000,462.95813,429.13663
2026-05-24T03:00:00.000000000,459.90113,434.03649
2026-05-24T04:00:00.000000000,458.87437,431.02084
2026-05-24T05:00:00.000000000,445.36463,421.93913
