datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-21T19:00:00.000000000,191.09789,202.27801
2026-05-21T20:00:00.000000000,211.08355,208.90849
2026-05-21T21:00:00.000000000,218.84006,219.30393
2026-05-21T22:00:00.000000000,241.79721,232.27534
2026-05-21T23:00:00.000000000,249.71463,245.15141
2026-05-22T00:00:00.000000000,262.09708,277.32367
2026-05-22T01:00:00.000000000,296.79264,349.37083
2026-05-22T02:00:00.000000000,382.54606,444.40369
2026-05-22T03:00:00.000000000,531.76137,513.37229
2026-05-22T04:00:00.000000000,542.93846,525.83994
2026-05-22T05:00:00.000000000,542.93846,515.27005
2026-05-22T06:00:00.000000000,518.85905,517.97609
2026-05-22T07:00:00.000000000,520.51625,527.39755
2026-05-22T08:00:00.000000000,513.74907,523.80315
2026-05-22T09:00:00.000000000,522.71829,524.53893
2026-05-22T10:00:00.000000000,526.76689,523.552
2026-05-22T11:00:00.000000000,530.33392,508.82313
2026-05-22T12:00:00.000000000,532.66422,475.5101
2026-05-22T13:00:00.000000000,532.54218,412.35565
2026-05-22T14:00:00.000000000,464.77931,325.04077
2026-05-22T15:00:00.000000000,289.23412,259.3275
2026-05-22T16:00:00.000000000,232.83981,228.52986
2026-05-22T17:00:00.000000000,223.63003,215.81009
2026-05-22T18:00:00.000000000,223.84731,205.63917
2026-05-22T19:00:00.000000000,223.83056,214.16055
2026-05-22T20:00:00.000000000,232.3309,221.32212
2026-05-22T21:00:00.000000000,231.87592,231.39387
2026-05-22T22:00:00.000000000,244.59017,243.95685
2026-05-22T23:00:00.000000000,257.40366,257.78816
2026-05-23T00:00:00.000000000,276.41786,290.94733
2026-05-23T01:00:00.000000000,320.52632,358.65671
2026-05-23T02:00:00.000000000,416.73106,443.97768
2026-05-23T03:00:00.000000000,536.6593,505.42913
2026-05-23T04:00:00.000000000,539.35194,518.60163
2026-05-23T05:00:00.000000000,539.35194,512.90546
2026-05-23T06:00:00.000000000,536.58599,517.82471
2026-05-23T07:00:00.000000000,535.85624,526.21886
2026-05-23T08:00:00.000000000,530.56931,522.54855
2026-05-23T09:00:00.000000000,540.67439,524.69673
2026-05-23T10:00:00.000000000,543.67431,524.53569
2026-05-23T11:00:00.000000000,539.87694,509.08142
2026-05-23T12:00:00.000000000,544.064,474.08544
2026-05-23T13:00:00.000000000,544.56723,410.53724
2026-05-23T14:00:00.000000000,413.18678,325.89517
2026-05-23T15:00:00.000000000,251.70989,265.12257
2026-05-23T16:00:00.000000000,208.64129,238.34504
2026-05-23T17:00:00.000000000,198.67831,226.60651
2026-05-23T18:00:00.000000000,199.43313,216.47279
2026-05-23T19:00:00.000000000,209.38754,216.09204
2026-05-23T20:00:00.000000000,213.08933,223.18652
2026-05-23T21:00:00.000000000,222.55302,233.20649
2026-05-23T22:00:00.000000000,242.64988,246.23056
2026-05-23T23:00:00.000000000,252.88013,261.7061
2026-05-24T00:00:00.000000000,287.07949,296.75313
2026-05-24T01:00:00.000000000,303.06944,363.92488
2026-05-24T02:00:00.000000000,392.76886,445.40014
2026-05-24T03:00:00.000000000,523.05647,502.96752
2026-05-24T04:00:00.000000000,540.34134,515.42611
2026-05-24T05:00:00.000000000,540.34134,511.35083
2026-05-24T06:00:00.000000000,540.09213,517.60747
2026-05-24T07:00:00.000000000,538.23869,525.86429
2026-05-24T08:00:00.000000000,527.85111,522.03947
2026-05-24T09:00:00.000000000,534.69321,525.49306
2026-05-24T10:00:00.000000000,531.06436,525.96259
2026-05-24T11:00:00.000000000,529.66784,508.0225
2026-05-24T12:00:00.000000000,532.10621,468.74672
2026-05-24T13:00:00.000000000,530.82812,403.05547
2026-05-24T14:00:00.000000000,397.51889,320.29688
2026-05-24T15:00:00.000000000,238.72376,263.63659
2026-05-24T16:00:00.000000000,203.78175,240.0281
2026-05-24T17:00:00.000000000,197.49845,228.95633
2026-05-24T18:00:00.000000000,195.64768,218.47543
2026-05-24T19:00:00.000000000,216.51727,220.71028
2026-05-24T20:00:00.000000000,219.27438,228.0973
2026-05-24T21:00:00.000000000,229.71916,238.53882
2026-05-24T22:00:00.000000000,240.93301,251.83342
2026-05-24T23:00:00.000000000,273.64723,267.42754
2026-05-25T00:00:00.000000000,293.5013,302.09027
2026-05-25T01:00:00.000000000,325.68602,367.06784
2026-05-25T02:00:00.000000000,392.34424,445.22807
2026-05-25T03:00:00.000000000,506.79395,500.63619
2026-05-25T04:00:00.000000000,523.37682,513.61896
2026-05-25T05:00:00.000000000,523.37682,511.25395
2026-05-25T06:00:00.000000000,519.16869,518.19095
2026-05-25T07:00:00.000000000,518.87285,525.94758
2026-05-25T08:00:00.000000000,510.09407,521.94264
2026-05-25T09:00:00.000000000,509.09711,525.66925
2026-05-25T10:00:00.000000000,517.93631,526.44146
2026-05-25T11:00:00.000000000,520.76455,508.72469
2026-05-25T12:00:00.000000000,527.74205,469.44457
2026-05-25T13:00:00.000000000,522.44553,403.7435
2026-05-25T14:00:00.000000000,404.65857,321.41768
2026-05-25T15:00:00.000000000,249.51487,265.91895
2026-05-25T16:00:00.000000000,203.75011,243.59838
2026-05-25T17:00:00.000000000,205.77154,233.13183
2026-05-25T18:00:00.000000000,212.49534,222.78371
2026-05-25T19:00:00.000000000,220.48269,225.60377
2026-05-25T20:00:00.000000000,229.57823,233.39311
2026-05-25T21:00:00.000000000,245.06053,245.96538
2026-05-25T22:00:00.000000000,261.6363,261.41587
2026-05-25T23:00:00.000000000,284.93868,277.81524
2026-05-26T00:00:00.000000000,309.30995,311.48232
2026-05-26T01:00:00.000000000,330.76174,372.59689
2026-05-26T02:00:00.000000000,400.29059,445.88194
2026-05-26T03:00:00.000000000,519.2385,498.1511
2026-05-26T04:00:00.000000000,530.71141,511.75295
2026-05-26T05:00:00.000000000,530.71141,511.9798
2026-05-26T06:00:00.000000000,519.88368,519.91065
2026-05-26T07:00:00.000000000,515.78031,526.45107
2026-05-26T08:00:00.000000000,500.35086,521.687
2026-05-26T09:00:00.000000000,502.35417,525.38922
2026-05-26T10:00:00.000000000,507.13073,526.67833
2026-05-26T11:00:00.000000000,512.08547,510.40334
2026-05-26T12:00:00.000000000,517.11722,472.41123
2026-05-26T13:00:00.000000000,516.00216,406.57772
2026-05-26T14:00:00.000000000,415.53045,322.7369
2026-05-26T15:00:00.000000000,288.7518,266.76378
2026-05-26T16:00:00.000000000,232.62643,246.0227
2026-05-26T17:00:00.000000000,225.10198,237.58099
2026-05-26T18:00:00.000000000,236.48615,227.81274
2026-05-26T19:00:00.000000000,227.31851,231.70808
2026-05-26T20:00:00.000000000,232.62702,239.5645
2026-05-26T21:00:00.000000000,243.68028,250.84433
2026-05-26T22:00:00.000000000,264.28094,264.69189
2026-05-26T23:00:00.000000000,275.29035,280.34568
2026-05-27T00:00:00.000000000,283.8133,313.60668
2026-05-27T01:00:00.000000000,317.97702,373.30373
2026-05-27T02:00:00.000000000,398.63198,444.25125
2026-05-27T03:00:00.000000000,506.0,495.41175
2026-05-27T04:00:00.000000000,523.30995,509.78064
2026-05-27T05:00:00.000000000,523.30995,510.9255
2026-05-27T06:00:00.000000000,531.93679,519.30026
2026-05-27T07:00:00.000000000,529.97264,526.23085
2026-05-27T08:00:00.000000000,510.57177,522.11347
2026-05-27T09:00:00.000000000,519.4658,526.87859
2026-05-27T10:00:00.000000000,536.06873,528.4172
2026-05-27T11:00:00.000000000,535.33094,510.5594
2026-05-27T12:00:00.000000000,524.621,470.40693
2026-05-27T13:00:00.000000000,520.99035,404.21136
2026-05-27T14:00:00.000000000,389.6781,323.04209
2026-05-27T15:00:00.000000000,245.66576,270.55409
2026-05-27T16:00:00.000000000,212.16474,251.5501
2026-05-27T17:00:00.000000000,209.3129,242.84676
2026-05-27T18:00:00.000000000,211.56039,233.12254
2026-05-27T19:00:00.000000000,212.4927,240.99403
2026-05-27T20:00:00.000000000,221.80983,248.95394
2026-05-27T21:00:00.000000000,237.00788,260.05358
2026-05-27T22:00:00.000000000,253.11647,273.23359
2026-05-27T23:00:00.000000000,263.6441,287.6704
2026-05-28T00:00:00.000000000,268.73277,318.56085
2026-05-28T01:00:00.000000000,336.18385,374.35356
2026-05-28T02:00:00.000000000,427.07106,441.51208
2026-05-28T03:00:00.000000000,524.06371,491.40745
2026-05-28T04:00:00.000000000,542.48151,507.33692
2026-05-28T05:00:00.000000000,542.48151,510.25859
2026-05-28T06:00:00.000000000,546.68591,519.37247
2026-05-28T07:00:00.000000000,544.81079,526.46754
2026-05-28T08:00:00.000000000,528.01966,523.16882
2026-05-28T09:00:00.000000000,532.44876,529.45777
2026-05-28T10:00:00.000000000,549.78822,531.37855
2026-05-28T11:00:00.000000000,562.52715,512.29845
2026-05-28T12:00:00.000000000,560.63173,470.71478
2026-05-28T13:00:00.000000000,550.88288,404.1224
2026-05-28T14:00:00.000000000,432.08118,324.34711
2026-05-28T15:00:00.000000000,290.87138,274.44859
2026-05-28T16:00:00.000000000,242.80346,258.03299
2026-05-28T17:00:00.000000000,222.7915,250.72407
2026-05-28T18:00:00.000000000,218.67726,241.79839
2026-05-22T19:00:00.000000000,223.83056,218.47449
2026-05-22T20:00:00.000000000,232.3309,225.85984
2026-05-22T21:00:00.000000000,231.87592,236.5677
2026-05-22T22:00:00.000000000,244.59017,248.33297
2026-05-22T23:00:00.000000000,257.40366,257.78891
2026-05-23T00:00:00.000000000,276.41786,283.53718
2026-05-23T01:00:00.000000000,320.52632,346.58299
2026-05-23T02:00:00.000000000,416.73106,434.37848
2026-05-23T03:00:00.000000000,536.6593,502.12405
2026-05-23T04:00:00.000000000,539.35194,518.89621
2026-05-23T05:00:00.000000000,539.35194,512.65074
2026-05-23T06:00:00.000000000,536.58599,516.63014
2026-05-23T07:00:00.000000000,535.85624,526.3081
2026-05-23T08:00:00.000000000,530.56931,525.01318
2026-05-23T09:00:00.000000000,540.67439,528.61421
2026-05-23T10:00:00.000000000,543.67431,528.23534
2026-05-23T11:00:00.000000000,539.87694,512.9552
2026-05-23T12:00:00.000000000,544.064,479.65462
2026-05-23T13:00:00.000000000,544.56723,416.48914
2026-05-23T14:00:00.000000000,413.18678,329.77021
2026-05-23T15:00:00.000000000,251.70989,266.87668
2026-05-23T16:00:00.000000000,208.64129,240.35584
2026-05-23T17:00:00.000000000,198.67831,230.22795
2026-05-23T18:00:00.000000000,199.43313,220.99948
2026-05-23T19:00:00.000000000,209.38754,217.74495
2026-05-23T20:00:00.000000000,213.08933,224.88425
2026-05-23T21:00:00.000000000,222.55302,234.7983
2026-05-23T22:00:00.000000000,242.64988,247.46381
2026-05-23T23:00:00.000000000,252.88013,262.23783
