datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-19T00:00:00.000000000,383.69,320.12232
2026-05-19T01:00:00.000000000,376.6,312.84204
2026-05-19T02:00:00.000000000,379.89,309.24293
2026-05-19T03:00:00.000000000,380.9,307.12508
2026-05-19T04:00:00.000000000,375.23,309.15891
2026-05-19T05:00:00.000000000,368.85,315.00952
2026-05-19T06:00:00.000000000,380.7,324.32077
2026-05-19T07:00:00.000000000,386.42,332.00983
2026-05-19T08:00:00.000000000,401.99,342.20702
2026-05-19T09:00:00.000000000,425.89,353.36459
2026-05-19T10:00:00.000000000,442.43,364.45752
2026-05-19T11:00:00.000000000,432.35,375.03804
2026-05-19T12:00:00.000000000,428.92,380.66757
2026-05-19T13:00:00.000000000,413.39,382.36702
2026-05-19T14:00:00.000000000,369.68,386.46526
2026-05-19T15:00:00.000000000,351.27,385.1495
2026-05-19T16:00:00.000000000,324.04,382.09905
2026-05-19T17:00:00.000000000,313.71,376.5083
2026-05-19T18:00:00.000000000,322.2,369.54803
2026-05-19T19:00:00.000000000,322.93,361.58579
2026-05-19T20:00:00.000000000,317.7,353.63594
2026-05-19T21:00:00.000000000,313.85,345.71581
2026-05-19T22:00:00.000000000,307.7,338.89003
2026-05-19T23:00:00.000000000,293.17,332.81786
2026-05-20T00:00:00.000000000,275.78,283.06267
2026-05-20T01:00:00.000000000,269.49,276.07064
2026-05-20T02:00:00.000000000,264.73,273.49368
2026-05-20T03:00:00.000000000,265.93,270.04453
2026-05-20T04:00:00.000000000,261.2,270.49571
2026-05-20T05:00:00.000000000,277.29,273.92156
2026-05-20T06:00:00.000000000,304.1,280.35374
2026-05-20T07:00:00.000000000,324.03,286.77549
2026-05-20T08:00:00.000000000,344.14,296.18674
2026-05-20T09:00:00.000000000,351.18,307.90162
2026-05-20T10:00:00.000000000,359.51,320.67327
2026-05-20T11:00:00.000000000,365.25,331.89601
2026-05-20T12:00:00.000000000,385.1,340.40499
2026-05-20T13:00:00.000000000,392.17,345.00953
2026-05-20T14:00:00.000000000,388.83,352.1293
2026-05-20T15:00:00.000000000,389.44,354.49628
2026-05-20T16:00:00.000000000,375.51,354.6123
2026-05-20T17:00:00.000000000,361.46,351.29505
2026-05-20T18:00:00.000000000,346.81,346.16425
2026-05-20T19:00:00.000000000,339.99,340.41979
2026-05-20T20:00:00.000000000,340.87,334.24184
2026-05-20T21:00:00.000000000,335.92,328.00845
2026-05-20T22:00:00.000000000,324.36,321.0438
2026-05-20T23:00:00.000000000,322.96,316.33165
2026-05-21T00:00:00.000000000,317.82,274.26728
2026-05-21T01:00:00.000000000,322.09,266.99732
2026-05-21T02:00:00.000000000,321.3,264.47683
2026-05-21T03:00:00.000000000,338.77,260.40023
2026-05-21T04:00:00.000000000,366.04,260.39857
2026-05-21T05:00:00.000000000,380.55,263.46246
2026-05-21T06:00:00.000000000,391.27,269.55125
2026-05-21T07:00:00.000000000,416.9,276.17128
2026-05-21T08:00:00.000000000,452.32,285.84626
2026-05-21T09:00:00.000000000,486.38,298.31817
2026-05-21T10:00:00.000000000,493.77,311.85349
2026-05-21T11:00:00.000000000,496.22,323.57858
2026-05-21T12:00:00.000000000,494.78,332.85718
2026-05-21T13:00:00.000000000,501.83,338.14657
2026-05-21T14:00:00.000000000,498.18,345.94629
2026-05-21T15:00:00.000000000,496.82,348.91613
2026-05-21T16:00:00.000000000,488.06,349.30043
2026-05-21T17:00:00.000000000,475.09,346.17798
2026-05-21T18:00:00.000000000,454.2,341.03109
2026-05-21T19:00:00.000000000,435.64,335.58427
2026-05-21T20:00:00.000000000,425.52,329.59054
2026-05-21T21:00:00.000000000,430.83,323.57893
2026-05-21T22:00:00.000000000,429.59,316.32304
2026-05-21T23:00:00.000000000,423.49,311.71809
2026-05-22T00:00:00.000000000,415.88,272.19915
2026-05-22T01:00:00.000000000,413.75,264.4655
2026-05-22T02:00:00.000000000,408.97,261.9414
2026-05-22T03:00:00.000000000,402.17,257.31345
2026-05-22T04:00:00.000000000,398.67,256.94314
2026-05-22T05:00:00.000000000,398.5,259.86549
2026-05-22T06:00:00.000000000,402.84,265.69845
2026-05-22T07:00:00.000000000,426.28,272.28391
2026-05-22T08:00:00.000000000,459.36,282.05113
2026-05-22T09:00:00.000000000,500.36,295.04587
2026-05-22T10:00:00.000000000,516.12,308.94035
2026-05-22T11:00:00.000000000,525.4,321.13574
2026-05-22T12:00:00.000000000,530.86,330.91733
2026-05-22T13:00:00.000000000,532.84,336.7819
2026-05-22T14:00:00.000000000,532.33,345.11573
2026-05-22T15:00:00.000000000,531.52,348.32134
2026-05-22T16:00:00.000000000,529.81,348.70411
2026-05-22T17:00:00.000000000,523.14,345.71816
2026-05-22T18:00:00.000000000,492.83,340.4236
2026-05-22T19:00:00.000000000,467.28,335.00783
2026-05-22T20:00:00.000000000,454.14,328.94546
2026-05-22T21:00:00.000000000,437.67,322.96807
2026-05-22T22:00:00.000000000,426.18,315.27433
2026-05-22T23:00:00.000000000,413.53,310.33358
2026-05-23T00:00:00.000000000,401.72,272.05035
2026-05-23T01:00:00.000000000,389.32,264.07736
2026-05-23T02:00:00.000000000,387.55,261.69463
2026-05-23T03:00:00.000000000,373.44,257.16319
2026-05-23T04:00:00.000000000,363.65,256.86989
2026-05-23T05:00:00.000000000,372.29,260.28346
2026-05-23T06:00:00.000000000,385.73,266.53454
2026-05-23T07:00:00.000000000,407.6,273.48039
2026-05-23T08:00:00.000000000,439.43,283.41117
2026-05-23T09:00:00.000000000,479.4,296.72092
2026-05-23T10:00:00.000000000,492.01,310.59285
2026-05-23T11:00:00.000000000,512.81,322.8315
2026-05-23T12:00:00.000000000,515.41,332.43298
2026-05-23T13:00:00.000000000,516.71,338.18972
2026-05-23T14:00:00.000000000,518.93,346.4751
2026-05-23T15:00:00.000000000,513.36,349.26637
2026-05-23T16:00:00.000000000,512.81,349.07569
2026-05-23T17:00:00.000000000,492.45,345.65812
2026-05-23T18:00:00.000000000,442.97,340.02404
2026-05-23T19:00:00.000000000,403.65,334.37854
2026-05-23T20:00:00.000000000,380.91,328.23773
2026-05-23T21:00:00.000000000,373.92,322.25392
2026-05-23T22:00:00.000000000,380.54,314.30952
2026-05-23T23:00:00.000000000,391.98,309.0841
2026-05-24T00:00:00.000000000,397.74,270.39427
2026-05-24T01:00:00.000000000,404.22,262.06963
2026-05-24T02:00:00.000000000,406.5,259.55265
2026-05-24T03:00:00.000000000,411.23,254.80799
2026-05-24T04:00:00.000000000,414.75,254.29009
2026-05-24T05:00:00.000000000,420.26,257.66062
2026-05-24T06:00:00.000000000,431.49,263.76825
2026-05-24T07:00:00.000000000,475.74,270.70537
2026-05-24T08:00:00.000000000,499.39,280.69067
2026-05-24T09:00:00.000000000,520.11,294.22987
2026-05-24T10:00:00.000000000,530.36,308.36333
2026-05-24T11:00:00.000000000,535.31,320.87671
2026-05-24T12:00:00.000000000,535.58,330.88063
2026-05-24T13:00:00.000000000,534.61,337.09461
2026-05-24T14:00:00.000000000,533.59,345.88766
2026-05-24T15:00:00.000000000,532.04,349.01622
2026-05-24T16:00:00.000000000,528.41,349.01148
2026-05-24T17:00:00.000000000,513.73,345.67643
2026-05-24T18:00:00.000000000,486.25,340.0673
2026-05-24T19:00:00.000000000,450.8,334.40779
2026-05-24T20:00:00.000000000,427.6,328.29006
2026-05-24T21:00:00.000000000,412.52,322.32708
2026-05-24T22:00:00.000000000,404.58,314.05666
2026-05-24T23:00:00.000000000,400.27,308.56295
2026-05-25T00:00:00.000000000,394.4,273.64895
2026-05-25T01:00:00.000000000,397.75,265.41086
2026-05-25T02:00:00.000000000,397.5,262.93099
2026-05-25T03:00:00.000000000,399.38,258.42642
2026-05-25T04:00:00.000000000,402.7,258.10836
2026-05-25T05:00:00.000000000,412.6,261.74279
2026-05-25T06:00:00.000000000,433.97,268.07939
2026-05-25T07:00:00.000000000,474.83,275.06058
2026-05-25T08:00:00.000000000,507.57,285.04503
2026-05-25T09:00:00.000000000,517.2,298.39875
2026-05-25T10:00:00.000000000,526.09,312.31002
2026-05-25T11:00:00.000000000,535.93,324.64327
2026-05-25T12:00:00.000000000,537.34,334.35607
2026-05-25T13:00:00.000000000,535.9,340.28553
2026-05-25T14:00:00.000000000,537.31,348.81137
2026-05-25T15:00:00.000000000,536.97,351.57939
2026-05-25T16:00:00.000000000,532.21,351.3075
2026-05-25T17:00:00.000000000,518.78,347.62745
2026-05-25T18:00:00.000000000,490.85,341.88862
2026-05-25T19:00:00.000000000,467.02,335.94894
2026-05-25T20:00:00.000000000,448.79,329.73447
2026-05-25T21:00:00.000000000,435.67,323.66658
2026-05-25T22:00:00.000000000,425.33,315.42918
2026-05-25T23:00:00.000000000,413.2,309.85209
2026-05-20T00:00:00.000000000,275.78,277.04903
2026-05-20T01:00:00.000000000,269.49,271.35892
2026-05-20T02:00:00.000000000,264.73,269.5227
2026-05-20T03:00:00.000000000,265.93,267.7659
2026-05-20T04:00:00.000000000,261.2,269.67143
2026-05-20T05:00:00.000000000,277.29,273.67029
2026-05-20T06:00:00.000000000,304.1,280.42378
2026-05-20T07:00:00.000000000,324.03,286.87589
2026-05-20T08:00:00.000000000,344.14,295.84742
2026-05-20T09:00:00.000000000,351.18,306.16228
2026-05-20T10:00:00.000000000,359.51,317.66212
2026-05-20T11:00:00.000000000,365.25,327.07168
2026-05-20T12:00:00.000000000,385.1,334.05118
2026-05-20T13:00:00.000000000,392.17,337.17347
2026-05-20T14:00:00.000000000,388.83,343.03265
2026-05-20T15:00:00.000000000,389.44,345.33215
2026-05-20T16:00:00.000000000,375.51,346.22088
2026-05-20T17:00:00.000000000,361.46,343.74595
2026-05-20T18:00:00.000000000,346.81,339.87039
2026-05-20T19:00:00.000000000,339.99,335.42712
2026-05-20T20:00:00.000000000,340.87,330.1937
2026-05-20T21:00:00.000000000,335.92,324.28751
2026-05-20T22:00:00.000000000,324.36,318.26589
2026-05-20T23:00:00.000000000,322.96,314.8875
2026-05-21T00:00:00.000000000,317.82,274.17657
