datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-19T00:00:00.000000000,499.35,457.79581
2026-05-19T01:00:00.000000000,490.38,455.13789
2026-05-19T02:00:00.000000000,493.67,451.67324
2026-05-19T03:00:00.000000000,493.74,447.26079
2026-05-19T04:00:00.000000000,487.56,446.95646
2026-05-19T05:00:00.000000000,478.43,448.11305
2026-05-19T06:00:00.000000000,490.7,458.00526
2026-05-19T07:00:00.000000000,495.54,472.91637
2026-05-19T08:00:00.000000000,510.56,493.90016
2026-05-19T09:00:00.000000000,530.59,511.2167
2026-05-19T10:00:00.000000000,547.19,529.79296
2026-05-19T11:00:00.000000000,534.65,545.60795
2026-05-19T12:00:00.000000000,530.31,556.08363
2026-05-19T13:00:00.000000000,512.13,562.97612
2026-05-19T14:00:00.000000000,460.05,568.67035
2026-05-19T15:00:00.000000000,436.92,565.92473
2026-05-19T16:00:00.000000000,404.12,554.75599
2026-05-19T17:00:00.000000000,395.36,538.09758
2026-05-19T18:00:00.000000000,410.8,521.4829
2026-05-19T19:00:00.000000000,413.51,503.12626
2026-05-19T20:00:00.000000000,407.16,484.20594
2026-05-19T21:00:00.000000000,402.77,468.65416
2026-05-19T22:00:00.000000000,395.41,457.11566
2026-05-19T23:00:00.000000000,374.42,446.10014
2026-05-20T00:00:00.000000000,346.97,377.29355
2026-05-20T01:00:00.000000000,337.67,370.68041
2026-05-20T02:00:00.000000000,331.87,367.04354
2026-05-20T03:00:00.000000000,331.02,362.92901
2026-05-20T04:00:00.000000000,324.06,362.57669
2026-05-20T05:00:00.000000000,344.99,365.80532
2026-05-20T06:00:00.000000000,378.49,376.96603
2026-05-20T07:00:00.000000000,402.2,395.32984
2026-05-20T08:00:00.000000000,425.7,420.07866
2026-05-20T09:00:00.000000000,434.31,445.55742
2026-05-20T10:00:00.000000000,445.34,465.74119
2026-05-20T11:00:00.000000000,453.02,484.62793
2026-05-20T12:00:00.000000000,476.31,498.04939
2026-05-20T13:00:00.000000000,484.59,508.14672
2026-05-20T14:00:00.000000000,480.58,515.88129
2026-05-20T15:00:00.000000000,481.35,516.72184
2026-05-20T16:00:00.000000000,465.09,509.34396
2026-05-20T17:00:00.000000000,448.2,495.79169
2026-05-20T18:00:00.000000000,431.98,484.21486
2026-05-20T19:00:00.000000000,425.86,470.69677
2026-05-20T20:00:00.000000000,428.31,456.62137
2026-05-20T21:00:00.000000000,422.94,443.45997
2026-05-20T22:00:00.000000000,409.13,432.88088
2026-05-20T23:00:00.000000000,407.55,418.78018
2026-05-21T00:00:00.000000000,401.11,365.80047
2026-05-21T01:00:00.000000000,405.98,362.11278
2026-05-21T02:00:00.000000000,405.09,361.03719
2026-05-21T03:00:00.000000000,426.0,358.88009
2026-05-21T04:00:00.000000000,460.35,359.51456
2026-05-21T05:00:00.000000000,477.32,363.00552
2026-05-21T06:00:00.000000000,489.71,374.1246
2026-05-21T07:00:00.000000000,518.99,390.56346
2026-05-21T08:00:00.000000000,559.77,411.78122
2026-05-21T09:00:00.000000000,596.4,432.85905
2026-05-21T10:00:00.000000000,606.4,448.05062
2026-05-21T11:00:00.000000000,610.56,461.99038
2026-05-21T12:00:00.000000000,608.55,471.47074
2026-05-21T13:00:00.000000000,616.88,478.45744
2026-05-21T14:00:00.000000000,612.71,484.20126
2026-05-21T15:00:00.000000000,611.11,484.47759
2026-05-21T16:00:00.000000000,600.48,478.59333
2026-05-21T17:00:00.000000000,584.14,468.7138
2026-05-21T18:00:00.000000000,564.39,461.41636
2026-05-21T19:00:00.000000000,547.25,452.17262
2026-05-21T20:00:00.000000000,537.53,442.56137
2026-05-21T21:00:00.000000000,545.0,433.85799
2026-05-21T22:00:00.000000000,544.23,427.04159
2026-05-21T23:00:00.000000000,537.47,415.90761
2026-05-22T00:00:00.000000000,529.35,370.23964
2026-05-22T01:00:00.000000000,526.95,370.23134
2026-05-22T02:00:00.000000000,521.62,371.55836
2026-05-22T03:00:00.000000000,513.22,370.88199
2026-05-22T04:00:00.000000000,508.54,371.51257
2026-05-22T05:00:00.000000000,506.84,374.46272
2026-05-22T06:00:00.000000000,510.09,383.3811
2026-05-22T07:00:00.000000000,535.34,395.99105
2026-05-22T08:00:00.000000000,570.78,411.80459
2026-05-22T09:00:00.000000000,615.46,426.83413
2026-05-22T10:00:00.000000000,634.69,437.77147
2026-05-22T11:00:00.000000000,645.76,447.52275
2026-05-22T12:00:00.000000000,652.69,454.71731
2026-05-22T13:00:00.000000000,655.1,460.95178
2026-05-22T14:00:00.000000000,654.75,466.89138
2026-05-22T15:00:00.000000000,654.02,467.42342
2026-05-22T16:00:00.000000000,651.71,463.3483
2026-05-22T17:00:00.000000000,643.14,456.29255
2026-05-22T18:00:00.000000000,610.76,451.26096
2026-05-22T19:00:00.000000000,584.56,444.31481
2026-05-22T20:00:00.000000000,570.64,437.05497
2026-05-22T21:00:00.000000000,552.21,430.49454
2026-05-22T22:00:00.000000000,538.38,425.24642
2026-05-22T23:00:00.000000000,523.27,416.87036
2026-05-23T00:00:00.000000000,509.08,375.4188
2026-05-23T01:00:00.000000000,494.3,374.51438
2026-05-23T02:00:00.000000000,491.18,374.9583
2026-05-23T03:00:00.000000000,470.85,373.43232
2026-05-23T04:00:00.000000000,455.22,373.11614
2026-05-23T05:00:00.000000000,465.48,375.35039
2026-05-23T06:00:00.000000000,481.96,383.25785
2026-05-23T07:00:00.000000000,508.02,395.2546
2026-05-23T08:00:00.000000000,546.12,410.578
2026-05-23T09:00:00.000000000,593.95,425.62676
2026-05-23T10:00:00.000000000,609.54,436.72422
2026-05-23T11:00:00.000000000,633.26,446.89975
2026-05-23T12:00:00.000000000,635.9,454.57454
2026-05-23T13:00:00.000000000,637.42,461.5636
2026-05-23T14:00:00.000000000,640.14,468.24395
2026-05-23T15:00:00.000000000,633.46,469.54065
2026-05-23T16:00:00.000000000,631.76,466.19412
2026-05-23T17:00:00.000000000,609.19,459.54256
2026-05-23T18:00:00.000000000,559.39,454.78491
2026-05-23T19:00:00.000000000,518.3,447.85163
2026-05-23T20:00:00.000000000,493.75,440.46289
2026-05-23T21:00:00.000000000,485.25,433.65101
2026-05-23T22:00:00.000000000,491.63,428.1849
2026-05-23T23:00:00.000000000,501.45,419.41754
2026-05-24T00:00:00.000000000,506.92,391.6247
2026-05-24T01:00:00.000000000,515.55,389.3844
2026-05-24T02:00:00.000000000,518.52,388.7316
2026-05-24T03:00:00.000000000,524.22,386.0428
2026-05-24T04:00:00.000000000,527.53,384.21221
2026-05-24T05:00:00.000000000,532.19,384.96737
2026-05-24T06:00:00.000000000,544.08,390.75247
